OBJECTID,HL_DATE,HL_TYPE,SHAPEAREA,SHAPELEN
1380,2022/04/05 00:00:00+00,1,83508.914609375,1540.53934134578
1381,2019/10/16 00:00:00+00,1,8388.3682296875,348.01525876529
1382,2019/10/16 00:00:00+00,1,4234.1356328125,236.754998289328
1383,2019/10/16 00:00:00+00,1,36888.8652921875,876.206086974548
1384,2019/10/16 00:00:00+00,1,16012.3000335938,684.203916348657
1385,2019/10/16 00:00:00+00,1,4851.882215625,257.088480609222
1386,2019/10/16 00:00:00+00,1,1875.08945234375,164.546996265932
1387,2019/10/16 00:00:00+00,3,33332.5391328125,5206.95826926186
1388,2019/10/16 00:00:00+00,4,87348.7174117188,1509.76734661584
1389,2019/10/16 00:00:00+00,4,8001.88075078125,406.525971138585
1390,2019/10/16 00:00:00+00,4,20076.71145625,620.041355474387
1391,2019/10/16 00:00:00+00,4,5174.7738171875,479.058765615796
1392,2019/10/16 00:00:00+00,6,8861.43406875,855.617103568603
1393,2019/10/16 00:00:00+00,6,1539.8679578125,142.355311488921
1394,2019/10/16 00:00:00+00,6,33605.5236742187,862.663274594783
1395,2022/04/05 00:00:00+00,1,64442.571346875,2162.61585890094
1396,2022/04/05 00:00:00+00,1,202457.724239062,4473.46102397053
1397,2022/04/05 00:00:00+00,4,14776.5330335938,667.335760492462
1398,2022/04/05 00:00:00+00,4,156369.910485156,4472.76591732223
1399,2022/04/05 00:00:00+00,4,97118.2948851563,2858.88419511029
1400,2022/04/05 00:00:00+00,4,60729.1572265625,1067.86556146621
1401,2000/03/31 00:00:00+00,1,9091.8454296875,365.527711184799
1402,2000/03/31 00:00:00+00,1,2558.7170625,195.852254733847
1403,2022/04/05 00:00:00+00,3,6686.8307625,1199.69641041654
1404,2000/03/31 00:00:00+00,3,2764.25744453125,755.28301678558
1405,2000/03/31 00:00:00+00,3,8773.47944765625,930.908913337647
1406,2017/07/14 00:00:00+00,1,158.48293515625,46.7106251633118
1407,2022/04/05 00:00:00+00,1,32486.4718351563,939.909296198033
1408,2019/10/16 00:00:00+00,1,4142.93790859375,250.970260530738
1409,2019/10/16 00:00:00+00,1,16111.4001960938,480.416248263399
1410,2019/10/16 00:00:00+00,1,3124.7019859375,326.993178154851
1411,2022/04/05 00:00:00+00,3,12569.2886585938,1537.35558932655
1412,2019/10/16 00:00:00+00,3,10638.7974742188,2454.27885612812
1413,2019/10/16 00:00:00+00,3,9917.7581546875,2007.59702035892
