TYPE_OF_STOP,CITATION_CONTROL_NUMBER,ACTIVITY_RESULTS,OFFICER_GENDER,OFFICER_RACE,OFFICER_AGE_RANGE,ACTIVITY_DATE,ACTIVITY_TIME,ACTIVITY_LOCATION,ACTIVITY_DIVISION,ACTIVITY_BEAT,DRIVER_GENDER,DRIVER_RACE,DRIVER_AGE_RANGE,NUMBER_OF_PASSENGERS,WAS_VEHCILE_SEARCHED,REASON_FOR_SEARCH,OBJECTID
TRAFFIC VIOLATION,EC62986     ,CITATION ISSUED,M,WHITE,51 - 60,02/20/2023,14:57:00,I264 EAST @ TAYLORSVILLE ROAD                               ,5TH DIVISION,BEAT 4,M,ASIAN,16 - 19,0,NO,,25
TRAFFIC VIOLATION,EC62987     ,CITATION ISSUED,M,WHITE,51 - 60,02/26/2023,08:43:00,I 0264                                                      ,6TH DIVISION,BEAT 1,F,WHITE,OVER 60,0,NO,,26
TRAFFIC VIOLATION,EC80375     ,CITATION ISSUED,M,WHITE,21 - 30,01/15/2023,20:40:00,PRESTON HWY/ TRIO AVE                                       ,7TH DIVISION,BEAT 6,F,BLACK,20 - 25,0,NO,,27
TRAFFIC VIOLATION,EC89774     ,CITATION ISSUED,M,WHITE,31 - 40,01/06/2023,01:26:00,PRESTON HWY                                                 ,7TH DIVISION,BEAT 6,M,WHITE,31 - 40,0,NO,,28
TRAFFIC VIOLATION,EC95256     ,CITATION ISSUED,M,WHITE,41 - 50,01/31/2023,22:23:00,200 BLOCK  CAREY AVE,6TH DIVISION,BEAT 4,M,WHITE,51 - 60,0,NO,,29
TRAFFIC VIOLATION,ED27717     ,CITATION ISSUED,M,WHITE,31 - 40,01/11/2023,22:38:00,E MANSLICK RD                                               ,7TH DIVISION,BEAT 5,M,BLACK,31 - 40,0,NO,,30
TRAFFIC VIOLATION,ED27908     ,CITATION ISSUED,M,WHITE,31 - 40,01/18/2023,00:05:00,BLUE LICK RD                                                ,7TH DIVISION,BEAT 4,M,HISPANIC,16 - 19,0,NO,,31
TRAFFIC VIOLATION,ED58864     ,CITATION ISSUED,M,WHITE,31 - 40,02/05/2023,02:05:00,OUTER LOOP                                                  ,7TH DIVISION,BEAT 5,M,HISPANIC,31 - 40,0,NO,,32
TRAFFIC VIOLATION,ED58867     ,CITATION ISSUED,M,WHITE,41 - 50,03/05/2023,22:59:00,2100 BLOCK  BUECHEL BANK RD,6TH DIVISION,BEAT 4,F,WHITE,51 - 60,0,NO,,33
TRAFFIC VIOLATION,ED80839     ,CITATION ISSUED,M,WHITE,41 - 50,01/02/2023,22:22:00,BAXTER AVE                                                  ,5TH DIVISION,BEAT 2,M,WHITE,31 - 40,0,NO,,34
TRAFFIC VIOLATION,ED96842     ,CITATION ISSUED,M,BLACK,31 - 40,01/15/2023,03:57:00,1600 BLOCK  NORRIS PL,5TH DIVISION,BEAT 3,M,WHITE,20 - 25,0,NO,,35
TRAFFIC VIOLATION,EE01434     ,CITATION ISSUED,M,BLACK,41 - 50,01/28/2023,13:53:00,LIME KILN LN                                                ,8TH DIVISION,BEAT 2,M,BLACK,20 - 25,0,NO,,36
TRAFFIC VIOLATION,EE01780     ,CITATION ISSUED,M,WHITE,21 - 30,01/04/2023,05:45:00,I 0265                                                      ,8TH DIVISION,BEAT 1,M,BLACK,41 - 50,1,NO,,37
TRAFFIC VIOLATION,EE03935     ,CITATION ISSUED,M,BLACK,31 - 40,01/18/2023,21:46:00,E BROADWAY                                                  ,5TH DIVISION,BEAT 2,M,BLACK,26 - 30,0,NO,,38
TRAFFIC VIOLATION,EE12046     ,CITATION ISSUED,M,BLACK,31 - 40,02/15/2023,14:41:00,4800 BLOCK  KAUFMAN LN,3RD DIVISION,BEAT 1,M,WHITE,26 - 30,0,NO,,39
TRAFFIC VIOLATION,EE13392     ,CITATION ISSUED,M,ASIAN,31 - 40,01/05/2023,09:47:00,GLENGARRY DR                                                ,3RD DIVISION,BEAT 3,M,HISPANIC,31 - 40,0,NO,,40
TRAFFIC VIOLATION,EE13393     ,CITATION ISSUED,M,ASIAN,31 - 40,02/11/2023,10:36:00,CHARLENE DR                                                 ,3RD DIVISION,BEAT 3,M,BLACK,41 - 50,1,NO,,41
TRAFFIC VIOLATION,EE13594     ,CITATION ISSUED,M,BLACK,41 - 50,01/03/2023,19:15:00,SHENANDOAH DR @ MIDDLEBURG CT                               ,8TH DIVISION,BEAT 1,M,WHITE,51 - 60,0,NO,,42
TRAFFIC VIOLATION,EE13595     ,CITATION ISSUED,M,BLACK,41 - 50,01/03/2023,19:42:00,SHENANDOAH DR @ MIDDLEBURG CT                               ,8TH DIVISION,BEAT 1,M,WHITE,31 - 40,0,NO,,43
TRAFFIC VIOLATION,EE13596     ,CITATION ISSUED,M,BLACK,41 - 50,01/03/2023,20:01:00,SHENANDOAH DR @ PRINCE GEORGE CT                            ,8TH DIVISION,BEAT 1,M,BLACK,20 - 25,0,NO,,44
TRAFFIC VIOLATION,EE13597     ,CITATION ISSUED,M,BLACK,41 - 50,01/03/2023,20:28:00,SHENANDOAH DR @ CULPEPPER CIR                               ,8TH DIVISION,BEAT 1,M,WHITE,41 - 50,0,NO,,45
TRAFFIC VIOLATION,EE13598     ,CITATION ISSUED,M,BLACK,41 - 50,01/03/2023,20:43:00,SHENANDOAH DR @ CULPEPPER CIR                               ,8TH DIVISION,BEAT 1,M,BLACK,20 - 25,0,NO,,46
TRAFFIC VIOLATION,EE13599     ,CITATION ISSUED,M,BLACK,41 - 50,01/04/2023,06:56:00,SHENANDOAH DR @ LEESBURG PL                                 ,8TH DIVISION,BEAT 1,M,BLACK,41 - 50,0,NO,,47
TRAFFIC VIOLATION,EE13600     ,CITATION ISSUED,M,BLACK,41 - 50,01/04/2023,07:10:00,SHENANDOAH DR  @ LEESBURG PL                                ,8TH DIVISION,BEAT 1,M,BLACK,OVER 60,0,NO,,48
TRAFFIC VIOLATION,EE13601     ,CITATION ISSUED,M,BLACK,41 - 50,01/05/2023,16:26:00,6500 BLOCK  FERN VALLEY RD,7TH DIVISION,BEAT 5,F,BLACK,31 - 40,0,NO,,49
TRAFFIC VIOLATION,EE13603     ,CITATION ISSUED,M,BLACK,41 - 50,01/06/2023,12:58:00,BOERSTE WAY @ PRESTON HWY                                   ,7TH DIVISION,BEAT 6,F,WHITE,31 - 40,1,NO,,50
TRAFFIC VIOLATION,EE13604     ,CITATION ISSUED,M,BLACK,41 - 50,01/06/2023,15:40:00,7300 BLOCK  PRESTON HWY,7TH DIVISION,BEAT 6,M,HISPANIC,26 - 30,0,NO,,51
TRAFFIC VIOLATION,EE13605     ,CITATION ISSUED,M,BLACK,41 - 50,01/10/2023,07:25:00,SHENANDOAH DR @ MIDDLEBURG CT                               ,8TH DIVISION,BEAT 1,F,BLACK,51 - 60,1,NO,,52
TRAFFIC VIOLATION,EE13606     ,CITATION ISSUED,M,BLACK,41 - 50,01/10/2023,08:05:00,SHENANDOAH DR @ CULPEPPER CIR                               ,8TH DIVISION,BEAT 1,F,BLACK,OVER 60,1,NO,,53
TRAFFIC VIOLATION,EE13607     ,CITATION ISSUED,M,BLACK,41 - 50,01/10/2023,08:21:00,SHENANDOAH DR @ CULPEPPER CIR                               ,8TH DIVISION,BEAT 1,F,BLACK,OVER 60,0,NO,,54
TRAFFIC VIOLATION,EE13608     ,CITATION ISSUED,M,BLACK,41 - 50,01/11/2023,17:59:00,FERNFIELD DR @ GREENBLUFF RD                                ,7TH DIVISION,BEAT 3,M,HISPANIC,31 - 40,0,NO,,55
TRAFFIC VIOLATION,EE13609     ,CITATION ISSUED,M,BLACK,41 - 50,01/11/2023,18:03:00,FERNFIELD DR @ GREENBLUFF DR                                ,7TH DIVISION,BEAT 3,M,BLACK,26 - 30,0,NO,,56
