X,Y,FacilityName,FacilityID,WWInventoryURL
437075.007140111,121638.751225535,Fair Haven,72,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=72&option=view
509837.529920035,223899.478942292,Hardwick,73,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=73&option=view
450083.288998065,203745.46840643,Hinesburg,74,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=74&option=view
473491.640940021,237930.519320052,Jeffersonville,75,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=75&option=view
485315.900781443,237244.379731282,Johnson,76,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=76&option=view
511463.677704292,205375.875485165,Marshfield,78,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=78&option=view
450380.918764926,237261.166441164,Milton,79,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=79&option=view
523692.998336827,271111.093608799,Newport City,80,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=80&option=view
508072.535776878,277066.108460946,North Troy,81,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=81&option=view
458270.408300643,133765.650440388,Pittsford,83,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=83&option=view
505744.093320994,197303.582417903,Plainfield,84,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=84&option=view
439703.352370736,114006.047903941,Poultney,85,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=85&option=view
498373.900909451,52308.8939391412,Putney,86,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=86&option=view
441299.833837422,209480.984614228,Shelburne 2 (Harbor Rd),88,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=88&option=view
461944.273964917,267860.119264414,Sheldon Springs,89,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=89&option=view
476782.257586193,127431.67523836,Sherburne FD 1,90,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=90&option=view
449716.503636524,269530.932724842,Swanton,92,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=92&option=view
461449.252755075,109220.550732941,Wallingford FD 1,93,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=93&option=view
478539.363103808,205097.631346878,Waterbury,94,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=94&option=view
468130.296352896,32316.8649759509,Whitingham,95,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=95&option=view
474289.041026963,31783.28712989,Whitingham - Jacksonville,96,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=96&option=view
468806.518090072,41251.0103692956,Wilmington,97,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=97&option=view
508232.813015598,104585.01086434,Windsor Weston Heights,98,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=98&option=view
506947.366257598,127185.282025619,Hartford - Quechee,99,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=99&option=view
460116.362180967,211633.629251429,Richmond,100,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=100&option=view
499482.556230898,144635.509466605,Royalton,101,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=101&option=view
467671.431824606,44748.9637455638,Cold Brook FD 1 - Direct Discharge,102,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=102&option=view
453652.613695184,219532.978705593,Chittenden Solid Waste District,103,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=103&option=view
498911.163232347,30994.4898810447,NorthStar Nuclear Decommissioning Company LLC,118,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=118&option=view
500616.374836883,183400.768776796,Barre Septic Service,120,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=120&option=view
458112.273645382,112868.201888574,A1 Sewer and Drain,128,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=128&option=view
497701.080282677,118315.7187069,Woodstock - South,168,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=168&option=view
502578.619965954,125576.487088521,Woodstock - Taftsville,169,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=169&option=view
496148.361013023,43076.3540019364,FiberMark North America Inc,174,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=174&option=view
443406.416104952,277139.538835311,Alburgh Fire District 1,178,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=178&option=view
461965.294242687,122373.676479818,Deermont Corp - VT Plating,181,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=181&option=view
445647.732362423,222938.127558452,Whitcomb Construction                                       ,188,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=188&option=view
495529.382153813,38716.7622480509,Barrows and Fisher Oil Co,192,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=192&option=view
442716.863296975,218274.408253006,"Blodgett, G S                                               ",193,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=193&option=view
490905.487288759,42453.4933080682,Brattleboro Water Treatment Plant,194,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=194&option=view
443654.495882293,221688.7972401,Burlington Electric McNeil Generating Station,196,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=196&option=view
513602.021893701,210085.582165324,Cabot,198,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=198&option=view
443016.840777723,216448.166579003,Champlain Water District,199,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=199&option=view
578369.594297845,279443.022809598,Ethan Allen,201,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=201&option=view
443545.98110105,42566.9678372724,Energizer - NCCW                                            ,202,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=202&option=view
497941.140559292,106970.31604537,Imerys Talc - West Windsor Mill,209,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=209&option=view
442544.146290412,217568.835290166,Global Companies LLC,211,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=211&option=view
494974.50518333,192236.852519232,Montpelier Water Treatment Plant,212,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=212&option=view
442064.458952837,266425.288355043,North Hero Water Treatment Plant,213,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=213&option=view
498293.25728922,52844.0652134298,Soundview Vermont Holdings,216,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=216&option=view
501548.892247742,182932.642775913,Rock of Ages,218,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=218&option=view
540483.077903512,227660.064075519,Lyndonville Water Treatment Plant                           ,219,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=219&option=view
434702.369211174,165299.961009466,Tri Town Water District 1,225,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=225&option=view
496388.844067641,180260.145634464,Unifirst,226,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=226&option=view
504720.297324621,70351.8201642833,TransCanada Hydro Northeast - Bellows Falls,228,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=228&option=view
468178.364806004,32312.6381101244,TransCanada Hydro Northeast - Harriman Reservoir            ,229,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=229&option=view
463012.318395199,43457.3092139393,TransCanada Hydro Northeast - Searsburg                     ,230,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=230&option=view
498856.550177402,30144.9093835944,TransCanada Hydro Northeast - Vernon,231,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=231&option=view
445107.999451181,39399.3712339167,VT Fish & Wildlife - Bennington Fish Hatchery               ,233,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=233&option=view
446083.535699454,170354.243077231,Agri-Mark - Middlebury,236,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=236&option=view
496378.971859333,193563.68646325,Casella Waste Mgmt Inc - multiple facilities,237,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=237&option=view
480845.202117541,205871.229624255,Ben & Jerrys Waterbury,238,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=238&option=view
452585.356751102,255188.201741411,Ben & Jerry's St Albans,240,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=240&option=view
442556.395240265,216579.318973973,Edlund Company,247,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=247&option=view
443559.151802169,42498.3255303003,Energizer - Mini Alkaline,248,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=248&option=view
460258.090826112,123085.362490938,General Electric - Columbian Ave,254,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=254&option=view
462706.036790233,119724.619703114,General Electric - Windcrest Road,255,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=255&option=view
498317.446028064,51557.7289813647,Green Mountain Spinnery                                     ,257,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=257&option=view
522065.043783475,267786.009064969,New England Waste Services - Coventry,267,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=267&option=view
483419.922218628,201403.14102521,Moretown Landfill,283,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=283&option=view
487188.42575203,145634.111609233,US Dept of Interior-White River NFH                         ,288,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=288&option=view
461364.054865756,137801.626578537,US Dept of Interior-DEisenhower NFH,290,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=290&option=view
514806.764607607,211010.583206789,Agri-Mark - Cabot Creamery,314,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=314&option=view
437403.251526021,42149.2049645758,Vishay Tansitor,451,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=451&option=view
537682.3495926,212686.837349039,Coltec Industries                                           ,521,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=521&option=view
464248.263443302,115350.500722161,Carrara & Sons (Clarendon Quarry),524,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=524&option=view
500272.910677634,89562.2594609109,Springfield Municipal Swimming Pool,534,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=534&option=view
495985.955979095,207704.208735359,Worcester FD 1,535,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=535&option=view
480435.446317485,173830.874249328,VT Fish & Wildlife - Roxbury Fish Hatchery,538,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=538&option=view
483945.692186314,210536.121359604,Waterbury WTP,545,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=545&option=view
494219.53542411,197425.853988853,Montpelier Swimming Pool,547,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=547&option=view
454281.699590314,135688.181842414,OMYA Hogback Quarry,553,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=553&option=view
447613.636019299,62996.4063696469,H & H Properties                                            ,554,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=554&option=view
501041.567793606,196691.830876961,Lamb Durward & Linda,564,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=564&option=view
468094.927692188,50960.0400670822,Mt Snow Ltd,653,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=653&option=view
442914.656060992,218166.711924556,Fortieth Burlington LLC                                     ,670,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=670&option=view
461300.372266157,108701.769750691,Ames True Temper Inc                                        ,677,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=677&option=view
532733.749266633,184712.738395684,"Global Partners, LP - P & H Truck Stop",701,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=701&option=view
454678.254843359,134389.271718433,OMYA East and West - Verpol,703,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=703&option=view
447312.502387974,221445.738640125,Lime Kiln Quarry West,707,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=707&option=view
462760.03532555,236766.095638758,Working Dog Septic,741,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=741&option=view
494578.687899346,36760.5687596488,"G.S. Precision Coating, Inc",746,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=746&option=view
437104.023382384,33537.9493745165,Pownal,759,https://anrweb.vt.gov/DEC/WWInventory/UpdateFacility.aspx?F=759&option=view
