word,quantity,frequency
at,21,0.0002
rain,15,0.0001
slipper,24,0.0002
Chandley,3,0.0
foal,3,0.0
drink,231,0.0019
crust,6,0.0
cheese,111,0.0009
carrot,24,0.0002
Jack,3,0.0
last,6,0.0
play,66,0.0005
slide,63,0.0005
this,1557,0.0128
afternoon,3,0.0
slip,6,0.0
ice,90,0.0007
make,75,0.0006
bite,195,0.0016
change,3,0.0
them,48,0.0004
clean,54,0.0004
nappie,12,0.0001
cornflakes,3,0.0
nearly,6,0.0
never,21,0.0002
cut,39,0.0003
wake,24,0.0002
cook,18,0.0001
first,6,0.0
drop,36,0.0003
none,12,0.0001
piggy,21,0.0002
see,198,0.0016
read,87,0.0007
him,39,0.0003
they,114,0.0009
comb,6,0.0
stop,69,0.0006
eat,159,0.0013
mend,33,0.0003
little,111,0.0009
wash,141,0.0012
yet,3,0.0
put,171,0.0014
watch,75,0.0006
tick,93,0.0008
fancy,3,0.0
downstairs,18,0.0001
fit,399,0.0033
push,168,0.0014
Anne,396,0.0033
what,1893,0.0156
that,3990,0.0328
car,2217,0.0182
choo,435,0.0036
tip,51,0.0004
sweep,6,0.0
mess,60,0.0005
yeah,2439,0.02
find,246,0.002
bath,27,0.0002
sheep,96,0.0008
baa,36,0.0003
spade,27,0.0002
strawberry,93,0.0008
tummy,42,0.0003
teeth,21,0.0002
brush,36,0.0003
else,21,0.0002
stick,447,0.0037
peekaboo,96,0.0008
want,825,0.0068
juice,198,0.0016
bowl,6,0.0
reach,12,0.0001
mhm,543,0.0045
who,51,0.0004
Ellie,3,0.0
Alistair,18,0.0001
Davey,3,0.0
ball,210,0.0017
house,297,0.0024
lid,30,0.0002
dinner,24,0.0002
open,78,0.0006
pussy,3,0.0
cat,351,0.0029
shirt,30,0.0002
pant,36,0.0003
head,105,0.0009
for,99,0.0008
trouser,60,0.0005
quickly,3,0.0
clothe,105,0.0009
her,42,0.0003
these,36,0.0003
sit,270,0.0022
my,321,0.0026
Jill,30,0.0002
James,99,0.0008
name,24,0.0002
whose,6,0.0
bed,123,0.001
cover,63,0.0005
ta,27,0.0002
whoop,327,0.0027
miss,36,0.0003
um,357,0.0029
lose,39,0.0003
tissue,27,0.0002
bin,36,0.0003
tower,138,0.0011
step,60,0.0005
fishy,3,0.0
ah,48,0.0004
Grandad,6,0.0
Grandma,15,0.0001
whoops_a_daisy,24,0.0002
next,21,0.0002
just,24,0.0002
sky,111,0.0009
toy,306,0.0025
late,6,0.0
take,42,0.0003
