admin_date,dose,last_7days,LOADED,rolling_count,ObjectId
2022/08/20 04:00:00+00,5,18,2022/10/10 10:04:00+00,448,81
2022/06/04 04:00:00+00,3,891,2022/10/10 10:04:00+00,222749,82
2021/01/16 05:00:00+00,2,4497,2022/10/10 10:04:00+00,6817,83
2022/03/19 04:00:00+00,3,1133,2022/10/10 10:04:00+00,211243,84
2021/05/22 04:00:00+00,1,15379,2022/10/10 10:04:00+00,422607,85
2021/12/18 05:00:00+00,3,10797,2022/10/10 10:04:00+00,152221,86
2022/08/27 04:00:00+00,1,894,2022/10/10 10:04:00+00,676488,87
2021/09/18 04:00:00+00,2,6101,2022/10/10 10:04:00+00,438149,88
2022/06/04 04:00:00+00,4,1820,2022/10/10 10:04:00+00,32703,89
2021/01/16 05:00:00+00,3,41,2022/10/10 10:04:00+00,42,90
2022/03/19 04:00:00+00,4,114,2022/10/10 10:04:00+00,1745,91
2021/05/22 04:00:00+00,2,8462,2022/10/10 10:04:00+00,341773,92
2021/12/18 05:00:00+00,4,35,2022/10/10 10:04:00+00,704,93
2022/08/27 04:00:00+00,2,739,2022/10/10 10:04:00+00,531432,94
2021/09/18 04:00:00+00,3,2153,2022/10/10 10:04:00+00,12217,95
2022/03/26 04:00:00+00,1,860,2022/10/10 10:04:00+00,653850,96
2021/01/23 05:00:00+00,1,18178,2022/10/10 10:04:00+00,61167,97
2022/06/04 04:00:00+00,5,13,2022/10/10 10:04:00+00,278,98
2021/05/22 04:00:00+00,3,38,2022/10/10 10:04:00+00,789,99
2021/12/18 05:00:00+00,5,10,2022/10/10 10:04:00+00,80,100
2021/09/18 04:00:00+00,4,23,2022/10/10 10:04:00+00,246,101
2022/08/27 04:00:00+00,3,539,2022/10/10 10:04:00+00,232525,102
2022/06/11 04:00:00+00,1,770,2022/10/10 10:04:00+00,663963,103
2021/01/23 05:00:00+00,2,4738,2022/10/10 10:04:00+00,11555,104
2022/03/26 04:00:00+00,2,694,2022/10/10 10:04:00+00,510497,105
2021/05/29 04:00:00+00,1,8998,2022/10/10 10:04:00+00,431605,106
2021/12/25 05:00:00+00,1,5769,2022/10/10 10:04:00+00,620098,107
2021/09/25 04:00:00+00,1,4574,2022/10/10 10:04:00+00,535786,108
2022/08/27 04:00:00+00,4,755,2022/10/10 10:04:00+00,50987,109
2022/03/26 04:00:00+00,3,942,2022/10/10 10:04:00+00,212185,110
2022/06/11 04:00:00+00,2,785,2022/10/10 10:04:00+00,522145,111
2021/01/23 05:00:00+00,3,10,2022/10/10 10:04:00+00,52,112
2021/05/29 04:00:00+00,2,7175,2022/10/10 10:04:00+00,348948,113
2022/03/26 04:00:00+00,4,146,2022/10/10 10:04:00+00,1891,114
2022/08/27 04:00:00+00,5,21,2022/10/10 10:04:00+00,469,115
2021/09/25 04:00:00+00,2,5510,2022/10/10 10:04:00+00,443659,116
2021/12/25 05:00:00+00,2,2521,2022/10/10 10:04:00+00,487375,117
2022/06/11 04:00:00+00,3,1056,2022/10/10 10:04:00+00,223805,118
2021/01/30 05:00:00+00,1,17916,2022/10/10 10:04:00+00,79083,119
2021/05/29 04:00:00+00,3,35,2022/10/10 10:04:00+00,824,120
2022/03/26 04:00:00+00,6,1,2022/10/10 10:04:00+00,17,121
2021/09/25 04:00:00+00,3,3469,2022/10/10 10:04:00+00,15686,122
2022/09/03 04:00:00+00,1,644,2022/10/10 10:04:00+00,677132,123
2021/01/30 05:00:00+00,2,10234,2022/10/10 10:04:00+00,21789,124
2021/12/25 05:00:00+00,3,9117,2022/10/10 10:04:00+00,161338,125
2021/06/05 04:00:00+00,1,6321,2022/10/10 10:04:00+00,437926,126
2022/06/11 04:00:00+00,4,1851,2022/10/10 10:04:00+00,34554,127
2022/04/02 04:00:00+00,1,910,2022/10/10 10:04:00+00,654760,128
2021/10/02 04:00:00+00,1,5046,2022/10/10 10:04:00+00,540832,129
2022/09/03 04:00:00+00,2,567,2022/10/10 10:04:00+00,531999,130
2021/02/06 05:00:00+00,1,17772,2022/10/10 10:04:00+00,96855,131
2021/06/05 04:00:00+00,2,9026,2022/10/10 10:04:00+00,357974,132
2022/04/02 04:00:00+00,2,1108,2022/10/10 10:04:00+00,511605,133
2022/01/01 05:00:00+00,1,5390,2022/10/10 10:04:00+00,625488,134
2022/06/18 04:00:00+00,1,729,2022/10/10 10:04:00+00,664692,135
2021/10/02 04:00:00+00,2,4495,2022/10/10 10:04:00+00,448154,136
2022/09/03 04:00:00+00,3,301,2022/10/10 10:04:00+00,232826,137
2021/02/06 05:00:00+00,2,13231,2022/10/10 10:04:00+00,35020,138
2021/06/05 04:00:00+00,3,33,2022/10/10 10:04:00+00,857,139
2022/04/02 04:00:00+00,3,1089,2022/10/10 10:04:00+00,213274,140
2022/06/18 04:00:00+00,2,687,2022/10/10 10:04:00+00,522832,141
2021/10/02 04:00:00+00,3,10692,2022/10/10 10:04:00+00,26378,142
2022/01/01 05:00:00+00,2,2639,2022/10/10 10:04:00+00,490014,143
2022/09/03 04:00:00+00,4,329,2022/10/10 10:04:00+00,51316,144
2021/02/06 05:00:00+00,3,25,2022/10/10 10:04:00+00,88,145
2021/06/12 04:00:00+00,1,6210,2022/10/10 10:04:00+00,444136,146
2022/01/01 05:00:00+00,3,8729,2022/10/10 10:04:00+00,170067,147
2022/06/18 04:00:00+00,3,835,2022/10/10 10:04:00+00,224640,148
2021/10/02 04:00:00+00,4,30,2022/10/10 10:04:00+00,283,149
2022/04/02 04:00:00+00,4,1862,2022/10/10 10:04:00+00,3753,150
2022/09/03 04:00:00+00,5,24,2022/10/10 10:04:00+00,493,151
2021/02/13 05:00:00+00,1,14546,2022/10/10 10:04:00+00,111401,152
2021/06/12 04:00:00+00,2,11606,2022/10/10 10:04:00+00,369580,153
2022/06/18 04:00:00+00,4,1536,2022/10/10 10:04:00+00,36090,154
2022/01/01 05:00:00+00,4,36,2022/10/10 10:04:00+00,778,155
2021/10/09 04:00:00+00,1,4613,2022/10/10 10:04:00+00,545445,156
2022/09/03 04:00:00+00,6,1,2022/10/10 10:04:00+00,43,157
2022/06/18 04:00:00+00,5,10,2022/10/10 10:04:00+00,294,158
2022/04/02 04:00:00+00,5,5,2022/10/10 10:04:00+00,134,159
2021/06/12 04:00:00+00,3,28,2022/10/10 10:04:00+00,885,160
2021/02/13 05:00:00+00,2,14118,2022/10/10 10:04:00+00,49138,161
2022/09/10 04:00:00+00,1,769,2022/10/10 10:04:00+00,677901,162
2022/01/08 05:00:00+00,1,5942,2022/10/10 10:04:00+00,631430,163
2022/04/09 04:00:00+00,1,1044,2022/10/10 10:04:00+00,655804,164
2021/06/19 04:00:00+00,1,4767,2022/10/10 10:04:00+00,448903,165
2021/10/09 04:00:00+00,2,4263,2022/10/10 10:04:00+00,452417,166
2021/02/13 05:00:00+00,3,32,2022/10/10 10:04:00+00,120,167
2022/06/18 04:00:00+00,6,2,2022/10/10 10:04:00+00,33,168
2022/09/10 04:00:00+00,2,987,2022/10/10 10:04:00+00,532986,169
2022/01/08 05:00:00+00,2,2852,2022/10/10 10:04:00+00,492866,170
2022/04/09 04:00:00+00,2,1395,2022/10/10 10:04:00+00,513000,171
2021/06/19 04:00:00+00,2,8276,2022/10/10 10:04:00+00,377856,172
2021/10/09 04:00:00+00,3,10863,2022/10/10 10:04:00+00,37241,173
2021/02/20 05:00:00+00,1,10678,2022/10/10 10:04:00+00,122079,174
2022/06/25 04:00:00+00,1,1196,2022/10/10 10:04:00+00,665888,175
2022/09/10 04:00:00+00,3,775,2022/10/10 10:04:00+00,233601,176
2022/01/08 05:00:00+00,3,9580,2022/10/10 10:04:00+00,179647,177
2022/04/09 04:00:00+00,3,1192,2022/10/10 10:04:00+00,214466,178
2021/06/19 04:00:00+00,3,25,2022/10/10 10:04:00+00,910,179
2021/10/09 04:00:00+00,4,21,2022/10/10 10:04:00+00,304,180
2021/02/20 05:00:00+00,2,16620,2022/10/10 10:04:00+00,65758,181
2022/06/25 04:00:00+00,2,602,2022/10/10 10:04:00+00,523434,182
2022/09/10 04:00:00+00,4,1363,2022/10/10 10:04:00+00,52679,183
2022/01/08 05:00:00+00,4,56,2022/10/10 10:04:00+00,834,184
2022/04/09 04:00:00+00,4,4377,2022/10/10 10:04:00+00,8130,185
