admin_date,dose,last_7days,LOADED,rolling_count,ObjectId
2022/10/08 04:00:00+00,5,2043,2022/10/10 10:04:00+00,13308,353
2022/02/19 05:00:00+00,1,1546,2022/10/10 10:04:00+00,648460,354
2022/05/07 04:00:00+00,4,2097,2022/10/10 10:04:00+00,21587,355
2021/08/14 04:00:00+00,3,110,2022/10/10 10:04:00+00,1205,356
2021/04/10 04:00:00+00,3,61,2022/10/10 10:04:00+00,478,357
2021/11/20 05:00:00+00,4,46,2022/10/10 10:04:00+00,532,358
2022/10/08 04:00:00+00,6,12,2022/10/10 10:04:00+00,136,359
2022/02/19 05:00:00+00,2,1555,2022/10/10 10:04:00+00,505711,360
2022/05/07 04:00:00+00,5,14,2022/10/10 10:04:00+00,215,361
2021/08/21 04:00:00+00,1,7971,2022/10/10 10:04:00+00,501626,362
2021/04/17 04:00:00+00,1,30572,2022/10/10 10:04:00+00,364123,363
2021/11/20 05:00:00+00,5,3,2022/10/10 10:04:00+00,50,364
2022/02/19 05:00:00+00,3,1875,2022/10/10 10:04:00+00,205933,365
2022/05/14 04:00:00+00,1,981,2022/10/10 10:04:00+00,660464,366
2021/08/21 04:00:00+00,2,5307,2022/10/10 10:04:00+00,414987,367
2021/04/17 04:00:00+00,2,35443,2022/10/10 10:04:00+00,234163,368
2021/11/27 05:00:00+00,1,7342,2022/10/10 10:04:00+00,592426,369
2022/02/19 05:00:00+00,4,112,2022/10/10 10:04:00+00,1317,370
2022/05/14 04:00:00+00,2,1019,2022/10/10 10:04:00+00,518366,371
2021/08/21 04:00:00+00,3,1582,2022/10/10 10:04:00+00,2787,372
2021/04/17 04:00:00+00,3,69,2022/10/10 10:04:00+00,547,373
2021/11/27 05:00:00+00,2,1988,2022/10/10 10:04:00+00,470686,374
2022/02/19 05:00:00+00,5,4,2022/10/10 10:04:00+00,118,375
2022/05/14 04:00:00+00,3,998,2022/10/10 10:04:00+00,219535,376
2021/08/28 04:00:00+00,1,8712,2022/10/10 10:04:00+00,510338,377
2021/04/17 04:00:00+00,4,13,2022/10/10 10:04:00+00,68,378
2021/11/27 05:00:00+00,3,10665,2022/10/10 10:04:00+00,113429,379
2022/02/26 05:00:00+00,1,1412,2022/10/10 10:04:00+00,649872,380
2022/05/14 04:00:00+00,4,3221,2022/10/10 10:04:00+00,24808,381
2021/04/24 04:00:00+00,1,13263,2022/10/10 10:04:00+00,377386,382
2021/11/27 05:00:00+00,4,33,2022/10/10 10:04:00+00,565,383
2022/02/26 05:00:00+00,2,1221,2022/10/10 10:04:00+00,506932,384
2022/05/14 04:00:00+00,5,11,2022/10/10 10:04:00+00,226,385
2022/02/26 05:00:00+00,3,1631,2022/10/10 10:04:00+00,207564,386
2022/05/21 04:00:00+00,1,1040,2022/10/10 10:04:00+00,661504,387
2022/05/21 04:00:00+00,2,1230,2022/10/10 10:04:00+00,519596,388
2022/05/21 04:00:00+00,3,1188,2022/10/10 10:04:00+00,220723,389
