X,Y,OBJECTID,DESCRIPTION,JURISDICTION,STREET_NUMBER,STREET_NAME,CITY,ZIP,GlobalID,CreationDate,Creator,EditDate,Editor
11800741.29625,6969472.10349999,24,CLIFTON PO,TOWN OF CLIFTON,12644,CHAPEL RD,CLIFTON,20124,19db88a6-50fa-4cb3-a989-55ca93a9f30c,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11870456.8875,6997342.6595,25,BAILEYS CROSSROADS PO,COUNTY OF FAIRFAX,6021,LEESBURG PIKE,FALLS CHURCH,22041,bc90884b-6e8d-49b5-9d8c-e8f0846ae1cd,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11847102.58025,6980159.91824999,26,NORTH SPRINGFIELD PO,COUNTY OF FAIRFAX,5242,PORT ROYAL RD,SPRINGFIELD,22151,45f987b1-e33d-41ec-85e0-fd5abdbaed78,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11893057.63975,6968999.183,27,BELLEVIEW PO,COUNTY OF FAIRFAX,1626,BELLE VIEW BLVD,ALEXANDRIA,22307,803684c2-39f8-4daf-9e53-844c61f55c0e,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11875203.825,6971804.876,28,FRANCONIA PO,COUNTY OF FAIRFAX,5221,FRANCONIA RD,ALEXANDRIA,22310,600276c5-df33-4e46-85c1-b92d8220fe11,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11857658.803,6967435.14174999,29,SPRINGFIELD PO,COUNTY OF FAIRFAX,7051,BROOKFIELD PLZ,SPRINGFIELD,22150,bcab0646-5ffd-46d7-bf54-cf00b5a38a30,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11843089.719,6970478.38,30,WEST SPRINGFIELD PO,COUNTY OF FAIRFAX,6200,ROLLING RD,SPRINGFIELD,22152,5a8a4efa-a94f-4377-86d0-d1ad11d5d65b,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11832746.606,6974485.36,31,BURKE PO,COUNTY OF FAIRFAX,9501,BURKE RD,BURKE,22015,3cce1772-64f2-4c13-9f7b-9dc1e5e28575,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11826410.14875,7048720.5775,32,GREAT FALLS PO,COUNTY OF FAIRFAX,10001,GEORGETOWN PIKE,GREAT FALLS,22066,30e3f5d5-3e91-4e3e-b025-8a782318ba7d,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11822530.161,7003469.46799999,33,OAKTON PO,COUNTY OF FAIRFAX,10449,WHITE GRANITE DR,OAKTON,22124,5de651ed-d6c5-4786-9906-6b4e991ce40d,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11855844.028,6988193.958,34,ANNANDALE PO,COUNTY OF FAIRFAX,4270,JOHN MARR DR,ANNANDALE,22003,7e33f6f3-bbdf-4cfa-aa3a-419519b8be9d,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11877658.626,6950318.207,35,ENGELSIDE PO,COUNTY OF FAIRFAX,8588,RICHMOND HWY,ALEXANDRIA,22309,40ec1058-8900-43bc-8d62-30d6c809511e,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11867434.0395,6946005.76475,36,NORTH POST PO,FORT BELVOIR,9001,GUNSTON RD,FORT BELVOIR,22060,f5f8df59-a345-41c5-afd8-33e4eb22d004,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11871172.834,6965933.5,37,KINGSTOWNE PO,COUNTY OF FAIRFAX,5900,BARCLAY DR,ALEXANDRIA,22315,80bea199-05b7-4daa-bf66-f935e3988607,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11782445.916,7001503.61525001,38,SULLY STATION PO,COUNTY OF FAIRFAX,5003,WESTFIELDS BLVD,CENTREVILLE,20120,66f7be56-8ddd-41b2-bb5b-42d40b216b43,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11792048.556,7021015.03399999,39,OAK HILL PO,COUNTY OF FAIRFAX,13520,MCLEAREN RD,HERNDON,20171,80af3e4a-2bff-4b4c-b1ed-9cb5eef6f84b,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
11786636.21775,6990637.75825,40,CENTREVILLE PO,COUNTY OF FAIRFAX,14120A,LEE HWY,CENTREVILLE,20120,d8a26b5f-a1b5-4943-81fd-6df1a817e6d8,2023/11/19 06:02:51.892+00,FairfaxCounty,2023/11/19 06:02:51.892+00,FairfaxCounty
