Incident_Date,Incident_Postal_Code,Number_of_Leave_Behind_Naloxone,ObjectId
11/16/2019,21223,1,226
11/17/2019,21213,1,227
11/17/2019,21223,1,228
11/18/2019,21217,1,229
11/18/2019,21218,1,230
11/19/2019,21205,1,231
11/19/2019,21215,2,232
11/20/2019,21223,1,233
11/22/2019,21217,1,234
11/23/2019,21215,1,235
11/24/2019,21223,1,236
11/24/2019,21230,1,237
11/25/2019,21215,2,238
11/27/2019,21223,1,239
11/27/2019,21205,1,240
11/29/2019,21206,1,241
11/29/2019,21215,1,242
11/29/2019,21216,1,243
12/1/2019,21229,2,244
12/3/2019,21223,1,245
12/6/2019,21215,1,246
12/6/2019,21215,1,247
12/6/2019,21224,1,248
12/8/2019,21211,1,249
12/10/2019,21215,1,250
4/24/2020,21215,1,251
4/24/2020,21217,1,252
4/25/2020,21225,2,253
4/25/2020,21225,1,254
4/25/2020,21213,1,255
4/26/2020,21217,1,256
4/27/2020,21201,1,257
4/29/2020,21217,1,258
4/29/2020,21216,1,259
4/30/2020,21217,2,260
4/30/2020,21215,1,261
5/1/2020,21213,1,262
5/2/2020,21223,1,263
5/2/2020,21217,1,264
5/3/2020,21211,1,265
5/3/2020,21214,1,266
5/4/2020,21229,1,267
5/5/2020,21218,1,268
5/5/2020,21217,1,269
5/6/2020,21215,1,270
5/7/2020,21207,1,271
5/8/2020,21212,1,272
5/8/2020,21223,1,273
5/9/2020,21216,1,274
5/9/2020,21223,1,275
5/10/2020,21205,1,276
5/10/2020,21224,2,277
5/11/2020,21205,1,278
5/12/2020,21217,1,279
5/12/2020,21229,1,280
5/12/2020,21215,1,281
5/12/2020,21225,1,282
5/13/2020,21213,1,283
5/13/2020,21231,1,284
5/14/2020,21223,1,285
5/15/2020,21223,1,286
5/15/2020,21217,1,287
5/15/2020,21223,1,288
5/16/2020,21223,1,289
5/18/2020,21216,2,290
5/19/2020,21205,1,291
5/19/2020,21215,1,292
5/21/2020,21213,1,293
5/21/2020,21213,1,294
5/24/2020,21215,2,295
5/24/2020,21202,1,296
5/24/2020,21209,2,297
5/25/2020,21217,1,298
5/26/2020,21216,1,299
5/26/2020,21217,1,300
9/4/2019,21217,1,301
9/6/2019,21206,1,302
9/6/2019,21215,1,303
9/7/2019,21201,1,304
9/7/2019,21217,1,305
9/7/2019,21217,1,306
9/8/2019,21202,1,307
9/9/2019,21215,1,308
9/10/2019,21215,1,309
9/10/2019,21215,1,310
9/11/2019,21202,2,311
9/15/2019,21202,1,312
9/15/2019,21223,2,313
9/15/2019,21223,2,314
9/17/2019,21215,1,315
9/18/2019,21217,1,316
9/19/2019,21223,1,317
9/21/2019,21216,1,318
9/22/2019,21216,1,319
9/22/2019,21217,1,320
9/23/2019,21213,2,321
9/24/2019,21217,1,322
9/25/2019,21223,1,323
9/26/2019,21230,1,324
9/26/2019,21214,1,325
9/28/2019,21229,1,326
9/28/2019,21205,1,327
9/29/2019,21216,1,328
9/29/2019,21231,1,329
10/1/2019,21217,1,330
10/2/2019,21216,1,331
10/3/2019,21215,1,332
10/3/2019,21216,1,333
10/3/2019,21216,1,334
10/3/2019,21216,1,335
10/3/2019,21215,1,336
10/3/2019,21201,1,337
10/4/2019,21229,1,338
10/7/2019,21225,1,339
10/7/2019,21215,1,340
10/8/2019,21211,1,341
10/8/2019,21211,2,342
10/9/2019,21215,1,343
10/9/2019,21217,1,344
10/9/2019,21212,2,345
10/9/2019,21217,1,346
10/10/2019,21218,1,347
10/10/2019,21215,1,348
10/10/2019,21216,1,349
10/12/2019,21229,1,350
1/23/2020,21216,2,351
1/24/2020,21217,1,352
1/24/2020,21223,1,353
1/24/2020,21207,2,354
1/26/2020,21215,1,355
1/27/2020,21218,1,356
1/28/2020,21206,1,357
1/28/2020,21223,1,358
1/29/2020,21217,2,359
1/29/2020,21229,1,360
1/30/2020,21213,1,361
1/31/2020,21239,1,362
1/31/2020,21234,1,363
2/1/2020,21205,1,364
2/3/2020,21239,2,365
2/3/2020,21223,1,366
2/4/2020,21230,1,367
2/6/2020,21225,1,368
2/7/2020,21206,1,369
2/8/2020,21223,1,370
