OBJECTID_1,OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,SUMLEV,LOGRECNO,TRACT,NAME,TOTAL_POPU,WHITE,BLACK,NATIVE,ASIAN,PACIFIC,OTHER,TWO_OR_MOR,HISPANIC,WHITE_NON_,POP_18_OVE,TOTAL_HU,OCC_HU,VAC_HU,SQMI,Shape_Leng,Shape__Area,Shape__Length,Households_Total_Less_than_1000,Families_Total_Less_than_10000,Married_couple_families_Total_L,Nonfamily_households_Total_Less,Households_Total__10_000_to_149,Families_Total__10_000_to_14999,Married_couple_families_Total_1,Nonfamily_households_Total_1000,Households_Total_15000_to_24999,Families_Total_15000_to_24999,Married_couple_families_Total_2,Nonfamily_households_Total_1500,Households_Total_25000_to_34999,Families_Total_25000_to_34999,Married_couple_families_Total_3,Nonfamily_households_Total_2500,Households_Total_35000_to_49999,Families_Total_35000_to_49999,Married_couple_families_Total_4,Nonfamily_households_Total_3500,Households_Total_50000_to_74999,Families_Total_50000_to_74999,Married_couple_families_Total_5,Nonfamily_households_Total_5000,Households_Total_75000_to_99999,Families_Total_75000_to_99999,Married_couple_families_Total_7,Nonfamily_households_Total_7500,Households_Total_100000_to_1499,Families_Total_100000_to_149999,Married_couple_families_Total_6,Nonfamily_households_Total_1001,Households_Total_150000_to_1999,Families_Total_150000_to_199999,Married_couple_families_Total_8,Nonfamily_households_Total_1501,Households_Total_200000_or_more,Families_Total_200000_or_more,Married_couple_families_Total_9,Nonfamily_households_Total_2000,Households_Median_income,Families_Median_income,Married_couple_families_Median_,Nonfamily_households_Median_inc,Households_Mean_income,Families_Mean_income,Nonfamily_households_Mean_incom
24,198,4,13,319402,4013319402,3194.02,Census Tract 3194.02,G5020,S,2621524,0,33.3858315,-111.900434,140,92379,319402,Census Tract 3194.02,4088,3362,138,74,177,22,176,139,603,2997,3355,1636,1552,84,1.01196954,20979.7157647,3770093.86328125,7669.35492717,2.6,0.6,0.7,7.0,1.9,2.7,2.0,0.0,3.3,1.0,0.0,8.5,3.9,4.0,2.1,5.2,14.3,12.8,8.0,21.4,23.4,24.1,28.4,16.4,22.6,27.4,24.8,14.0,20.8,19.8,24.4,22.3,5.3,6.2,7.8,2.0,2.0,1.5,1.9,3.3,75714,78750,83598,60610,81666,85499,69914
25,805,4,13,319909,4013319909,3199.09,Census Tract 3199.09,G5020,S,2572898,71906,33.342479,-111.900821,140,92446,319909,Census Tract 3199.09,2278,1998,68,13,113,1,38,47,193,1849,1897,1001,957,44,1.02095559,21326.2212913,3799769.17578125,7791.87690943,4.3,2.6,2.4,9.0,0.5,0.0,0.0,1.8,8.6,8.3,5.4,9.4,3.2,3.4,1.0,6.1,11.2,7.3,6.6,18.4,16.1,13.4,13.1,23.5,10.8,16.1,14.5,0.0,16.5,17.3,18.9,13.0,16.3,19.2,22.1,11.6,12.3,12.4,15.9,7.2,88404,95938,108864,52961,114604,124824,81405
26,761,4,13,319403,4013319403,3194.03,Census Tract 3194.03,G5020,S,2657427,9022,33.400944,-111.9001315,140,92382,319403,Census Tract 3194.03,4520,3344,362,186,128,56,289,155,797,2938,3630,2041,1872,169,1.02931234,21428.1556513,3835964.3046875,7834.30978682,11.9,11.9,0.0,11.9,3.7,6.1,10.4,1.6,5.4,4.6,1.1,6.1,10.1,11.8,8.9,11.5,13.6,13.3,10.7,16.4,17.6,12.8,17.5,19.0,14.1,17.8,23.7,10.8,18.8,13.9,19.7,20.8,1.5,2.9,1.8,1.9,3.2,4.9,6.2,0.0,60923,61629,80184,54286,65867,66405,60777
27,780,4,13,319903,4013319903,3199.03,Census Tract 3199.03,G5020,S,2459966,212295,33.3703792,-111.9155206,140,92424,319903,Census Tract 3199.03,5666,4555,275,136,223,11,234,232,796,4097,4723,2800,2566,234,1.03155399,22009.2213797,3841772.546875,8043.47503986,5.1,0.0,0.0,13.0,6.5,4.6,5.5,9.3,1.9,1.3,1.2,2.9,5.9,2.0,2.1,12.8,3.9,1.7,1.0,7.2,26.6,28.2,21.8,23.3,12.6,18.4,14.9,9.1,19.7,24.1,27.9,7.5,13.9,16.4,20.9,12.8,3.9,3.3,4.7,2.1,75163,91144,111528,55592,91051,104719,66359
28,136,4,13,319401,4013319401,3194.01,Census Tract 3194.01,G5020,S,2673507,0,33.3855247,-111.9180624,140,92373,319401,Census Tract 3194.01,5480,4186,374,97,219,58,305,241,898,3724,4545,2380,2186,194,1.03203342,21983.6827219,3844815.3984375,8035.50193402,3.5,3.5,0.0,3.4,3.6,4.2,5.1,3.0,8.5,4.5,6.5,13.3,6.6,3.2,3.6,10.6,18.0,9.3,11.2,28.3,17.6,26.4,10.1,12.6,10.6,8.3,6.8,13.4,21.1,33.8,46.1,11.3,8.9,4.0,7.3,4.1,1.5,2.7,3.3,0.0,63087,74185,106488,48331,77923,87625,58756
29,102,4,13,319703,4013319703,3197.03,Census Tract 3197.03,G5020,S,2752573,0,33.3851899,-111.9698521,140,92400,319703,Census Tract 3197.03,4348,3053,352,154,176,27,419,167,1083,2511,3691,2235,2023,212,1.06255998,22483.1526466,3958508.22265625,8219.71513194,7.6,7.4,0.0,7.8,6.8,0.0,0.0,12.0,10.3,7.8,0.0,12.1,15.5,20.1,13.0,13.9,18.1,14.9,26.9,21.9,18.3,22.1,13.9,17.7,14.4,17.7,21.1,6.5,8.5,9.1,22.5,8.1,0.0,0.0,0.0,0.0,0.5,1.0,2.6,0.0,43600,49879,60875,41331,49995,56883,42596
30,170,4,13,810000,4013810000,8100.0,Census Tract 8100,G5020,S,2807185,0,33.3292528,-111.9586283,140,93448,810000,Census Tract 8100,1711,1368,44,11,187,1,38,62,207,1209,1200,665,615,50,1.08363953,27702.0144462,4031903.83984375,10114.76206703,4.2,0.0,0.0,11.6,3.1,1.1,1.3,6.5,4.6,6.2,3.0,1.7,2.2,1.3,1.5,3.7,4.5,2.9,3.4,7.1,7.7,6.4,5.1,9.9,15.3,9.2,7.0,28.3,28.1,30.7,32.3,21.2,14.0,16.3,16.7,9.9,16.4,25.8,29.7,0.0,108231,119750,132667,90223,125036,151118,78907
31,904,4,13,320001,4013320001,3200.01,Census Tract 3200.01,G5020,S,2948385,0,33.3551618,-111.957211,140,92451,320001,Census Tract 3200.01,7023,3762,1202,389,739,25,523,383,1403,3159,5596,3490,3253,237,1.13814713,28353.008072,4237206.9375,10359.277805,4.0,4.0,1.6,4.0,0.7,0.0,0.0,1.4,6.7,4.5,3.7,8.9,8.3,8.6,3.0,7.9,21.2,12.4,4.1,30.8,21.9,24.1,20.1,19.7,19.3,25.0,36.9,12.8,13.7,16.6,25.4,10.9,1.7,1.7,2.9,1.8,2.5,3.1,2.3,1.9,59206,73489,83973,48404,71206,77249,64566
32,24,4,13,319705,4013319705,3197.05,Census Tract 3197.05,G5020,S,3848434,0,33.3965759,-111.9520462,140,92406,319705,Census Tract 3197.05,3412,2324,310,182,89,5,377,125,1001,1807,2634,1435,1357,78,1.485586,25987.1392451,5535906.55078125,9505.32852306,10.8,11.5,0.0,12.4,5.6,4.6,0.0,6.6,6.8,10.6,0.0,2.6,5.0,7.2,3.1,5.4,13.5,20.3,29.1,5.5,29.1,16.6,18.2,40.0,12.8,7.9,12.3,16.0,13.2,14.8,26.5,11.5,2.3,4.6,8.8,0.0,1.0,2.1,2.0,0.0,55625,46213,72350,57952,61251,62394,57696
33,22,4,13,320100,4013320100,3201.0,Census Tract 3201,G5020,S,4796624,88768,33.4435312,-111.9429174,140,92466,320100,Census Tract 3201,2558,2081,75,53,124,4,128,93,367,1883,2346,1652,1310,342,1.88587654,34045.2151367,7034969.14453125,12447.19012904,20.4,2.4,4.0,25.0,1.0,0.0,0.0,1.2,4.5,0.0,0.0,5.7,7.8,9.1,0.0,7.5,9.4,22.4,20.2,6.8,21.5,12.4,16.2,23.8,11.8,14.8,11.6,10.4,15.3,24.2,27.3,13.1,3.8,9.4,11.6,3.1,4.5,5.4,9.1,3.5,54899,80096,-,52742,69252,97593,61432
34,169,4,13,810100,4013810100,8101.0,Census Tract 8101,G5020,S,5135584,0,33.3293073,-111.92242,140,93450,810100,Census Tract 8101,6272,5416,105,17,478,7,110,139,499,5065,4925,2440,2369,71,1.98245661,44066.875633,7376151.47265625,16082.6810887,2.6,1.0,1.0,7.3,0.5,0.0,0.0,2.0,1.5,0.7,0.8,3.7,3.1,1.6,1.7,7.4,4.6,1.7,1.8,13.0,11.7,12.5,10.8,12.5,16.8,15.1,12.7,22.1,21.4,22.2,24.2,16.0,15.9,16.5,17.1,14.0,22.0,28.8,29.9,2.0,119196,134583,138318,78727,160620,185090,87619
35,503,4,13,319910,4013319910,3199.1,Census Tract 3199.10,G5020,S,6557057,5436,33.3385448,-111.9519253,140,92448,319910,Census Tract 3199.10,4011,3304,87,33,394,5,70,118,404,2998,2948,1480,1419,61,2.53327661,37191.1516122,9428276.95703125,13575.15967552,5.2,4.1,4.8,9.0,3.4,2.8,0.9,5.3,1.0,0.0,0.0,4.4,1.9,4.1,1.0,0.0,6.8,3.8,4.6,11.1,13.3,13.5,12.5,12.5,11.8,10.6,10.3,15.8,15.4,16.0,16.8,19.5,18.1,18.3,17.4,13.2,23.0,26.7,31.7,9.0,106477,121900,142222,91406,141743,153936,98395
36,790,4,13,319704,4013319704,3197.04,Census Tract 3197.04,G5020,S,7855127,44029,33.4141727,-111.970576,140,92404,319704,Census Tract 3197.04,1483,1030,102,45,55,9,159,83,417,822,1224,721,635,86,3.04926128,43214.3011606,11367528.6992188,15820.70646156,5.3,4.8,3.3,5.7,3.7,3.1,0.0,5.1,5.3,3.4,0.0,6.5,8.1,5.1,0.9,9.9,11.3,11.6,6.2,11.1,22.6,15.8,16.1,27.9,14.1,20.9,28.9,8.9,18.6,25.7,31.3,13.4,4.7,4.1,5.7,5.1,6.1,5.5,7.6,6.5,67273,81161,96319,56786,84021,86847,80671
37,143,4,13,318400,4013318400,3184.0,Census Tract 3184,G5020,S,8388218,237790,33.4346464,-111.9122124,140,92325,318400,Census Tract 3184,4650,3214,163,140,162,6,789,176,1533,2577,3880,2396,2100,296,3.3298431,52107.387489,12418983.6640625,19059.4803196,15.0,0.0,0.0,25.4,9.4,14.4,8.1,12.9,5.3,10.6,2.0,5.8,5.5,4.9,4.5,4.3,14.6,2.1,2.6,19.2,24.3,41.1,51.0,10.2,9.0,6.2,5.1,8.0,12.4,13.9,13.8,11.3,4.5,6.9,12.8,2.9,0.0,0.0,0.0,0.0,50085,57838,59189,35960,54136,64524,42966
