OBJECTID,TYPE,QUPOLY_CD,QUATGEOL,SHAPE_Length,SHAPE_Area
51,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,38187.0646787191,38427331.3612095
52,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1568.72446434031,193513.911637343
53,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1415.7955668609,156879.583538552
54,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,2648.42395140128,379430.215653112
55,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1232.07950282601,118119.436693546
56,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,2123.06503815609,298565.444838305
57,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1808.86370118178,252712.860000714
58,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,4611.95623124378,1376833.51896393
59,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,3349.94980162267,382910.520719704
60,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,3612.00248190596,881238.666317537
61,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,15051.6034297037,7432837.59330837
62,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,7037.7578331231,1847774.26282137
63,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,3707.36904956024,606641.366720055
64,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,11496.040573953,7084833.57117993
65,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,6573.4166304252,2232239.22218317
66,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,820.074014411122,51283.4653787704
67,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,11783.5436493191,7492256.93533473
68,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,1816.52729160473,188483.001428916
69,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,7454.92264841465,2017416.6428884
70,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1185.28030871042,105739.513572994
71,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,1542.37134581854,129659.767989639
72,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,16545.2680258111,12201096.4555343
73,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,799.546836907395,45786.7113225411
74,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,2304.49667989247,351682.98467608
75,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,3954.6573057587,1236445.98783053
76,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1630.75399055515,204253.057137359
77,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,2438.7066411974,466021.093160253
78,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,2965.40902873306,537230.85159562
79,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,4861.65841521356,1311602.78755983
80,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,3891.20125847521,1197711.27608857
81,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,3936.81665497406,937828.99655428
82,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1111.21587541101,91444.8404482393
83,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1777.05394748864,244217.27532296
84,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,2300.99708668086,413655.591740998
85,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,2185.63254035273,262609.32767971
86,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,7192.6224190006,3548298.17288203
87,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,7586.98495620648,3407505.10856049
88,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,5402.01737763521,1655476.82126742
89,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1112.51011548138,91649.6319901474
90,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,756.600547087655,43879.5787380617
91,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,2120.5741284042,270083.39000602
92,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,2522.96970467071,381548.335827106
93,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,4894.70165933526,1898919.40662075
94,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1248.77200545626,117637.270254855
95,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,26378.1083099138,17318703.8714146
96,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,8819.27100214896,2458298.31033393
97,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1212.61887444492,110313.767571626
98,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,2271.9716106407,305914.806012191
99,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,3388.30634456379,634830.413583667
100,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,3034.13932956019,648284.75484999
101,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1818.06745768551,255156.083272393
102,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,5638.30957510461,2023052.21829523
103,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,5089.80799111462,1233348.44586836
104,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1759.90639804381,239643.391513642
105,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,4163.3473494729,1000278.07592315
106,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1317.3108852692,131790.689756965
107,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,2060.5064411991,277026.731253927
108,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,4790.53381154455,1819525.35438808
109,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,53563.0436512136,81459807.766178
110,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,961.548486027227,71089.3999484456
111,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,2544.17837689326,336557.350002173
112,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,7620.76550986679,2767602.67632999
113,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1715.19054783384,227684.015100616
114,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,4024.15227725786,850792.101113201
115,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1678.14687719832,217793.04127451
116,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,3410.27734710146,678170.119914397
117,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,1856.58039923238,267564.772255299
118,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,5070.6552402882,1289104.89298463
119,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,4064.36072354672,1038458.19743834
120,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,12368.5045731387,8979245.03715041
121,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,41827.8633350113,44040497.4205257
122,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,18036.6038368326,13682634.7023231
123,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,61805.4558692897,29567483.6554392
124,tail,Clf-d,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Distal Facies,20547.0350285056,23198707.9596442
125,head,Clf-p,Glacial Lake Connecticut Submerged Lacustrine Fan Deposits Proximal Facies,8240.63903608064,2766429.46217839
