OBJECTID,NLCS_NAME,CASEFILE_NO,ADMIN_ST,ROD_DATE,GlobalID,created_date,last_edited_date,NLCS_ID,Shape_Length,Shape_Area
790,Bull Canyon,CO-010-001,CO,1993/01/01 00:00:00+00,{2237AC72-4C73-41AE-87D5-4ADB71B671E0},,2019/06/03 16:04:38+00,NLCS000344,8492.2324383905,701271.973321882
793,Skull Creek,CO-010-003,CO,1993/01/01 00:00:00+00,{21F2C2BF-5068-4351-B5D3-97297E8C75D2},,2019/05/20 21:46:40+00,NLCS000378,50586.2784411989,52767588.0409187
795,Willow Creek,CO-010-002,CO,1993/01/01 00:00:00+00,{CC18C1A7-E137-4D0D-B6D5-1A166BA6FF17},,2019/05/20 21:56:37+00,NLCS000390,65889.9837041878,53881955.5825225
798,Vale of Tears,CO-010-229D,CO,1993/01/01 00:00:00+00,{F4DA5954-973C-44D3-9B10-51C21A039598},,2017/02/22 17:31:49+00,NLCS000384,35156.5207589548,28487738.019129
799,Chew Winter Camp,CO-010-224A,CO,1993/01/01 00:00:00+00,{67DC3BFF-0F07-44B3-8FB0-185CCC1BB75F},,2019/06/03 15:18:58+00,NLCS000349,11894.4515129323,5010936.68949977
800,Cross Mountain,CO-010-230,CO,1993/01/01 00:00:00+00,{A95CD705-641C-41D5-A580-A021493DAA32},,2019/05/17 16:21:45+00,NLCS000351,45111.9628047195,57839596.0037879
801,Peterson Draw,CO-010-226,CO,1993/01/01 00:00:00+00,{93F6161C-AE9F-469C-AA66-BFF178202598},,2019/06/03 15:18:58+00,NLCS000370,23880.8803975087,20227063.411616
802,Ant Hills,CO-010-224,CO,1993/01/01 00:00:00+00,{7A5DD031-C090-49AF-8AF7-69D1CE1A3E17},,2017/02/22 17:34:09+00,NLCS000337,18656.1431089724,17147160.1429052
804,North Sand Hills Natural Area,CO-ISA-002,CO,1993/01/01 00:00:00+00,{AE71E22C-69CD-4E53-BA86-B2865A4E1110},,2017/02/22 17:34:33+00,NLCS000367,7239.34250768247,2755481.06101646
807,Platte River Contiguous,CO-010-104,CO,1993/01/01 00:00:00+00,{64A4B10F-8CC2-4A7A-B2B3-F9171C0AF5BF},,2017/02/22 17:34:41+00,NLCS000371,1724.03677736102,124895.758972216
808,West Cold Springs,CO-010-208,CO,1993/01/01 00:00:00+00,{2175C87A-69BE-4198-9624-97FF90A4C624},,2017/02/22 17:34:49+00,NLCS000387,54657.2858456669,72998021.720822
822,Diamond Breaks,CO-010-214,CO,1993/01/01 00:00:00+00,{24EEFE7E-4F91-437F-BC3C-1C5949AF65E3},,2022/02/10 23:18:56+00,NLCS000353,91097.0716367424,144149152.752077
