OBJECTID,AREASYMBOL,SPATIALVER,MUSYM,MUKEY,SHAPE_Length,SHAPE_Area
13540,VA059,3,105D,2250558,1308.43404492488,-68572.4504784862
13541,VA059,3,105C,2250557,1406.65689342488,-91071.1705499131
13542,VA059,3,25C,2250307,924.395016978829,-52381.5124568193
13543,VA059,3,64B,2250437,2111.68675531607,-152055.142850744
13544,VA059,3,107B,2250560,754.987524905611,-29110.5543129873
13545,VA059,3,39D,2250350,2081.67650638064,-215525.140376004
13546,VA059,3,85C,2250510,2929.95796536329,-183192.404440576
13547,VA059,3,39D,2250350,4735.25369646145,-280534.919155975
13548,VA059,3,39B,2250348,28078.6890757402,-3513679.13940726
13549,VA059,3,39B,2250348,1586.17381490611,-108536.739717983
13550,VA059,3,39C,2250349,4059.96988026807,-221670.147333695
13551,VA059,3,39C,2250349,4545.14356414425,-307175.222219735
13552,VA059,3,105C,2250557,5310.51260634713,-709896.65234217
13553,VA059,3,39C,2250349,3628.28432891701,-231011.242683976
13554,VA059,3,30A,2250319,1309.951060725,-89570.7687374175
13555,VA059,3,103A,2250548,1536.82505423522,-99004.8781872615
13556,VA059,3,39C,2250349,12923.8236623151,-1512639.72472781
13557,VA059,3,105B,2250556,1958.72675473024,-167547.075887913
13558,VA059,3,39D,2250350,1551.93008147115,-156875.317852664
13559,VA059,3,105B,2250556,6013.37606783886,-516861.154035894
13560,VA059,3,39B,2250348,1180.82974122772,-70639.0951545299
13561,VA059,3,105C,2250557,2818.06278280418,-156460.410858105
13562,VA059,3,25C,2250307,1085.19900010864,-41777.4913818207
13563,VA059,3,W,2250944,1072.70833005567,-51184.3686254598
13564,VA059,3,30A,2250319,2454.74074455238,-126981.327660191
13565,VA059,3,1A,2250238,372.65872953983,-8010.23396751114
13566,VA059,3,25B,2250306,3823.05686274576,-424863.531581096
13567,VA059,3,39D,2250350,3022.77842723101,-340422.635719964
13568,VA059,3,108B,2250561,1601.82155427753,-125565.321347241
13569,VA059,3,39B,2250348,1500.17568565359,-93138.083269986
13570,VA059,3,81C,2250502,1576.8780620918,-107093.401548124
13571,VA059,3,25C,2250307,2468.57559208001,-178133.986417249
13572,VA059,3,39C,2250349,2879.04002897004,-275539.483611023
13573,VA059,3,105C,2250557,1784.60420416502,-155340.076460032
13574,VA059,3,22B,2250297,2167.83508931361,-202541.254778791
13575,VA059,3,85C,2250510,6992.95145661419,-918147.23646353
13576,VA059,3,39D,2250350,10805.3225150745,-1418205.77452755
13577,VA059,3,105C,2250557,3968.05058305453,-234201.330034006
13578,VA059,3,14B,2250272,2937.84436273047,-310533.77262762
13579,VA059,3,105B,2250556,942.58135739625,-52801.1761227389
13580,VA059,3,1A,2250238,3092.01890567294,-104464.744395892
13581,VA059,3,105C,2250557,5520.1747637188,-798155.907588699
13582,VA059,3,105C,2250557,1564.06390862996,-109000.779561273
13583,VA059,3,105D,2250558,3808.47160725973,-367603.567004549
13584,VA059,3,39D,2250350,20741.9891591258,-1714800.98827777
13585,VA059,3,101,2250546,1857.37980184354,-163973.768372502
13586,VA059,3,39B,2250348,19350.5756815352,-2278575.30552313
13587,VA059,3,84B,2250507,1273.5350652232,-50130.7754156573
13588,VA059,3,39C,2250349,2616.76596212216,-204896.770683683
13589,VA059,3,107B,2250560,2880.03413309589,-235357.423460943
13590,VA059,3,78B,2250491,4353.58068202083,-347899.334753384
13591,VA059,3,39C,2250349,5202.50644893299,-367482.94315209
13592,VA059,3,W,2250944,987.884726696542,-52740.9901184226
13593,VA059,3,107B,2250560,2069.37252850739,-119287.588217069
13594,VA059,3,93B,2250537,1616.16246761863,-113448.49383596
13595,VA059,3,105C,2250557,4510.45640810576,-300409.509824008
13596,VA059,3,81B,2250501,1383.0158423683,-127536.338327896
13597,VA059,3,39D,2250350,2330.48279135724,-157426.994764628
13598,VA059,3,97,2250542,6980.90096508,-602505.184939708
13599,VA059,3,105C,2250557,2703.69590570649,-160237.827002181
13600,VA059,3,105D,2250558,2099.55230279803,-169496.223294205
13601,VA059,3,78B,2250491,7650.68250884228,-566375.040690604
13602,VA059,3,105C,2250557,4983.53078656577,-438263.224850485
13603,VA059,3,39B,2250348,1412.19137084623,-103929.942537858
13604,VA059,3,39C,2250349,2078.15390761888,-166444.181660182
13605,VA059,3,39C,2250349,3769.41541892316,-298935.403316474
13606,VA059,3,105C,2250557,12225.6853194959,-1195212.5895862
13607,VA059,3,107B,2250560,4626.11840064296,-443230.795786175
13608,VA059,3,78B,2250491,1903.88044800632,-119346.516933074
