ObjectId,WEEKENDINGDATE,DOSE_1,DOSE_2,BOOSTER,LOADED
69,2022/04/02 03:59:59+00,910.0,1108.0,1101.0,2022/10/10 10:04:00+00
70,2022/04/09 03:59:59+00,1044.0,1395.0,1208.0,2022/10/10 10:04:00+00
71,2022/04/16 03:59:59+00,1021.0,1355.0,1195.0,2022/10/10 10:04:00+00
72,2022/04/23 03:59:59+00,895.0,1075.0,1159.0,2022/10/10 10:04:00+00
73,2022/04/30 03:59:59+00,999.0,1114.0,1008.0,2022/10/10 10:04:00+00
74,2022/05/07 03:59:59+00,764.0,803.0,775.0,2022/10/10 10:04:00+00
75,2022/05/14 03:59:59+00,981.0,1019.0,1018.0,2022/10/10 10:04:00+00
76,2022/05/21 03:59:59+00,1040.0,1230.0,1211.0,2022/10/10 10:04:00+00
77,2022/05/28 03:59:59+00,933.0,1013.0,1160.0,2022/10/10 10:04:00+00
78,2022/06/04 03:59:59+00,756.0,751.0,907.0,2022/10/10 10:04:00+00
79,2022/06/11 03:59:59+00,770.0,785.0,1081.0,2022/10/10 10:04:00+00
80,2022/06/18 03:59:59+00,729.0,687.0,849.0,2022/10/10 10:04:00+00
81,2022/06/25 03:59:59+00,1196.0,602.0,645.0,2022/10/10 10:04:00+00
82,2022/07/02 03:59:59+00,1413.0,602.0,719.0,2022/10/10 10:04:00+00
83,2022/07/09 03:59:59+00,1071.0,516.0,660.0,2022/10/10 10:04:00+00
84,2022/07/16 03:59:59+00,1231.0,939.0,957.0,2022/10/10 10:04:00+00
85,2022/07/23 03:59:59+00,1406.0,1329.0,1118.0,2022/10/10 10:04:00+00
86,2022/07/30 03:59:59+00,1373.0,1161.0,1090.0,2022/10/10 10:04:00+00
87,2022/08/06 03:59:59+00,1241.0,995.0,1021.0,2022/10/10 10:04:00+00
88,2022/08/13 03:59:59+00,1082.0,866.0,722.0,2022/10/10 10:04:00+00
89,2022/08/20 03:59:59+00,889.0,851.0,582.0,2022/10/10 10:04:00+00
90,2022/08/27 03:59:59+00,894.0,740.0,557.0,2022/10/10 10:04:00+00
91,2022/09/03 03:59:59+00,644.0,567.0,312.0,2022/10/10 10:04:00+00
92,2022/09/10 03:59:59+00,769.0,987.0,804.0,2022/10/10 10:04:00+00
93,2022/09/17 03:59:59+00,1138.0,1255.0,1417.0,2022/10/10 10:04:00+00
94,2022/09/24 03:59:59+00,1282.0,1382.0,1848.0,2022/10/10 10:04:00+00
95,2022/10/01 03:59:59+00,1567.0,1551.0,1915.0,2022/10/10 10:04:00+00
96,2022/10/08 03:59:59+00,818.0,806.0,1091.0,2022/10/10 10:04:00+00
