OBJECTID,ZONING_CODE,ZONING_NAME,ZONING_TYPE,GLOBALID,SHAPEAREA,SHAPELEN
119164,R1,RES SINGLE FAMILY,RESIDENTIAL,{5391589F-5E63-4E0F-8468-5619AD9FD067},436211880.54448,517906.354202089
119169,R2,RES SINGLE FAMILY,RESIDENTIAL,{7A272326-1EF0-4077-8D57-F988AECE74B3},2703014.12335703,7257.33882502845
119174,R3,RES SINGLE FAMILY,RESIDENTIAL,{BD70B3FC-1555-42A2-9CB7-B708C8CC8A5E},688422.131830469,4103.61054384753
119182,R4,RES SINGLE FAMILY,RESIDENTIAL,{AB86C1E7-8DD2-48EF-BCCF-F131DAE672D3},272024.298452344,2264.55399971687
119184,R1,RES SINGLE FAMILY,RESIDENTIAL,{792F54EB-09EB-4732-A5F5-500059172305},26735103.5620547,34622.8093348342
119496,R5A,RES MULTI FAMILY,RESIDENTIAL,{06794690-F284-4735-B05D-947D323EFBFE},2447670.44038594,8385.58127755574
119554,R5,RES SINGLE FAMILY,RESIDENTIAL,{C7A98D31-DA2C-46C7-91A8-6FEA57473D34},4750900.73939531,12104.0271999146
120082,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,{423271D7-0EA8-4B02-84C3-FBEC981F7C44},22079.8764875,610.889357813011
120397,EZ1,ENTERPRISE ZONE,COMMERCIAL-INDUSTRIAL,{010657CC-B973-4089-8DEE-0AD19C9934D0},23508667.1087242,25911.2650524209
120399,OR1,OFFICE/RES,OFFICE,{24D4AC85-FE61-4F38-B123-DE63CF33BCCF},228689.095642188,2268.30457576813
121357,M2,INDUSTRIAL,INDUSTRIAL,{80E6E84B-6605-4A44-9A28-9D84EEE7699C},61143.9127789062,1011.31416453181
121359,M2,INDUSTRIAL,INDUSTRIAL,{43D2FF62-EC8E-4571-9B22-FCB80864D3FB},108091.89780625,1677.70678914931
121360,R5,RES SINGLE FAMILY,RESIDENTIAL,{B5DD3454-641F-44A5-9716-C2FA764AECFB},44989114.3627391,53312.4162417095
121388,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{12462652-630C-49EE-91B4-CAA738ACEC9D},1194.9290203125,285.320249415576
121390,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{8AF68571-82FB-4A2E-9F65-DBBF4089D201},105712.768646094,1872.66718945911
121404,M2,INDUSTRIAL,INDUSTRIAL,{A1678121-C2C7-4722-BC9C-4CC650129595},592376.208132031,4875.97010941354
121996,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{398617B4-AD09-48DF-A224-BAC3804B7E6D},1961900.73907344,5938.94063605016
121998,(OR3),OFFICE/RES OVERLAY,OFFICE,{12D5FBF3-2806-46FF-9DB0-779A6E0FC482},562175.589125,3654.36160007459
122000,(EZ1),ENTERPRISE ZONE OVERLAY,COMMERCIAL-INDUSTRIAL,{AA6D36E1-3D92-4819-8706-D2C6B0A41911},15935.1894945313,662.493933589441
122001,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{BF0AF70E-7F60-4A72-901B-BF05FD97E722},1024254.95332109,9655.4463474772
122004,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{A0C7DC5F-3B5F-4819-AE25-5873E398558E},23174.416034375,669.25814111513
122318,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{EA10442E-61D1-462A-8C51-8E3EE827FB07},484701.875945313,3053.89553725773
122638,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{F94227AC-EED0-4340-AB03-3A5C3084072C},1483187.87947891,13584.8336642729
122639,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{995AA311-FE63-437A-BF29-B0C78688DB78},16154.4586125,516.408454920775
123596,R6,RES MULTI-FAMILY,RESIDENTIAL,{EBAE3940-13B3-4100-B3AA-ACF65B41E8DB},1526870.82619063,5190.09942227228
123600,R5,RES SINGLE FAMILY,RESIDENTIAL,{FCBBA5B4-BE76-4FB1-AABD-F3E295342622},3378586.08389375,11545.2137765875
123605,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{32ACF78A-F9E9-4F86-8221-0BB57F84CF73},40023.0869609375,810.458038867577
123923,R5A,RES MULTI FAMILY,RESIDENTIAL,{ECD0F3D3-E983-4966-81EA-D9D5AD16C66C},1515615.96641172,7720.78820294841
123924,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,{8C663953-C93E-4E80-A780-931E91EB72F5},70854.1150578125,1419.65398966004
123925,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{A89A6E55-ACF2-4678-9C70-ABFF09E83252},337417.882128125,3403.29464537386
124255,R7,RES MULTI-FAMILY,RESIDENTIAL,{3F690148-F056-4480-917E-F601D4112CEB},280379.215436719,2934.23475389502
124256,R6,RES MULTI-FAMILY,RESIDENTIAL,{5D1C2B06-29E3-4EEB-83BD-D98B483F5F23},1062273.48369219,9429.60962536599
124257,R7,RES MULTI-FAMILY,RESIDENTIAL,{961C851F-89FD-4B13-BD75-237EEE7C2A3D},561402.832360156,3750.22315606627
124258,OR3,OFFICE/RES,OFFICE,{D21332D6-A74C-4384-A04A-32F2D2005175},236253.50923125,1952.95519022835
124259,R6,RES MULTI-FAMILY,RESIDENTIAL,{8AC56051-1F27-4C8E-AE18-01A0EEA1E742},4165080.47729453,11527.1293427708
124268,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{0C9F5D14-4E42-43DD-B44C-49E1BCD11580},111373.161813281,1462.27896982384
124269,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,{EB51C0E1-45E9-45D3-8D42-3A967F381D90},82281.38075625,1252.71158539193
124270,OTF,OFFICE/TOURIST FACILITY,OFFICE,{FB885EAB-81C1-4450-90D5-E8FA2A03E7A9},148700.452789844,1572.8269441698
