region,region_code,period,pct_hospitals_cehrt,pct_hospitals_cehrt_2015,pct_hospitals_find_clinical_info,pct_hospitals_send_clinical_info,pct_hospitals_receive_clinical_info,pct_hospitals_integrate_scr,pct_hospitals_send_receive_find_integrate,pct_hospitals_clinical_out,pct_hospitals_phi_out,pct_hospitals_hie_participate,pct_hospitals_netwk,pct_hospitals_api,pct_hospitals_integrate_pdmp,pct_hospitals_integrate_data_pdmp,pct_hospitals_epcs,pct_hospitals_patients_view,pct_hospitals_patients_download,pct_hospitals_patients_transmit,pct_hospitals_patients_vdt,pct_hospitals_basic_ehr_notes,pct_rural_hospitals_basic_ehr_notes,pct_small_hospitals_basic_ehr_notes,pct_critical_access_hospitals_basic_ehr_notes,pct_hospitals_basic_ehr_no_notes,pct_rural_hospitals_basic_ehr_no_notes,pct_small_hospitals_basic_ehr_no_notes,pct_critical_access_hospitals_basic_ehr_no_notes,pct_small_rural_hospitals_cehrt,pct_cah_hospitals_cehrt,pct_hospitals_share_labs_any_outside_provs,pct_hospitals_share_labs_any_outside_hospitals,pct_hospitals_share_labs_any_outside_ambu_provs,pct_hospitals_patients_ecopy_ehr,pct_hospitals_patients_ecopy_discharge_instr,pct_hospitals_share_care_summaries_any_outside_provs,pct_hospitals_share_care_summaries_any_outside_hospitals,pct_hospitals_share_care_summaries_any_outside_ambu_provs,pct_hospitals_patients_secure_message,pct_hospitals_integrate_any_clinical_info
Pennsylvania,PA,2012,,,,,,,,,,,,,,,,,,,,0.47,0.56,0.45,,0.66,0.76,0.55,,,,0.57,0.3,0.49,0.87,0.89,0.37,0.22,0.31,,
Rhode Island,RI,2012,,,,,,,,,,,,,,,,,,,,0.69,,0,,0.69,,,,,,0.85,0.54,0.85,1.0,1.0,0.41,,0.41,,
South Carolina,SC,2012,,,,,,,,,,,,,,,,,,,,0.3,0.26,0.18,,0.53,0.46,0.37,,,,0.49,0.23,0.39,0.89,0.89,0.35,0.29,0.22,,
South Dakota,SD,2012,,,,,,,,,,,,,,,,,,,,0.71,0.71,0.65,,0.75,0.77,0.72,,,,0.37,0.32,0.28,0.82,0.86,0.33,0.28,0.28,,
Tennessee,TN,2012,,,,,,,,,,,,,,,,,,,,0.33,0.22,0.37,,0.54,0.34,0.49,,,,0.69,0.27,0.61,0.92,0.9,0.37,0.13,0.28,,
Texas,TX,2012,,,,,,,,,,,,,,,,,,,,0.35,0.34,0.31,,0.41,0.41,0.36,,,,0.44,0.22,0.38,0.8,0.81,0.29,0.23,0.23,,
Utah,UT,2012,,,,,,,,,,,,,,,,,,,,0.12,0.28,0.2,,0.12,0.28,0.2,,,,0.62,0.54,0.53,0.71,0.61,0.53,0.45,0.53,,
Virginia,VA,2012,,,,,,,,,,,,,,,,,,,,0.58,0.35,0.54,,0.77,0.63,0.74,,,,0.64,0.36,0.61,0.91,0.95,0.55,0.38,0.48,,
Vermont,VT,2012,,,,,,,,,,,,,,,,,,,,0.7,0.82,0.61,,1.0,1,1,,,,0.68,0.26,0.68,1.0,1.0,0.6,0.31,0.6,,
Washington,WA,2012,,,,,,,,,,,,,,,,,,,,0.51,0.34,0.38,,0.61,0.5,0.51,,,,0.75,0.59,0.71,0.77,0.79,0.64,0.52,0.6,,
Wisconsin,WI,2012,,,,,,,,,,,,,,,,,,,,0.63,0.48,0.56,,0.7,0.53,0.62,,,,0.49,0.4,0.42,0.78,0.84,0.49,0.41,0.42,,
West Virginia,WV,2012,,,,,,,,,,,,,,,,,,,,0.51,0.49,0.57,,0.64,0.56,0.75,,,,0.6,0.28,0.6,0.91,0.91,0.32,0.21,0.28,,
Wyoming,WY,2012,,,,,,,,,,,,,,,,,,,,0.42,0.41,0.39,,0.48,0.41,0.39,,,,0.36,,0.36,0.71,0.71,0.14,,0.14,,
National,US,2011,0.72,,,,,,,,,,,,,,,,,,,0.28,0.22,0.22,0.2,0.35,0.27,0.27,,,,0.27,0.19,0.39,0.5,,0.15,0.15,0.15,,
Alaska,AK,2011,,,,,,,,,,,,,,,,,,,,0.07,0.09,0.09,,0.07,0.09,0.09,,,,0.43,0.33,0.31,0.38,,0.27,0.13,0.23,,
Alabama,AL,2011,,,,,,,,,,,,,,,,,,,,0.22,0.32,0.17,,0.25,0.35,0.17,,,,0.4,0.09,0.48,0.44,,0.16,0.07,0.09,,
Arkansas,AR,2011,,,,,,,,,,,,,,,,,,,,0.32,0.24,0.14,,0.34,0.28,0.14,,,,0.52,0.1,0.33,0.51,,0.4,0.12,0.33,,
Arizona,AZ,2011,,,,,,,,,,,,,,,,,,,,0.17,0,0.14,,0.23,0.24,0.26,,,,0.35,0.17,0.3,0.4,,0.3,0.15,0.28,,
California,CA,2011,,,,,,,,,,,,,,,,,,,,0.22,0.06,0.1,,0.23,0.06,0.1,,,,0.39,0.12,0.36,0.46,,0.26,0.18,0.24,,
Colorado,CO,2011,,,,,,,,,,,,,,,,,,,,0.3,0.27,0.2,,0.33,0.27,0.2,,,,0.39,0.18,0.62,0.71,,0.24,0.09,0.2,,
Connecticut,CT,2011,,,,,,,,,,,,,,,,,,,,0.22,0,0,,0.44,,,,,,0.66,0.1,0.37,0.6,,0.27,0.18,0.23,,
District Of Columbia,DC,2011,,,,,,,,,,,,,,,,,,,,0.37,,,,0.37,,,,,,0.41,0.48,0.49,0.24,,0.17,0.08,0.08,,
Delaware,DE,2011,,,,,,,,,,,,,,,,,,,,0.39,0.5,0,,0.39,0.5,,,,,0.73,0.8,1.0,0.39,,,,,,
Florida,FL,2011,,,,,,,,,,,,,,,,,,,,0.51,0.4,0.35,,0.6,0.49,0.43,,,,1.0,0.09,0.34,0.69,,0.2,0.2,0.2,,
Georgia,GA,2011,,,,,,,,,,,,,,,,,,,,0.15,0.13,0.14,,0.3,0.28,0.28,,,,0.36,0.16,0.34,0.49,,0.16,0.06,0.14,,
Hawaii,HI,2011,,,,,,,,,,,,,,,,,,,,0.67,0.48,0.36,,0.67,0.48,0.36,,,,0.37,,,,,0.23,0.11,0.23,,
Iowa,IA,2011,,,,,,,,,,,,,,,,,,,,0.35,0.34,0.32,,0.38,0.35,0.34,,,,0.21,0.17,0.3,,,0.21,0.21,0.13,,
Idaho,ID,2011,,,,,,,,,,,,,,,,,,,,0.19,0.14,0.13,,0.19,0.14,0.13,,,,0.31,0.27,0.28,0.49,,0.24,0.12,0.22,,
Illinois,IL,2011,,,,,,,,,,,,,,,,,,,,0.35,0.26,0.3,,0.44,0.37,0.4,,,,0.35,0.15,0.38,0.53,,0.31,0.23,0.27,,
Indiana,IN,2011,,,,,,,,,,,,,,,,,,,,0.19,0.16,0.16,,0.33,0.24,0.27,,,,0.4,0.21,0.42,0.56,,0.22,0.07,0.2,,
Kansas,KS,2011,,,,,,,,,,,,,,,,,,,,0.19,0.16,0.17,,0.22,0.18,0.19,,,,0.42,0.07,0.25,0.47,,0.2,0.14,0.2,,
Kentucky,KY,2011,,,,,,,,,,,,,,,,,,,,0.24,0.19,0.2,,0.29,0.23,0.23,,,,0.25,0.17,0.33,0.45,,0.19,0.08,0.17,,
Louisiana,LA,2011,,,,,,,,,,,,,,,,,,,,0.14,0.23,0.16,,0.27,0.28,0.25,,,,0.36,0.07,0.28,0.57,,0.21,0.15,0.18,,
Massachusetts,MA,2011,,,,,,,,,,,,,,,,,,,,0.37,,0.5,,0.55,,0.5,,,,0.33,0.2,0.59,0.64,,0.19,0.04,0.16,,
Maryland,MD,2011,,,,,,,,,,,,,,,,,,,,0.28,0.33,0.29,,0.38,0.33,0.29,,,,0.62,0.23,0.38,0.44,,0.42,0.1,0.42,,
Maine,ME,2011,,,,,,,,,,,,,,,,,,,,0.2,0.13,0.17,,0.46,0.4,0.47,,,,0.44,0.27,0.52,0.49,,0.21,0.1,0.18,,
Michigan,MI,2011,,,,,,,,,,,,,,,,,,,,0.31,0.17,0.21,,0.37,0.17,0.28,,,,0.57,0.24,0.51,0.57,,0.33,0.16,0.33,,
Minnesota,MN,2011,,,,,,,,,,,,,,,,,,,,0.44,0.36,0.4,,0.47,0.4,0.41,,,,0.57,0.22,0.31,0.5,,0.32,0.15,0.26,,
Missouri,MO,2011,,,,,,,,,,,,,,,,,,,,0.35,0.17,0.23,,0.45,0.26,0.33,,,,0.32,0.09,0.3,0.52,,0.28,0.21,0.26,,
Mississippi,MS,2011,,,,,,,,,,,,,,,,,,,,0.17,0.17,0.18,,0.27,0.17,0.23,,,,0.33,0.09,0.17,0.35,,0.2,0.07,0.19,,
Montana,MT,2011,,,,,,,,,,,,,,,,,,,,0.15,0.13,0.08,,0.15,0.13,0.08,,,,0.21,0.21,0.23,0.23,,0.27,0.19,0.25,,
North Carolina,NC,2011,,,,,,,,,,,,,,,,,,,,0.24,0.14,0.09,,0.32,0.27,0.17,,,,0.59,0.18,0.51,0.43,,0.33,0.14,0.27,,
North Dakota,ND,2011,,,,,,,,,,,,,,,,,,,,0.11,0.06,0,,0.11,0.06,,,,,0.27,,0.27,0.38,,0.11,,0.11,,
Nebraska,NE,2011,,,,,,,,,,,,,,,,,,,,0.19,0.15,0.15,,0.23,0.19,0.2,,,,0.54,0.3,0.44,0.55,,0.34,0.15,0.28,,
New Hampshire,NH,2011,,,,,,,,,,,,,,,,,,,,0.29,0.34,0.29,,0.44,0.46,0.44,,,,0.72,0.31,0.72,0.56,,0.43,0.29,0.36,,
New Jersey,NJ,2011,,,,,,,,,,,,,,,,,,,,0.11,,,,0.38,,,,,,0.46,0.17,0.39,0.49,,0.34,0.12,0.32,,
New Mexico,NM,2011,,,,,,,,,,,,,,,,,,,,0.23,0.27,0.3,,0.28,0.27,0.3,,,,0.44,0.18,0.31,0.37,,0.28,0.07,0.21,,
Nevada,NV,2011,,,,,,,,,,,,,,,,,,,,0.36,0,0.33,,0.36,,0.33,,,,0.41,,0.3,,,0.35,0.11,0.35,,
New York,NY,2011,,,,,,,,,,,,,,,,,,,,0.26,0.13,0.14,,0.33,0.2,0.18,,,,0.67,0.4,0.59,0.47,,0.33,0.2,0.28,,
Ohio,OH,2011,,,,,,,,,,,,,,,,,,,,0.2,0.16,0.13,,0.34,0.23,0.27,,,,0.61,0.34,0.5,0.47,,0.38,0.24,0.27,,
Oklahoma,OK,2011,,,,,,,,,,,,,,,,,,,,0.14,0.15,0.12,,0.14,0.15,0.12,,,,0.34,0.13,0.27,0.31,,0.21,0.06,0.16,,
Oregon,OR,2011,,,,,,,,,,,,,,,,,,,,0.42,0.32,0.37,,0.5,0.42,0.37,,,,0.75,0.43,0.75,0.52,,0.37,0.19,0.37,,
Pennsylvania,PA,2011,,,,,,,,,,,,,,,,,,,,0.3,0.36,0.24,,0.37,0.46,0.3,,,,0.53,0.16,0.51,0.56,,0.23,0.08,0.21,,
Rhode Island,RI,2011,,,,,,,,,,,,,,,,,,,,0.55,,0,,0.55,,,,,,0.78,,0.78,0.67,,0.33,,0.33,,
South Carolina,SC,2011,,,,,,,,,,,,,,,,,,,,0.27,0.25,0.25,,0.43,0.38,0.25,,,,0.3,0.13,0.28,0.51,,0.23,0.16,0.14,,
South Dakota,SD,2011,,,,,,,,,,,,,,,,,,,,0.17,0.22,0.09,,0.17,0.22,0.09,,,,0.38,0.2,0.25,0.4,,0.17,0.1,0.14,,
Tennessee,TN,2011,,,,,,,,,,,,,,,,,,,,0.21,0.19,0.28,,0.35,0.37,0.38,,,,0.33,0.15,0.29,0.28,,0.2,0.07,0.18,,
Texas,TX,2011,,,,,,,,,,,,,,,,,,,,0.2,0.14,0.13,,0.27,0.18,0.17,,,,0.29,0.16,0.24,0.51,,0.18,0.11,0.15,,
Utah,UT,2011,,,,,,,,,,,,,,,,,,,,0.09,0.28,0.14,,0.09,0.28,0.14,,,,0.81,0.41,0.81,0.68,,0.63,0.22,0.63,,
Virginia,VA,2011,,,,,,,,,,,,,,,,,,,,0.53,0.26,0.51,,0.62,0.5,0.57,,,,0.63,0.25,0.63,0.7,,0.57,0.29,0.57,,
Vermont,VT,2011,,,,,,,,,,,,,,,,,,,,0.45,0.21,0.38,,0.59,0.41,0.54,,,,0.55,,0.55,0.86,,0.29,,0.29,,
Washington,WA,2011,,,,,,,,,,,,,,,,,,,,0.38,0.37,0.41,,0.41,0.37,0.41,,,,0.65,0.45,0.56,0.5,,0.51,0.36,0.45,,
Wisconsin,WI,2011,,,,,,,,,,,,,,,,,,,,0.47,0.46,0.41,,0.5,0.46,0.43,,,,0.54,0.4,0.5,0.47,,0.44,0.35,0.38,,
West Virginia,WV,2011,,,,,,,,,,,,,,,,,,,,0.23,0.26,0.26,,0.36,0.44,0.46,,,,0.37,0.15,0.31,0.55,,0.24,0.12,0.14,,
Wyoming,WY,2011,,,,,,,,,,,,,,,,,,,,0.21,0.22,0.33,,0.21,0.22,0.33,,,,0.37,0.12,0.25,0.55,,0.13,0.06,0.07,,
National,US,2010,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.14,0.14,,,,,,,,,,,,,
Alaska,AK,2010,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.13,0.12,,,,,,,,,,,,,
Alabama,AL,2010,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.17,0.16,,,,,,,,,,,,,
Arkansas,AR,2010,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.11,0.08,,,,,,,,,,,,,
Arizona,AZ,2010,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.11,0.07,,,,,,,,,,,,,
California,CA,2010,,,,,,,,,,,,,,,,,,,,,,,,0.21,,0.08,,,,,,,,,,,,,
Colorado,CO,2010,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.2,0.18,,,,,,,,,,,,,
Connecticut,CT,2010,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.34,,,,,,,,,,,,,,
District Of Columbia,DC,2010,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,
Delaware,DE,2010,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,
Florida,FL,2010,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.13,0.15,,,,,,,,,,,,,
Georgia,GA,2010,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.11,0.07,,,,,,,,,,,,,
Hawaii,HI,2010,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,
Iowa,IA,2010,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.27,0.27,,,,,,,,,,,,,
Idaho,ID,2010,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.15,0.13,,,,,,,,,,,,,
Illinois,IL,2010,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.19,0.17,,,,,,,,,,,,,
Indiana,IN,2010,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.04,,,,,,,,,,,,,
Kansas,KS,2010,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.13,0.13,,,,,,,,,,,,,
Kentucky,KY,2010,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.19,0.08,,,,,,,,,,,,,
Louisiana,LA,2010,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.11,0.12,,,,,,,,,,,,,
Massachusetts,MA,2010,,,,,,,,,,,,,,,,,,,,,,,,0.32,,0.43,,,,,,,,,,,,,
Maryland,MD,2010,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.36,,,,,,,,,,,,,,
Maine,ME,2010,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.22,0.22,,,,,,,,,,,,,
Michigan,MI,2010,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.1,0.13,,,,,,,,,,,,,
Minnesota,MN,2010,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.15,0.16,,,,,,,,,,,,,
Missouri,MO,2010,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.13,0.16,,,,,,,,,,,,,
Mississippi,MS,2010,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.05,0.07,,,,,,,,,,,,,
Montana,MT,2010,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.09,0.1,,,,,,,,,,,,,
North Carolina,NC,2010,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.19,0.25,,,,,,,,,,,,,
North Dakota,ND,2010,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.12,0.05,,,,,,,,,,,,,
Nebraska,NE,2010,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.08,0.07,,,,,,,,,,,,,
New Hampshire,NH,2010,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.14,0.07,,,,,,,,,,,,,
New Jersey,NJ,2010,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,
New Mexico,NM,2010,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.29,0.29,,,,,,,,,,,,,
Nevada,NV,2010,,,,,,,,,,,,,,,,,,,,,,,,0.33,0.4,0.57,,,,,,,,,,,,,
New York,NY,2010,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.15,0.11,,,,,,,,,,,,,
Ohio,OH,2010,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.19,0.27,,,,,,,,,,,,,
Oklahoma,OK,2010,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.11,0.07,,,,,,,,,,,,,
Oregon,OR,2010,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.04,0.04,,,,,,,,,,,,,
Pennsylvania,PA,2010,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.08,0.09,,,,,,,,,,,,,
Rhode Island,RI,2010,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,
South Carolina,SC,2010,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.06,0.11,,,,,,,,,,,,,
South Dakota,SD,2010,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.13,0.08,,,,,,,,,,,,,
Tennessee,TN,2010,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.07,0.08,,,,,,,,,,,,,
Texas,TX,2010,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.09,0.08,,,,,,,,,,,,,
Utah,UT,2010,,,,,,,,,,,,,,,,,,,,,,,,0.14,,0.11,,,,,,,,,,,,,
Virginia,VA,2010,,,,,,,,,,,,,,,,,,,,,,,,0.29,0.14,0.3,,,,,,,,,,,,,
Vermont,VT,2010,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.1,0.1,,,,,,,,,,,,,
Washington,WA,2010,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.22,0.19,,,,,,,,,,,,,
Wisconsin,WI,2010,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.25,0.31,,,,,,,,,,,,,
West Virginia,WV,2010,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.15,0.05,,,,,,,,,,,,,
Wyoming,WY,2010,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.29,0.2,,,,,,,,,,,,,
National,US,2009,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.1,0.1,,,,,,,,,,,,,
Alaska,AK,2009,,,,,,,,,,,,,,,,,,,,,,,,0.23,0.4,0.36,,,,,,,,,,,,,
Alabama,AL,2009,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.07,0.09,,,,,,,,,,,,,
Arkansas,AR,2009,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.05,0.06,,,,,,,,,,,,,
Arizona,AZ,2009,,,,,,,,,,,,,,,,,,,,,,,,0.2,,0.27,,,,,,,,,,,,,
California,CA,2009,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.11,0.13,,,,,,,,,,,,,
Colorado,CO,2009,,,,,,,,,,,,,,,,,,,,,,,,0.31,0.12,0.15,,,,,,,,,,,,,
Connecticut,CT,2009,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.24,,,,,,,,,,,,,,
District Of Columbia,DC,2009,,,,,,,,,,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,
Delaware,DE,2009,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,
Florida,FL,2009,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,,,,,,,,
Georgia,GA,2009,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.11,0.05,,,,,,,,,,,,,
Hawaii,HI,2009,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.13,0.11,,,,,,,,,,,,,
Iowa,IA,2009,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.16,0.15,,,,,,,,,,,,,
Idaho,ID,2009,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.13,0.11,,,,,,,,,,,,,
Illinois,IL,2009,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.13,0.17,,,,,,,,,,,,,
Indiana,IN,2009,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.19,0.13,,,,,,,,,,,,,
Kansas,KS,2009,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.06,0.08,,,,,,,,,,,,,
Kentucky,KY,2009,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.09,0.05,,,,,,,,,,,,,
Louisiana,LA,2009,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.16,0.17,,,,,,,,,,,,,
Massachusetts,MA,2009,,,,,,,,,,,,,,,,,,,,,,,,0.36,,0.22,,,,,,,,,,,,,
Maryland,MD,2009,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.5,0.25,,,,,,,,,,,,,
Maine,ME,2009,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.17,0.15,,,,,,,,,,,,,
Michigan,MI,2009,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.09,0.08,,,,,,,,,,,,,
Minnesota,MN,2009,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.07,0.15,,,,,,,,,,,,,
Missouri,MO,2009,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.1,0.09,,,,,,,,,,,,,
Mississippi,MS,2009,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.06,0.03,,,,,,,,,,,,,
Montana,MT,2009,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.11,0.06,,,,,,,,,,,,,
North Carolina,NC,2009,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.14,0.08,,,,,,,,,,,,,
North Dakota,ND,2009,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.08,0.04,,,,,,,,,,,,,
Nebraska,NE,2009,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.07,0.05,,,,,,,,,,,,,
New Hampshire,NH,2009,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.09,,,,,,,,,,,,,,
New Jersey,NJ,2009,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,,,,,,,,
New Mexico,NM,2009,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.09,0.09,,,,,,,,,,,,,
Nevada,NV,2009,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.37,0.43,,,,,,,,,,,,,
New York,NY,2009,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.13,,,,,,,,,,,,,,
Ohio,OH,2009,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.11,0.05,,,,,,,,,,,,,
Oklahoma,OK,2009,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.02,0.04,,,,,,,,,,,,,
Oregon,OR,2009,,,,,,,,,,,,,,,,,,,,,,,,0.03,,0.04,,,,,,,,,,,,,
Pennsylvania,PA,2009,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.15,0.06,,,,,,,,,,,,,
Rhode Island,RI,2009,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,
South Carolina,SC,2009,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.1,0.23,,,,,,,,,,,,,
South Dakota,SD,2009,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.06,0.07,,,,,,,,,,,,,
Tennessee,TN,2009,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.09,0.09,,,,,,,,,,,,,
Texas,TX,2009,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.06,0.09,,,,,,,,,,,,,
Utah,UT,2009,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.16,0.1,,,,,,,,,,,,,
Virginia,VA,2009,,,,,,,,,,,,,,,,,,,,,,,,0.26,0.1,0.07,,,,,,,,,,,,,
Vermont,VT,2009,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.1,0.1,,,,,,,,,,,,,
Washington,WA,2009,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.22,0.19,,,,,,,,,,,,,
Wisconsin,WI,2009,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.17,0.19,,,,,,,,,,,,,
West Virginia,WV,2009,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.08,0.05,,,,,,,,,,,,,
Wyoming,WY,2009,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.14,0.17,,,,,,,,,,,,,
National,US,2008,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.08,0.09,,,,,,,,,,,,,
Alaska,AK,2008,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.49,0.28,,,,,,,,,,,,,
Alabama,AL,2008,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.17,0.08,,,,,,,,,,,,,
Arkansas,AR,2008,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.09,,,,,,,,,,,,,,
Arizona,AZ,2008,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.09,0.08,,,,,,,,,,,,,
California,CA,2008,,,,,,,,,,,,,,,,,,,,,,,,0.12,,0.06,,,,,,,,,,,,,
Colorado,CO,2008,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.09,0.08,,,,,,,,,,,,,
Connecticut,CT,2008,,,,,,,,,,,,,,,,,,,,,,,,0.34,,0.17,,,,,,,,,,,,,
District Of Columbia,DC,2008,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,,,,,,,,,,,,,
Delaware,DE,2008,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,,,
Florida,FL,2008,,,,,,,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,,
Georgia,GA,2008,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.03,0.13,,,,,,,,,,,,,
Hawaii,HI,2008,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,
Iowa,IA,2008,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,
Idaho,ID,2008,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,
Illinois,IL,2008,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.06,0.14,,,,,,,,,,,,,
Indiana,IN,2008,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.07,0.11,,,,,,,,,,,,,
Kansas,KS,2008,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,,,,,,,,,,,,
Kentucky,KY,2008,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.12,0.15,,,,,,,,,,,,,
Louisiana,LA,2008,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.14,0.1,,,,,,,,,,,,,
Massachusetts,MA,2008,,,,,,,,,,,,,,,,,,,,,,,,0.24,,0.24,,,,,,,,,,,,,
Maryland,MD,2008,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.26,0.35,,,,,,,,,,,,,
Maine,ME,2008,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,0.05,,,,,,,,,,,,,
Michigan,MI,2008,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.07,0.13,,,,,,,,,,,,,
Minnesota,MN,2008,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.15,0.19,,,,,,,,,,,,,
