business_id,date,score,description,type,ObjectId
34685,20210817,100,,ROUTINE,1211
34760,20190529,97,,ROUTINE,1212
34923,20220511,98,,ROUTINE,1213
34812,20220419,90,,ROUTINE,1214
34944,20220916,96,,ROUTINE,1215
34685,20210302,100,,ROUTINE,1216
34760,20200115,99,,ROUTINE,1217
34896,20181012,0,,FOLLOWUP,1218
34789,20190606,96,,ROUTINE,1219
34846,20190406,98,,ROUTINE,1220
34760,20210930,100,,ROUTINE,1221
34789,20190903,100,,ROUTINE,1222
34944,20230217,97,,ROUTINE,1223
34685,20220308,100,,ROUTINE,1224
34896,20190104,0,,SURVEY,1225
34814,20221024,88,,ROUTINE,1226
34846,20191005,100,,ROUTINE,1227
34760,20220308,100,,ROUTINE,1228
34789,20200619,100,,ROUTINE,1229
34944,20230712,96,,ROUTINE,1230
34687,20221028,100,,ROUTINE,1231
34896,20190620,97,,ROUTINE,1232
34814,20221031,99,,FOLLOWUP,1233
34846,20200912,99,,ROUTINE,1234
34760,20220829,100,,ROUTINE,1235
34789,20220316,99,,ROUTINE,1236
34944,20190214,98,,ROUTINE,1237
34687,20230510,97,,ROUTINE,1238
34896,20190118,0,,COMPLAINT,1239
34814,20230530,94,,ROUTINE,1240
34846,20210814,100,,ROUTINE,1241
34773,20230302,96,,ROUTINE,1242
34789,20210901,99,,ROUTINE,1243
34944,20190711,97,,ROUTINE,1244
34687,20181213,93,,ROUTINE,1245
34896,20200113,98,,ROUTINE,1246
34814,20181101,92,,ROUTINE,1247
34846,20220416,100,,ROUTINE,1248
34773,20230705,96,,ROUTINE,1249
34791,20221111,0,,COMPLAINT,1250
34944,20200116,96,,ROUTINE,1251
34687,20190613,88,,ROUTINE,1252
34896,20210325,97,,ROUTINE,1253
34814,20190430,95,,ROUTINE,1254
34855,20220509,92,,ROUTINE,1255
34773,20180808,97,,ROUTINE,1256
34791,20221117,0,,FOLLOWUP,1257
34944,20200910,96,,ROUTINE,1258
34687,20190214,0,,COMPLAINT,1259
34896,20220328,97,,ROUTINE,1260
34814,20190711,0,,COMPLAINT,1261
34855,20221103,97,,ROUTINE,1262
34773,20190208,97,,ROUTINE,1263
34791,20221117,100,,FOLLOWUP,1264
34944,20210401,98,,ROUTINE,1265
34687,20200122,89,,ROUTINE,1266
34897,20221121,96,,ROUTINE,1267
34814,20191209,96,,ROUTINE,1268
34855,20230427,97,,ROUTINE,1269
34773,20190719,97,,ROUTINE,1270
34773,20200130,98,,ROUTINE,1271
34773,20200915,97,,ROUTINE,1272
34773,20210405,96,,ROUTINE,1273
34773,20211004,96,,ROUTINE,1274
34773,20220321,94,,ROUTINE,1275
34773,20220907,97,,ROUTINE,1276
34779,20220913,99,,ROUTINE,1277
34779,20230530,99,,ROUTINE,1278
34779,20190131,100,,ROUTINE,1279
34779,20190808,96,,ROUTINE,1280
34779,20210826,96,,ROUTINE,1281
34779,20220405,98,,ROUTINE,1282
34783,20230405,100,,ROUTINE,1283
34783,20181127,98,,ROUTINE,1284
34783,20190607,98,,ROUTINE,1285
34783,20191204,100,,ROUTINE,1286
34783,20220126,100,,ROUTINE,1287
34783,20220916,100,,ROUTINE,1288
34786,20230217,97,,ROUTINE,1289
34786,20181005,100,,FOLLOWUP,1290
34786,20180928,85,,ROUTINE,1291
34786,20190423,0,,COMPLAINT,1292
34786,20190423,92,,ROUTINE,1293
34786,20190716,0,,COMPLAINT,1294
34786,20190716,0,,COMPLAINT,1295
34786,20191209,97,,ROUTINE,1296
34786,20211116,95,,ROUTINE,1297
34786,20220808,84,,ROUTINE,1298
34786,20220815,100,,FOLLOWUP,1299
34786,20220808,0,,COMPLAINT,1300
34788,20220830,99,,ROUTINE,1301
34788,20230221,97,,ROUTINE,1302
34788,20230802,97,,ROUTINE,1303
34788,20181129,97,,ROUTINE,1304
34788,20190606,98,,ROUTINE,1305
34788,20191212,92,,ROUTINE,1306
34788,20200619,97,,ROUTINE,1307
34788,20220316,99,,ROUTINE,1308
34788,20210901,100,,ROUTINE,1309
34789,20220830,100,,ROUTINE,1310
34814,20210301,97,,ROUTINE,1311
34944,20220318,98,,ROUTINE,1312
34687,20210608,90,,ROUTINE,1313
34855,20190103,99,,ROUTINE,1314
34791,20221111,89,,ROUTINE,1315
34814,20220202,96,,ROUTINE,1316
34944,20210930,98,,ROUTINE,1317
34687,20220301,73,,ROUTINE,1318
34855,20190227,0,,COMPLAINT,1319
34791,20230511,100,,ROUTINE,1320
34897,20230525,94,,ROUTINE,1321
34817,20221014,98,,ROUTINE,1322
34955,20230208,96,,ROUTINE,1323
34687,20220308,97,,FOLLOWUP,1324
34855,20200122,100,,ROUTINE,1325
34791,20181011,98,,ROUTINE,1326
34897,20181119,95,,ROUTINE,1327
34817,20230412,98,,ROUTINE,1328
34955,20230801,99,,ROUTINE,1329
34692,20221101,99,,ROUTINE,1330
34855,20190806,99,,ROUTINE,1331
34791,20190419,98,,ROUTINE,1332
34897,20190528,0,,COMPLAINT,1333
34817,20180911,97,,ROUTINE,1334
34955,20180927,100,,ROUTINE,1335
34692,20230426,100,,ROUTINE,1336
34855,20211119,95,,ROUTINE,1337
34791,20191017,98,,ROUTINE,1338
34897,20190501,95,,ROUTINE,1339
34817,20190401,97,,ROUTINE,1340
34955,20180910,0,,COMPLAINT,1341
34692,20181026,100,,ROUTINE,1342
34866,20220718,97,,ROUTINE,1343
34791,20200903,99,,ROUTINE,1344
34897,20191209,95,,ROUTINE,1345
34817,20191009,99,,ROUTINE,1346
34955,20190403,97,,ROUTINE,1347
34692,20190503,100,,ROUTINE,1348
34866,20230210,97,,ROUTINE,1349
34791,20211013,97,,ROUTINE,1350
34897,20210419,0,,COMPLAINT,1351
34817,20200826,98,,ROUTINE,1352
34955,20191009,100,,ROUTINE,1353
34692,20191107,100,,ROUTINE,1354
34866,20230802,97,,ROUTINE,1355
34791,20220525,96,,ROUTINE,1356
34897,20210503,0,,FOLLOWUP,1357
34817,20210318,98,,ROUTINE,1358
34955,20210719,97,,ROUTINE,1359
34692,20201012,99,,ROUTINE,1360
34866,20190131,98,,ROUTINE,1361
34792,20221229,100,,ROUTINE,1362
34897,20210419,95,,ROUTINE,1363
34817,20220421,98,,ROUTINE,1364
34955,20220207,100,,ROUTINE,1365
34692,20211008,97,,ROUTINE,1366
34866,20190911,98,,ROUTINE,1367
34792,20230713,98,,ROUTINE,1368
34897,20210421,0,,FOLLOWUP,1369
34817,20211022,98,,ROUTINE,1370
34955,20220809,99,,ROUTINE,1371
34692,20220511,100,,ROUTINE,1372
34866,20211014,95,,ROUTINE,1373
34792,20180910,100,,ROUTINE,1374
34897,20210426,0,,FOLLOWUP,1375
34827,20220809,97,,ROUTINE,1376
34973,20230321,97,,ROUTINE,1377
34716,20230323,96,,ROUTINE,1378
34875,20221213,96,,ROUTINE,1379
34875,20181023,100,,ROUTINE,1380
34875,20190513,100,,ROUTINE,1381
34875,20191206,97,,ROUTINE,1382
34875,20220316,95,,ROUTINE,1383
34875,20220316,0,,COMPLAINT,1384
34882,20221014,100,,ROUTINE,1385
34882,20230609,100,,ROUTINE,1386
34882,20180927,100,,ROUTINE,1387
34882,20190513,100,,ROUTINE,1388
34882,20190904,100,,ROUTINE,1389
34882,20200609,100,,ROUTINE,1390
34882,20201002,100,,ROUTINE,1391
34882,20210610,100,,ROUTINE,1392
34882,20211022,100,,ROUTINE,1393
34882,20220526,100,,ROUTINE,1394
34884,20220811,100,,ROUTINE,1395
34884,20230602,99,,ROUTINE,1396
34884,20181114,100,,ROUTINE,1397
34884,20190604,98,,ROUTINE,1398
34884,20191204,99,,ROUTINE,1399
34884,20200915,100,,ROUTINE,1400
34884,20210806,98,,ROUTINE,1401
34884,20220223,100,,ROUTINE,1402
34896,20221007,94,,ROUTINE,1403
34896,20230403,98,,ROUTINE,1404
34896,20190104,94,,ROUTINE,1405
34896,20181001,0,,COMPLAINT,1406
34896,20181011,0,,FOLLOWUP,1407
34792,20190315,99,,ROUTINE,1408
34716,20221031,96,,ROUTINE,1409
34973,20230607,99,,ROUTINE,1410
34827,20230125,99,,ROUTINE,1411
34897,20220408,91,,ROUTINE,1412
34792,20190904,98,,ROUTINE,1413
34716,20181003,98,,ROUTINE,1414
34973,20190627,100,,FOLLOWUP,1415
34827,20230713,100,,ROUTINE,1416
34899,20220505,100,,ROUTINE,1417
34792,20200221,98,,ROUTINE,1418
34716,20190417,97,,ROUTINE,1419
34973,20190125,99,,ROUTINE,1420
34827,20180925,98,,ROUTINE,1421
34899,20221206,92,,FOLLOWUP,1422
34792,20210518,100,,FOLLOWUP,1423
34716,20190930,96,,ROUTINE,1424
34973,20190620,88,,ROUTINE,1425
34827,20190320,96,,ROUTINE,1426
34899,20221214,98,,FOLLOWUP,1427
