ObjectId,REQ_ID,Request_Date,person_premise,address1,zip,Activity_Date,ACTIVITY_TYPE_ID,Activity_Type_Desc,Action_Code,Action_Code_Desc
38,696508,2020/04/24 03:59:59+00,CORE COMBAT SPORTS,13124 EASTPOINT BLVD,40223,2020/04/24 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
39,696523,2020/04/27 03:59:59+00,MASTER BRAND CABINETS,6403 NEW CUT RD,40118,2020/04/27 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
40,696531,2020/04/27 03:59:59+00,AUSSIES MOBILE GROOMING UNIT,0 MOBILE UNIT,40202,2020/04/28 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
41,696532,2020/04/27 03:59:59+00,FACTORY GYM,4709 ALLMOND AVE,40209,2020/04/29 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
42,696540,2020/04/27 03:59:59+00,HENKEL/DHL,7101 LOGISTICS DR,40258,2020/04/27 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
43,696656,2020/04/28 03:59:59+00,SUPER FITNESS,4680 BARDSTOWN RD,40218,2020/04/30 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
44,696875,2020/04/30 03:59:59+00,JOY TI CHILD CARE,8600 BEULAH CHURCH RD,40291,2020/05/01 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
45,696897,2020/04/30 03:59:59+00,MASTERBRAND CABINETS,6403 NEW CUT ROAD,40118,2020/05/01 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
46,696950,2020/05/01 03:59:59+00,BROADWAY FURNITURE AND MATTRESS OUTLET,1508 W BROADWAY,40203,2020/05/05 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
47,697164,2020/05/05 03:59:59+00,MARKS HALLMARK SHOP,3040 BARDSTOWN RD,40205,2020/05/06 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
48,697407,2020/05/11 03:59:59+00,YAMA HAIR BRAIDING,1903 BASHMANOR LN,40218,2020/05/12 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
49,697451,2020/05/11 03:59:59+00,SCULPT6,4167 WESTPORT RD,40207,2020/05/14 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
50,697664,2020/05/13 03:59:59+00,MERKLEY KENDRICK,138 CHENOWETH LANE,40207,2020/05/15 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
51,699619,2020/06/19 03:59:59+00,EL NOPAL,9451 WESTPORT RD,40241,2020/06/20 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
52,699710,2020/06/22 03:59:59+00,YMCA NORTHEAST,9400 MILLBROOK RD,40223,2020/06/22 03:59:59+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
53,710502,2020/11/30 05:00:00+00,JOE'S OLDER THAN DIRT,8131 NEW LAGRANGE RD,40222,2020/12/12 05:00:00+00,12,ENFORCEMENT ACTION,Z  ,CEASE OPERATION
