OBJECTID,PRECINCT,LEGISDIST,CONGDIST,SENDIST,COMMDIST,SCHOOLDIST,COUNDIST,FORMERPREC,COMMENTS,SHAPE_LENG,SHAPEAREA,SHAPELEN
393,J156,38,3,37,C,4,25,J143,,0,44928151.4049508,48461.3269539444
394,I162,37,3,38,B,5,13,,NV,0,1544.97404921875,273.760492723544
395,Q156,46,3,19,B,7,26,,SM,0,185394.580692187,4221.99892221036
396,B187,29,3,38,B,7,23,B186,,0,74019503.5382203,41979.6682734799
397,Q169,46,3,19,B,2,26,Q157/Q158,,0,3863355.70966484,11503.2553777124
398,Q154,46,3,19,B,6,2,Q152,,0,26276789.459293,33588.0515240027
399,E141,32,3,26,A,3,7, , ,0,2959391.11194766,7783.62957842491
400,E189,32,3,26,A,3,7,E187,,0,8955076.79605859,13346.2424070379
401,E202,32,3,6,A,3,7,, ,0,13844021.9347516,21925.717882788
402,I144,37,3,38,B,5,24, ,SM,0,3861114.14480625,9068.90447571736
403,K143,40,3,37,C,4,15, ,NV,0,63035.5868796875,2040.09577896749
404,L170,41,3,35,A,2,8,, ,0,2544535.87298828,7384.86427944357
405,N180,43,3,26,C,1,4,, ,0,2936058.35325547,8472.39367753729
406,K150,40,3,35,B,5,15, ,NV,0,227973.482126563,2081.20458720921
407,M189,42,3,33,C,1,4,M190, ,0,14115268.974868,16535.6690573684
408,N147,43,3,33,C,1,5, , ,0,2189350.74808203,6567.23054770322
409,G188,34,3,26,A,2,9,, ,0,6174041.65507344,12797.320687438
410,D142,31,3,26,A,7,11, , ,0,8648202.81993985,14607.4054465265
411,B184,29,3,26,B,6,22, ,SM,0,1702409.25906016,5236.3822222334
412,M211,42,3,35,B,6,15,,,0,4553312.02146797,10628.3436340977
413,K151,40,3,37,C,4,15, ,NV,0,19671.8678390625,692.901837773996
414,K158,40,3,37,C,4,3,,NV,0,332660.287623438,2799.62636119505
415,J160,38,3,35,C,5,13,, ,0,17528498.3875359,18471.7256012323
416,C124,30,3,19,A,2,10,, ,0,8326829.61404297,16333.9384847215
417,G169,34,3,26,A,2,9, , ,0,3774850.70915859,8912.76188751548
418,H182,35,3,37,C,5,25,,SM,0,4562292.71015547,9090.27330429467
419,L220,41,3,19,A,2,9,,NV,0,231615.7859875,2378.71978683991
420,A147,28,3,37,C,4,14,A141,,0,5579112.45918047,10047.0199999032
421,O153,44,3,33,C,4,1,,NV,0,1736056.82990625,5482.59118840988
422,K155,40,3,37,B,5,15,, ,0,6425708.56489063,11781.0387205656
423,L217,41,3,33,C,1,9,, ,0,3727338.28815234,8728.37082405589
424,Q151,46,3,19,B,2,10,, ,0,4791709.81817188,11197.9805121729
425,K157,40,3,37,C,4,15,,NV,0,1627.18673828125,231.299186321035
426,B190,29,3,19,B,6,23,, ,0,13966556.7234906,23043.2829632107
427,I135,37,3,38,C,5,13, , ,0,215680841.369152,110910.570971653
428,L171,41,3,35,A,2,8,, ,0,2491730.1889625,6604.66609631717
429,C110,30,3,35,B,6,2, , ,0,5377924.53394531,12727.1675863274
430,C123,30,3,19,B,2,10, C144, ,0,4014160.03823125,9247.33134580829
431,Q155,46,3,19,B,6,10,, ,0,2193686.89762266,10692.9998065269
432,L209,41,3,19,A,2,26,, ,0,3308198.48851641,11167.6505251426
433,L213,41,3,19,A,2,26,, ,0,5052873.27417422,13601.7190719735
434,E157,32,3,36,A,3,7, , ,0,3690940.04951719,8347.24959611671
435,E176,32,3,36,A,3,18,E186, ,0,16052817.0548219,34899.3738103372
436,F155,33,3,36,A,3A,17,, ,0,35477490.6349258,36308.4150620995
437,F158,33,3,36,A,3,19,, ,0,15465112.6475539,26489.3818742174
438,L188,41,3,19,A,2,8,, ,0,2529208.7785,8313.14813428642
439,L187,41,3,19,A,2,8,, ,0,3542630.99702734,11420.4064529658
440,I126,37,3,35,C,5,13, , ,0,21426901.2320484,22235.8235439241
441,N165,43,3,33,C,1,4,, ,0,6511923.72317891,11482.6127040279
442,O144,44,3,37,C,4,14,, ,0,30469530.4551414,26053.99117727
443,N128,43,3,33,C,1,5,N124/N127,,0,12879842.953,20922.828641399
444,M107,42,3,33,C,1,1, , ,0,4276473.99148359,8231.96155856091
445,M168,42,3,35,C,1,6, , ,0,641035.463990625,3280.18574185945
446,N155,43,3,26,C,1,4,, ,0,3010864.00517344,10839.3419936301
447,M176,42,3,19,B,6,6,, ,0,2242351.70721953,9407.92979565285
448,M179,42,3,19,B,6,10,, ,0,3431181.54789141,9561.11208588676
449,H125,35,3,35,B,5,21, , ,0,5105443.34241172,15061.8496876191
450,I163,37,3,19,B,5,24,, ,0,2741599.14874219,8173.68749761419
451,H123,35,3,35,B,6,21, , ,0,34535825.3613656,40529.9062151814
452,H126,35,3,35,B,6,21, , ,0,5631579.69995,9818.10094658614
453,E185,32,3,26,A,3,7, , ,0,2286031.25876328,6687.75110973711
454,B192,29,2,7,B,7,20,, ,0,297199508.606232,95314.3368824457
455,B161,29,2,7,B,7,22,, ,0,129585012.823088,98898.5603019546
456,O136,44,3,37,C,4,12, , ,0,22431148.6803711,23350.8047555611
457,B153,29,2,36,B,7,20,,SM,0,101203491.128127,64004.4907507077
458,L192,41,3,19,A,2,26,, ,0,3459327.22040469,8929.39637105079
459,D160,31,3,26,A,7,11,, ,0,34025885.9901055,33020.3066604672
460,E143,32,3,26,A,2,7, , ,0,11297051.9027523,18383.7710540558
461,G140,34,3,26,A,2,9,, ,0,4517809.52835781,8431.956919201
462,L218,41,3,35,B,2,8,, ,0,1895810.37434453,6459.31852274056
463,L183,41,3,19,B,2,8,, ,0,7666760.64283438,14372.8202691857
464,A118,28,3,33,C,4,14, ,Dry,0,9528668.63301172,15605.237069257
465,L166,41,3,19,B,2,10,, ,0,5089643.08359453,10517.6907036729
466,H163,35,3,35,B,6,21,, ,0,10534184.8153969,15763.2424411874
467,Q168,46,3,26,B,2,26,, ,0,12906605.2662687,18192.3214596146
468,L212,41,3,26,A,2,26,, ,0,6409184.90143672,16915.0621788541
469,G171,34,3,19,A,2,26,, ,0,10466886.1664086,18037.7789122143
470,F172,33,3,6,A,3,17, , ,0,8394692.96630078,14945.9946144949
471,L175,41,3,19,B,2,8,, ,0,6142117.51848984,14833.9989463449
472,H165,35,3,37,B,5,21,, ,0,10614790.2274344,12968.4979996507
473,O135,44,3,33,C,4,12,O139, ,0,124359550.882848,59833.0576984586
474,Q107,46,3,19,B,6,24, , ,0,25240690.7598969,31633.5056171484
475,S167,48,3,26,A,3,16, , ,0,88012945.5073008,39432.0841580149
476,G186,34,3,26,A,1,4,, ,0,4841067.28391641,9787.82926838844
477,G174,34,3,26,C,1,4,, ,0,6855611.86537266,13312.1375933334
478,M129,42,3,33,C,1,6,M187, ,0,14401840.3829219,24343.0112671934
479,N135,43,3,26,C,1,4, , ,0,35544187.3123695,24984.9149747205
480,N130,43,3,26,A,1,9, , ,0,24426179.6653594,27663.8390095768
481,E194,32,3,6,A,3,17,, ,0,15088726.1819703,16540.0561256187
482,S139,48,3,36,A,3,17, , ,0,16232356.2120633,20296.5596187988
483,L184,41,3,19,B,2,8,, ,0,7092959.16282187,11838.5537881846
484,A152,28,3,33,C,4,14,, ,0,28251645.7405227,25170.6722785724
485,F176,33,3,36,A,3,19, , ,0,8692624.51369062,12941.4160962141
486,B188,29,3,26,B,5,23,,SM,0,757763.709026563,5462.3528569516
487,G175,34,3,26,A,1,9,, ,0,12935529.6805164,20496.5180982554
488,H130,35,3,35,B,5,21, ,NV,0,47508278.378575,37260.5052273697
489,J162,38,3,35,C,5,13,, ,0,6645126.02157188,11425.1115430064
490,H124,35,3,35,B,5,21, , ,0,15769417.1967398,18340.5271149392
491,J158,38,3,33,C,4,25,,pDry,0,11273424.3191008,18795.850798409
492,A134,28,3,33,C,5,14, , ,0,22178431.121925,27378.836162472
493,J123,38,3,37,C,5,25, ,pDry,0,34645777.9527594,45077.437672437
494,J157,38,3,37,C,4,25,, ,0,26806772.5836461,35751.375291339
495,J172,38,3,35,C,5,13,, ,0,5605396.02018281,12839.8826310832
496,I151,37,3,26,B,5,24, , ,0,13421966.0387641,17613.9290799741
497,H184,35,3,35,B,5,24,, ,0,12975189.5229211,14781.1848604373
498,J105,38,3,37,B,5,15, , ,0,44322164.8327727,36689.4106249126
499,D173,31,3,36,A,3,18,, ,0,11784310.437882,21360.7770379274
500,V120,36,3,36,A,7,19, , ,0,38554406.8636898,31370.3898414417
501,N170,43,3,26,C,6,6,, ,0,2398272.97868203,7226.15842059647
502,M195,42,3,33,C,1,5,, ,0,7209117.67097109,13040.3530041847
503,G195,34,3,26,A,2,9,, ,0,6682044.84609844,12572.0431962591
504,S172,48,3,26,A,3,16,, ,0,17001099.9532664,21231.0457377328
505,E206,32,3,6,A,3,17,, ,0,7167050.47280313,11510.7352813864
506,V123,36,3,36,A,7,11,,SM,0,2424681.00088672,9830.17854557917
507,V118,36,3,36,A,3,19, , ,0,14985907.621843,22465.3701131474
508,O107,44,3,33,C,4,1, , ,0,19623967.7851547,26406.0288756537
509,I164,37,3,26,B,5,24,, ,0,14842141.0200367,17511.8496052556
510,B193,29,3,36,B,7,20,, ,0,5162002.95706406,12098.0222851782
511,M121,42,3,35,C,1,6, , ,0,6051599.25416016,11785.1675419802
512,A125,28,3,37,C,4,12, , ,0,33318903.0964508,32086.6558977281
513,C101,30,3,35,B,6,10, , ,0,63508391.0259477,39590.6007832108
514,B191,29,3,36,B,7,20,, ,0,30438813.1094656,31944.7393663129
515,A145,28,3,37,C,4,25,, ,0,18292809.7451344,18293.0183316657
516,J119,38,3,37,B,5,25, , ,0,8058625.02364766,12490.803534968
517,C157,30,3,35,B,6,21,, ,0,2286072.61487031,10892.0860426845
518,Q167,46,3,19,B,2,26,Q149/Q159/Q160,,0,18737935.1085188,24274.7046184154
519,C153,30,3,35,B,6,2,, ,0,14903656.7468977,27626.0552867208
520,K160,40,3,37,C,5,3,, ,0,3368623.33904141,9029.52642311322
521,K112,40,3,35,B,1,3, , ,0,1852230.64629141,5813.90461061264
522,K173,40,3,33,C,1,3,, ,0,2376968.75450078,8450.04872032001
523,G176,34,3,26,A,1,4,,SM,0,378472.840732031,3292.49044811579
524,M188,42,3,35,C,1,6,, ,0,9091519.37002813,19556.7868759188
525,N169,43,3,26,C,6,4,,SM,0,876588.620713281,3805.73319502032
526,N173,43,3,26,C,6,9,,SM,0,371440.102778906,2577.81740080013
527,N172,43,3,26,C,6,4,, ,0,811031.805221875,4197.80740610305
528,N171,43,3,26,C,6,8,, ,0,1776260.31780469,5659.46938130763
529,L207,41,3,26,C,1,4,,SM,0,1741893.48928828,6331.72796102737
530,N176,43,3,35,C,1,4,,SM,0,649971.166815625,3451.26718518022
531,M212,42,3,35,C,1,15,, ,0,2140694.57737109,7195.50411111176
532,N178,43,3,26,A,1,4,, ,0,723005.323341406,3981.79573521776
533,N179,43,3,33,C,1,5,, ,0,5839596.73666094,10729.1865557863
534,K166,40,3,35,B,1,21,,NV,0,841170.827211719,3854.88056976582
535,G181,34,3,26,A,2,9,, ,0,2479263.34151563,6320.10155494917
536,L185,41,3,19,A,2,26,, ,0,2324797.81785547,9519.53098509857
537,L195,41,3,19,B,6,8,, ,0,3861375.18794297,7909.71124834512
538,G158,34,3,19,A,2,26, , ,0,2901621.13122266,6969.35660349748
539,G173,34,3,26,A,2,26,, ,0,4707849.70237969,8843.50954782256
540,Q150,46,3,19,B,2,26,, ,0,4059450.72746641,11378.8476909956
541,D148,31,3,26,A,2,26,, ,0,4353625.91680469,8549.48412841241
542,V136,36,2,36,A,7,19,,Dry,0,34426622.212418,49674.0920416357
543,D169,31,3,36,A,7,19,, ,0,19306906.5725047,31385.2255059248
544,I161,37,3,19,B,5,13,,SM,0,1068040.39128516,5300.59144763954
545,I159,37,3,38,B,5,13,, ,0,3274169.10096719,8701.33105664628
546,H173,35,3,35,B,5,21,,NV,0,44257957.1871594,36418.0866664305
547,H177,35,3,35,B,6,24,, ,0,7668931.96581406,14449.3561935798
548,K165,40,3,37,B,5,21,, ,0,2473412.54124141,8560.16894423786
549,S169,48,3,36,A,3,17,, ,0,1843344.29171328,6223.172670303
550,S170,48,3,36,A,7,17,,SM,0,2383030.98968906,9448.67676140431
551,F184,33,3,36,A,7,19, , ,0,29837586.6990195,24076.654801626
552,F153,33,3,36,A,3,18, , ,0,4669655.07762422,11254.9331020854
553,Q164,46,3,26,B,7,26,, ,0,3195762.85673281,8132.46087152255
554,Q162,46,3,26,B,7,22,Q147,,0,6285714.30352266,10729.8128296489
555,Q144,46,3,19,B,6,23,, ,0,6167035.19754375,12263.9430361417
556,B196,29,3,38,B,7,23,, ,0,8121343.48720625,13784.0251580442
557,Q165,46,3,26,B,6,24,, ,0,2619102.4399375,8113.84875774714
558,Q109,46,3,19,B,6,24, , ,0,9296563.09359063,17825.73834847
559,O138,44,3,37,C,4,1, , ,0,5999230.76469844,10804.3379915073
560,I166,37,3,38,C,5,25,,SM,0,6255997.97700156,12939.4620164387
561,J164,38,3,38,C,5,13,,SM,0,8744026.67066641,16538.706946727
562,J166,38,3,37,C,4,3,, ,0,4552459.6507,9927.5281463721
563,K167,40,3,35,B,5,3,,SM,0,1384036.98641563,4865.38389425091
564,K164,40,3,35,B,5,3,,SM,0,987296.662844531,4569.4002745597
565,N154,43,3,26,C,1,4,, ,0,8203704.7098625,13696.5477820867
566,N158,43,3,26,C,1,6,, ,0,1179292.52829922,4788.36430713006
567,L215,41,3,19,B,6,6,,SM,0,1161158.364,4271.85222666886
568,H164,35,3,19,B,6,21,, ,0,7399823.10419609,14933.7569394541
569,L194,41,3,19,B,6,15,, ,0,2085709.86999531,6471.99609014702
570,L205,41,3,33,C,1,4,,NV,0,194295.620328906,1993.92806960523
571,N163,43,3,26,C,1,4,, ,0,2692635.65422031,7733.40446080892
572,G165,34,3,26,A,2,9, , ,0,3227113.35286719,7415.27124075423
573,D151,31,3,26,A,2,18,,SM,0,181670.217449219,3007.31391902156
574,C155,30,3,35,B,6,2,, ,0,9160485.74522735,12228.6576430653
575,B160,29,3,19,B,6,22, , ,0,5812005.14726016,11715.2446012428
576,B195,29,3,7,B,7,22,,SM,0,3131895.90423125,11927.1646301559
577,B194,29,2,38,B,6,22,,SM,0,977126.666803906,4337.43996590221
578,V107,36,2,36,B,7,20,, ,0,105254898.512212,93121.4279987788
579,D149,31,3,7,A,7,11,, ,0,4660642.68893516,11604.7430689264
580,V106,36,3,36,A,7,20,, ,0,6874270.44269375,12953.7378562253
581,D153,31,2,36,A,7,11,,SM,0,4190791.66621406,9470.50467070052
582,V137,36,3,36,A,7,11,, ,0,14905381.8565461,20625.66132698
583,V139,36,3,36,A,7,19,, ,0,20854310.4671625,25377.2794197364
584,F189,33,2,36,A,7,19,,SM,0,3751349.81945469,7979.39289628714
585,F188,33,3,36,A,7,19,,SM,0,14697762.6917258,17301.9203890743
586,E207,32,3,6,A,3,17,, ,0,5815320.25146563,10952.4311291711
587,K162,40,3,35,B,1,6,,SM,0,1322802.20273437,5921.65002811381
588,K161,40,3,35,C,1,3,, ,0,1532558.14780703,6772.19105842563
589,K163,40,3,35,B,1,3,,SM,0,662171.79285625,3316.40804143565
590,K176,40,3,37,B,5,15,, ,0,2740389.169975,8761.95612773638
591,J163,38,3,37,B,5,25,, ,0,1863876.03196875,5629.22002382019
592,D147,31,3,7,B,7,20,,SM,0,534387.679942969,3172.93732688399
593,N151,43,3,35,B,6,6,,SM,0,182452.914596094,2053.61245685707
594,N153,43,3,19,B,6,6,,SM,0,577607.437732812,3218.58470319485
595,K111,40,3,37,B,5,3, , ,0,3333469.25355781,8629.43079757316
596,M210,42,3,19,B,6,15,, ,0,4000408.09207969,14187.3419109731
597,M180,42,3,35,B,6,15,,NV,0,75916.85196875,1191.31064931799
598,N168,43,3,33,C,1,4,, ,0,2504470.71485,8554.10616321495
599,M124,42,3,35,C,1,6, , ,0,4892440.3466,9277.44230513849
600,N145,43,3,33,C,1,4, , ,0,3624206.64721172,9792.64606010164
601,E198,32,3,36,A,3,17,, ,0,8731921.53286485,13937.369536509
602,N161,43,3,33,C,1,4,, ,0,1033845.95948281,5008.31082901789
603,C104,30,3,35,B,6,2, , ,0,6767544.45343516,11798.1859546329
604,D155,31,3,36,A,3,18,, ,0,6333649.98267422,16652.4643269664
605,V130,36,3,36,A,7,19, , ,0,4349382.66095391,13325.5353589592
606,M131,42,3,35,C,1,6, , ,0,5750273.24802734,13686.0870559444
607,N175,43,3,35,C,1,6,, ,0,4577901.85166094,10438.8493888394
608,K141,40,3,35,B,6,15, , ,0,6301392.00989219,11907.4816020566
609,M183,42,3,35,C,1,15,,SM,0,5418922.61951797,11376.5558832527
610,V116,36,3,36,A,7,11, , ,0,93043229.6630852,56318.29762407
611,I160,37,3,19,B,5,24,, ,0,29385603.9117172,28595.3621565759
612,H138,35,3,35,B,5,13, , ,0,19167714.9248156,20949.2655414724
613,I157,37,3,10,C,4,14,, ,0,184198832.655527,97725.0030261849
614,J150,38,3,37,C,5,25,, ,0,39279049.8459867,33736.2156176029
615,H168,35,3,35,C,5,13,, ,0,23312060.8811633,27705.197888653
616,K116,40,3,35,B,5,15, ,SM,0,1255979.08844766,5612.13356797174
617,C103,30,3,35,B,2,10, , ,0,22943825.7620883,25486.0093646902
618,H121,35,3,19,B,6,10, , ,0,8339714.69531953,12863.4404205487
619,L196,41,3,19,B,6,10,, ,0,16712176.1966773,30285.1689309131
620,V127,36,2,36,A,7,19, , ,0,28769295.406282,35019.2833350033
621,I158,37,3,38,B,5,24,, ,0,12622211.7911063,16153.5143406802
622,I167,37,3,38,C,5,13,,pDry,0,182969478.305545,67022.3512622329
623,L197,41,3,19,B,6,10,, ,0,39139056.8861727,51423.0989809039
624,H185,35,3,35,B,5,21,H161, ,0,23860735.2819148,26601.0468057606
625,J122,38,3,37,C,5,13, ,SM,0,3479998.47003672,9799.06297202924
626,G143,34,3,19,A,2,8, G142,,0,23244931.5585984,30236.741818759
627,M159,42,3,19,C,6,15, M145/M160,,0,2048742.35466953,7420.17500158516
