OBJECTID,PRECINCT,LEGISDIST,CONGDIST,SENDIST,COMMDIST,SCHOOLDIST,COUNDIST,FORMERPREC,COMMENTS,SHAPE_LENG,SHAPEAREA,SHAPELEN
133,K180,40,3,33,C,4,3,, ,0,10393973.321318,16265.3635740081
134,D122,31,3,26,A,7,11, , ,0,8964566.39611016,14296.7199646511
135,D141,31,3,26,B,2,11, , ,0,6683692.21214844,11350.9078851749
136,C106,30,3,35,B,6,2, , ,0,40890014.9670109,28597.703426389
137,Q148,46,3,19,B,2,2,, ,0,18647404.8890422,22804.8909161748
138,C134,30,3,19,B,6,10, ,Dry,0,11483240.4329719,20476.8274264327
139,K131,40,3,33,C,4,3, , ,0,13007681.3017172,23755.864774481
140,K156,40,3,37,B,5,21,, ,0,4888516.94409297,9012.68244171771
141,O109,44,3,33,C,4,1, , ,0,14150153.1982664,16916.2938222646
142,O121,44,3,33,C,4,3, , ,0,7998658.97174844,14163.0303721456
143,D116,31,3,26,A,7,11,, ,0,8484927.20028672,14975.3063757431
144,V105,36,2,7,B,7,20, , ,0,574715522.834759,130186.252291249
145,K117,40,3,37,B,5,15, , ,0,5103560.28804922,13555.2673306514
146,K142,40,3,35,B,5,15, ,NV,0,4017818.32193516,10539.5188999488
147,O112,44,3,33,C,4,1, , ,0,81469472.8435594,45113.338430648
148,C137,30,3,19,B,2,10, , ,0,11129265.2887117,20120.6319213325
149,Q161,46,3,19,B,2,26,, ,0,6100033.92911797,13555.0125950062
150,K159,40,3,37,C,5,15,, ,0,3800932.29328828,9274.48228906791
151,C102,30,3,35,B,2,10, , ,0,4187241.73237969,8905.32249585137
152,O150,44,3,33,C,4,3,, ,0,3535385.55099766,7995.68372768816
153,O119,44,3,33,C,4,3, , ,0,9012835.01396797,12182.8087044305
154,V112,36,2,36,B,7,11, ,SM,0,25631871.0358273,21688.5594928422
155,H120,35,3,19,B,6,10, , ,0,10590949.5765336,14825.098838072
156,K152,40,3,19,B,5,21,,SM,0,26305632.3047563,27032.8713252789
157,C138,30,3,19,A,2,10, , ,0,3922951.19508281,9934.45628786162
158,D132,31,3,26,A,2,11, , ,0,10315648.596175,16557.8444310812
159,O117,44,3,33,C,4,3, , ,0,7900527.14935859,13553.8342609565
160,D120,31,3,26,A,7,11, , ,0,17640968.7635406,23237.1275075776
161,K140,40,3,35,B,5,15, , ,0,3862521.63093828,13480.8436862457
162,K125,40,3,37,C,5,3, , ,0,6649671.02110938,16472.6386430601
163,K153,40,3,19,B,6,10,, ,0,2914674.15454531,7968.40487772253
164,C126,30,3,19,B,2,10, , ,0,6607025.68847266,14225.8208884137
165,D114,31,3,26,A,2,26,, ,0,9063810.59958203,21894.1912028119
166,O105,44,3,33,C,4,1, , ,0,24891340.1768008,29831.3151890505
167,H117,35,3,19,B,6,10, , ,0,9201568.72080938,13861.0270217308
168,D139,31,3,26,A,2,11, , ,0,9655821.76994531,16880.7666282651
169,L201,41,3,19,B,6,10,, ,0,6972536.9495,13931.5767969967
170,C129,30,3,19,A,2,26, , ,0,13320557.725325,19331.4890784467
171,L198,41,3,19,B,2,10,, ,0,8760462.03018984,15804.254580507
172,H176,35,3,35,B,5,21,,SM,0,16612598.9832477,23563.9880974234
173,K114,40,3,37,B,5,3, , ,0,6754828.12096641,12663.4729931589
174,K134,40,3,19,B,6,15, , ,0,5019523.65726094,11402.8347599494
175,D117,31,3,26,A,2,11, , ,0,9553911.2949625,13883.097035348
176,L199,41,3,19,B,6,10,, ,0,4740266.17019766,12240.2649481013
177,L165,41,3,19,A,2,26,, ,0,5530924.46621484,10707.7081977396
178,D159,31,3,26,A,7,11,, ,0,4905357.07395469,11751.1642272176
179,L180,41,3,19,B,2,8,, ,0,7969159.46570547,14285.6981298717
180,K123,40,3,33,C,4,3, , ,0,20550718.9986758,24120.2581779679
181,O154,44,3,33,C,4,3,, ,0,11216937.4061594,14313.5961595465
182,L211,41,3,19,A,2,10,, ,0,4816309.07057344,10774.8716663089
183,L178,41,3,19,B,2,8,, ,0,4149865.19777969,9866.09807125216
184,G185,34,3,26,A,2,26,, ,0,22061778.4652063,22753.5837255795
185,L181,41,3,19,B,2,8,, ,0,3458432.4288625,9775.66083091601
186,L167,41,3,19,A,2,8,, ,0,10532956.5678414,16581.9448208516
187,D167,31,3,26,A,7,11,, ,0,27356199.4754594,25292.580208864
188,K135,40,3,35,B,1,15,, ,0,9510001.03241797,15641.9949587763
189,L168,41,3,19,A,2,26,, ,0,7088222.13414688,14164.0026386721
190,L210,41,3,19,A,2,26,, ,0,5851784.81854375,15172.9403529752
191,L182,41,3,19,B,2,8,, ,0,1576051.06255,5805.99953276642
192,K113,40,3,35,B,1,6,K136, ,0,3548326.7305125,9762.86067017596
193,G184,34,3,26,A,2,26,G197, ,0,7480910.21569297,17026.0191874968
194,K122,40,3,35,C,1,3, , ,0,25123128.7172563,27215.1010344735
195,L189,41,3,19,A,2,8,L191, ,0,5145890.36331016,10877.3985749724
196,M184,42,3,19,B,6,15,, ,0,4456506.80811719,9230.39328053262
197,L186,41,3,19,A,2,8,, ,0,4922544.40865,11538.2801926864
198,K179,40,3,33,C,1,3,, ,0,16967686.1552188,27074.0231502861
199,L193,41,3,19,B,6,10,, ,0,6438784.46742813,11238.0387930439
200,L177,41,3,19,B,2,8,, ,0,11040820.985557,16264.7140411838
201,L179,41,3,19,B,2,8,, ,0,4766016.0264,9875.95408551094
202,K110,40,3,35,C,1,6, , ,0,7532906.71548984,12554.5255009472
203,K170,40,3,33,C,1,3,, ,0,5515583.27242187,12847.3631827333
204,G172,34,3,19,A,2,8,, ,0,4676398.34818516,10541.800912602
205,M203,42,3,33,C,1,5,M204/M207, ,0,6300984.92780625,11556.048158679
206,G177,34,3,26,A,2,9,, ,0,4787808.04315156,11671.0486895481
207,G163,34,3,26,A,2,9, , ,0,5016168.17522656,12734.4936932366
208,M202,42,3,33,C,1,5,, ,0,2931672.99309141,7776.00560813097
209,G190,34,3,26,A,2,9,, ,0,6130993.49693359,21816.4810052735
210,M186,42,3,33,C,1,4,, ,0,6724420.37234453,10940.1908443382
211,M201,42,3,33,C,1,5,, ,0,6786060.39388047,11903.4969972721
212,G150,34,3,26,A,2,9, , ,0,7161646.20428281,15274.6880254796
213,F163,33,3,36,A,3,18,, ,0,10778973.3153438,22555.9217366646
214,G189,34,3,26,A,2,9,, ,0,5617656.91290078,13280.3471532564
215,V110,36,2,36,A,7,19, , ,0,44583429.208668,32874.1227011486
216,G141,34,3,26,A,2,9, , ,0,6183211.96873516,14545.3817343965
217,D154,31,3,36,A,3,18,, ,0,9147945.57153828,14034.0692331304
218,M178,42,3,19,B,6,15,, ,0,4599900.52159375,10496.0666863965
219,M177,42,3,19,B,6,15,, ,0,4607943.79873984,13563.9901312006
220,L176,41,3,19,B,2,8,, ,0,4627040.50115625,9836.0045870361
221,G182,34,3,19,A,2,26,, ,0,8459741.25680078,16791.1921306791
222,M182,42,3,35,C,1,6,, ,0,9449732.05950703,17575.6866472987
223,D152,31,3,36,A,7,11,, ,0,76864399.006625,39502.349620149
224,G196,34,3,26,A,2,18,, ,0,10278241.0756688,14572.3483469576
225,K171,40,3,33,C,1,1,, ,0,3551366.54756719,7778.6235530972
226,G146,34,3,19,A,2,8, , ,0,6341296.9789,13960.6534431134
227,G161,34,3,19,A,2,8, , ,0,4334272.02095,10624.3514533951
228,M181,42,3,35,C,1,6,, ,0,6321306.21866328,11509.8944876043
229,L174,41,3,19,B,2,8,L202, ,0,3494294.44321719,8287.93299702714
230,K178,40,3,35,C,1,6,, ,0,13525144.5139758,17572.2837229891
231,D164,31,3,36,A,3,18,, ,0,15336591.3027281,20190.5550004093
232,D166,31,3,36,A,3,18,, ,0,5468760.1989,11195.1932087101
233,O151,44,3,33,C,1,1,, ,0,7138984.90050703,11954.4888874644
234,N174,43,3,19,C,6,6,, ,0,1798133.08104375,6535.32289601264
235,D168,31,3,36,A,3,19,, ,0,9807692.80582344,13179.4416638001
236,O145,44,3,33,C,1,1,, ,0,8594624.43057656,12789.3264402495
237,L172,41,3,19,A,2,8,, ,0,2193471.96554219,6409.80070537591
238,G144,34,3,19,A,2,8, , ,0,5584179.29071328,11954.8375371124
239,O152,44,3,33,C,1,1,, ,0,132112227.528197,65028.509559552
240,M123,42,3,35,C,1,6, , ,0,4056886.03399297,11495.9360728985
241,G145,34,3,19,A,2,8, G162, ,0,20431640.5739813,39635.7170962477
242,M213,42,3,19,B,6,15,, ,0,3584898.19653359,8833.98552010152
243,V121,36,2,36,A,7,11, , ,0,22571433.4865914,26075.4644208147
244,D150,31,3,36,A,2,18,, ,0,23451535.3372961,26560.9796018467
245,G183,34,3,26,A,2,18,, ,0,9821085.09826953,17320.2878968638
246,L173,41,3,19,A,2,8,, ,0,3632008.6368625,9243.3626252251
247,N177,43,3,35,C,6,6,, ,0,4333589.94415781,10024.2444780294
248,O147,44,3,33,C,1,1,,pDry,0,6009127.66171172,10853.8346018718
249,K169,40,3,33,C,1,6,, ,0,2833189.89312656,7010.89959088856
250,N166,43,3,35,C,1,6,, ,0,2353977.93278594,6165.88477672595
251,V113,36,2,36,A,7,11, , ,0,72312244.0757922,56857.9606554788
252,L203,41,3,35,A,2,8,, ,0,3987375.40811172,8414.43042804661
253,D157,31,3,36,A,3,18,, ,0,17914871.9409703,20169.0358433588
254,N181,43,3,35,C,6,6,, ,0,2560438.94405234,9584.05370388298
255,N152,43,3,35,B,6,8,, ,0,946244.946828906,4481.92848870638
256,M192,42,3,35,C,1,6,, ,0,4306307.727525,8966.60837504669
257,D172,31,3,36,A,3,18,, ,0,8487933.70787656,16408.435141443
258,M110,42,3,33,C,1,4, , ,0,3070433.85936016,7288.4898437251
259,O146,44,3,33,C,1,1,, ,0,32295523.11455,38953.8371408536
260,D156,31,3,36,A,3,18,, ,0,12557979.1574359,22714.454815401
261,G160,34,3,19,A,2,9,G168, ,0,10100873.4956578,14313.2261388494
262,E139,32,3,26,A,2,26, , ,0,9077414.85553047,13675.8561127269
263,D171,31,3,36,A,3,18,, ,0,8807094.01022109,15225.1023543634
264,L169,41,3,35,B,2,8,, ,0,5427764.71810469,11584.3290200161
265,D165,31,3,36,A,3,18,, ,0,8157277.69379766,18222.7018160143
266,N157,43,3,35,C,1,4,, ,0,1959752.90161953,5752.38631965821
267,D158,31,3,36,A,3,18,, ,0,12662475.9447328,17840.0113734992
268,G157,34,3,19,A,2,9,, ,0,15368434.608093,21837.3177696624
269,M191,42,3,33,C,1,1,, ,0,10611243.741443,15385.4526303379
270,G164,34,3,26,A,2,9, , ,0,5906092.53724141,12261.7621318569
271,D161,31,3,36,A,3,18,, ,0,13465370.3155203,26942.9451183611
272,G159,34,3,19,A,2,8, ,NV,0,25338975.9982133,23960.6470089357
273,G156,34,3,19,A,2,9,, ,0,13700199.9756648,18824.1902269872
274,E162,32,3,36,A,3,7, , ,0,21530233.7990383,24624.9324183054
275,M197,42,3,35,C,1,4,,SM,0,10094371.0615234,13577.2087771278
276,N160,43,3,26,C,1,4,, ,0,5986326.95489922,11850.9372528851
277,F169,33,3,36,A,3,18, , ,0,2257469.85761406,8023.35289051259
278,L208,41,3,26,A,2,9,, ,0,6113232.70304219,14510.6654604789
279,F170,33,3,36,A,3,18, , ,0,2294056.05380625,9606.05424953072
280,L219,41,3,35,A,2,8,, ,0,15673243.5584508,18296.1388137779
281,G170,34,3,19,A,2,26,, ,0,24342907.4146672,27999.1755896334
282,M194,42,3,33,C,1,4,, ,0,8029627.89991875,11465.1899895727
283,L216,41,3,26,C,1,9,, ,0,2358039.94941406,7318.62241939626
