Geo_FIPS,StateFIPS,CountyFIPS,TractFIPS,BlockgroupFIPS,TotalPopEst2015_19ACS,YearOfStartDate,UnderAge1PopEst2015_19ACS,Age0to17PopEst2015_19ACS,Unique0to17WithED_Visit,Unique0to17WithED_VisitPer100,NumberED_VisitsAge0to17,ED_VisitsPer100Age0to17,NumberLowAcuityED_VisitsAge0to17,LowAcuityED_VisitsPer100Age0to17,NumberAsthmaRelatedED_Visits,AsthmaRelatedED_VisitsPer100Age0to17,NumberED_VisitsByChildrenUnder1YearOld,NumberOfInjuryRelatedVisits,InjuryRelatedEDVisitsPer100Age0to17,NumberAcuteRespiratoryTractInfectionRelatedED_VisitsAge0to17,AcuteRespiratoryTractInfectionRelatedED_VisitsPer100Age0to17
420031304001,42,3,130400,1,231,2019.0,7.2,61,45.0,73.8,77.0,126.2,44.0,72.1,26.0,42.6,10.0,2.0,3.3,8.0,13.1
420031304002,42,3,130400,2,361,2016.0,2.8,115,34.0,29.6,47.0,40.9,29.0,25.2,11.0,9.6,5.0,,0.0,4.0,3.5
420031304002,42,3,130400,2,361,2017.0,2.8,115,46.0,40.0,68.0,59.1,38.0,33.0,16.0,13.9,19.0,1.0,0.9,16.0,13.9
420031304002,42,3,130400,2,361,2018.0,2.8,115,51.0,44.3,86.0,74.8,53.0,46.1,23.0,20.0,19.0,3.0,2.6,10.0,8.7
420031304002,42,3,130400,2,361,2019.0,2.8,115,52.0,45.2,93.0,80.9,64.0,55.7,22.0,19.1,13.0,,0.0,14.0,12.2
420031304003,42,3,130400,3,353,2016.0,5.6,110,30.0,27.3,48.0,43.6,23.0,20.9,24.0,21.8,4.0,,0.0,13.0,11.8
420031304003,42,3,130400,3,353,2017.0,5.6,110,28.0,25.5,68.0,61.8,38.0,34.5,33.0,30.0,10.0,2.0,1.8,14.0,12.7
420031304003,42,3,130400,3,353,2018.0,5.6,110,23.0,20.9,35.0,31.8,23.0,20.9,15.0,13.6,1.0,,0.0,2.0,1.8
420031304003,42,3,130400,3,353,2019.0,5.6,110,23.0,20.9,33.0,30.0,24.0,21.8,14.0,12.7,,,0.0,3.0,2.7
420031306001,42,3,130600,1,858,2016.0,20.6,211,51.0,24.2,99.0,46.9,63.0,29.9,21.0,10.0,14.0,,0.0,17.0,8.1
420031306001,42,3,130600,1,858,2017.0,20.6,211,47.0,22.3,86.0,40.8,57.0,27.0,15.0,7.1,11.0,,0.0,13.0,6.2
420031306001,42,3,130600,1,858,2018.0,20.6,211,40.0,19.0,74.0,35.1,50.0,23.7,7.0,3.3,5.0,,0.0,10.0,4.7
420031306001,42,3,130600,1,858,2019.0,20.6,211,45.0,21.3,85.0,40.3,60.0,28.4,4.0,1.9,10.0,,0.0,12.0,5.7
420031306002,42,3,130600,2,576,2016.0,4.4,73,29.0,39.7,54.0,74.0,22.0,30.1,19.0,26.0,2.0,,0.0,10.0,13.7
420031306002,42,3,130600,2,576,2017.0,4.4,73,36.0,49.3,63.0,86.3,29.0,39.7,17.0,23.3,11.0,,0.0,7.0,9.6
420031306002,42,3,130600,2,576,2018.0,4.4,73,34.0,46.6,56.0,76.7,38.0,52.1,21.0,28.8,12.0,1.0,1.4,11.0,15.1
420031306002,42,3,130600,2,576,2019.0,4.4,73,37.0,50.7,95.0,130.1,48.0,65.8,19.0,26.0,4.0,2.0,2.7,13.0,17.8
420031306003,42,3,130600,3,1535,2016.0,33.6,398,311.0,78.1,574.0,144.2,304.0,76.4,172.0,43.2,85.0,5.0,1.3,115.0,28.9
420031306003,42,3,130600,3,1535,2017.0,33.6,398,279.0,70.1,508.0,127.6,264.0,66.3,139.0,34.9,101.0,4.0,1.0,84.0,21.1
420031306003,42,3,130600,3,1535,2018.0,33.6,398,325.0,81.7,613.0,154.0,363.0,91.2,187.0,47.0,105.0,5.0,1.3,103.0,25.9
420031306003,42,3,130600,3,1535,2019.0,33.6,398,317.0,79.6,609.0,153.0,395.0,99.2,148.0,37.2,92.0,6.0,1.5,127.0,31.9
420031401001,42,3,140100,1,883,2016.0,11.8,167,30.0,18.0,38.0,22.8,18.0,10.8,1.0,0.6,9.0,,0.0,4.0,2.4
420031401001,42,3,140100,1,883,2017.0,11.8,167,167.0,22.2,45.0,26.9,24.0,14.4,5.0,3.0,3.0,,0.0,1.0,0.6
420031401001,42,3,140100,1,883,2018.0,11.8,167,26.0,15.6,29.0,17.4,16.0,9.6,,0.0,4.0,1.0,0.6,,0.0
420031401001,42,3,140100,1,883,2019.0,11.8,167,27.0,16.2,35.0,21.0,16.0,9.6,3.0,1.8,,,0.0,1.0,0.6
420031401002,42,3,140100,2,2439,2016.0,20.6,335,39.0,11.6,49.0,14.6,18.0,5.4,6.0,1.8,3.0,,0.0,2.0,0.6
420031401002,42,3,140100,2,2439,2017.0,20.6,335,36.0,10.7,50.0,14.9,21.0,6.3,6.0,1.8,3.0,,0.0,3.0,0.9
420031401002,42,3,140100,2,2439,2018.0,20.6,335,31.0,9.3,36.0,10.7,21.0,6.3,3.0,0.9,3.0,,0.0,2.0,0.6
420031401002,42,3,140100,2,2439,2019.0,20.6,335,35.0,10.4,40.0,11.9,11.0,3.3,6.0,1.8,2.0,,0.0,6.0,1.8
420031401003,42,3,140100,3,282,2016.0,0.0,0,1.0,,2.0,,,,,,,,,,
420031401003,42,3,140100,3,282,2017.0,0.0,0,3.0,,3.0,,,,,,,,,,
420031401003,42,3,140100,3,282,2018.0,0.0,0,2.0,,2.0,,,,,,,,,,
420031401003,42,3,140100,3,282,2019.0,0.0,0,3.0,,4.0,,,,,,,,,,
420031401004,42,3,140100,4,1916,2016.0,0.0,39,2.0,5.1,2.0,5.1,1.0,2.6,,0.0,,,0.0,1.0,2.6
420031401004,42,3,140100,4,1916,2017.0,0.0,39,3.0,7.7,3.0,7.7,,0.0,,0.0,,,0.0,,0.0
420031401004,42,3,140100,4,1916,2018.0,0.0,39,3.0,7.7,5.0,12.8,,0.0,,0.0,,,0.0,,0.0
420031401004,42,3,140100,4,1916,2019.0,0.0,39,3.0,7.7,3.0,7.7,1.0,2.6,,0.0,1.0,1.0,2.6,,0.0
420031402001,42,3,140200,1,1058,2016.0,3.0,49,14.0,28.6,14.0,28.6,4.0,8.2,,0.0,1.0,,0.0,1.0,2.0
420031402001,42,3,140200,1,1058,2017.0,3.0,49,14.0,28.6,20.0,40.8,2.0,4.1,1.0,2.0,5.0,,0.0,2.0,4.1
420031402001,42,3,140200,1,1058,2018.0,3.0,49,20.0,40.8,24.0,49.0,8.0,16.3,3.0,6.1,4.0,,0.0,2.0,4.1
420031402001,42,3,140200,1,1058,2019.0,3.0,49,17.0,34.7,20.0,40.8,7.0,14.3,,0.0,2.0,1.0,2.0,2.0,4.1
420031402002,42,3,140200,2,1465,2016.0,8.2,201,25.0,12.4,33.0,16.4,11.0,5.5,2.0,1.0,5.0,,0.0,6.0,3.0
420031402002,42,3,140200,2,1465,2017.0,8.2,201,18.0,9.0,19.0,9.5,7.0,3.5,,0.0,1.0,,0.0,,0.0
420031402002,42,3,140200,2,1465,2018.0,8.2,201,21.0,10.4,27.0,13.4,9.0,4.5,1.0,0.5,4.0,2.0,1.0,2.0,1.0
420031402002,42,3,140200,2,1465,2019.0,8.2,201,12.0,6.0,16.0,8.0,3.0,1.5,1.0,0.5,,,0.0,3.0,1.5
420031403001,42,3,140300,1,859,2016.0,16.2,192,23.0,12.0,28.0,14.6,11.0,5.7,1.0,0.5,5.0,3.0,1.6,3.0,1.6
420031403001,42,3,140300,1,859,2017.0,16.2,192,23.0,12.0,28.0,14.6,11.0,5.7,3.0,1.6,4.0,,0.0,6.0,3.1
420031403001,42,3,140300,1,859,2018.0,16.2,192,15.0,7.8,19.0,9.9,9.0,4.7,1.0,0.5,1.0,,0.0,3.0,1.6
420031403001,42,3,140300,1,859,2019.0,16.2,192,24.0,12.5,25.0,13.0,5.0,2.6,1.0,0.5,4.0,1.0,0.5,2.0,1.0
420031403002,42,3,140300,2,965,2016.0,10.0,173,24.0,13.9,30.0,17.3,11.0,6.4,2.0,1.2,4.0,,0.0,4.0,2.3
420031403002,42,3,140300,2,965,2017.0,10.0,173,25.0,14.5,34.0,19.7,13.0,7.5,2.0,1.2,4.0,,0.0,4.0,2.3
420031403002,42,3,140300,2,965,2018.0,10.0,173,25.0,14.5,37.0,21.4,20.0,11.6,6.0,3.5,4.0,1.0,0.6,1.0,0.6
420031403002,42,3,140300,2,965,2019.0,10.0,173,23.0,13.3,33.0,19.1,24.0,13.9,2.0,1.2,6.0,1.0,0.6,3.0,1.7
420031403003,42,3,140300,3,950,2016.0,14.0,208,26.0,12.5,31.0,14.9,16.0,7.7,3.0,1.4,4.0,,0.0,4.0,1.9
420031403003,42,3,140300,3,950,2017.0,14.0,208,22.0,10.6,28.0,13.5,9.0,4.3,2.0,1.0,7.0,1.0,0.5,4.0,1.9
420031403003,42,3,140300,3,950,2018.0,14.0,208,23.0,11.1,29.0,13.9,13.0,6.3,1.0,0.5,4.0,,0.0,4.0,1.9
420031403003,42,3,140300,3,950,2019.0,14.0,208,31.0,14.9,38.0,18.3,16.0,7.7,3.0,1.4,2.0,,0.0,4.0,1.9
