Date,Intersection,City,State,Inspection #,Level,OOS-TR,OOS-TL,OOS-DR,Crash,Weighed,# of Violations,Total Fines,Inspector
2017-10-13,61 MCMURRAY ROAD,UPPER ST CLAIR,PA,PAM637000307,1,,,,,,1.0,0.0,INSPECTOR 3
2017-10-13,61 MCMURRAY ROAD,UPPER ST CLAIR,PA,PAM637000308,3,,,,,,0.0,0.0,INSPECTOR 3
2017-10-12,200 BLK AVENUE U,WILMERDING,PA,PAM584000358,1,,,,,Y,4.0,784.0,INSPECTOR 2
2017-10-12,200 BLK AVENUE U,WILMERDING,PA,PAM584000359,1,,,,,,3.0,0.0,INSPECTOR 2
2017-10-12,600 BROADWAY,PITCAIRN,PA,PAM615000493,1,,,,,,8.0,179.0,INSPECTOR 1
2017-10-12,600 BROADWAY,PITCAIRN,PA,PAM615000494,1,,,,,,,,INSPECTOR 1
2017-10-12,BROADWAY & HILLSIDE,PITCAIRN,PA,PAM628000479,1,Y,,,,,7.0,358.0,INSPECTOR 4
2017-10-12,BROADWAY & HILLSIDE,PITCAIRN,PA,PAM628000480,1,Y,,,,,9.0,408.0,INSPECTOR 4
2017-10-12,200 BLOCK AVENUE U,,,PAM637000304,3,,,,,,0.0,0.0,INSPECTOR 3
2017-10-12,200 BLOCK AVENUE U,,,PAM637000305,1,Y,,,,,3.0,154.5,INSPECTOR 3
2017-10-12,4000 BLCOK RT 837,JEFFERSON HILLS,PA,PAM637000306,3,,,,,Y,2.0,974.5,INSPECTOR 3
2017-10-11,FREEPORT RD & PEARL AVE,HARMAR,PA,PAM628000478,2,,,,,,1.0,,INSPECTOR 4
2017-10-10,BROUGHGTON RD & E PARK DR,BETHEL PARK,PA,PAM584000356,1,,Y,,,,10.0,2234.0,INSPECTOR 2
2017-10-10,MCKEESPORT RD & GRAHAM AVE,ELIZABETH,PA,PAM584000357,1,Y,,,,Y,18.0,1534.0,INSPECTOR 2
2017-10-10,550 DELWAR RD,WEST MIFFLIN,PA,PAM637000303,2,Y,,,,,2.0,0.0,INSPECTOR 3
2017-10-07,I376 & INTERNATIONAL,FINDLAY,PA,PAM615000491,2,,,,,,3.0,,INSPECTOR 1
2017-10-06,BUTLER ST & SHEROSKY WAY,SPRINGDALE,PA,PAM615000489,2,,Y,,Y,,5.0,519.0,INSPECTOR 1
2017-10-06,1115 WORTHINGTON AVE,CLAIRTON,PA,PAM615000490,1,Y,,,Y,,9.0,,INSPECTOR 1
2017-10-06,775 FREEPORT RD,HARMAR,PA,PAM615000492,3,,,,,,,,INSPECTOR 1
2017-10-05,500 ISLAND AVE,MCKEES ROCKS,PA,PAM584000354,1,Y,,,,,17.0,634.5,INSPECTOR 2
