SECTION_NUMBER,ON_STREET,FROM_STREET,TO_STREET,LENGTH,COUNT_,CURRENT_PQI,MEASURED_PQI,PQI_DATE,CLASS,YEAR,ObjectId
57025,BROADWAY RD ALLEY,VENTURA DR,EAST END,995,3.0,30.0,33.5,2022/03/26 07:00:00+00,Arterial,2022.0,46
450,ELLIOT RD,FOREST AV,COLLEGE AV,775,3.0,52.7,56.6,2022/03/26 07:00:00+00,Arterial,2022.0,47
57145,BROADWAY RD ALLEY,EL CAMINO DR,SIERRA VISTA DR,836,3.0,27.7,31.1,2022/03/26 07:00:00+00,Arterial,2022.0,48
460,ELLIOT RD,COLLEGE AV,LA ROSA DR,1016,3.0,43.0,46.9,2022/03/26 07:00:00+00,Arterial,2022.0,49
50131,MCALLISTER AV,UNIVERSITY DR,APACHE BL,2809,3.0,30.8,34.3,2022/03/26 07:00:00+00,Arterial,2022.0,50
2770,UNIVERSITY DR,GEORGE DR,EVERGREEN RD,1362,5.0,67.2,70.6,2022/03/27 07:00:00+00,Arterial,2022.0,51
2780,UNIVERSITY DR,EVERGREEN RD,OAKWOOD DR,649,5.0,66.9,70.3,2022/03/27 07:00:00+00,Arterial,2022.0,52
2790,UNIVERSITY DR,OAKWOOD DR,CITY LIMIT,1133,3.0,70.4,73.7,2022/03/27 07:00:00+00,Arterial,2022.0,53
2800,WASHINGTON ST,CITY LIMIT,56TH ST,139,2.0,73.0,75.4,2022/03/27 07:00:00+00,Arterial,2022.0,54
830,GUADALUPE RD,LAKESHORE DR,DORSEY LN,516,5.0,80.2,82.3,2022/03/26 07:00:00+00,Arterial,2022.0,55
2810,WASHINGTON ST,56TH ST,DESERT DR,610,2.0,76.0,78.4,2022/03/27 07:00:00+00,Arterial,2022.0,56
521,ELLIOT RD,JUNIPER ST,LAKESHORE DR,1023,2.0,70.4,73.2,2022/03/27 07:00:00+00,Arterial,2022.0,57
2820,WASHINGTON ST,DESERT DR,PRIEST DR,1185,2.0,72.1,74.9,2022/03/27 07:00:00+00,Arterial,2022.0,58
2830,WASHINGTON ST,PRIEST DR,PARKSIDE DR,2156,4.0,75.6,78.1,2022/03/27 07:00:00+00,Arterial,2022.0,59
2840,WASHINGTON ST,PARKSIDE DR,CENTER PKWY,675,4.0,72.7,75.3,2022/03/27 07:00:00+00,Arterial,2022.0,60
2850,WASHINGTON ST,CENTER PKWY,MILL AV,1939,4.0,73.6,76.3,2022/03/27 07:00:00+00,Arterial,2022.0,61
2860,CURRY RD,MILL AV,COLLEGE AV,4143,2.0,71.4,74.3,2022/03/27 07:00:00+00,Arterial,2022.0,62
531,ELLIOT RD,JUNIPER ST,JUNIPER ST,323,2.0,61.8,66.1,2022/03/27 07:00:00+00,Arterial,2022.0,63
2870,CURRY RD,COLLEGE AV,SCOTTSDALE RD,1413,5.0,73.8,76.2,2022/03/27 07:00:00+00,Arterial,2022.0,64
2880,CURRY RD EB,SCOTTSDALE RD,MARY ST,826,2.0,50.0,53.8,2022/03/27 07:00:00+00,Arterial,2022.0,65
2881,CURRY RD WB,MARY ST,SCOTTSDALE RD,646,2.0,57.4,60.9,2022/03/27 07:00:00+00,Arterial,2022.0,66
2890,CURRY RD EB,MARY ST,MILLER RD,1807,2.0,63.8,67.2,2022/03/27 07:00:00+00,Arterial,2022.0,67
2891,CURRY RD WB,MILLER RD,SCOVEL ST,652,2.0,63.7,66.9,2022/03/27 07:00:00+00,Arterial,2022.0,68
2893,CURRY RD WB,SCOVEL ST,HAROLD ST,659,5.0,64.1,67.4,2022/03/27 07:00:00+00,Arterial,2022.0,69
2895,CURRY RD WB,HAROLD ST,MARY ST,662,5.0,60.0,63.4,2022/03/27 07:00:00+00,Arterial,2022.0,70
2900,CURRY RD,MILLER RD,STADEM DR,1310,2.0,36.0,39.7,2022/03/27 07:00:00+00,Arterial,2022.0,71
541,ELLIOT RD,WILLOW DR,JUNIPER ST,216,2.0,46.6,50.4,2022/03/27 07:00:00+00,Arterial,2022.0,72
2910,CURRY RD,STADEM DR,MCCLINTOCK DR,1266,5.0,56.3,59.9,2022/03/27 07:00:00+00,Arterial,2022.0,73
2920,MCKELLIPS RD,CAMPO ALLEGRE RD,COLLEGE AV,1123,2.0,72.1,72.1,2023/02/25 07:00:00+00,Collector,2023.0,74
2930,MCKELLIPS RD,COLLEGE AV,SQUIRE AV,569,5.0,64.4,67.7,2022/03/27 07:00:00+00,Collector,2022.0,75
2940,MCKELLIPS RD,SQUIRE AV,LA ROSA DR,110,5.0,63.0,66.6,2022/03/27 07:00:00+00,Collector,2022.0,76
2950,MCKELLIPS RD,LA ROSA DR,NORMAL AV,146,5.0,65.9,69.2,2022/03/27 07:00:00+00,Collector,2022.0,77
2960,MCKELLIPS RD,NORMAL AV,VAN NESS AV,269,5.0,43.0,47.6,2022/03/27 07:00:00+00,Collector,2022.0,78
2970,MCKELLIPS RD,VAN NESS AV,MCALLISTER AV,279,5.0,42.2,46.7,2022/03/27 07:00:00+00,Collector,2022.0,79
2980,MCKELLIPS RD,MCALLISTER AV,CAVALIER DR,530,5.0,31.6,35.5,2022/03/27 07:00:00+00,Collector,2022.0,80
2990,MCKELLIPS RD,CAVALIER DR,SCOTTSDALE RD,843,5.0,37.7,41.9,2022/03/27 07:00:00+00,Collector,2022.0,81
3000,MCKELLIPS RD,SCOTTSDALE RD,BRIDALWREATH ST,1330,4.0,75.7,78.1,2022/03/27 07:00:00+00,Arterial,2022.0,82
3010,MCKELLIPS RD,BRIDALWREATH ST,SCOVEL ST,707,4.0,74.8,77.4,2022/03/27 07:00:00+00,Arterial,2022.0,83
3020,MCKELLIPS RD,SCOVEL ST,OLEANDER ST,310,4.0,78.3,80.5,2022/03/27 07:00:00+00,Arterial,2022.0,84
3030,MCKELLIPS RD,OLEANDER ST,MILLER RD,330,4.0,74.1,76.5,2022/03/27 07:00:00+00,Arterial,2022.0,85
3040,MCKELLIPS RD,MILLER RD,MCCLINTOCK DR,2679,4.0,77.9,80.2,2022/03/27 07:00:00+00,Arterial,2022.0,86
3080,48TH ST,SOUTHERN AV,FAIRMONT DR,1366,6.0,78.7,81.4,2022/03/28 07:00:00+00,Arterial,2022.0,87
3090,48TH ST,FAIRMONT DR,ALAMEDA DR,1359,6.0,77.1,80.0,2022/03/28 07:00:00+00,Arterial,2022.0,88
3100,48TH ST,ALAMEDA DR,WESTCOURT WY,1307,6.0,81.8,84.2,2022/03/28 07:00:00+00,Arterial,2022.0,89
3110,48TH ST,WESTCOURT WY,BROADWAY RD,1369,6.0,83.5,85.6,2022/03/28 07:00:00+00,Arterial,2022.0,90
3290,RIO SALADO PARKWAY,1ST ST,PRIEST DR,3566,2.0,62.8,66.8,2022/03/27 07:00:00+00,Arterial,2022.0,91
551,ELLIOT RD,MCCLINTOCK DR,WILLOW DR,1136,2.0,54.7,59.7,2022/03/27 07:00:00+00,Arterial,2022.0,92
3300,RIO SALADO PARKWAY,PRIEST DR,1ST ST,543,2.0,63.4,66.9,2022/03/27 07:00:00+00,Arterial,2022.0,93
561,ELLIOT RD,S KACHINA DR,MCCLINTOCK DR,703,2.0,61.9,65.9,2022/03/27 07:00:00+00,Arterial,2022.0,94
3310,RIO SALADO PARKWAY,1ST ST,HARDY DR,2292,2.0,79.5,81.4,2022/03/27 07:00:00+00,Arterial,2022.0,95
571,ELLIOT RD,LOS FELIZ DR,S KACHINA DR,669,2.0,63.8,67.6,2022/03/27 07:00:00+00,Arterial,2022.0,96
3320,RIO SALADO PARKWAY,HARDY DR,1ST ST,3600,2.0,84.0,85.5,2022/03/27 07:00:00+00,Arterial,2022.0,97
581,ELLIOT RD,COUNTRY CLUB WAY,LOS FELIZ DR,1356,2.0,77.8,80.0,2022/03/27 07:00:00+00,Arterial,2022.0,98
3330,RIO SALADO PARKWAY,1ST ST,ASH ST,100,2.0,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022.0,99
591,ELLIOT RD,RIVER PARKWAY,COUNTRY CLUB WAY,1459,2.0,81.7,81.7,2022/03/27 07:00:00+00,Arterial,2022.0,100
3340,RIO SALADO PARKWAY,ASH ST,MILL AV,852,2.0,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022.0,101
840,GUADALUPE RD,DORSEY LN,JUNIPER ST,1030,5.0,82.1,84.1,2022/03/26 07:00:00+00,Arterial,2022.0,102
850,GUADALUPE RD,JUNIPER ST,MCCLINTOCK DR,1175,5.0,79.9,82.1,2022/03/26 07:00:00+00,Arterial,2022.0,103
860,GUADALUPE RD,MCCLINTOCK DR,HAZELTON LN,1436,5.0,80.8,83.0,2022/03/26 07:00:00+00,Arterial,2022.0,104
870,GUADALUPE RD,HAZELTON LN,KENWOOD LN,552,5.0,84.2,86.1,2022/03/26 07:00:00+00,Arterial,2022.0,105
880,GUADALUPE RD,KENWOOD LN,COUNTRY CLUB WY,720,5.0,86.8,88.4,2022/03/26 07:00:00+00,Arterial,2022.0,106
890,GUADALUPE RD,COUNTRY CLUB WY,CLARK DR,523,5.0,83.3,85.3,2022/03/26 07:00:00+00,Arterial,2022.0,107
900,GUADALUPE RD,CLARK DR,RIVER DR,1043,5.0,84.2,86.0,2022/03/26 07:00:00+00,Arterial,2022.0,108
910,GUADALUPE RD,RIVER DR,SHANNON DR,316,5.0,84.9,86.7,2022/03/26 07:00:00+00,Arterial,2022.0,109
920,GUADALUPE RD,SHANNON DR,S PRICE RD,610,5.0,80.2,82.3,2022/03/26 07:00:00+00,Arterial,2022.0,110
941,BASELINE RD, 48TH ST,600' WEST OF 48TH ST,623,7.0,59.9,65.3,2022/03/28 07:00:00+00,Arterial,2022.0,111
950,BASELINE RD, 48TH ST,CALLE LOS CERROS,1352,7.0,79.0,81.7,2022/03/28 07:00:00+00,Arterial,2022.0,112
