OBJECTID,DBARC_COD,DIVIDE,AV_LEGEND,IMS_LEGEND,LENGTH_MI,SHAPE_Length
18128,4,Local drainage basin divide,Local,Local,1.32270002,6983.8603255099
18129,4,Local drainage basin divide,Local,Local,0.77129197,4072.420089759
18130,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.35366898,1867.37384510751
18131,4,Local drainage basin divide,Local,Local,0.09085939,479.738058911609
18132,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.28552499,1507.57220553281
18133,3,Subregional drainage basin divide,Subregional,Subregional,0.725748,3831.95036925472
18134,2,Regional drainage basin divide,Regional,Regional,0.10370799,547.57866399484
18135,2,Regional drainage basin divide,Regional,Regional,0.17727999,936.039113133991
18136,3,Subregional drainage basin divide,Subregional,Subregional,0.13159599,694.825003871394
18137,4,Local drainage basin divide,Local,Local,0.31538099,1665.2111726426
18138,4,Local drainage basin divide,Local,Local,0.42718899,2255.55788325838
18139,4,Local drainage basin divide,Local,Local,0.08683499,458.489375929577
18140,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.42904499,2265.35556461772
18141,1,Major drainage basin divide,Major,Major,0.287234,1516.59348737961
18142,2,Regional drainage basin divide,Regional,Regional,0.38310599,2022.80088067479
18143,3,Subregional drainage basin divide,Subregional,Subregional,1.02056002,5388.57464171926
18144,5,Stream reach basin divide,Stream Reach,Reach,0.44478899,2348.48576964506
18145,5,Stream reach basin divide,Stream Reach,Reach,0.75872999,4006.09229575478
18146,5,Stream reach basin divide,Stream Reach,Reach,0.219124,1156.97294563044
18147,3,Subregional drainage basin divide,Subregional,Subregional,0.322227,1701.35804628401
18148,4,Local drainage basin divide,Local,Local,0.62831097,3317.48007449996
18149,2,Regional drainage basin divide,Regional,Regional,1.16817998,6168.00850531876
18150,2,Regional drainage basin divide,Regional,Regional,0.150239,793.262175384728
18151,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.90308099,4768.26780228669
18152,8,Shoreline,Shoreline,Shoreline,6.75853013,35685.0465336795
18153,1,Major drainage basin divide,Major,Major,0.15538699,820.444511752877
18154,4,Local drainage basin divide,Local,Local,0.39799699,2101.42350008821
18155,5,Stream reach basin divide,Stream Reach,Reach,0.20392799,1076.73836351575
18156,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.42366099,2236.93013128669
18157,1,Major drainage basin divide,Major,Major,0.38954201,2056.78068866864
18158,4,Local drainage basin divide,Local,Local,2.79479002,14756.5107164129
18159,5,Stream reach basin divide,Stream Reach,Reach,0.92533397,4885.76275376202
18160,5,Stream reach basin divide,Stream Reach,Reach,0.23121699,1220.82769183273
18161,5,Stream reach basin divide,Stream Reach,Reach,0.392356,2071.63661571046
18162,3,Subregional drainage basin divide,Subregional,Subregional,1.74187004,9197.09878684439
18163,4,Local drainage basin divide,Local,Local,1.11179995,5870.31030581232
18164,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.65965497,3482.97687622089
18165,3,Subregional drainage basin divide,Subregional,Subregional,0.160574,847.832926298276
18166,5,Stream reach basin divide,Stream Reach,Reach,0.41408899,2186.39049644297
18167,3,Subregional drainage basin divide,Subregional,Subregional,0.505759,2670.40862883228
18168,4,Local drainage basin divide,Local,Local,1.54404997,8152.59997670556
18169,4,Local drainage basin divide,Local,Local,0.55634301,2937.49114674351
18170,4,Local drainage basin divide,Local,Local,0.02680329,141.521807799566
18171,2,Regional drainage basin divide,Regional,Regional,0.28335198,1496.09573099785
18172,3,Subregional drainage basin divide,Subregional,Subregional,0.48386099,2554.78461745981
18173,4,Local drainage basin divide,Local,Local,1.20181,6345.56822131169
18174,4,Local drainage basin divide,Local,Local,0.54586499,2882.16508390236
18175,4,Local drainage basin divide,Local,Local,0.278997,1473.10333395695
18176,2,Regional drainage basin divide,Regional,Regional,0.57298398,3025.35373915402
18177,4,Local drainage basin divide,Local,Local,0.77242797,4078.41894235738
18178,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.67213398,3548.86530572763
18179,4,Local drainage basin divide,Local,Local,0.75109601,3965.78600942535
18180,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.13885998,6013.1584110881
18181,1,Major drainage basin divide,Major,Major,1.53328001,8095.70786299932
