OBJECTID,DBARC_COD,DIVIDE,AV_LEGEND,IMS_LEGEND,LENGTH_MI,SHAPE_Length
18401,5,Stream reach basin divide,Stream Reach,Reach,0.054313,286.772747200969
18402,4,Local drainage basin divide,Local,Local,0.227565,1201.54479274688
18403,4,Local drainage basin divide,Local,Local,0.90768998,4792.60269609325
18404,4,Local drainage basin divide,Local,Local,0.61284101,3235.80067505736
18405,4,Local drainage basin divide,Local,Local,0.197877,1044.7896272872
18406,2,Regional drainage basin divide,Regional,Regional,0.46086099,2433.34798529325
18407,4,Local drainage basin divide,Local,Local,2.1047399,11113.0120150879
18408,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.39116001,7345.34702431496
18409,3,Subregional drainage basin divide,Subregional,Subregional,0.46355998,2447.59588155943
18410,4,Local drainage basin divide,Local,Local,0.22166499,1170.39073758431
18411,4,Local drainage basin divide,Local,Local,1.18177998,6239.80595639688
18412,6,Lake impoundment basin divide,Lake Impoundment,Reach,1.04912996,5539.40023601499
18413,4,Local drainage basin divide,Local,Local,2.26122999,11939.2799171692
18414,4,Local drainage basin divide,Local,Local,1.65649998,8746.31757413203
18415,2,Regional drainage basin divide,Regional,Regional,0.318991,1684.27532903625
18416,3,Subregional drainage basin divide,Subregional,Subregional,1.97628998,10434.7838024635
18417,4,Local drainage basin divide,Local,Local,1.67692005,8854.14021600625
18418,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.238434,1258.93307155948
18419,3,Subregional drainage basin divide,Subregional,Subregional,3.49236989,18439.7128406518
18420,4,Local drainage basin divide,Local,Local,1.12990999,5965.90789663469
18421,5,Stream reach basin divide,Stream Reach,Reach,0.32578998,1720.17105010514
18422,4,Local drainage basin divide,Local,Local,0.51574802,2723.14898643027
18423,4,Local drainage basin divide,Local,Local,1.31765997,6957.24831380627
18424,4,Local drainage basin divide,Local,Local,0.38880899,2052.9098794173
18425,3,Subregional drainage basin divide,Subregional,Subregional,0.10281699,542.874279358598
18426,5,Stream reach basin divide,Stream Reach,Reach,0.182135,961.670800205968
18427,4,Local drainage basin divide,Local,Local,0.106246,560.979777118573
18428,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.910604,4807.99036252803
18429,2,Regional drainage basin divide,Regional,Regional,1.76639997,9326.59083700189
18430,4,Local drainage basin divide,Local,Local,1.43289995,7565.72311281094
18431,7,Stream diversion basin divide,Stream Diversion,Reach,0.62943202,3323.3995915563
18432,6,Lake impoundment basin divide,Lake Impoundment,Reach,0.74726599,3945.56367910086
18433,2,Regional drainage basin divide,Regional,Regional,0.19398899,1024.26438895343
18434,5,Stream reach basin divide,Stream Reach,Reach,0.35306298,1864.17144268346
