OBJECTID,TYPE,ESTABLISHED,PRIVATE,REFERENCE,COMMENTS,DATE_FILED,ShapeSTArea,ShapeSTLength
621431,Access,Plat,No,b84p330,,2022/11/10 00:00:00+00,660.510427275114,274.251066979873
621432,Sump Pump,Plat,No,b84p330,,2022/11/10 00:00:00+00,3150.02585871867,548.40077059321
621437,Access,Plat,No,b84p330,,2022/11/10 00:00:00+00,584.193366933846,244.63832715045
621441,Access,Plat,No,b84p330,,2022/11/10 00:00:00+00,659.475931950012,274.33972897201
621442,Access,Plat,No,b84p330,,2022/11/10 00:00:00+00,701.128365997408,290.527866898575
621813,General Utility,Plat,No,b84p329,,2022/11/10 00:00:00+00,3811.04245163596,782.335760591841
621814,General Utility,Plat,No,b84p329,,2022/11/10 00:00:00+00,2299.07874695831,481.665300732613
621815,Drainage,Plat,No,b84p329,,2022/11/10 00:00:00+00,26669.7877294203,1109.43842146588
622213,General Utility,Plat,No,b84p331,,2022/11/15 00:00:00+00,6682.69326840617,1629.11992052111
622216,Sump Pump,Plat,No,b84p331,,2022/11/15 00:00:00+00,610.002457669728,254.000421283671
622217,Sump Pump,Plat,No,b84p331,,2022/11/15 00:00:00+00,610.002952592349,254.000153512913
622218,General Utility,Plat,No,b84p331,,2022/11/15 00:00:00+00,3252.46567335772,706.092517436108
622221,General Utility,Plat,No,b84p331,,2022/11/15 00:00:00+00,9042.21618288736,2513.03672970543
622224,General Utility,Plat,No,b84p331,,2022/11/15 00:00:00+00,4359.81648866729,1238.97666207232
622228,General Utility,Plat,No,b84p331,,2022/11/15 00:00:00+00,22804.1054122309,6374.42870164077
622234,General Utility,Plat,No,b84p331,,2022/11/15 00:00:00+00,14864.9620689244,2953.54321608164
622237,Sump Pump,Plat,No,b84p331,,2022/11/15 00:00:00+00,614.008147864928,255.820131872032
622243,General Utility,Plat,No,b84p331,,2022/11/15 00:00:00+00,7722.48088850038,1984.50714155438
622248,General Utility,Plat,No,b84p332,,2022/11/15 00:00:00+00,13267.3317637765,2680.03525739996
622257,Access,Plat,No,b84p332,,2022/11/15 00:00:00+00,508.458570731866,214.842548437004
622258,Access,Plat,No,b84p332,,2022/11/15 00:00:00+00,1083.88216117579,448.012346423066
622261,General Utility,Plat,No,b84p332,,2022/11/15 00:00:00+00,2585.08640640365,537.212419339607
622264,Access,Plat,No,b84p332,,2022/11/15 00:00:00+00,1172.69571873755,479.584252847734
622265,General Utility,Plat,No,b84p332,,2022/11/15 00:00:00+00,8197.65429342077,1070.09755005419
622269,Sump Pump,Plat,No,b84p332,,2022/11/15 00:00:00+00,8197.65429342077,1070.09755005419
622672,General Utility,Plat,No,b32p898,,2022/11/14 00:00:00+00,8159.3835435284,1651.94856799651
622673,Drainage,Plat,No,b84p339,,2022/11/17 00:00:00+00,14166.2004835024,1052.29152589343
622674,Drainage,Plat,No,b84p339,,2022/11/17 00:00:00+00,5152.58737066228,348.53861194068
622676,General Utility,Plat,No,b84p339,,,23891.0744746843,4800.97130178995
623072,Water Distribution,,No,,Portion remaining after part released #123-22,,3653.98573900696,750.63470543046
623073,Floodway,,No,235-465,Portion remaining after part released #124-22,,640.104453187838,119.719577178179
623074,Floodway,,No,235-465,Portion remaining after part released #124-22,,670.284071904869,190.827643211168
623075,Drainage,Plat,No,b61p95,,1999/06/03 00:00:00+00,2066.63896197075,213.247627948418
623472,General Utility,Plat,No,b84p344,,2022/11/22 00:00:00+00,1198.34376022088,261.336542855353
623473,Mutual Access,Plat,No,b84p344,,2022/11/22 00:00:00+00,6177.1451576381,562.763305069853
623474,General Utility,Plat,No,b84p344,,2022/11/22 00:00:00+00,1155.59061864053,251.117051188897
623873,Drainage,Agreement,No,b298p717,,2022/09/15 00:00:00+00,94103.0284094626,1522.7030616455
623874,Storm Sewer,Plat,No,b32p938,,2022/11/28 00:00:00+00,401.299820292851,80.1304071939677
623875,Drainage,Plat,No,b32p938,,2022/11/28 00:00:00+00,401.299820292851,80.1304071939677
623876,General Utility,Plat,No,b32p937,,2022/11/28 00:00:00+00,24173.3055970907,4868.1467694635
624272,Roadway,Plat,Yes,b84p352,,2022/11/29 00:00:00+00,31211.0177317824,1574.46714903786
624273,Mutual Access,Plat,No,b84p352,,2022/11/29 00:00:00+00,9050.40194799323,1098.76029183055
624274,Sanitary Sewer,Plat,Yes,b84p352,,2022/11/29 00:00:00+00,15831.7607616773,1115.66969146254
624277,Drainage,Plat,No,b84p352,,2022/11/29 00:00:00+00,11688.4578228431,663.541938229963
624282,Mutual Access,Plat,No,b84p351,,2022/11/29 00:00:00+00,5720.34111876536,711.96442617309
624285,Sanitary Sewer,Plat,Yes,b84p351,,2022/11/29 00:00:00+00,14503.155228451,852.338556900374
624289,Water Distribution,Plat,Yes,b84p351,,2022/11/29 00:00:00+00,14506.0826640562,852.334151712386
624290,Storm Sewer,Plat,Yes,b84p351,,2022/11/29 00:00:00+00,4784.45527808246,351.572718760532
624297,Water Distribution,Plat,Yes,b84p352,,2022/11/29 00:00:00+00,15831.7607616773,1115.66969146254
624299,General Utility,Plat,No,b84p352,,2022/11/29 00:00:00+00,2261.12867802353,472.243974553126
624300,Water Distribution,Plat,No,,not verified,,53231.5916719075,3072.28466754767
624672,Access,Plat,No,b84p107,,2022/04/14 00:00:00+00,35814.4847873871,2095.12136903541
624675,Roadway,,Yes,,not verified,,22608.3868436741,1661.76579285495
624680,General Utility,Agreement,No,b260p285,,2008/07/22 00:00:00+00,4834.48781945294,986.169757134566
624681,Sanitary Sewer,Plat,Yes,b298p715,,2022/09/12 00:00:00+00,3137.53774590501,364.476218698203
624684,Water Distribution,Plat,Yes,b298p715,,2022/09/12 00:00:00+00,3137.53774590501,364.476218698203
624688,Storm Sewer,Plat,Yes,b80p155,,2018/06/28 00:00:00+00,2446.0156082958,355.976902672417
624692,Storm Sewer,Plat,Yes,b80p155,,2018/06/28 00:00:00+00,2219.94193634683,325.993001382964
624694,Drainage,Plat,Yes,b80p155,,2018/06/28 00:00:00+00,2446.01687348077,355.976902672366
624698,Drainage,Plat,Yes,b80p155,,2018/06/28 00:00:00+00,2219.93508342304,325.991718861033
624701,Electric,Agreement,No,b97p414,,1969/05/16 00:00:00+00,3212.17427770283,666.026963993307
624704,Sanitary Sewer,Plat,No,b127p73,,1977/07/12 00:00:00+00,17337.8190482925,1835.03026856264
624708,Sanitary Sewer,Agreement,No,b138p792,,1980/09/11 00:00:00+00,8259.96394475087,879.691610796302
624711,No Build or Setback,Agreement,No,b199p231,,1992/03/24 00:00:00+00,2380.05032635858,577.007451392022
624712,Electric,Agreement,No,b275p815,,2014/01/02 00:00:00+00,2798.30886143532,579.995552715205
625087,Drainage,Plat,No,b61p109,,1999/06/22 00:00:00+00,1302.70209966871,282.779178720399
625088,General Utility,Plat,No,b61p109,,1999/06/22 00:00:00+00,596.29612382377,139.659044505566
625089,General Utility,Plat,No,b58p5,,1996/01/19 00:00:00+00,3761.83955848465,771.703833926223
625090,General Utility,Plat,No,b59p105,,1997/05/29 00:00:00+00,2095.5524492513,442.122317025197
625091,General Utility,Plat,No,b53p79,,1991/04/23 00:00:00+00,1700.23907305498,360.05228547147
625092,General Utility,Plat,No,b53p79,,1991/04/23 00:00:00+00,1755.23706011782,370.922357067818
625093,General Utility,Plat,No,b53p79,,1991/04/23 00:00:00+00,3630.22724637821,746.041587630366
625095,General Utility,Plat,No,b53p79,,1991/04/23 00:00:00+00,4013.63229277491,821.855497748409
625096,General Utility,Plat,No,b53p125,,1991/06/19 00:00:00+00,660.243764785871,152.018950351466
625097,General Utility,Plat,No,b53p79,,1991/04/23 00:00:00+00,8743.50392358391,1769.00432926306
625098,General Utility,Plat,No,b53p79,,1991/04/23 00:00:00+00,10102.5173495447,2040.23886520487
625488,General Utility,Plat,No,b16p262,,2022/12/07 00:00:00+00,4911.10670089542,1002.22005366535
625889,General Utility,Plat,No,b84p359,,2022/12/08 00:00:00+00,1618.0848262145,658.147907473562
625890,General Utility,Plat,No,b84p359,,2022/12/08 00:00:00+00,5654.55472713702,1151.03052760957
626689,Electric,Agreement,No,,Agreement # 22-3416B,2022/11/16 00:00:00+00,666.518345663767,141.527903940225
627090,General Utility,Agreement,No,b29p97,,2019/03/04 00:00:00+00,8297.23738083753,1679.44836330522
627091,General Utility,Plat,No,b46p20,,1985/03/22 00:00:00+00,5161.13350003701,1051.18306149521
627092,General Utility,Plat,No,b46p20,,1985/03/22 00:00:00+00,3568.94022724589,734.927042371913
627093,General Utility,Plat,No,b56p242,,1993/09/30 00:00:00+00,7452.82980863175,1513.37444938829
627094,General Utility,Plat,No,b46p20,,1985/03/22 00:00:00+00,3343.28613380672,688.693576852155
627095,General Utility,Plat,No,b46p20,,1985/03/22 00:00:00+00,3433.19326439488,710.2803467704
627096,General Utility,Plat,No,b56p242,,1993/09/30 00:00:00+00,7881.51818996681,1593.71219294229
