OBJECTID,PRECINCT,LEGISDIST,CONGDIST,SENDIST,COMMDIST,SCHOOLDIST,COUNDIST,FORMERPREC,COMMENTS,SHAPE_LENG,Shape_Length,Shape_Area
260,M169,42,3,33,C,1,3,K107, ,0,8141.58063016406,3541382.52260707
261,G146,34,3,19,A,2,8, , ,0,13960.6529044695,6341296.99629009
262,G161,34,3,19,A,2,8, , ,0,10624.3518120976,4334272.15971059
263,K104,40,3,35,C,1,6, , ,0,11509.8939499595,6321306.47410167
264,G111,34,3,19,B,2,8, , ,0,9422.1575725037,3280744.28260484
265,M131,42,3,35,C,1,4, , ,0,12755.7792602343,7894246.97330552
266,M166,42,3,35,C,1,6,K103/K104p, ,0,17628.360045473,13633363.907445
267,E178,32,3,36,A,3,18,F160, ,0,20190.5549461556,15336591.6089234
268,E180,32,3,36,A,3,18,F173, ,0,11195.1930309,5468760.09701391
269,M133,42,3,33,C,1,3, , ,0,11954.4866999303,7138984.90014775
270,M144,42,3,19,C,6,10, , ,0,6535.32541023166,1798163.93942574
271,H103,35,3,19,B,6,8, , ,0,15906.0434648803,9601366.68849523
272,V117,36,3,36,A,3,20,F157, ,0,13179.4422001211,9807692.87308544
273,M102,42,3,33,C,1,1, , ,0,12789.3260060027,8594624.56031783
274,G108,34,3,19,A,2,8, , ,0,6522.49620980136,2282927.48865807
275,G144,34,3,19,A,2,8, , ,0,11954.8352343142,5584179.08019826
276,M149,42,3,33,C,4,1,O105p/O107p, ,0,65028.5097906377,132112227.134451
277,M124,42,3,35,C,1,6, , ,0,9125.1700961795,4889185.28080363
278,M123,42,3,35,C,1,6, , ,0,11495.937828259,4056886.32729562
279,G145,34,3,19,A,2,8,G162p, ,0,30973.2462151882,12611011.6151191
280,H102,35,3,19,B,6,10, , ,0,15010.6823570533,6351870.45442414
281,V121,36,4,36,A,7,19,F174, ,0,26075.4975211379,22571435.80195
282,E169,32,3,36,A,2,18, , ,0,27657.2391956971,23670377.2040651
283,D108,31,3,19,A,2,18, , ,0,17174.9603730158,9784419.50778886
284,G109,34,3,19,A,2,8, , ,0,9243.36296275877,3632008.76247044
285,G143,34,3,19,A,2,8, , ,0,10308.7351954675,4607906.58832567
286,M147,42,3,19,C,6,4, , ,0,10024.2481473217,4333563.87503317
287,M104,42,3,33,C,1,1, ,pDry,0,10853.836927905,6009128.28937517
288,M105,42,3,33,C,1,3, , ,0,8362.71740885387,3659345.99448755
289,L143,41,3,35,C,1,6, , ,0,6159.15045500821,2354027.16426058
290,V113,36,4,20,A,7,20,F126, ,0,56574.0383726451,87217760.2246157
291,M146,42,3,35,C,1,4, , ,0,11551.7574558385,5227964.92845449
292,G107,34,3,35,A,2,8, , ,0,8414.43058580759,3987375.43852686
293,E164,32,3,36,A,3,18, , ,0,20169.0354876182,17914872.0862501
294,H131,35,3,35,C,6,4, , ,0,9530.71678943071,2560268.74269888
295,H132,35,3,35,B,6,8, , ,0,5032.87942102531,1128865.05372233
296,L156,41,3,35,C,1,6,M120p, ,0,8966.6109644929,4306307.76824802
297,F161,33,3,36,A,3,19, , ,0,16570.352281283,8491174.41473883
298,M110,42,3,33,C,1,6,L145p/M154p, ,0,9779.7086062234,5012593.79498295
299,M103,42,3,33,C,1,1,M102p, ,0,38953.8391203116,32295522.785303
300,E163,32,3,36,A,3,18, , ,0,22518.7317339458,12545471.0201717
301,G160,34,3,19,A,2,9, , ,0,9208.04643807531,5079821.18054364
302,E139,32,3,36,A,2,26, , ,0,13675.8561406159,9077414.84324662
303,F156,33,3,36,A,3,19, , ,0,15225.1022179727,8807094.12660596
304,G103,34,3,35,B,2,8, , ,0,11437.7204685483,5338309.62381785
305,E179,32,3,36,A,3,18,F165, ,0,18222.7033136046,8157277.85674115
306,L142,41,3,33,C,1,4, , ,0,7516.69798389799,3490045.57126209
307,E165,32,3,36,A,3,18, , ,0,17840.011864991,12662476.08088
308,G157,34,3,26,A,2,9,G159p, ,0,19888.7305715867,13322124.5293862
309,L154,41,3,33,C,1,1,M106, ,0,10619.1282268117,5264466.00742775
310,L157,41,3,33,C,1,1,M132p, ,0,15072.8759323821,7909202.54540608
311,G164,34,3,36,A,2,26,E143p, ,0,16050.8698335322,10457839.6507048
312,E168,32,3,36,A,3,18, , ,0,26942.9450881543,13465370.0879632
313,G159,34,3,26,A,2,9, ,NV,0,29562.5951880105,27442754.4992085
314,G165,34,3,26,A,2,9, , ,0,7413.32631739168,3226475.54420813
315,G156,34,3,19,A,2,9,G162p, ,0,14926.1646692969,10890903.2621887
316,G142,34,3,19,A,2,8,G150, ,0,28583.0236939865,21474937.5960325
317,G158,34,3,26,A,2,26, , ,0,19405.3030581976,7078187.81052812
318,E162,32,3,36,A,3,18, , ,0,26128.5307779611,31677809.4349047
319,L148,41,3,35,C,1,6,M129p, ,0,19507.052125517,19185890.4603941
320,L115,41,3,35,C,1,4, ,SM,0,6171.51114891815,1592503.48106456
321,L147,41,3,33,C,1,6, , ,0,15419.7070804236,9524367.03779594
322,F169,33,3,36,A,3,18, , ,0,8023.35222021338,2257469.74074449
323,M150,42,3,19,A,2,9,G140p, ,0,14418.754134575,6097192.33581939
324,F170,33,3,36,A,3,19, , ,0,9606.05360203289,2294056.34132054
325,L150,41,3,33,C,1,4,L140p,SM,0,9266.08810854272,4561004.56718535
326,M163,42,3,35,A,2,8,G104p, ,0,18312.3508212161,15651363.6736933
327,D101,31,3,19,A,2,26, , ,0,27999.0276032425,24337244.5235383
328,L159,41,3,33,C,1,6,M155, ,0,9586.12401126032,5314870.14525617
329,L111,41,3,35,C,1,4, , ,0,17016.3442229397,12754916.684769
330,M140,42,3,35,C,1,4, , ,0,7404.98480406811,2376974.42755255
331,F153,33,3,36,A,3,19, , ,0,20637.7857681744,13651878.5943937
332,L141,41,3,33,C,1,4, , ,0,9328.31096759979,4990316.65755936
333,N109,43,3,33,C,1,5, ,Dry,0,8545.12785665208,4388614.44801502
334,M143,42,3,33,C,1,9, , ,0,28482.7273796426,11282357.475963
335,L152,41,3,36,A,2,7,E141p, ,0,7971.04751808735,3197051.17831576
336,N148,43,3,33,C,1,4,L107, ,0,11438.3539329206,5381451.84072619
337,N108,43,3,33,C,1,5, , ,0,9993.21346434198,6095427.82007573
338,V124,36,3,36,A,7,19,S147, ,0,28109.2923675382,39750045.3006387
339,L113,41,3,35,C,1,4, , ,0,22075.6929953584,10475840.2617363
340,L158,41,3,33,C,1,5,M153, ,0,12530.5158495477,5562167.5761909
341,L151,41,3,36,A,2,9,E107, ,0,13241.9632696232,8301440.5888206
342,M142,42,3,33,C,1,9, , ,0,16406.0298271159,7821324.55786984
343,F152,33,3,36,A,3,18, , ,0,16234.4728652258,14908732.8325923
344,E142,32,3,36,A,3,7, , ,0,14833.4067724757,9961888.0869656
345,M138,42,3,26,A,2,9, , ,0,11638.7694610111,6961210.0756966
346,E144,32,3,36,A,3,7,E157p, ,0,16121.9629013503,11846556.8116658
347,M137,42,3,26,A,2,9, , ,0,8048.34115743755,3795291.49857346
348,N107,43,3,33,C,1,5, ,Dry,0,12648.6281446972,5985555.9582499
349,F164,33,3,36,A,3,18, , ,0,12074.4046923946,7109719.50372477
350,L104,41,3,33,C,1,4, , ,0,12439.0148079633,7629511.40482948
351,V108,36,4,20,A,7,19,B176, ,0,71088.7180727565,136433512.496011
352,E145,32,3,36,A,3,18, , ,0,16259.8236772122,12780094.7182372
353,N144,43,3,36,A,3,7,E151p, ,0,11690.6980259157,6584938.92660523
354,L144,41,3,33,C,1,4, , ,0,7000.21464512956,2780266.39856781
355,L139,41,3,26,A,2,9, , ,0,19688.8137823154,17440862.4560372
356,L134,41,3,26,A,2,9, , ,0,12791.06070375,5043546.79656235
357,N106,43,3,33,C,1,5, , ,0,11384.0045868937,5598725.87377011
358,V111,36,4,36,A,7,19,F110,Dry,0,108531.236537778,136075791.651658
359,V125,36,4,36,A,7,19,S149, ,0,23290.5687791758,18350318.8805731
360,N128,43,3,33,C,1,5, , ,0,21756.7007958262,9634863.33081004
361,F154,33,3,36,A,3A,17, , ,0,30018.054083812,30963807.6058023
362,V114,36,3,36,A,7,19,F138, ,0,24510.1385427769,21358307.2271686
363,V104,36,4,36,A,7,19,B164, ,0,57373.3748668394,87343600.3365624
364,N117,43,3,33,C,1,5, , ,0,18518.2023339235,12689046.7309909
365,F180,33,3,36,A,3,18,E174, ,0,19067.6364884685,11913449.9950314
366,E173,32,3,36,A,3,7, , ,0,9978.14310602586,4588350.15722439
367,F151,33,3,36,A,3,18, , ,0,33533.0830679007,42034517.2554393
368,F171,33,3,36,A,3,18, , ,0,14320.9157136042,9125238.31928529
369,N125,43,3,26,A,2,7, , ,0,16718.748085123,10884369.2559316
370,E155,32,3,36,A,3,7, , ,0,12439.7368889683,9266145.61951338
371,N134,43,3,33,C,1,4, , ,0,27913.6167969683,39855961.253635
372,N105,43,3,33,C,1,5, ,Dry,0,13436.7630233907,7661570.43159006
373,N103,43,3,33,C,1,5, , ,0,11682.4389038733,5198147.27246203
374,F167,33,3,36,A,7,19, , ,0,29767.173048624,19630070.4272054
375,N136,43,3,33,C,1,4,L104p/N134p, ,0,30468.8636578504,34251208.4466358
376,V131,36,4,36,A,7,19,S163, ,0,28602.7954191415,25326598.0316729
377,N104,43,3,33,C,1,5, ,Dry,0,13384.8088131854,5962033.75553947
378,N115,43,3,33,C,1,5, , ,0,16491.9295362483,10215520.8338934
379,F179,33,3,36,A,3,7,E172, ,0,16790.0675476197,14949678.2198563
380,E175,32,3,36,A,3,7, , ,0,9191.92871511469,4429860.27754869
381,E154,32,3,36,A,3,7, , ,0,11739.980513052,8271353.7400439
382,F183,33,3,36,A,3A,17,S148, ,0,27726.7116081202,30283531.0848879
383,N142,43,3,26,A,3,7,E149, ,0,16598.5141218546,14053950.6157426
384,F182,33,3,36,A,3,7,S133, ,0,14862.0767156193,12017526.9895829
385,N143,43,3,26,A,3,7,E150, ,0,26157.6991280764,15299052.3364672
386,N126,43,3,26,A,2,7, , ,0,26536.9236672465,18658795.8479248
387,N141,43,3,26,A,3,7,E147, ,0,14434.7038466395,7161289.70766686
388,E171,32,3,36,A,3,7, , ,0,16064.8906085697,10470585.2819137
389,S146,48,3,36,A,3,17, , ,0,12600.9152521686,7393115.48925413
390,N101,43,3,33,C,1,5, , ,0,45633.0769749913,58435441.3401701
391,V129,36,4,36,A,7,19,S158, ,0,57630.9465186411,96399028.2760139
392,V127,36,3,36,A,7,19,S154, ,0,54398.3880789538,94673934.2345509
393,E183,32,3,36,A,3,7,S145p, ,0,16973.1192428958,12923478.9374249
394,S131,48,3,36,A,3,17, , ,0,10146.5208240424,6035534.46599836
395,E148,32,3,26,A,3,16, , ,0,16667.243064586,15499672.2001186
396,N102,43,3,33,C,1,5, , ,0,37205.7581973606,66340592.1605023
397,S119,48,3,36,A,3,7,S145p, ,0,21348.1780817835,16904934.7354006
398,F106,33,3,36,A,3,17, , ,0,30928.9789923316,33902832.7672837
399,N131,43,3,26,A,2,7, , ,0,36111.1542785877,56885172.8747343
400,E181,32,3,26,A,3,16,S117, ,0,14060.3593835308,7761870.57565173
401,V130,36,3,36,A,7,17,S159, ,0,12988.7480073907,4349381.62960648
402,F145,33,3,36,A,3,17, , ,0,35812.8726512745,34585589.2688201
403,V126,36,3,36,A,7,17,S151, ,0,26574.6070695952,19835764.9005161
404,S152,48,3,36,A,3,17, , ,0,13948.1133335509,8733452.09337797
405,S142,48,3,36,A,3,7, , ,0,29045.677230864,33739074.1789807
406,E184,32,3,26,A,3,16,S162, ,0,20384.8527831538,7583329.21861809
407,S130,48,3,36,A,3,7, , ,0,13981.7860827639,8923078.67162212
408,S166,48,3,26,A,3,7,N132, ,0,32877.3378227822,30281337.3553053
409,V128,36,3,36,A,7,17,S155, ,0,21679.248960589,11892113.1512752
410,S165,48,3,36,A,3,17,F175, ,0,15529.5251238223,9950577.87705593
411,S118,48,3,26,A,3,16, , ,0,17388.8327310832,12176453.8356458
412,S135,48,3,36,A,7,17, , ,0,17347.321861194,12990377.6416869
413,S164,48,3,36,A,3,17,F101, ,0,23856.7670988923,16850158.5401777
414,F184,33,3,36,A,7,17,S157, ,0,36589.3670989353,63938146.000528
415,S156,48,3,36,A,3,17, , ,0,11944.6083934481,7398203.26188673
416,F185,33,3,36,A,3,17,T101, ,0,14514.709928103,8395786.3896592
417,S161,48,3,26,A,3,16, , ,0,17166.9580254387,9864138.83627282
418,S129,48,3,26,A,3,16, , ,0,22143.540972271,22671919.6281088
419,S132,48,3,36,A,3,17, , ,0,24445.8556492455,14344259.601213
420,F186,33,3,36,A,7,16,T102, ,0,16148.9915385866,11922375.2770444
421,S140,48,3,26,A,3,16, , ,0,20917.6331608482,18191206.909171
422,E182,32,3,26,A,3,16,S137, ,0,36058.2450899667,33673087.293021
423,S168,48,3,26,A,3,16,T103, ,0,16393.2502978163,12560255.9528114
424,S116,48,3,26,A,3,16, , ,0,42223.7885824342,73640084.9748165
425,S128,48,3,26,A,3,16, , ,0,26304.9177959164,17025490.3455239
426,S160,48,3,26,A,3,16, , ,0,22651.1130288111,28548515.2583348
427,S144,48,3,26,A,3,16, , ,0,22294.8564201545,14231060.7845369
428,S126,48,3,26,A,3,16, , ,0,30946.3352942078,21567092.8651195
429,S153,48,3,26,A,3,16, , ,0,63404.4180869653,95796178.7016066
430,S143,48,3,26,A,3,16, , ,0,34503.4174642485,41227787.8219499
431,S125,48,3,26,A,3,16, , ,0,50735.5121744103,125475614.867418
432,L160,41,3,33,C,1,1,M107p/M161/N140, ,0,14302.2001892801,4239267.6371204
433,O127,44,3,37,C,4,1, , ,0,23292.3500845043,25059675.1160158
434,L162,41,3,33,C,1,5,M157,SM,0,2050.59452959572,248067.332719832
435,H127,35,3,35,B,6,2, , ,0,15923.2315725392,6478576.96625087
436,Q124,46,3,35,B,6,2, , ,0,14427.3137006178,10485122.4848259
437,K136,40,3,35,B,1,3,K113p, ,0,5626.62326289845,1959040.65984812
438,K118,40,3,33,C,4,15, , ,0,12371.3309965863,5283153.27166147
439,K138,40,3,33,C,4,12,K126p, ,0,8074.97745585987,3498812.31107441
440,M130,42,3,35,C,1,3, , ,0,9672.6844530947,3712790.5407532
441,M160,42,3,19,C,6,10,M144p, ,0,3926.78307707618,841608.486421847
442,M159,42,3,19,C,6,4,M144p,SM,0,4156.37842347496,989931.813166446
443,K112,40,3,35,B,1,6, , ,0,9814.77110432959,5049632.62296328
444,L140,41,3,33,C,1,6, , ,0,6447.9000454559,2408196.64749247
445,C128,30,3,19,A,2,10, , ,0,7563.54525019932,1720856.84067278
446,C130,30,3,19,A,2,10, ,SM,0,4103.37735012422,636444.373433649
447,C144,30,3,19,B,2,26, ,SM,0,3527.09521067299,635988.773669875
448,D145,31,3,35,B,7,11,D113p, ,0,7946.39962638328,3460916.34207709
449,V109,36,3,20,B,7,20,B178,SM,0,18014.6687981437,17175426.3270348
450,V123,36,4,36,A,7,19,F178,SM,0,7752.14891077256,1791016.65061125
451,C131,30,3,19,B,2,10, , ,0,17995.0150995338,5809253.8555109
452,K139,40,3,37,C,4,25,A124p,NV,0,2000.79096117654,172226.470208911
453,J143,38,3,37,C,4,25,A123p,SM,0,14871.0837552447,5740844.60431987
454,H156,35,3,38,B,5,13,B131p,NV,0,273.760707468156,1545.01098260422
455,C146,30,3,19,B,7,22,B155p,SM,0,4221.99868433887,185394.634410257
456,I147,37,3,38,B,7,22,B173p,SM,0,17191.6914019049,12149389.6893736
457,G168,34,3,19,A,2,26,D101p,SM,0,4497.98414473302,788971.040546498
458,C147,30,3,35,B,7,26,D113p,SM,0,1194.8836713178,86051.0676141727
459,C139,30,3,19,B,6,22, ,SM,0,9546.44307933276,4128098.94706361
460,C148,30,3,19,B,7,11,D136p,SM,0,4204.23771891147,306420.002059939
461,C150,30,3,19,B,7,11,D136p,SM,0,1710.42161389802,183157.591742974
462,C149,30,3,19,B,7,11,D136p,SM,0,3783.93460246573,675574.131620489
463,B181,29,3,20,B,7,11,D137p,SM/Dry,0,7575.62783433565,1561010.40219786
464,E141,32,3,36,A,2,7, , ,0,7783.63038328917,2959391.0479499
465,L153,41,3,36,A,3,7,E151p,SM,0,7306.826809223,2470645.3371588
466,F181,33,3,36,A,3,7,E175p & S122, ,0,22059.9692122209,13844259.5873803
467,I144,37,3,38,B,5,24,H148p,SM,0,9068.90529134182,3861113.66337259
468,K143,40,3,35,C,5,15,J104p,NV,0,2040.09610564241,63035.6967533493
469,G104,34,3,35,A,2,8, , ,0,7384.86468366406,2544535.73689309
470,M172,42,3,35,C,1,4,L111p/ L113p, ,0,8475.18901906161,2937525.36483242
471,K150,40,3,35,B,5,15,J130p,NV,0,2081.20529878163,227973.483235141
472,L149,41,3,33,C,1,4, ,SM,0,3535.19960350264,774661.637451704
473,L155,41,3,33,C,1,9,L117p,SM,0,2546.39066369764,369123.51931506
474,N147,43,3,33,C,1,4,L144p, ,0,6567.23097263028,2189350.99658257
475,L135,41,3,26,A,2,9, , ,0,12797.3199901832,6174041.72093885
476,D142,31,3,20,A,7,11,D143p, ,0,17922.3812349224,10801414.271993
477,B184,29,3,19,B,6,23,Q119p,SM,0,5236.38236403647,1702409.24844684
478,N149,43,3,33,C,1,1,M103p/M132p,SM,0,5212.44577054077,1083560.24103111
479,H158,35,3,19,B,6,15,K129p,NV,0,1188.10326289749,75824.4407702199
480,K151,40,3,35,C,4,15,J104p,NV,0,699.470163650426,19935.369265017
481,J154,38,3,33,C,4,15,K118p,NV,0,2799.62640592737,332660.467118866
482,I125,37,3,38,C,5,13, , ,0,18471.7270940179,17528498.7880769
483,C124,30,3,19,A,2,26,C122p/C124p, ,0,16330.5256444676,8132413.88576518
484,G169,34,3,19,A,2,9,G150p, ,0,8805.33563712693,3774830.58719972
485,J151,38,3,37,C,5,13,I123p,SM,0,9072.84653779243,4544590.40452994
486,M165,42,3,19,A,2,8,G142p,NV,0,2378.71958939918,231615.697974491
487,M164,42,3,19,A,2,9,G140p,SM,0,3129.71307351224,307860.114204727
488,A141,28,3,37,C,4,25,K132p,SM,0,3061.98764573215,542847.313207057
489,K132,40,3,37,C,4,25, , ,0,9658.42564872432,5036265.08324403
490,M167,42,3,37,C,4,1,O140p,NV,0,5482.59144429801,1736057.0049358
491,I107,37,3,37,B,5,15,I106p, ,0,11781.0438351312,6425708.54597028
492,D121,31,3,19,B,7,22, ,Dry,0,12583.3752612661,7387323.43460447
493,M141,42,3,33,C,1,9, , ,0,8728.37308655488,3727338.47339268
494,L163,41,3,35,C,1,4,L110p, ,0,2165.54145231433,292013.351848111
495,C151,30,3,35,A,2,26,C124p,SM,0,2811.48292428078,195355.149687005
496,J146,38,3,35,C,4,15,K118p,NV,0,242.772154966551,1791.96275608073
497,H145,35,3,38,B,5,24, , ,0,10393.558775767,5994203.70201583
498,Q139,46,3,19,B,6,23,Q119p, ,0,23043.284352121,13966556.5714346
499,I135,37,3,38,C,5,13,B143p, ,0,110910.570653358,215680840.764707
500,G106,34,3,35,A,2,8, , ,0,6604.66631986045,2491730.12852272
501,C110,30,3,35,B,6,2, , ,0,12727.1676479273,5377924.70825355
502,C123,30,3,19,B,2,10, , ,0,7937.16853220862,3380628.90415397
503,C145,30,3,35,B,6,10, , ,0,10692.9992012867,2193686.52777028
504,D110,31,3,19,A,2,26, , ,0,11167.6500865449,3308198.85508083
505,D144,31,3,19,A,2,26,D109p/D130p, ,0,13947.8641175134,5071022.82706227
506,E157,32,3,36,A,3,7, , ,0,8347.24938923849,3690940.23303088
507,E176,32,3,36,A,3,18,E157p, ,0,12426.9951703259,5911629.99063812
508,E161,32,3,36,A,3,18, , ,0,16710.0709964468,6339769.10735212
509,F155,33,3,36,A,3A,17, , ,0,27983.4223474468,26202264.5238642
510,F158,33,3,36,A,3,19, , ,0,14374.4923064443,6461927.10372187
511,G149,34,3,19,A,2,26, , ,0,8303.30287279725,2528323.8831421
512,G162,34,3,19,A,2,8, ,SM,0,19323.3514948759,7790961.61868727
513,G148,34,3,19,A,2,8, , ,0,11421.4435533911,3542272.91129911
514,G166,34,3,19,A,2,8,G129p, ,0,4782.36533643442,1150476.87815812
515,I126,37,3,38,C,5,13, , ,0,22235.823770535,21426900.9904848
516,M175,42,3,33,A,2,9,G140p,NV,0,627.938451252849,16040.254047129
517,M174,42,3,19,C,1,9,M143p,SM,0,476.540773717549,11553.9053236033
518,L108,41,3,33,C,1,4,L149p, ,0,11481.1035943873,6509307.2941123
519,L110,41,3,33,C,1,4, ,SM,0,8538.16972188468,2473767.3210983
520,O138,44,3,37,C,4,1, , ,0,10793.1380145648,5999496.19316142
521,A105,28,3,37,C,4,12, , ,0,25956.746485349,30456473.7333742
522,N113,43,3,33,C,1,5, , ,0,5801.96145038202,2102574.36960057
523,N124,43,3,33,C,1,5, ,SM,0,1376.98162610441,101252.490555899
524,N127,43,3,33,C,1,5, ,SM,0,14818.4255269085,3143726.06440394
525,N137,43,3,33,C,1,5, , ,0,11857.2517645007,6478695.52940937
526,N138,43,3,33,C,1,5,N111p,SM,0,3846.44164204954,752085.912231172
527,N150,43,3,33,C,1,5,M158,SM,0,1654.62208489365,153802.257650673
528,M107,42,3,33,C,1,1, , ,0,8231.9648007379,4276473.11527411
529,M168,42,3,35,C,1,6,K105p, ,0,3280.18442134814,641035.61087275
530,L112,41,3,35,C,1,4, , ,0,11393.5796158087,4574202.16247849
531,H133,35,3,19,B,6,10, ,SM,0,3205.65141712834,579674.326433421
532,H152,35,3,19,B,6,8,H102p, ,0,4277.9571181928,1160908.20624308
533,H109,35,3,19,B,6,10, , ,0,6589.19502630768,2430644.55383235
534,H125,35,3,37,B,6,21, , ,0,15095.4028630589,5105443.17469486
535,H159,35,3,38,B,5,24,Q118p, ,0,8173.69058034874,2741599.05685412
536,H123,35,3,35,B,6,21, , ,0,40529.9065182388,34535825.5179824
537,H126,35,3,35,B,6,21, , ,0,9818.10094028991,5631579.72052669
