X,Y,OBJECTID,ID1,ID2,REGION
-116.474465168,37.872949235,1,Central_176,176,Central
-116.502696394,37.878430252,2,Central_176,176,Central
-116.479282324,37.887016079,3,Central_176,176,Central
-116.495754748,37.890010539,4,Central_176,176,Central
-116.455273894,37.89210342,5,Central_176,176,Central
-116.461993808,37.897817432,6,Central_176,176,Central
-116.436533302,37.904599209,7,Central_176,176,Central
-116.44635066,37.907162597,8,Central_176,176,Central
-116.455674312,37.907287272,9,Central_176,176,Central
-116.461611933,37.908045266,10,Central_176,176,Central
-116.50075234,37.908461361,11,Central_176,176,Central
-116.426769969,37.908367852,12,Central_176,176,Central
-116.46989768,37.910031367,13,Central_176,176,Central
-116.496329663,37.910878133,14,Central_176,176,Central
-116.427467097,37.910969227,15,Central_176,176,Central
-116.485556741,37.912780028,16,Central_176,176,Central
-116.491580278,37.916053686,17,Central_176,176,Central
-116.423012101,37.917198859,18,Central_176,176,Central
-116.441436636,37.920129287,19,Central_176,176,Central
-116.430264851,37.920238106,20,Central_176,176,Central
-116.498511805,37.921522958,21,Central_176,176,Central
-116.423900204,37.921587297,22,Central_176,176,Central
-116.487202392,37.926670186,23,Central_176,176,Central
-116.44978271,37.927881351,24,Central_176,176,Central
-116.43336891,37.929751942,25,Central_176,176,Central
-116.450986063,37.931459188,26,Central_176,176,Central
-116.496564672,37.936534221,27,Central_176,176,Central
-116.467344762,37.937217445,28,Central_176,176,Central
-116.459141295,37.937585957,29,Central_176,176,Central
-116.476458613,37.938557335,30,Central_176,176,Central
-116.461791076,37.93970896,31,Central_176,176,Central
-116.486788247,37.942012685,32,Central_175,175,Central
-116.508309041,37.943160011,33,Central_176,176,Central
-116.492310559,37.943985122,34,Central_175,175,Central
-116.483980081,37.947764654,35,Central_175,175,Central
-116.516270634,37.948470149,36,Central_175,175,Central
-116.46776771,37.94964091,37,Central_175,175,Central
-116.478834528,37.950502317,38,Central_175,175,Central
-116.525270695,37.951916649,39,Central_175,175,Central
-116.497576162,37.953587747,40,Central_175,175,Central
-116.526273552,37.955411716,41,Central_175,175,Central
-116.464445702,37.955308888,42,Central_175,175,Central
-116.460956671,37.955698886,43,Central_175,175,Central
-116.508326076,37.955987573,44,Central_175,175,Central
-116.52808693,37.960452573,45,Central_175,175,Central
-116.522909008,37.968306778,46,Central_175,175,Central
-116.467119019,37.968473216,47,Central_175,175,Central
-116.468339077,37.969940089,48,Central_175,175,Central
-116.485359297,37.9705029,49,Central_175,175,Central
-116.519696627,37.973408449,50,Central_175,175,Central
-116.462647839,37.97689624,51,Central_175,175,Central
-116.502928884,37.98088911,52,Central_175,175,Central
-116.501782527,37.983563405,53,Central_175,175,Central
-116.532952963,37.985477403,54,Central_175,175,Central
-116.465047434,37.985431717,55,Central_175,175,Central
-116.513034793,37.98823814,56,Central_175,175,Central
-116.475789911,37.989377014,57,Central_175,175,Central
-116.534760339,37.991654716,58,Central_175,175,Central
-116.479349763,37.993695684,59,Central_175,175,Central
-116.516993282,37.994668164,60,Central_175,175,Central
-116.510523835,37.99561565,61,Central_175,175,Central
-116.462295795,37.997028758,62,Central_174,174,Central
-116.521885836,37.999559318,63,Central_175,175,Central
-116.489977013,37.999750009,64,Central_175,175,Central
-116.484231207,37.999806137,65,Central_175,175,Central
-116.468815258,38.003472065,66,Central_174,174,Central
-116.544122107,38.003950475,67,Central_175,175,Central
-116.509232726,38.00462191,68,Central_175,175,Central
-116.493530379,38.00520482,69,Central_175,175,Central
-116.484899387,38.00695342,70,Central_175,175,Central
-116.452473159,38.00729403,71,Central_174,174,Central
-116.542040813,38.008651174,72,Central_175,175,Central
-116.529927525,38.009496423,73,Central_175,175,Central
-116.483340393,38.009788082,74,Central_175,175,Central
-116.51976301,38.010429582,75,Central_175,175,Central
-116.489477702,38.012575203,76,Central_175,175,Central
-116.520052838,38.013191083,77,Central_175,175,Central
-116.443586679,38.015533249,78,Central_174,174,Central
-116.452600489,38.017767565,79,Central_174,174,Central
-116.531821823,38.018190864,80,Central_175,175,Central
-116.474757359,38.019086409,81,Central_174,174,Central
-116.480192224,38.01967886,82,Central_174,174,Central
-116.480692726,38.021467154,83,Central_174,174,Central
-116.439587779,38.028585114,84,Central_174,174,Central
-116.45846033,38.030297261,85,Central_174,174,Central
-116.482257011,38.032515282,86,Central_174,174,Central
-116.446434257,38.03259563,87,Central_174,174,Central
-116.463818352,38.041525393,88,Central_174,174,Central
-116.432591758,38.044057936,89,Central_174,174,Central
-116.442230198,38.045565393,90,Central_174,174,Central
-116.426797542,38.049875151,91,Central_174,174,Central
-116.445152098,38.052885878,92,Central_174,174,Central
-116.420283713,38.055688524,93,Central_174,174,Central
-116.438837968,38.059594257,94,Central_174,174,Central
-116.422067297,38.063896977,95,Central_174,174,Central
-116.423178951,38.066175612,96,Central_174,174,Central
-116.424859765,38.074464691,97,Central_174,174,Central
-116.43754693,38.080696127,98,Central_174,174,Central
-116.432203725,38.080995172,99,Central_174,174,Central
-117.24896632,38.264280208,100,Central_173,173,Central
-117.256706606,38.269296863,101,Central_173,173,Central
-117.264751007,38.272688664,102,Central_173,173,Central
-117.251365352,38.273205199,103,Central_173,173,Central
-117.233655335,38.274053629,104,Central_173,173,Central
-117.220680631,38.27440348,105,Central_173,173,Central
-117.249828993,38.275643961,106,Central_173,173,Central
-116.698523112,38.282747872,107,Central_172,172,Central
-117.250475902,38.284085575,108,Central_173,173,Central
-117.237400207,38.285574048,109,Central_173,173,Central
-117.254403902,38.28813625,110,Central_173,173,Central
-117.265943004,38.288922486,111,Central_173,173,Central
-116.70590129,38.292021398,112,Central_172,172,Central
-117.25730657,38.293406781,113,Central_173,173,Central
-117.234651155,38.295483844,114,Central_173,173,Central
-116.691974496,38.296937782,115,Central_172,172,Central
-117.229407772,38.29874151,116,Central_173,173,Central
-116.714392913,38.306817557,117,Central_172,172,Central
-117.228920243,38.307510156,118,Central_173,173,Central
-117.225110682,38.308329351,119,Central_173,173,Central
-117.234904558,38.310177338,120,Central_173,173,Central
-116.694489565,38.311313608,121,Central_172,172,Central
-116.730344451,38.31164506,122,Central_172,172,Central
-116.704267547,38.313855313,123,Central_172,172,Central
-117.236262157,38.315776183,124,Central_173,173,Central
-116.778036401,38.316047658,125,Central_172,172,Central
-116.778962783,38.316374136,126,Central_172,172,Central
-117.226478603,38.317500307,127,Central_173,173,Central
-116.782767326,38.319060255,128,Central_172,172,Central
-117.231843046,38.319438196,129,Central_173,173,Central
-116.747104961,38.321505428,130,Central_172,172,Central
-116.700733245,38.321396277,131,Central_172,172,Central
-116.745248668,38.321907322,132,Central_172,172,Central
-116.766472114,38.323412776,133,Central_172,172,Central
-116.731428419,38.325042588,134,Central_172,172,Central
-116.780682695,38.326931036,135,Central_172,172,Central
-116.741721954,38.328394168,136,Central_172,172,Central
-116.730486208,38.329018342,137,Central_172,172,Central
-116.77572698,38.329844217,138,Central_172,172,Central
-116.739025846,38.333015569,139,Central_172,172,Central
-116.707992005,38.335783768,140,Central_172,172,Central
-116.752001501,38.336128636,141,Central_172,172,Central
-116.716854313,38.336211408,142,Central_172,172,Central
-116.784668026,38.338385075,143,Central_172,172,Central
-116.745397398,38.338306394,144,Central_172,172,Central
-116.770438878,38.339981723,145,Central_172,172,Central
-116.760129523,38.340529361,146,Central_172,172,Central
-116.76456151,38.340619524,147,Central_172,172,Central
-116.721983881,38.342474677,148,Central_172,172,Central
