OBJECTID,SURVTYP,SURVTYPTXT,SHAPE_Length,SHAPE_Area
121,W,Meandered Water,273.332315695171,1956.16701781134
122,W,Meandered Water,285.541464246697,1582.21897577426
123,W,Meandered Water,3658.0820068519,614717.335225649
124,W,Meandered Water,5980.06184011755,759475.423128698
125,W,Meandered Water,3632.57838499624,387817.332431137
126,W,Meandered Water,18214.402171052,607587.065820647
127,W,Meandered Water,22277.0522137775,422475.869478307
128,W,Meandered Water,12521.052959178,333443.14751941
129,W,Meandered Water,2471.28897611153,398797.735392397
130,W,Meandered Water,1337.25492604071,123027.613607058
131,W,Meandered Water,2319.01968472023,253435.000677287
132,W,Meandered Water,1317.81053999023,110986.102697956
133,W,Meandered Water,3318.69323046738,573135.442673058
134,W,Meandered Water,9738.07609401034,214592.076062533
135,W,Meandered Water,23783.1394708105,434246.247923374
136,W,Meandered Water,23279.3552799602,517973.54315168
137,W,Meandered Water,23303.7577207815,859471.269906184
138,W,Meandered Water,26112.9028192801,569753.940695604
139,W,Meandered Water,4103.47477932529,99858.4880357545
140,W,Meandered Water,498.928911370281,10040.7143564305
141,W,Meandered Water,683.241240773367,9963.40748629524
142,W,Meandered Water,792.645346429815,12902.7735063703
143,W,Meandered Water,1418.80719421528,29591.329213568
144,W,Meandered Water,14622.4424163758,358449.12601631
145,W,Meandered Water,20906.6118611547,651058.330901898
146,W,Meandered Water,9082.29797285708,245281.372652464
147,W,Meandered Water,10430.1496371155,309335.204887092
148,W,Meandered Water,35418.8730153202,1040859.75625234
149,W,Meandered Water,2546.68322760547,60990.472976437
150,W,Meandered Water,25846.8503635792,732449.040212561
151,W,Meandered Water,8838.56734995483,214588.852770204
152,W,Meandered Water,34533.8863371722,856853.725836773
153,W,Meandered Water,479.032488928856,5706.630236258
154,W,Meandered Water,25018.0252488874,412695.539239673
155,W,Meandered Water,476.619133198948,8088.54148390463
156,W,Meandered Water,373.664045919708,3069.1764164894
157,W,Meandered Water,1176.13150162248,18688.0163032806
158,W,Meandered Water,4138.4664115286,83332.1706691758
159,W,Meandered Water,15630.0734613732,308002.994872092
160,W,Meandered Water,720.246483732059,9515.0209885305
161,W,Meandered Water,2.60740771450481,0.0718226800980341
162,W,Meandered Water,124.831658453963,308.299122263198
163,W,Meandered Water,174.174651579876,245.453934822734
164,W,Meandered Water,1639.1057996634,176290.125135609
165,W,Meandered Water,2123.01800313028,196466.15997111
166,W,Meandered Water,28517.5985439627,644471.718040547
167,W,Meandered Water,5981.99729838885,128522.522215004
168,W,Meandered Water,310.277740538674,428.870879339611
169,W,Meandered Water,170.504063077549,331.716261293916
170,W,Meandered Water,652.504940863837,4081.95117541738
171,W,Meandered Water,1425.53622933843,113293.090529788
172,W,Meandered Water,1527.80076236929,126266.281810293
173,W,Meandered Water,38.9597761674101,40.2701918088656
174,W,Meandered Water,755.245559675545,28189.4595011046
175,W,Meandered Water,567.309162609546,13335.3380229246
176,W,Meandered Water,9.93093282060998,4.13013567388261
177,W,Meandered Water,676.213494305567,8575.09170513484
178,W,Meandered Water,1783.59950512387,207409.51481856
179,W,Meandered Water,1979.08878468502,34223.3967502881
180,W,Meandered Water,24050.2373526561,381448.956940314
181,W,Meandered Water,1619.80942370041,163616.830266262
182,W,Meandered Water,2300.78109425605,143668.394491717
183,W,Meandered Water,3280.32017569179,448101.466643502
184,W,Meandered Water,2090.53352717504,230400.818755482
185,W,Meandered Water,1099.37105666723,70671.4351601327
186,W,Meandered Water,2485.56823751644,220429.860039899
187,W,Meandered Water,1419.00848338449,142826.49588781
188,W,Meandered Water,1483.55765498069,140250.343511252
189,W,Meandered Water,3025.82493094267,473685.099067561
190,W,Meandered Water,1870.85124008048,223009.901459322
191,W,Meandered Water,2440.98397744152,354100.290114869
192,W,Meandered Water,1291.69142869275,117688.257468547
193,W,Meandered Water,4308.67021079392,1214976.50074982
194,W,Meandered Water,2829.7923576425,369787.479613167
195,W,Meandered Water,3566.57589929774,536007.795221462
196,W,Meandered Water,5406.25929954255,1501144.54540387
197,W,Meandered Water,1069.02774363566,79509.5145569223
198,W,Meandered Water,1524.51849752194,101139.034792981
199,W,Meandered Water,954.081865330298,39537.7010802937
200,W,Meandered Water,955.378457860156,45568.1856228245
201,W,Meandered Water,737.208040542237,27710.0590677142
202,W,Meandered Water,0.755120324012515,0.0146555100895928
203,W,Meandered Water,4843.5129974323,78398.5561855701
204,W,Meandered Water,1109.78564386391,21067.8995381883
205,W,Meandered Water,3961.58293602146,159648.287634557
206,W,Meandered Water,8281.25284195072,605253.699232853
207,W,Meandered Water,4403.74314061656,836542.319237382
208,W,Meandered Water,6883.01284821729,2025138.42875548
209,W,Meandered Water,4768.98705041031,86958.9244010792
210,W,Meandered Water,2408.13017275574,61081.9057022285
211,W,Meandered Water,1517.65641160285,56983.3916186248
212,W,Meandered Water,25113.7585719745,784408.498723382
213,W,Meandered Water,25567.3501384773,715016.269820931
214,W,Meandered Water,5896.97010766524,736044.260135011
215,W,Meandered Water,2675.36942528593,147573.938484609
216,W,Meandered Water,4433.0922456367,516084.908451119
217,W,Meandered Water,3089.07178962259,343437.784229513
218,W,Meandered Water,382.809344036765,1367.16097107103
219,W,Meandered Water,74.4393226369809,62.5240006676877
220,W,Meandered Water,220.909437938468,136.249494223411
221,W,Meandered Water,185.857212018863,909.720532394515
