OBJECTID,Fire_Operations_Priority_Area_N,FIAT_Planning_Area_Name,Protection_Purpose_Need,Total_Acres_Fire_Operations_Pri,Priority_Ranking,FIAT_Assessment_Area,SHAPE_Length,SHAPE_Area
225,Trout Creek West Second Priority FO,Trout Creek West,Focal Habitat; Emphasis Area,55681.855,2,Western Great Basin,77970.9530799077,-225336468.600105
226,Frenchglen First Priority FO: Unburned,Frenchglen,Focal Habitat; Emphasis Area,149675.86,1,Western Great Basin,166437.80699058,-605716711.968465
227,Orejana East First Priority FO: East,Orejana East,Focal Habitat; Emphasis Area,156180.98,1,Western Great Basin,218047.36479607,-632042038.378948
228,Frenchglen First Priority FO: Burned,Frenchglen,Focal Habitat; Emphasis Area,39483.801,1,Western Great Basin,60444.0631129095,-159785269.453668
229,Orejana East First Priority FO: Burned,Orejana East,Focal Habitat; Emphasis Area,158168.8,1,Western Great Basin,164002.744114622,-640086417.424295
230,Roaring Springs First Priority FO,Roaring Springs,Focal Habitat; Emphasis Area,40239.609,1,Western Great Basin,65112.4218507845,-162843919.112478
231,Orejana East Second Priority FO: Non PPA,Orejana East,Focal Habitat; Emphasis Area,44265.824,2,Western Great Basin,95342.1151055371,-179137430.564708
232,Roaring Springs Second Priority FO,Roaring Springs,Focal Habitat; Emphasis Area,35569.82,2,Western Great Basin,68494.4553673327,-143945960.455421
233,Pueblo Second Priority FO,Pueblo,Focal Habitat; Emphasis Area,55575.922,2,Western Great Basin,68144.2070453737,-224907772.167252
234,Trout Creek West First Priority FO,Trout Creek West,Focal Habitat; Emphasis Area,48319.441,1,Western Great Basin,90730.3069977465,-195541849.405208
235,Trout Creek East First Priority FO: Caldera,Trout Creek East,Focal Habitat; Emphasis Area,70070.906,1,Western Great Basin,99949.4811426884,-283566882.787857
236,Trout Creek East Second Priority FO,Trout Creek East,Focal Habitat; Emphasis Area,119419.04,2,Western Great Basin,252875.778623729,-483271691.82839
237,Trout Creek East First Priority FO: Holloway and Long Draw,Trout Creek East,Focal Habitat; Emphasis Area,56278.652,1,Western Great Basin,114807.290874159,-227751620.924073
238,Trout Creek East First Priority FO: Unburned,Trout Creek East,Focal Habitat; Emphasis Area,89712.273,1,Western Great Basin,247125.283910277,-363052684.097343
239,Virginia Ranges First Priority FO,Virginia Ranges,Focal Habitat,49706.125,1,Western Great Basin,133302.673411544,-201153555.251325
240,Virginia Ranges Second Priority FO,Virginia Ranges,Focal Habitat,87594.812,2,Western Great Basin,133283.366580565,-354483639.185749
241,Virginia Ranges Third Priority FO,Virginia Ranges,Focal Habitat; Emphasis Area,8311.8369,3,Western Great Basin,64141.2001048726,-33636810.3080048
