State,Zip Code,2017,2018,2019,2020,2021,2022,2023,Unnamed: 9
Alabama (AL),35209,108,92,78,63,43,52,41,
Alabama (AL),35210,80,85,64,63,52,44,41,
Alabama (AL),35211,150,143,123,97,88,90,82,
Alabama (AL),35212,40,30,37,32,24,29,16,
Alabama (AL),35213,91,77,80,52,41,42,32,
Alabama (AL),35214,108,121,77,88,90,50,72,
Alabama (AL),35215,168,185,150,109,118,87,84,
Alabama (AL),35216,137,131,117,123,84,76,79,
Alabama (AL),35217,48,64,47,41,39,28,32,
Alabama (AL),35218,25,37,36,17,21,19,19,
Alabama (AL),35219,*,*,*,*,*,*,*,
Alabama (AL),35220,*,*,*,*,*,*,*,
Alabama (AL),35221,36,42,29,24,19,17,14,
Alabama (AL),35222,40,25,25,19,19,18,*,
Alabama (AL),35223,63,69,59,44,42,29,41,
Alabama (AL),35224,32,30,33,24,15,18,18,
Alabama (AL),35226,178,161,158,132,112,104,81,
Alabama (AL),35228,56,36,45,40,25,29,23,
Alabama (AL),35229,*,*,*,*,*,*,*,
Alabama (AL),35231,*,*,*,*,*,*,*,
Alabama (AL),35232,*,*,*,*,*,*,*,
Alabama (AL),35233,*,*,*,*,*,*,*,
Alabama (AL),35234,22,21,29,16,20,14,11,
Alabama (AL),35235,94,98,79,59,70,59,43,
Alabama (AL),35236,*,*,*,*,*,*,*,
Alabama (AL),35237,*,*,*,*,*,*,*,
Alabama (AL),35238,*,*,*,*,*,*,*,
Alabama (AL),35242,240,211,233,173,154,166,137,
Alabama (AL),35243,110,97,104,87,85,59,49,
Alabama (AL),35244,121,129,136,84,108,78,74,
Alabama (AL),35246,*,*,*,*,*,*,*,
Alabama (AL),35249,*,*,*,*,*,*,*,
Alabama (AL),35253,*,*,*,*,*,*,*,
Alabama (AL),35254,*,*,*,*,*,*,*,
Alabama (AL),35255,*,*,*,*,*,*,*,
Alabama (AL),35259,*,*,*,*,*,*,*,
Alabama (AL),35260,*,*,*,*,*,*,*,
Alabama (AL),35261,*,*,*,*,*,*,*,
Alabama (AL),35266,*,*,*,*,*,*,*,
Alabama (AL),35270,*,*,*,*,*,*,*,
Alabama (AL),35282,*,*,*,*,*,*,*,
