State,Zip Code,2017,2018,2019,2020,2021,2022,2023,Unnamed: 9
Alabama (AL),36266,41,47,33,42,33,26,28,
Alabama (AL),36267,*,*,*,*,*,*,*,
Alabama (AL),36268,37,43,27,21,23,25,25,
Alabama (AL),36269,*,15,*,*,*,*,*,
Alabama (AL),36271,54,40,31,29,35,29,17,
Alabama (AL),36272,102,95,89,87,77,54,54,
Alabama (AL),36273,13,23,14,20,12,11,*,
Alabama (AL),36274,67,68,52,58,51,35,37,
Alabama (AL),36275,*,*,*,*,*,*,*,
Alabama (AL),36276,23,23,13,14,17,14,19,
Alabama (AL),36277,35,35,41,32,17,22,21,
Alabama (AL),36278,47,37,35,34,21,32,21,
Alabama (AL),36279,24,22,17,12,*,*,15,
Alabama (AL),36280,35,41,37,22,18,28,19,
Alabama (AL),36301,224,221,182,175,152,129,114,
Alabama (AL),36302,12,*,11,*,*,*,*,
Alabama (AL),36303,178,165,141,131,107,110,91,
Alabama (AL),36304,*,*,*,*,*,*,*,
Alabama (AL),36305,95,98,86,101,70,54,50,
Alabama (AL),36310,54,57,57,44,34,35,27,
Alabama (AL),36311,23,17,23,13,15,11,*,
Alabama (AL),36312,44,34,42,27,36,23,20,
Alabama (AL),36313,*,*,*,*,*,*,*,
Alabama (AL),36314,*,*,*,*,*,*,*,
Alabama (AL),36316,19,13,*,*,12,11,*,
Alabama (AL),36317,*,*,*,*,*,*,*,
Alabama (AL),36318,*,13,11,*,*,*,*,
Alabama (AL),36319,20,22,12,14,12,13,15,
Alabama (AL),36320,25,27,26,18,18,15,12,
Alabama (AL),36321,12,*,13,*,11,11,*,
Alabama (AL),36322,61,60,45,55,40,32,37,
Alabama (AL),36323,70,45,61,55,54,41,27,
Alabama (AL),36330,190,213,163,141,142,141,105,
Alabama (AL),36331,18,13,11,*,*,*,*,
Alabama (AL),36340,42,40,30,45,35,25,23,
Alabama (AL),36343,11,*,12,*,*,*,*,
Alabama (AL),36344,48,48,43,26,27,32,28,
Alabama (AL),36345,67,49,47,41,33,37,32,
Alabama (AL),36346,14,14,13,*,11,*,*,
Alabama (AL),36349,*,*,*,*,*,*,*,
Alabama (AL),36350,41,39,25,23,19,20,21,
Alabama (AL),36351,29,22,23,18,18,20,12,
Alabama (AL),36352,32,37,41,31,37,20,20,
Alabama (AL),36353,15,14,21,12,*,*,*,
Alabama (AL),36360,165,144,126,116,136,114,85,
Alabama (AL),36361,*,*,*,12,*,*,*,
Alabama (AL),36362,*,*,*,*,*,*,*,
Alabama (AL),36370,*,*,*,*,*,*,*,
Alabama (AL),36371,*,*,*,*,*,*,*,
Alabama (AL),36373,*,*,*,*,*,*,*,
Alabama (AL),36374,12,*,11,*,*,*,*,
Alabama (AL),36375,53,49,42,43,40,27,32,
Alabama (AL),36376,18,18,12,12,*,11,*,
Alabama (AL),36401,54,58,64,50,48,36,36,
Alabama (AL),36420,97,81,90,65,58,57,40,
Alabama (AL),36421,68,86,68,60,57,44,56,
Alabama (AL),36425,*,*,*,*,*,*,*,
Alabama (AL),36426,117,82,94,82,59,69,50,
Alabama (AL),36427,*,12,*,*,*,*,*,
Alabama (AL),36429,*,*,*,*,*,*,*,
Alabama (AL),36432,14,13,20,*,14,11,12,
Alabama (AL),36435,*,*,*,*,*,*,*,
Alabama (AL),36436,*,*,*,*,*,*,*,
Alabama (AL),36439,*,11,*,*,*,*,*,
Alabama (AL),36441,30,26,15,17,20,12,21,
Alabama (AL),36442,40,29,27,22,*,23,22,
Alabama (AL),36444,*,*,*,*,*,*,*,
Alabama (AL),36445,38,34,18,27,23,20,14,
Alabama (AL),36446,*,*,*,*,*,*,*,
Alabama (AL),36449,*,*,*,*,*,*,*,
Alabama (AL),36451,35,30,30,24,19,22,15,
Alabama (AL),36453,23,24,22,26,15,12,13,
Alabama (AL),36454,*,*,*,*,*,*,*,
Alabama (AL),36455,*,*,*,*,*,*,*,
Alabama (AL),36456,*,*,14,*,*,*,*,
Alabama (AL),36457,*,*,*,*,*,*,*,
Alabama (AL),36458,*,*,*,*,*,*,*,
Alabama (AL),36460,44,43,45,40,36,21,22,
Alabama (AL),36461,*,11,11,*,*,*,*,
Alabama (AL),36467,75,83,93,70,59,53,51,
Alabama (AL),36470,*,*,*,*,*,*,*,
Alabama (AL),36471,*,*,*,*,*,*,*,
Alabama (AL),36473,*,*,*,*,*,*,*,
Alabama (AL),36474,24,26,24,18,16,14,16,
Alabama (AL),36475,11,12,16,12,15,*,*,
Alabama (AL),36476,*,*,*,*,*,*,*,
Alabama (AL),36477,31,43,41,24,22,16,23,
Alabama (AL),36480,16,15,*,11,14,11,*,
Alabama (AL),36481,*,*,*,*,*,*,*,
Alabama (AL),36482,*,*,*,*,*,*,*,
Alabama (AL),36483,*,*,*,*,*,*,*,
Alabama (AL),36502,94,96,94,86,74,58,60,
Alabama (AL),36503,*,*,*,*,*,*,*,
Alabama (AL),36504,11,13,*,11,*,*,*,
Alabama (AL),36505,*,*,*,*,*,*,*,
Alabama (AL),36507,105,140,125,81,74,62,64,
Alabama (AL),36509,*,*,*,*,*,*,*,
Alabama (AL),36511,*,*,*,*,*,*,*,
Alabama (AL),36512,*,*,*,*,*,*,*,
Alabama (AL),36513,*,*,*,*,*,*,*,
Alabama (AL),36515,*,*,*,*,*,*,*,
Alabama (AL),36518,12,14,16,14,*,*,*,
Alabama (AL),36521,33,37,21,20,18,18,23,
Alabama (AL),36522,39,36,32,26,30,23,26,
Alabama (AL),36523,16,23,12,*,*,15,11,
Alabama (AL),36524,*,11,*,*,*,*,11,
Alabama (AL),36525,*,*,*,*,*,*,*,
Alabama (AL),36526,158,134,158,146,115,117,89,
Alabama (AL),36527,71,64,60,54,56,54,51,
Alabama (AL),36528,18,12,12,19,*,*,*,
Alabama (AL),36529,*,*,*,*,*,*,*,
Alabama (AL),36530,66,67,67,42,43,37,33,
Alabama (AL),36532,254,207,246,198,171,169,128,
Alabama (AL),36533,19,13,24,11,12,13,*,
Alabama (AL),36535,230,247,209,232,181,166,159,
Alabama (AL),36536,11,19,19,16,12,*,*,
Alabama (AL),36538,*,*,*,*,*,*,*,
Alabama (AL),36539,*,*,*,*,*,*,*,
Alabama (AL),36540,*,*,*,*,*,*,*,
Alabama (AL),36541,84,81,69,59,62,48,38,
Alabama (AL),36542,81,90,102,79,69,63,60,
Alabama (AL),36543,*,*,*,*,*,*,*,
Alabama (AL),36544,38,37,33,36,37,22,21,
Alabama (AL),36545,60,60,47,44,42,36,39,
Alabama (AL),36547,25,17,11,16,15,*,*,
Alabama (AL),36548,*,*,*,*,*,*,*,
Alabama (AL),36549,92,83,64,69,57,61,52,
Alabama (AL),36550,*,*,*,*,*,*,*,
Alabama (AL),36551,45,46,42,30,34,26,24,
Alabama (AL),36553,*,11,17,11,*,*,*,
Alabama (AL),36555,19,21,15,*,14,11,13,
Alabama (AL),36556,*,*,*,*,*,*,*,
Alabama (AL),36558,22,23,24,15,20,19,16,
Alabama (AL),36559,*,11,*,11,12,*,*,
Alabama (AL),36560,39,31,27,33,23,29,26,
Alabama (AL),36561,64,59,48,45,48,34,34,
Alabama (AL),36562,11,*,12,*,*,*,*,
Alabama (AL),36564,21,19,14,13,*,*,*,
Alabama (AL),36567,94,79,62,56,69,51,52,
Alabama (AL),36568,*,*,*,*,*,*,*,
Alabama (AL),36569,*,*,*,*,*,*,*,
Alabama (AL),36571,97,83,79,56,68,59,46,
Alabama (AL),36572,42,26,30,36,33,31,18,
Alabama (AL),36574,*,*,11,*,11,*,*,
Alabama (AL),36575,116,106,80,75,66,75,55,
Alabama (AL),36576,33,29,30,23,28,25,*,
Alabama (AL),36577,*,*,*,*,*,*,*,
Alabama (AL),36578,*,12,13,13,*,*,*,
Alabama (AL),36579,*,13,16,*,*,*,*,
Alabama (AL),36580,37,46,34,35,32,23,20,
Alabama (AL),36581,*,*,*,*,*,*,*,
Alabama (AL),36582,100,129,77,92,70,61,60,
Alabama (AL),36583,*,*,*,*,*,*,*,
Alabama (AL),36584,*,*,*,*,*,*,*,
Alabama (AL),36585,*,*,*,*,*,*,*,
Alabama (AL),36587,42,53,51,49,40,33,25,
Alabama (AL),36590,*,*,*,*,*,*,*,
Alabama (AL),36601,*,*,*,*,*,*,*,
Alabama (AL),36602,*,*,*,*,*,*,*,
Alabama (AL),36603,39,24,21,32,33,25,15,
Alabama (AL),36604,37,32,37,23,22,18,20,
Alabama (AL),36605,129,124,117,105,74,75,72,
Alabama (AL),36606,76,58,69,56,41,46,29,
Alabama (AL),36607,35,30,35,20,22,20,12,
Alabama (AL),36608,165,150,161,123,100,93,91,
Alabama (AL),36609,118,93,89,80,60,63,57,
Alabama (AL),36610,48,67,57,56,41,33,36,
Alabama (AL),36611,28,21,21,22,12,13,14,
Alabama (AL),36612,20,15,20,16,*,11,*,
Alabama (AL),36613,57,60,52,41,41,45,38,
Alabama (AL),36615,*,*,*,*,*,*,*,
Alabama (AL),36616,*,*,*,*,*,*,*,
Alabama (AL),36617,94,92,64,82,67,61,53,
Alabama (AL),36618,110,81,63,76,56,58,52,
Alabama (AL),36619,92,84,93,58,74,52,55,
Alabama (AL),36625,*,*,*,*,*,*,*,
Alabama (AL),36628,*,*,*,*,*,*,*,
Alabama (AL),36630,*,*,*,*,*,*,*,
Alabama (AL),36633,*,*,*,*,*,*,*,
Alabama (AL),36640,*,*,*,*,*,*,*,
Alabama (AL),36641,*,*,*,*,*,*,*,
Alabama (AL),36644,*,*,*,*,*,*,*,
Alabama (AL),36652,*,*,*,*,*,*,*,
Alabama (AL),36660,*,*,*,*,*,*,*,
Alabama (AL),36663,*,*,*,*,*,*,*,
Alabama (AL),36670,*,*,*,*,*,*,*,
Alabama (AL),36671,*,*,*,*,*,*,*,
Alabama (AL),36675,*,*,*,*,*,*,*,
Alabama (AL),36685,*,*,*,*,*,*,*,
Alabama (AL),36688,*,*,*,*,*,*,*,
Alabama (AL),36689,*,*,*,*,*,*,*,
Alabama (AL),36691,*,*,*,*,*,*,*,
Alabama (AL),36693,117,112,92,99,87,73,55,
Alabama (AL),36695,226,205,172,173,169,154,114,
Alabama (AL),36701,118,105,87,89,84,57,64,
Alabama (AL),36702,*,*,*,*,13,*,*,
Alabama (AL),36703,44,42,57,43,39,29,22,
Alabama (AL),36720,*,*,*,*,*,*,*,
Alabama (AL),36721,*,*,*,*,*,*,*,
Alabama (AL),36722,*,*,*,*,*,*,*,
Alabama (AL),36723,*,*,*,*,*,*,*,
Alabama (AL),36726,34,18,33,28,19,23,*,
Alabama (AL),36727,*,*,*,*,*,*,*,
Alabama (AL),36728,*,*,*,*,*,*,*,
Alabama (AL),36732,40,51,45,36,37,24,26,
Alabama (AL),36736,11,*,*,*,*,*,*,
Alabama (AL),36738,*,*,*,*,*,*,*,
Alabama (AL),36740,*,*,*,*,*,*,*,
Alabama (AL),36741,*,*,*,*,*,*,*,
Alabama (AL),36742,25,13,16,*,*,14,*,
Alabama (AL),36744,46,39,45,25,20,25,25,
Alabama (AL),36745,*,*,*,*,*,*,*,
Alabama (AL),36748,22,23,11,21,15,14,13,
Alabama (AL),36749,*,*,*,*,*,*,*,
Alabama (AL),36750,13,15,11,12,13,*,*,
Alabama (AL),36751,*,*,*,*,*,*,*,
Alabama (AL),36752,14,14,*,*,*,*,*,
Alabama (AL),36753,*,*,*,*,*,*,*,
Alabama (AL),36754,*,*,*,*,*,*,*,
Alabama (AL),36756,55,39,35,34,28,30,22,
Alabama (AL),36758,11,*,*,*,*,*,*,
Alabama (AL),36759,11,*,12,*,11,*,*,
Alabama (AL),36761,*,*,*,*,*,*,*,
Alabama (AL),36762,*,*,*,*,*,*,*,
Alabama (AL),36763,*,*,*,*,*,*,*,
Alabama (AL),36764,*,*,*,*,*,*,*,
Alabama (AL),36765,12,13,11,*,*,*,*,
Alabama (AL),36766,*,*,*,*,*,*,*,
Alabama (AL),36767,*,16,*,11,11,*,*,
Alabama (AL),36768,*,*,*,*,*,*,*,
Alabama (AL),36769,*,15,13,11,*,*,*,
Alabama (AL),36773,*,*,*,*,*,*,*,
Alabama (AL),36775,*,*,*,*,*,*,*,
Alabama (AL),36776,*,12,11,*,*,*,*,
Alabama (AL),36782,14,15,12,*,13,*,*,
Alabama (AL),36783,*,*,*,*,*,*,*,
Alabama (AL),36784,50,42,48,35,30,30,25,
Alabama (AL),36785,*,12,*,*,*,*,*,
Alabama (AL),36786,15,21,21,*,11,12,11,
Alabama (AL),36790,*,*,*,*,*,*,*,
Alabama (AL),36792,*,*,11,11,*,*,*,
Alabama (AL),36793,*,*,*,*,*,*,*,
Alabama (AL),36801,116,96,109,71,77,80,56,
Alabama (AL),36802,*,*,*,*,*,*,*,
Alabama (AL),36803,*,13,13,*,*,*,*,
Alabama (AL),36804,78,89,82,77,60,53,49,
Alabama (AL),36830,169,165,101,93,101,107,94,
Alabama (AL),36831,12,17,13,16,11,*,*,
Alabama (AL),36832,38,53,30,28,36,24,32,
Alabama (AL),36849,*,*,*,*,*,*,*,
Alabama (AL),36850,18,18,13,13,19,14,11,
Alabama (AL),36851,*,*,*,*,*,*,*,
Alabama (AL),36852,18,15,11,*,*,11,*,
Alabama (AL),36853,85,67,71,47,52,54,38,
Alabama (AL),36854,88,81,84,64,57,45,41,
Alabama (AL),36855,15,16,11,*,*,*,*,
Alabama (AL),36856,30,24,22,11,15,26,17,
Alabama (AL),36858,*,*,*,*,*,*,*,
Alabama (AL),36859,*,*,*,*,*,*,*,
Alabama (AL),36860,*,*,*,*,*,*,*,
Alabama (AL),36861,25,28,23,23,11,14,15,
Alabama (AL),36862,45,47,29,26,26,29,26,
Alabama (AL),36863,81,76,59,62,46,46,38,
Alabama (AL),36865,*,*,*,*,*,*,*,
Alabama (AL),36866,30,22,25,29,22,15,12,
Alabama (AL),36867,114,110,111,88,81,88,59,
Alabama (AL),36868,16,13,12,13,*,*,*,
Alabama (AL),36869,111,98,96,80,70,80,58,
Alabama (AL),36870,79,74,65,51,51,52,42,
Alabama (AL),36871,*,*,*,*,*,*,*,
Alabama (AL),36872,*,*,*,*,*,*,*,
Alabama (AL),36874,46,39,47,36,23,37,27,
Alabama (AL),36875,45,38,41,27,28,33,25,
Alabama (AL),36877,60,76,69,56,42,38,36,
Alabama (AL),36879,*,16,*,*,*,*,*,
Alabama (AL),36901,*,*,*,*,*,*,*,
Alabama (AL),36904,25,30,27,23,16,14,17,
Alabama (AL),36907,15,*,14,*,*,11,*,
Alabama (AL),36908,18,18,14,14,*,15,15,
Alabama (AL),36910,*,*,*,*,*,*,*,
Alabama (AL),36912,*,*,*,12,*,*,*,
Alabama (AL),36913,*,*,*,*,*,*,*,
Alabama (AL),36915,*,*,*,*,*,*,*,
Alabama (AL),36916,*,*,*,*,*,*,*,
Alabama (AL),36919,*,15,15,*,*,*,*,
Alabama (AL),36921,12,14,*,*,*,*,*,
Alabama (AL),36922,*,*,*,*,*,*,*,
Alabama (AL),36925,13,13,*,12,13,*,*,
Alabama (AL),TOTAL,"28,276","27,220","24,670","21,348","19,232","17,170","15,043",
Alaska (AK),99501,84,97,95,82,70,45,51,
Alaska (AK),99502,99,119,118,83,79,78,80,
Alaska (AK),99503,78,81,85,56,59,49,48,
Alaska (AK),99504,215,192,182,178,161,145,114,
Alaska (AK),99505,*,*,*,*,*,*,*,
Alaska (AK),99506,*,*,*,*,*,*,*,
Alaska (AK),99507,140,164,146,122,102,97,92,
Alaska (AK),99508,163,163,154,153,116,103,97,
Alaska (AK),99509,17,22,13,11,*,11,*,
Alaska (AK),99510,*,*,*,*,*,*,*,
Alaska (AK),99511,30,32,27,25,22,21,13,
Alaska (AK),99513,*,*,*,*,*,*,*,
Alaska (AK),99514,11,*,12,*,*,*,*,
Alaska (AK),99515,89,105,83,81,69,61,54,
Alaska (AK),99516,117,104,94,85,72,73,52,
Alaska (AK),99517,84,92,84,64,65,53,56,
Alaska (AK),99518,46,60,44,32,39,34,35,
Alaska (AK),99519,*,*,*,*,*,*,*,
Alaska (AK),99520,14,*,*,*,*,*,*,
Alaska (AK),99521,12,*,*,*,*,*,*,
Alaska (AK),99522,12,17,*,*,*,*,*,
Alaska (AK),99523,15,*,11,*,*,*,*,
Alaska (AK),99524,*,11,*,*,*,*,*,
Alaska (AK),99529,*,*,*,*,*,*,*,
Alaska (AK),99530,*,*,*,*,*,*,*,
Alaska (AK),99540,*,*,*,*,*,*,*,
Alaska (AK),99545,*,*,*,*,*,*,*,
Alaska (AK),99546,*,*,*,*,*,*,*,
Alaska (AK),99547,*,*,*,*,*,*,*,
Alaska (AK),99548,*,*,*,*,*,*,*,
Alaska (AK),99549,*,*,*,*,*,*,*,
Alaska (AK),99550,*,*,*,*,*,*,*,
Alaska (AK),99551,*,*,*,*,*,*,*,
Alaska (AK),99552,*,*,*,*,*,*,*,
Alaska (AK),99553,*,*,*,*,*,*,*,
Alaska (AK),99554,*,*,*,*,*,*,*,
Alaska (AK),99555,*,*,*,*,*,*,*,
Alaska (AK),99556,23,33,25,20,21,12,14,
Alaska (AK),99557,*,*,*,*,*,*,*,
Alaska (AK),99558,*,*,*,*,*,*,*,
Alaska (AK),99559,21,21,14,18,11,11,12,
Alaska (AK),99561,*,*,*,*,*,*,*,
Alaska (AK),99563,*,*,*,*,*,*,*,
Alaska (AK),99564,*,*,*,*,*,*,*,
Alaska (AK),99565,*,*,*,*,*,*,*,
Alaska (AK),99566,*,*,*,*,*,*,*,
Alaska (AK),99567,47,39,47,39,38,34,29,
Alaska (AK),99568,*,*,*,*,*,*,*,
Alaska (AK),99569,*,*,*,*,*,*,*,
Alaska (AK),99571,*,*,*,*,*,*,*,
Alaska (AK),99572,*,*,*,*,*,*,*,
Alaska (AK),99573,13,*,14,*,*,*,*,
Alaska (AK),99574,21,21,13,14,*,13,12,
Alaska (AK),99575,*,*,*,*,*,*,*,
Alaska (AK),99576,14,*,*,*,*,*,*,
Alaska (AK),99577,117,106,109,95,88,69,66,
Alaska (AK),99578,*,*,*,*,*,*,*,
Alaska (AK),99579,*,*,*,*,*,*,*,
Alaska (AK),99580,*,*,*,*,*,*,*,
Alaska (AK),99581,*,*,*,*,*,*,*,
Alaska (AK),99583,*,*,*,*,*,*,*,
Alaska (AK),99585,*,*,*,*,*,*,*,
Alaska (AK),99586,*,*,*,*,*,*,*,
Alaska (AK),99587,*,15,*,*,*,*,*,
Alaska (AK),99588,*,12,15,*,*,*,*,
Alaska (AK),99589,*,*,*,*,*,*,*,
Alaska (AK),99590,*,*,*,*,*,*,*,
Alaska (AK),99591,*,*,*,*,*,*,*,
Alaska (AK),99599,*,*,*,*,*,*,*,
Alaska (AK),99602,*,*,*,*,*,*,*,
Alaska (AK),99603,98,93,93,79,70,71,55,
Alaska (AK),99604,*,*,*,*,*,*,*,
Alaska (AK),99605,*,*,*,*,*,*,*,
Alaska (AK),99606,*,*,*,*,*,*,*,
Alaska (AK),99607,*,*,*,*,*,*,*,
Alaska (AK),99608,*,*,*,*,*,*,*,
Alaska (AK),99609,*,*,*,*,*,*,*,
Alaska (AK),99610,29,23,22,12,21,17,16,
Alaska (AK),99611,114,98,100,76,84,89,62,
Alaska (AK),99612,*,*,*,*,*,*,*,
Alaska (AK),99613,*,*,*,*,*,*,*,
Alaska (AK),99614,*,*,*,*,*,*,*,
Alaska (AK),99615,70,58,61,47,51,60,38,
Alaska (AK),99619,*,*,*,*,*,*,*,
Alaska (AK),99620,*,*,*,*,*,*,*,
Alaska (AK),99621,*,*,*,*,*,*,*,
Alaska (AK),99622,*,*,*,*,*,*,*,
Alaska (AK),99623,44,65,60,54,59,37,41,
Alaska (AK),99624,*,*,*,*,*,*,*,
Alaska (AK),99625,*,*,*,*,*,*,*,
Alaska (AK),99626,*,*,*,*,*,*,*,
Alaska (AK),99627,*,*,*,*,*,*,*,
Alaska (AK),99628,*,*,*,*,*,*,*,
Alaska (AK),99629,15,*,11,*,*,13,*,
Alaska (AK),99630,*,*,*,*,*,*,*,
Alaska (AK),99631,*,*,*,*,*,*,*,
Alaska (AK),99632,*,*,*,*,*,*,*,
Alaska (AK),99633,*,*,*,*,*,*,*,
Alaska (AK),99634,*,*,*,*,*,*,*,
Alaska (AK),99635,18,23,18,15,12,11,12,
Alaska (AK),99636,*,*,*,*,*,*,*,
Alaska (AK),99637,*,*,*,*,*,*,*,
Alaska (AK),99638,*,*,*,*,*,*,*,
Alaska (AK),99639,23,23,23,19,27,17,12,
Alaska (AK),99640,*,*,*,*,*,*,*,
Alaska (AK),99641,*,*,*,*,*,*,*,
Alaska (AK),99643,*,*,*,*,*,*,*,
Alaska (AK),99644,*,*,*,*,*,*,*,
Alaska (AK),99645,152,191,176,162,143,119,109,
Alaska (AK),99647,*,*,*,*,*,*,*,
Alaska (AK),99648,*,*,*,*,*,*,*,
Alaska (AK),99649,*,*,*,*,*,*,*,
Alaska (AK),99650,*,*,*,*,*,*,*,
Alaska (AK),99651,*,*,*,*,*,*,*,
Alaska (AK),99652,35,24,29,20,19,25,15,
Alaska (AK),99653,*,*,*,*,*,*,*,
Alaska (AK),99654,159,166,150,140,135,122,112,
Alaska (AK),99655,*,*,*,*,*,*,*,
Alaska (AK),99656,*,*,*,*,*,*,*,
Alaska (AK),99657,*,*,*,*,*,*,*,
Alaska (AK),99658,*,*,*,*,*,*,*,
Alaska (AK),99659,*,*,*,*,*,*,*,
Alaska (AK),99660,*,*,*,*,*,*,*,
Alaska (AK),99661,*,*,*,*,*,*,*,
Alaska (AK),99662,*,*,*,*,*,*,*,
Alaska (AK),99663,12,*,*,*,*,*,*,
Alaska (AK),99664,39,28,22,24,21,22,13,
Alaska (AK),99665,*,*,*,*,*,*,*,
Alaska (AK),99666,*,*,*,*,*,*,*,
Alaska (AK),99667,*,*,*,*,*,*,*,
Alaska (AK),99668,*,*,*,*,*,*,*,
Alaska (AK),99669,156,140,127,99,108,106,73,
Alaska (AK),99670,*,*,*,*,*,*,*,
Alaska (AK),99671,*,*,*,*,*,*,*,
Alaska (AK),99672,45,39,34,42,31,39,22,
Alaska (AK),99674,*,18,13,*,14,*,*,
Alaska (AK),99675,*,*,*,*,*,*,*,
Alaska (AK),99676,20,19,16,12,12,*,12,
Alaska (AK),99677,*,*,*,*,*,*,*,
Alaska (AK),99678,*,*,*,*,*,*,*,
Alaska (AK),99679,*,*,*,*,*,*,*,
Alaska (AK),99680,*,*,*,*,*,*,*,
Alaska (AK),99681,*,*,*,*,*,*,*,
Alaska (AK),99682,*,*,*,*,*,*,*,
Alaska (AK),99683,*,*,*,*,*,*,*,
Alaska (AK),99684,*,*,*,*,*,*,*,
Alaska (AK),99685,*,*,*,*,*,*,*,
Alaska (AK),99686,14,19,23,14,*,*,11,
Alaska (AK),99687,92,75,85,62,67,63,44,
Alaska (AK),99688,26,34,40,35,26,25,18,
Alaska (AK),99689,*,*,*,*,*,*,*,
Alaska (AK),99690,*,*,*,*,*,*,*,
Alaska (AK),99691,*,*,*,*,*,*,*,
Alaska (AK),99692,*,*,*,*,*,*,*,
Alaska (AK),99693,*,*,*,*,*,*,*,
Alaska (AK),99694,*,*,*,*,*,*,*,
Alaska (AK),99695,*,*,*,*,*,*,*,
Alaska (AK),99697,*,*,*,*,*,*,*,
Alaska (AK),99701,89,100,101,85,86,72,64,
Alaska (AK),99702,*,*,*,*,*,*,*,
Alaska (AK),99703,*,*,*,*,*,*,*,
Alaska (AK),99704,*,*,*,*,*,*,*,
Alaska (AK),99705,68,71,54,65,73,49,48,
Alaska (AK),99706,*,12,16,*,*,*,*,
Alaska (AK),99707,43,41,25,30,25,29,26,
Alaska (AK),99708,45,42,38,29,32,27,24,
Alaska (AK),99709,135,104,108,84,108,96,68,
Alaska (AK),99710,*,*,15,*,*,*,*,
Alaska (AK),99711,11,*,11,*,*,*,*,
Alaska (AK),99712,57,40,54,44,44,32,28,
Alaska (AK),99714,*,12,*,*,*,*,*,
Alaska (AK),99716,*,*,*,*,*,*,*,
Alaska (AK),99720,*,*,*,*,*,*,*,
Alaska (AK),99721,*,*,*,*,*,*,*,
Alaska (AK),99722,*,*,*,*,*,*,*,
Alaska (AK),99723,14,*,*,*,*,*,*,
Alaska (AK),99724,*,*,*,*,*,*,*,
Alaska (AK),99725,12,*,*,*,*,*,*,
Alaska (AK),99726,*,*,*,*,*,*,*,
Alaska (AK),99727,*,*,*,*,*,*,*,
Alaska (AK),99729,*,*,*,*,*,*,*,
Alaska (AK),99730,*,*,*,*,*,*,*,
Alaska (AK),99731,*,*,*,*,*,*,*,
Alaska (AK),99732,*,*,*,*,*,*,*,
Alaska (AK),99733,*,*,*,*,*,*,*,
Alaska (AK),99734,*,*,*,*,*,*,*,
Alaska (AK),99736,*,*,*,*,*,*,*,
Alaska (AK),99737,28,36,34,26,22,25,19,
Alaska (AK),99738,*,*,*,*,*,*,*,
Alaska (AK),99739,*,*,*,*,*,*,*,
Alaska (AK),99740,*,*,*,*,*,*,*,
Alaska (AK),99741,*,*,*,*,*,*,*,
Alaska (AK),99742,*,*,*,*,*,*,*,
Alaska (AK),99743,*,*,*,*,*,*,*,
Alaska (AK),99744,*,*,*,*,*,*,*,
Alaska (AK),99745,*,*,*,*,*,*,*,
Alaska (AK),99746,*,*,*,*,*,*,*,
Alaska (AK),99747,*,*,*,*,*,*,*,
Alaska (AK),99748,*,*,*,*,*,*,*,
Alaska (AK),99749,*,*,*,*,*,*,*,
Alaska (AK),99750,*,*,*,*,*,*,*,
Alaska (AK),99751,*,*,*,*,*,*,*,
Alaska (AK),99752,*,*,*,11,*,*,*,
Alaska (AK),99753,*,*,*,*,*,*,*,
Alaska (AK),99754,*,*,*,*,*,*,*,
Alaska (AK),99755,*,*,*,*,*,*,*,
Alaska (AK),99756,*,*,*,*,*,*,*,
Alaska (AK),99757,*,*,*,*,*,*,*,
Alaska (AK),99758,*,*,*,*,*,*,*,
Alaska (AK),99759,*,*,*,*,*,*,*,
Alaska (AK),99760,*,*,*,*,*,*,*,
Alaska (AK),99761,*,*,*,*,*,*,*,
Alaska (AK),99762,19,17,*,*,*,*,11,
Alaska (AK),99763,*,*,*,*,*,*,*,
Alaska (AK),99764,*,*,*,*,*,*,*,
Alaska (AK),99765,*,*,*,*,*,*,*,
Alaska (AK),99766,*,*,*,*,*,*,*,
Alaska (AK),99767,*,*,*,*,*,*,*,
Alaska (AK),99768,*,*,*,*,*,*,*,
Alaska (AK),99769,*,*,*,*,*,*,*,
Alaska (AK),99770,*,*,*,*,*,*,*,
Alaska (AK),99771,*,*,*,*,*,*,*,
Alaska (AK),99772,*,*,*,*,*,*,*,
Alaska (AK),99773,*,*,*,*,*,*,*,
Alaska (AK),99774,*,*,*,*,*,*,*,
Alaska (AK),99775,*,*,*,*,*,*,*,
Alaska (AK),99776,*,*,*,*,*,*,*,
Alaska (AK),99777,*,*,*,*,*,*,*,
Alaska (AK),99778,*,*,*,*,*,*,*,
Alaska (AK),99780,24,15,*,20,22,18,11,
Alaska (AK),99781,*,*,*,*,*,*,*,
Alaska (AK),99782,*,*,*,*,*,*,*,
Alaska (AK),99783,*,*,*,*,*,*,*,
Alaska (AK),99784,*,*,*,*,*,*,*,
Alaska (AK),99785,*,*,*,*,*,*,*,
Alaska (AK),99786,*,*,*,*,*,*,*,
Alaska (AK),99788,*,*,*,*,*,*,*,
Alaska (AK),99789,*,*,*,*,*,*,*,
Alaska (AK),99790,*,*,*,*,*,*,*,
Alaska (AK),99791,*,*,*,*,*,*,*,
Alaska (AK),99801,145,137,122,105,121,97,82,
Alaska (AK),99802,27,19,19,16,12,15,*,
Alaska (AK),99803,34,27,19,23,22,24,*,
Alaska (AK),99811,*,*,*,*,*,*,*,
Alaska (AK),99812,*,*,*,*,*,*,*,
Alaska (AK),99820,*,*,*,*,*,*,*,
Alaska (AK),99821,15,13,11,*,*,11,*,
