OBJECTID,PLANID,BLM_ORG_CD,OHV_DSG,DSG_REASON,RESTRICT_,RESTRICT_DETAIL,SHAPE_Length,SHAPE_Area
3592,Upper Deschutes Resource Area RMP 2015,ORP06,Closed,UNK,,Non-motorized recreation exclusive,0.0341816260349324,5.30520448347791e-05
3593,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0545356461485196,0.0001451257456021
3594,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.002822999636507,3.76124320104786e-07
3595,Upper Deschutes Resource Area RMP 2015,ORP06,Limited to Existing,SGHAB,,Roads only emphasis,0.0116724535446032,4.36288824762925e-06
3596,Upper Deschutes Resource Area RMP 2015,ORP06,Closed,UNK,,Non-motorized recreation exclusive,0.0341365862062968,7.11516517354084e-05
3597,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0672505738149793,0.0002734593984409
3598,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.116470360152682,0.0002698673015186
3599,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.068316643979184,0.0002877467156489
3600,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.071607565403993,0.000299742864539
3601,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0686534066335055,0.0002511477268154
3602,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.330153599135185,0.0014833647709433
3603,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0651532369390097,0.0002603092249127
3604,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,SGHAB,,,0.0120297372878219,7.84026937216464e-06
3605,Three Rivers Resource Area RMP 2015,ORB05,Open,BLMOPEN,,,0.0467941255550613,8.5488728529669e-05
3606,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,SGHAB,,,0.0482970420493672,0.0001168536191854
3607,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0171606338917009,1.79473146298985e-05
3608,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0169159290144804,1.75698211890675e-05
3609,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0350022069770972,7.43862238471298e-05
3610,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0559377204181962,0.0001731173757665
3611,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ACEC,,,0.0448040679349088,9.64156874838041e-05
3612,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0701152750374057,-8.85284786653846e-05
3613,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0534783686973443,-0.0001054256054401
3614,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ERMA,,,0.0483987238879274,-7.22541604603174e-06
3615,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0476837413422722,5.65697588015e-05
3616,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0343610349072361,5.3963029033272e-05
3617,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0172970283709157,1.81954071842628e-05
3618,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0672384122770423,0.0002749491938543
3619,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0688527571340935,0.000285917980323
3620,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0414831486950817,7.15076603691388e-05
3621,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0170757378045491,1.77716826900578e-05
3622,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0681117765120832,0.0002019466759224
3623,Southeastern Oregon RMP 2002,ORV04,Limited to Existing,SGHAB,,,0.0339889065544225,5.29706399161728e-05
3624,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0678982519215295,0.000276525905535
3625,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0430873292054189,-5.02850189036739e-05
3626,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0670936223111626,-0.0002365424396771
3627,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ERMA,,,0.0419012840835953,-6.08277665002053e-06
3628,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0235845682147176,3.33913685146475e-05
3629,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.070743285405925,0.0002992435844308
3630,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0259255819780759,3.3791438864015e-05
3631,Southeastern Oregon RMP 2002,ORV04,Limited to Existing,SGHAB,,,0.0172089906518581,1.80479226797969e-05
3632,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0170738002002945,1.77260733811866e-05
3633,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0699949265925156,0.0002999379229836
3634,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0713605075070485,0.0001665514052513
3635,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0700397689180182,0.0001866681858939
3636,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0981707832757562,0.0002325381154756
3637,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0172329923120679,1.80896287747381e-05
3638,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.067907412427079,0.000245937638371
3639,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0282293961041584,3.78482786247235e-05
3640,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.017000184086677,1.76784262712751e-05
3641,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0422747138679823,6.88792475713675e-05
3642,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0271342181515526,3.60037524560603e-05
3643,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0763289599881988,0.0002922993497647
3644,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0271447216824294,3.58889479324866e-05
3645,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0632621800306329,0.0001608884284172
3646,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.017787862729911,1.94936479012289e-05
3647,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0633995980605358,0.0002453243793387
3648,Unknown,ORV04,Open,,,,0.0014774827963054,3.3628260537819e-09
3649,Southeastern Oregon RMP 2002,ORV04,Limited to Existing,SGHAB,,,0.0444322728621973,4.65174072891573e-05
3650,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.147631110503392,0.0006427574298588
3651,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0694560504059404,0.0002953324837434
3652,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0480290048108662,0.0001041939660491
3653,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.127118108579806,0.0004810846653243
3654,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0389770493334196,7.32120571498255e-05
3655,Upper Deschutes Resource Area RMP 2015,ORP06,Limited to Existing,SGHAB,,Roads only emphasis,0.126899894406104,0.0004802837143248
3656,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0688521351587639,0.0002906650019525
3657,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0488036248994893,0.0001072460168598
3658,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.495494022752255,0.002320205209391
3659,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0312007997771385,5.25630967486158e-05
3660,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.005198527580546,-8.25651423171565e-07
3661,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0755211150992795,-0.0002454170147301
3662,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.217770211585706,-0.0009995692798308
3663,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0624096401922323,-0.0001221401704226
3664,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ERMA,,,0.0464244419157002,-7.19023733728962e-06
3665,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ERMA,,,0.0549170650031104,-8.42693352798532e-06
3666,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0039821993469911,2.20786279098466e-08
3667,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.053578540969692,7.69994236104924e-05
3668,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0163128828585429,1.64134918919794e-05
3669,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,SGHAB,,,0.0515171811050786,0.0001080710131201
3670,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0817851639286538,0.0001625243705886
3671,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0709561153675774,0.000301868108048
3672,Upper Deschutes Resource Area RMP 2015,ORP06,Closed,UNK,,Non-motorized recreation exclusive,0.0834126295244141,0.0001811838451542
3673,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0247370674737792,2.30805891595226e-05
3674,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0172825101771208,1.82225055016537e-05
3675,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0351338333833488,5.69051167823736e-05
3676,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0544179353977921,9.06559340737921e-05
3677,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,SGHAB,,,0.0342158219917768,7.1423080887581e-05
3678,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0685647328890911,0.0002893756446678
3679,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0752427292226075,0.0003183012021814
3680,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0269006214684008,3.13443898952424e-05
3681,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0667821881126526,0.0001985799618852
3682,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.048956357223369,0.0001090738648085
3683,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0618456749687211,0.0001829161450224
3684,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0169937018101404,1.7615848069993e-05
3685,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0594516441488416,0.0001105599425699
3686,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0686503027762094,0.0002870359689176
3687,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0171831864007139,1.80220425191114e-05
3688,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0671021286620272,0.0002741892234756
3689,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0183397977564148,2.0596555177861e-05
3690,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.131323542627562,0.0005258606910234
3691,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0687110407532569,0.0002872157695249
3692,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0944131551615652,0.0002421906922747
3693,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0371993817250887,5.41526366099643e-05
3694,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.017433986425529,1.84064776589135e-05
3695,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,SGHAB,,,0.0687508064062809,0.0002896949555311
3696,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,SRMA,,,0.028211396497057,3.45808581301972e-05
3697,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0539924535690094,8.82387955000326e-05
3698,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0607803789534502,0.0001930134351309
3699,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0511651658075417,0.0001066455107974
3700,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0486713582482705,8.94729839931458e-05
3701,Upper Deschutes Resource Area RMP 2015,ORP06,Limited to Existing,SGHAB,,Roads only emphasis,0.0385503718214715,7.1212925043083e-05
3702,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0336876139126396,6.91857476471979e-05
3703,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0688939071451508,0.0002713636305514
3704,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0270711524087116,3.59630531502095e-05
3705,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0483742076263726,0.0001233963707958
3706,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0186085413434913,2.12951923864317e-05
3707,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0269717641755239,3.55579072855961e-05
3708,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.312526683683415,0.0010975009490967
3709,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0708901399443458,0.0002322064978442
3710,Upper Deschutes Resource Area RMP 2015,ORP06,Limited to Existing,SGHAB,,Roads only emphasis,0.170785836013398,0.0009590046076929
3711,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0074230536113612,1.39241818759058e-06
3712,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0337964216506895,-6.90810677504855e-05
3713,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ERMA,,,0.008455170955228,-1.39179154593734e-06
3714,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.112423447255041,0.0003687701868685
3715,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.121730430495313,0.000262459014908
3716,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0345422781508883,7.28376842158555e-05
3717,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0244955423115837,3.61002949537566e-05
3718,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0331423096384988,4.98831238716328e-05
3719,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0294030595357886,5.36700439533231e-05
3720,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ERMA,,,0.0075874090907258,6.79755754209796e-07
3721,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ERMA,,,0.0211922261027077,3.43357061883045e-06
3722,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ERMA,,,0.0161507068881069,2.79518952437693e-06
3723,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0219233072283747,1.41391133743988e-05
3724,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,ERMA,,,0.0204621274525821,2.95861386427597e-06
3725,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.06409134431231,0.0002527950841592
3726,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,ERMA,,,0.0237336115906494,3.12018425611475e-06
3727,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,ERMA,,,0.0061854445148929,8.5127253734924e-07
3728,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0217546062379125,1.64197474161478e-05
3729,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.001787222805155,1.14343094801742e-07
3730,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0058318705937753,1.6097204774007e-06
3731,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.067392266615002,-6.05547641763906e-05
3732,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.195124013461978,-0.000838637524249
3733,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0069433182469283,-6.66389368424823e-07
3734,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0377061107510139,-4.00583233242197e-05
3735,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0295062538310411,-3.20701154940528e-05
3736,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0162149502945877,-9.30421176381998e-06
3737,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0214040051543228,-2.20279817478229e-05
3738,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.174852044022456,-0.0005475497457226
3739,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.623980703028869,-0.0030519482892466
3740,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ERMA,,,0.0347106343511139,-5.09260428605903e-06
3741,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ERMA,,,0.0285805808448202,-4.5936764295836e-06
3742,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ERMA,,,0.0162221166918763,-2.30642301947419e-06
3743,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ERMA,,,0.0208403881324967,-3.25749693345619e-06
3744,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ERMA,,,0.193842491888169,-3.07462399305609e-05
3745,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.459584575447509,-0.0045256003581483
3746,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0219607088921202,1.78784985174391e-05
3747,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0442396734173782,6.45425290523879e-05
3748,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0017129751205014,1.67307303154741e-08
3749,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,ERMA,,,0.0764115248803247,-1.15285097398087e-05
3750,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,ERMA,,,0.00835636144731,-1.0370913908633e-06
3751,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,ERMA,,,0.0045033373536654,-4.98751596178798e-07
3752,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,SGHAB,,,0.0246065565048127,3.64721485886881e-05
3753,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.126102189002225,0.0005042748339239
3754,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0583911002895368,0.0001411505856902
3755,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0422239408733238,8.9488551262185e-05
3756,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0373936611196068,4.61461474820733e-05
3757,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.317011199612437,-0.001275819320856
3758,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ERMA,,,0.035899710553226,-5.35744401216424e-06
3759,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.071697064023435,0.0001886210572388
3760,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0341919850460277,5.34362662272699e-05
3761,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0279661079595947,4.47052956012944e-05
3762,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,SGHAB,,,0.0319302886952233,5.47221335972532e-05
3763,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0270413242808986,3.5808668105742e-05
3764,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0516200272745918,0.000126151029609
3765,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0172634035344906,1.82009198554693e-05
3766,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0247899103573205,1.12103582540636e-05
3767,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.071186122225446,0.0002688395814941
3768,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.142079080438268,0.0006550943269472
3769,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0467589049158128,6.86113796232485e-05
3770,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.089287915423502,0.0003229740287506
3771,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.075611947798511,0.0002142876304464
3772,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0168528224577259,1.72357719374856e-05
3773,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0036414948215899,5.66504258708031e-07
3774,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.018611413526512,1.32760369346461e-05
3775,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ACEC,,,0.0295720829284197,3.70790270850688e-05
3776,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ACEC,,,0.039824564568863,8.06264086475743e-05
3777,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0987138700124945,0.0002053097560925
3778,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,RECSITE,,,0.0117173176760634,7.68095975518557e-06
3779,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,SGHAB,,,0.0270564296542457,1.87648796068148e-05
3780,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,RECSITE,,,0.0167759602903176,9.9117714860897e-06
3781,Three Rivers Resource Area RMP 2015,ORB05,Open,BLMOPEN,,,0.0748774727536742,0.0001025764973107
3782,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,SGHAB,,,0.0174484759175096,1.70617292301663e-05
3783,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,SGHAB,,,0.0683445194589202,9.37298770343202e-05
3784,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0169695851088997,1.75277930527091e-05
3785,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,SGHAB,,,0.0172357007296387,1.81348165014568e-05
3786,Southeastern Oregon RMP 2002,ORV04,Open,BLMOPEN,,,0.0375177315741769,3.90539394739331e-05
3787,Unknown,ORV04,Open,,,,0.0012135339627665,6.66197716275385e-08
3788,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0513338414638266,0.0001603898467691
3789,Southeastern Oregon RMP 2002,ORV04,Open,BLMOPEN,,,0.0177671575306762,1.48934334972722e-05
3790,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0588145968831924,0.0001765104777906
3791,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0689154702326367,0.0002885922368156
3792,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,SGHAB,,,0.0171945044507517,1.80162098738787e-05
3793,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0680367381386584,0.0002471709212217
3794,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.195558235136448,0.0013465460411471
3795,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,1.24662985078255,0.0115092101837421
3796,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0661215163570987,0.0002580426011294
3797,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0757490845754605,0.0002050592489417
3798,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0342517556355184,7.13542640298363e-05
3799,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0683574030785755,0.0002812140386739
3800,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,RECSITE,,,0.01723378047518,1.81009923037804e-05
3801,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0587899934445774,0.0001072811487695
3802,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0334670317017014,5.00018957121101e-05
3803,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,ERMA,,,0.0090125496261259,1.3472337607824e-06
3804,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0470875463341528,8.23265451064938e-05
3805,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0089727950568553,4.94431307521432e-06
3806,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.071921826096977,0.0001536118781475
3807,Northwestern and Coastal Oregon RMP 2016,ORN05,Limited to Existing,BLM,,,0.0434015264344725,6.9455693231267e-05
3808,Northwestern and Coastal Oregon RMP 2016,ORC03,Limited to Existing,BLM,,,0.0070014958911013,2.28321187444522e-06
3809,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,SGHAB,,,0.0722016101151935,8.96335522574371e-05
3810,Three Rivers Resource Area RMP 2015,ORB05,Open,BLMOPEN,,,0.0799783967935184,0.0001947859059649
3811,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.0338670281482755,5.23526914726942e-05
3812,Northwestern and Coastal Oregon RMP 2016,ORR04,Limited to Existing,BLM,,,0.055061657949203,0.0001096501437141
3813,Southeastern Oregon RMP 2002,ORV04,Open,BLMOPEN,,,0.0248193222647847,2.91875636506687e-05
3814,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,SGHAB,,,0.0303733837991809,2.35952375591498e-05
3815,Three Rivers Resource Area RMP 2015,ORB05,Limited to Existing,RECSITE,,,0.0214354354551136,1.17963717288206e-05
