OBJECTID,PLANID,BLM_ORG_CD,OHV_DSG,DSG_REASON,RESTRICT_,RESTRICT_DETAIL,SHAPE_Length,SHAPE_Area
55,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0171018761297523,1.78736264918902e-05
56,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0489181187641252,8.97707157505841e-05
57,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0169707833360973,1.75975098101305e-05
58,Unknown,ORM06,Open,BLMOPEN,,,0.0261390190059255,3.42473276501659e-05
59,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0169456514731402,1.75843679466529e-05
60,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0170351926303929,1.78171961901346e-05
61,Unknown,ORM06,Closed,RIPARIAN,,,0.0020669578674258,1.86460141912833e-07
62,Unknown,ORM06,Limited to Existing,UNK,,,0.185510069139527,0.0008468376554234
63,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.033657762329905,6.88803854271572e-05
64,Lakeview Resource Area RMP 2003,ORL05,Open,BLMOPEN,,,0.0264128814621808,3.41315653027759e-05
65,Northwestern and Coastal Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0171409540075309,1.79586193287491e-05
66,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0270779306644712,3.60703772294325e-05
67,Southeastern Oregon RMP 2002,ORV04,Open,BLMOPEN,,,0.0367620197995689,5.37971871276829e-05
68,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0319108761635593,5.37635433967568e-05
69,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0413755379263989,7.12396410517495e-05
70,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0389343537401175,7.13573245097197e-05
71,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0587115509792094,0.000197518684119
72,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0683738755560336,0.0002878021116009
73,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.068644073519071,0.000287757962824
74,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0779703254023348,0.0001424248897119
75,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.106492753365419,0.0002632342210053
76,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0171369559795256,1.79159636572059e-05
77,Northwestern and Coastal Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0560652512896515,0.0001253181596829
78,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.0343166551793426,5.41215094499401e-05
79,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0169464261866948,1.75714060554663e-05
80,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0541903644976132,0.0001439753785762
81,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.034041349282306,7.08272396392003e-05
82,Lakeview Resource Area RMP 2003,ORL05,Open,BLMOPEN,,,0.0406053664113743,6.8342716226517e-05
83,Oregon Greater Sage-Grouse Resource Management Plan Amendment,ORL05,Limited to Existing,SGHAB,,,0.0170654339248468,1.783936397985e-05
84,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0170095758949754,1.76750903370473e-05
85,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,ERMA,,,0.39652033977833,0.0018243943973272
86,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0685381473219869,0.0002888683921587
87,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0690182637937972,0.0002908413839574
88,Southwestern Oregon RMP 2016,ORM06,Limited to Existing,BLM,,,0.0463243115274823,7.49620185181217e-05
89,Northwestern and Coastal Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.017143629171338,1.79546744198335e-05
90,Andrews Management Unit RMP 2015,ORB06,Limited to Existing,SGHAB,,,0.0341311041242918,5.34712155908255e-05
91,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0486820989863301,8.86118802890319e-05
92,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0172203918594903,1.8144268148861e-05
93,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0414334692742014,7.13285267120617e-05
