OBJECTID,ADMIN_ST,NLCS_ID,NLCS_NAME,CASEFILE_NO,DESIG_DATE,wildType,GlobalID,Shape__Area,Shape__Length
46,UT,NLCS000869,Paria Canyon - Vermilion Cliffs,UTU    088116,1984/08/28 00:00:00+00,Designated Wilderness,{0D17158B-1692-46D0-8FE1-2C0BF24B4A23},5787185.89904723,20341.034413106
48,UT,NLCS000856,Beaver Dam Mountains,UNK,1984/08/28 00:00:00+00,Designated Wilderness,{A4AC3315-1810-4A99-9D9D-9896DD7BBEA8},1877766.99209198,10414.7199752406
50,UT,NLCS000869,Paria Canyon - Vermilion Cliffs,UTU    088116,1984/08/28 00:00:00+00,Designated Wilderness,{546F32A0-04D1-4787-9655-AFE3DB06B7D5},80856893.9181793,62676.9194575822
51,UT,NLCS000892,Muddy Creek,UTU    094190,2019/03/12 00:00:00+00,Designated Wilderness,{E6984198-C3B9-409E-B027-010CCAD1C609},445867425.1902,271475.999268215
52,UT,NLCS000882,Sid's Mountain,UTU    094194,2019/03/12 00:00:00+00,Designated Wilderness,{747F4F00-59F4-488A-8626-17B2BEEF2049},1035656.9517863,5805.98704682911
53,UT,NLCS000870,Red Butte,UTU    087510,2009/03/30 00:00:00+00,Designated Wilderness,{3FEB733B-2943-436D-A8A5-22BAAE81E7DF},6205142.37089464,12048.362703892
54,UT,NLCS000865,Deep Creek,UTU    087505,2009/03/30 00:00:00+00,Designated Wild,{4FF8E4C2-2D2B-4B35-AB01-A241A6419D20},13213417.5781611,27817.9955415286
55,UT,NLCS000861,Cottonwood Canyon,UTU    087502,2009/03/30 00:00:00+00,Designated Wilderness,{667909C7-7323-4AE6-B129-F53001E5A03F},47228909.0933701,37547.6194992204
56,UT,NLCS000855,Beartrap Canyon,UTU    087499,2009/03/30 00:00:00+00,Designated Wilderness,{68FF86E6-51FA-45C7-A413-F636A15EA2FF},160907.89155369,1604.67007077391
57,UT,NLCS000872,Slaughter Creek,UTU    087512,2009/03/30 00:00:00+00,Designated Wilderness,{8F0E5AB4-C473-45DA-AAE7-907F80CA1412},16370320.7600602,26040.4740547368
58,UT,NLCS000867,Goose Creek,UTU    087508,2009/03/30 00:00:00+00,Designated Wilderness,{97ED61AF-52ED-4D12-B6AD-73A3F187EE3A},361045.04373211,2580.12127002989
59,UT,NLCS000868,LaVerkin Creek,UTU    087509,2009/03/30 00:00:00+00,Designated Wilderness,{D483A7DD-BFFC-4F77-9BB9-108FE87921B8},1789976.47127186,8864.25923477399
