OBJECTID,ARC_Address,ARC_City,ARC_State,ARC_Zip,LIunits
114,7800 E JEFFERSON AVE,DETROIT,MI,48214.0,469
115,7452 PURITAN ST,DETROIT,MI,48238.0,11
116,2506 CARSON ST,DETROIT,MI,48209.0,54
117,9151 WHITTIER ST,DETROIT,MI,48224.0,21
118,3521 JOHN C LODGE FWY,DETROIT,MI,48201.0,35
119,3521 JOHN C LODGE FWY,DETROIT,MI,48201.0,50
120,8500 WYOMING ST,DETROIT,MI,48204.0,35
121,93 SEWARD ST,DETROIT,MI,48202.0,70
122,4628 LILLIBRIDGE ST,DETROIT,MI,48214.0,50
123,185 E GRAND BLVD,DETROIT,MI,48207.0,11
124,4661 E OUTER DR,DETROIT,MI,48234.0,48
125,3900 WABASH ST,DETROIT,MI,48208.0,66
126,4803 LENOX ST,DETROIT,MI,48215.0,50
127,2710 W CHICAGO,DETROIT,MI,48206.0,41
128,2153 GRAY ST,DETROIT,MI,48215.0,10
129,2515 W FOREST AVE,DETROIT,MI,48208.0,45
130,1000 ALGER ST,DETROIT,MI,48211.0,50
131,3806 MAXWELL ST,DETROIT,MI,48214.0,50
132,8931 MOUNT ELLIOTT ST,DETROIT,MI,48211.0,64
133,8715 W VERNOR HWY,DETROIT,MI,48209.0,34
134,1300 MLK JR BLVD,DETROIT,MI,48201.0,100
135,640 BRAINARD ST,DETROIT,MI,48201.0,120
136,3803 14TH ST,DETROIT,MI,48208.0,60
137,942 TENNESSEE ST,DETROIT,MI,48215.0,45
138,3845 BELVIDERE ST,DETROIT,MI,48214.0,50
139,3701 15TH ST,DETROIT,MI,48208.0,88
140,12000 APPOLINE ST,DETROIT,MI,48227.0,38
141,7335 MELROSE ST,DETROIT,MI,48211.0,24
142,8258 ELLSWORTH ST,DETROIT,MI,48238.0,45
143,9651 EDGEWOOD ST,DETROIT,MI,48213.0,45
144,432 ANNIN ST,DETROIT,MI,48203.0,36
145,2439 CARSON ST,DETROIT,MI,48209.0,22
146,3728 MONTCLAIR ST,DETROIT,MI,48214.0,45
147,3410 W CHICAGO,DETROIT,MI,48206.0,43
148,2725 W BOSTON BLVD,DETROIT,MI,48206.0,37
149,9368 YOSEMITE ST,DETROIT,MI,48204.0,12
150,9645 SHOEMAKER ST,DETROIT,MI,48213.0,30
151,3521 JOHN C LODGE FWY,DETROIT,MI,48201.0,26
152,3521 JOHN C LODGE FWY,DETROIT,MI,48201.0,32
153,3521 JOHN C LODGE FWY,DETROIT,MI,48201.0,44
154,625 FIELD ST,DETROIT,MI,48214.0,26
155,14972 GREENFIELD RD,DETROIT,MI,48227.0,88
156,1764 FIELD ST,DETROIT,MI,48214.0,15
157,13144 AUGUST ST,DETROIT,MI,48205.0,40
158,1310 PALLISTER ST,DETROIT,MI,48202.0,349
159,666 W BETHUNE ST,DETROIT,MI,48202.0,76
160,14625 GLENWOOD ST,DETROIT,MI,48205.0,49
161,5500 TRUMBULL ST,DETROIT,MI,48208.0,244
162,2500 W GRAND BLVD,DETROIT,MI,48208.0,153
163,2910 E VERNOR HWY,DETROIT,MI,48207.0,180
164,4387 THIRD ST,DETROIT,MI,48201.0,104
165,5351 CHRYSLER DR,DETROIT,MI,48202.0,60
166,5130 MCKINLEY ST,DETROIT,MI,48208.0,20
167,17300 SOUTHFIELD FWY,DETROIT,MI,48235.0,209
168,5569 JOHN C LODGE FWY,DETROIT,MI,48202.0,74
169,5028 SCOTTEN ST,DETROIT,MI,48210.0,45
170,1250 HUBBARD ST,DETROIT,MI,48209.0,40
171,2201 LAWNDALE ST,DETROIT,MI,48209.0,29
172,9181 OLIVET ST,DETROIT,MI,48209.0,24
173,8600 CAMERON ST,DETROIT,MI,48211.0,48
174,23230 FENKELL ST,DETROIT,MI,48223.0,23
175,16404 BELTON ST,DETROIT,MI,48228.0,96
176,3801 HOLCOMB ST,DETROIT,MI,48214.0,26
177,285 PIQUETTE ST,DETROIT,MI,48202.0,150
178,2199 PRINCE HALL DR,DETROIT,MI,48207.0,125
179,2700 S ANNABELLE ST,DETROIT,MI,48217.0,200
180,2921 FOURTH ST,DETROIT,MI,48201.0,58
181,722 EMERSON ST,DETROIT,MI,48215.0,66
182,1101 W WARREN AVE,DETROIT,MI,48201.0,350
183,8525 ASBURY PARK,DETROIT,MI,48228.0,36
184,8573 GRANDMONT AVE,DETROIT,MI,48228.0,38
185,8524 GRANDMONT AVE,DETROIT,MI,48228.0,36
186,2169 GRAY ST,DETROIT,MI,48215.0,24
187,19800 TELEGRAPH RD,DETROIT,MI,48219.0,36
188,8076 MEDBURY ST,DETROIT,MI,48213.0,30
189,4701 CHRYSLER DR,DETROIT,MI,48201.0,190
190,4761 E OUTER DR,DETROIT,MI,48234.0,48
191,8345 ELLSWORTH ST,DETROIT,MI,48238.0,45
192,811 OAKMAN BLVD,DETROIT,MI,48238.0,24
193,4200 ST AUBIN ST,DETROIT,MI,48207.0,48
194,8330 E JEFFERSON AVE,DETROIT,MI,48214.0,259
195,5721 ST ANTOINE ST,DETROIT,MI,48202.0,70
196,2352 PRINCE HALL DR,DETROIT,MI,48207.0,34
197,2001 CHENE ST,DETROIT,MI,48207.0,144
198,1480 ROBERT BRADBY DR,DETROIT,MI,48207.0,26
199,640 DELAWARE ST,DETROIT,MI,48202.0,70
200,4707 CONNER ST,DETROIT,MI,48215.0,45
201,2921 FOURTH ST,DETROIT,MI,48201.0,62
202,4607 CHRYSLER DR,DETROIT,MI,48201.0,194
203,882 OAKMAN BLVD,DETROIT,MI,48238.0,155
206,3103 WIGHT ST,DETROIT,MI,48207.0,75
207,16461 VAN BUREN ST,DETROIT,MI,48228.0,36
208,1325 CHENE ST,DETROIT,MI,48207.0,168
209,14711 MACK AVE,DETROIT,MI,48215.0,39
210,1601 ROBERT BRADBY DR,DETROIT,MI,48207.0,350
211,516 W LANTZ ST,DETROIT,MI,48203.0,36
212,4051 TOLEDO ST,DETROIT,MI,48209.0,32
213,3751 SECOND AVE,DETROIT,MI,48201.0,24
216,14969 MANNING ST,DETROIT,MI,48205.0,1
217,15034 NOVARA ST,DETROIT,MI,48205.0,1
218,15300 FAIRCREST ST,DETROIT,MI,48205.0,1
219,16269 NOVARA ST,DETROIT,MI,48205.0,1
220,17194 RUNYON ST,DETROIT,MI,48234.0,1
221,18096 ALCOY ST,DETROIT,MI,48205.0,1
222,19335 HICKORY ST,DETROIT,MI,48205.0,1
223,19643 BUFFALO ST,DETROIT,MI,48234.0,1
224,19948 ALCOY ST,DETROIT,MI,48205.0,1
225,20121 WEXFORD ST,DETROIT,MI,48234.0,1
226,20123 CHAREST ST,DETROIT,MI,48234.0,1
227,20162 REVERE ST,DETROIT,MI,48234.0,1
228,20193 IRVINGTON ST,DETROIT,MI,48203.0,1
229,20491 REVERE ST,DETROIT,MI,48234.0,1
230,401 LANIER ST,DETROIT,MI,48202.0,39
231,1981 E MCNICHOLS RD,DETROIT,MI,48212.0,69
232,13115 E JEFFERSON AVE,DETROIT,MI,48215.0,135
233,14590 ARDMORE ST,DETROIT,MI,48227.0,1
234,15089 APPOLINE ST,DETROIT,MI,48227.0,1
235,15220 LAPPIN ST,DETROIT,MI,48205.0,1
236,15626 LIBERAL ST,DETROIT,MI,48205.0,1
237,15819 EASTBURN ST,DETROIT,MI,48205.0,1
238,18900 TEPPERT ST,DETROIT,MI,48234.0,1
239,19176 DRESDEN ST,DETROIT,MI,48205.0,1
240,19665 ALBION ST,DETROIT,MI,48234.0,1
241,19743 DRESDEN ST,DETROIT,MI,48205.0,1
242,19946 HAMBURG ST,DETROIT,MI,48205.0,1
243,19967 REVERE ST,DETROIT,MI,48234.0,1
244,20019 BARLOW ST,DETROIT,MI,48205.0,1
245,20026 BARLOW ST,DETROIT,MI,48205.0,1
246,20027 ALCOY ST,DETROIT,MI,48205.0,1
247,20028 PELKEY ST,DETROIT,MI,48205.0,1
248,20165 VEACH ST,DETROIT,MI,48234.0,1
249,20202 DRESDEN ST,DETROIT,MI,48205.0,1
250,20230 STRASBURG ST,DETROIT,MI,48205.0,1
251,20520 ALCOY ST,DETROIT,MI,48205.0,1
252,20520 WALTHAM ST,DETROIT,MI,48205.0,1
253,20535 JOANN ST,DETROIT,MI,48205.0,1
254,4707 BUCKINGHAM AVE,DETROIT,MI,48224.0,1
255,5315 MARSEILLES ST,DETROIT,MI,48224.0,1
256,4711 TRUMBULL ST,DETROIT,MI,48208.0,12
257,1023 FIELD ST,DETROIT,MI,48214.0,21
258,1001 LELAND ST,DETROIT,MI,48207.0,52
259,4747 THIRD ST,DETROIT,MI,48201.0,36
260,4707 THIRD ST,DETROIT,MI,48201.0,52
261,590 PARKVIEW DR,DETROIT,MI,48214.0,15
262,3931 MCGRAW ST,DETROIT,MI,48208.0,36
263,1003 LELAND ST,DETROIT,MI,48207.0,53
264,677 W ALEXANDRINE ST,DETROIT,MI,48201.0,45
265,3380 E VERNOR HWY,DETROIT,MI,48207.0,96
266,16321 JOY RD,DETROIT,MI,48228.0,78
267,3676 RIVARD ST,DETROIT,MI,48207.0,48
268,4414 TRUMBULL ST,DETROIT,MI,48208.0,28
269,4127 BUCKINGHAM AVE,DETROIT,MI,48224.0,2
270,19888 HARNED AVE,DETROIT,MI,,3
271,20536 GOULBURN ST,DETROIT,MI,48205.0,5
272,4006 HAVERHILL ST,DETROIT,MI,48224.0,5
273,20286 STRASBURG ST,DETROIT,MI,48205.0,5
274,20099 HAMBURG ST,DETROIT,MI,48205.0,5
275,1336 PORTER ST,DETROIT,MI,48226.0,29
276,14200 KERCHEVAL ST,DETROIT,MI,48215.0,29
277,9331 RUTHERFORD ST,DETROIT,MI,48228.0,36
278,2270 E VERNOR HWY,DETROIT,MI,48207.0,56
279,15949 QUINCY ST,DETROIT,MI,48238.0,22
280,8516 LINWOOD ST,DETROIT,MI,48206.0,31
281,415 BRAINARD ST,DETROIT,MI,48201.0,51
282,100 PARSONS ST,DETROIT,MI,48201.0,81
283,9441 QUEEN ST,DETROIT,MI,48213.0,75
284,9200 W VERNOR HWY,DETROIT,MI,48209.0,80
285,1301 W FOREST AVE,DETROIT,MI,48201.0,24
286,12515 E WARREN AVE,DETROIT,MI,48213.0,138
287,12515 E WARREN AVE,DETROIT,MI,48213.0,136
288,640 W WILLIS ST,DETROIT,MI,48201.0,60
289,388 W GRAND BLVD,DETROIT,MI,48216.0,20
290,8741 WOODWARD AVE,DETROIT,MI,48202.0,9
291,250 W GRAND BLVD,DETROIT,MI,48216.0,19
292,2150 MYRTLE ST,DETROIT,MI,48208.0,120
293,13979 PIERSON ST,DETROIT,MI,48223.0,5
294,14529 PIERSON ST,DETROIT,MI,48223.0,45
295,4120 RIVARD ST,DETROIT,MI,48207.0,100
296,232 E GRAND BLVD,DETROIT,MI,48207.0,28
297,12026 MORANG DR,DETROIT,MI,48224.0,40
298,11501 PETOSKEY AVE,DETROIT,MI,48204.0,96
299,18350 LAHSER RD,DETROIT,MI,48219.0,58
300,16155 HUBBELL ST,DETROIT,MI,48235.0,11
301,667 W ALEXANDRINE ST,DETROIT,MI,48201.0,30
302,3822 28TH ST,DETROIT,MI,48210.0,60
303,640 MLK JR BLVD,DETROIT,MI,48201.0,35
304,10 PETERBORO ST,DETROIT,MI,48201.0,70
305,3843 PURITAN ST,DETROIT,MI,48238.0,29
