OBJECTID,COMMENT,STEWARD1,STEWARD2,GlobalID,Shape_Length,Shape_Area
46,,BLM Cadastral - NV,,{D48F610A-DFDA-4D5A-BF6D-904A81BEB735},1572.41653975205,154474.081757698
47,,BLM Cadastral - NV,,{1DC6CBB5-5393-4D04-9AC0-53F94F23059A},1577.93031171718,155751.806230341
48,,BLM Cadastral - NV,,{14517468-00C1-42DF-8311-552FC01A2109},1614.09609923254,163047.761335535
49,,BLM Cadastral - NV,,{E1D15D65-B1A5-49ED-BE15-326A70FE3856},1642.47466634597,168487.385760749
50,,BLM Cadastral - NV,,{1499AB5A-C9E7-4AA6-8717-B23445DAFACE},1662.31116082325,172165.770622852
51,,BLM Cadastral - NV,,{1D33F007-A992-40F2-A7DD-53116CBC465F},1629.80052095335,165988.038601409
52,,BLM Cadastral - NV,,{8E602DE0-3177-44CB-B038-3367F2666D60},1604.00809829654,160273.500312799
53,,BLM Cadastral - NV,,{07FECBEB-DA64-4741-AFB0-67744DC0BB3C},1634.88077270769,167038.044145803
54,,BLM Cadastral - NV,,{DB97C8BD-7124-45B2-96C6-4BBE492B5DEB},1603.82738639053,160750.040306535
55,,BLM Cadastral - NV,,{40805CD6-A822-4E98-8CEB-EE79135A95F1},1601.73533849393,160319.181324843
56,,BLM Cadastral - NV,,{CFDB2D24-BC03-4770-9BB2-848BA24ABE7C},1599.15822049985,159923.222901449
57,,BLM Cadastral - NV,,{14766259-18C4-4A28-9E5E-F96539291109},1598.34452413052,159654.226930522
58,,BLM Cadastral - NV,,{4D630C3E-96AA-4EDA-B9F8-2225C851D7A9},1632.58369665631,165544.673955766
59,,BLM Cadastral - NV,,{DEC46E7B-F633-4EDC-88A7-6BC9D4695FC1},1634.61368503229,165964.719880583
60,,BLM Cadastral - NV,,{C0FD8772-A00A-4C71-9473-2D2D46E4D2FA},1633.63120051807,166718.620658049
61,,BLM Cadastral - NV,,{01704B57-DCBA-44E4-930F-B3F70CA80D6E},1634.39270233093,166878.689095496
62,,BLM Cadastral - NV,,{6F5AE7E3-C3B0-4C39-BEA4-EFC97FBF21CA},55.1368098617351,113.16156458026
63,,BLM Cadastral - NV,,{07E3A833-DC51-4C06-87DB-C5A20D249DA1},812.23522354736,1771.44720901172
64,,BLM Cadastral - NV,,{90A35557-CF2A-4767-8D59-85D486773D04},1614.79554622582,162960.617492591
65,Survey overlap. See survey plat approved 6/2/2015.,BLM Cadastral - NV,,{3E34072A-FEBE-4C19-A033-5AC4CB332AB1},1609.54074146321,161940.738985325
66,Survey overlap. See survey plat approved 6/2/2015.,BLM Cadastral - NV,,{089CD312-438C-4122-B977-7CC08A540AB9},6453.14816295384,2600833.5753254
67,Survey overlap. See survey plat approved 6/2/2015.,BLM Cadastral - NV,,{F79ADB30-445A-4AEE-8A8A-257287D57573},1627.53743468276,165429.430498703
68,Overlap,BLM Cadastral - NV,,{93D7AC37-7441-44E7-9F1F-58E91AF12D4E},6584.08829195494,2705984.46993356
69,Overlap,BLM Cadastral - NV,,{8B8D98DB-E661-453E-9220-442ACF2A130F},6573.0916835027,2700007.29020986
70,Overlap,BLM Cadastral - NV,,{9355433F-D598-436C-884C-D7AE031EFE55},6416.44388151251,2573158.91148341
71,Overlap,BLM Cadastral - NV,,{095E7AAA-0F55-4FBD-B94A-CB5E08784FAE},6060.10619281067,2284045.95998163
72,Overlap,BLM Cadastral - NV,,{FD079CB5-9A5B-4037-8E39-3990A62E8FCE},6532.83297483904,2668089.63000481
73,Overlap,BLM Cadastral - NV,,{ABE77794-CBFB-4A24-ADC2-BA9F33A799F3},6302.64520591328,2481627.51972497
74,Overlap,BLM Cadastral - NV,,{93CD1D89-25DE-42C1-BC55-088213E1DAA8},6525.34874962125,2660342.65476091
