OBJECTID,GEOID10,Under18_Tot,Under5_Tot,Under5_ER,Under5_Hosp,FivePlus_Tot,FivePlus_ER,Tot_ER_Visits,Tot_Hosp_Visits,AsthmaCt,Diabetes1Ct,Diabetes2Ct,DiabetesOtherCt,PctUndr5ER,PctOvr5ER,PctAsthma,PctDiabetes,Shape__Area,Shape__Length
339,260810129012,217.0,115.0,39.0,76.0,102.0,41.0,80.0,137.0,17.0,0,0,0,0.339130434782609,0.401960784313726,0.0783410138248848,0.0,13513266.3198242,15568.7276064867
340,260810129011,147.0,74.0,26.0,48.0,73.0,31.0,57.0,90.0,,0,0,0,0.351351351351351,0.424657534246575,,0.0,17333207.1894531,19671.7862243845
341,260810129023,103.0,52.0,19.0,33.0,51.0,21.0,40.0,63.0,8.0,0,0,0,0.365384615384615,0.411764705882353,0.0776699029126214,0.0,9957357.92236328,15525.1562125429
342,260450213023,60.0,30.0,12.0,18.0,30.0,15.0,27.0,33.0,,0,0,0,0.4,0.5,,0.0,40543456.8808594,32020.9923961145
343,260450213022,56.0,25.0,10.0,15.0,31.0,14.0,24.0,32.0,,0,0,0,0.4,0.451612903225806,,0.0,15282009.340332,29662.2251114695
344,260450213012,52.0,23.0,10.0,13.0,29.0,12.0,22.0,30.0,,0,0,0,0.434782608695652,0.413793103448276,,0.0,42959260.1982422,34110.9899547206
345,260450212011,31.0,15.0,,10.0,16.0,6.0,11.0,20.0,,0,0,0,,0.375,,0.0,471844264.587891,97296.6436187106
346,260450212012,22.0,14.0,6.0,8.0,8.0,,8.0,14.0,,0,0,0,0.428571428571429,,,0.0,338757867.249023,75391.558431291
347,260450212022,38.0,16.0,,11.0,22.0,9.0,14.0,24.0,,0,0,0,,0.409090909090909,,0.0,491135205.526855,119955.9919272
348,260450204042,12.0,,,,7.0,,,8.0,,0,0,0,,,,0.0,24803364.375,25729.7082766318
349,260050311003,85.0,47.0,18.0,29.0,38.0,16.0,34.0,51.0,,0,0,0,0.382978723404255,0.421052631578947,,0.0,373654036.522949,92611.5132611114
350,260050312004,57.0,28.0,11.0,17.0,29.0,14.0,25.0,32.0,6.0,0,0,0,0.392857142857143,0.482758620689655,0.105263157894737,0.0,10088272.7783203,14767.7982636157
351,260050312003,74.0,33.0,14.0,19.0,41.0,19.0,33.0,41.0,6.0,0,0,0,0.424242424242424,0.463414634146341,0.0810810810810811,0.0,47700174.71875,41643.8070133165
