Reference_Id,Account,Agency_Application,Relief_Program,Application_Date,Relief_Amount,Household_Income,Household_Size,Financial_Hardship,Job_Loss,Reduced_Hours,Account_Type,Zip,Country,State,Location,Council_District,ObjectId
4ZVP-NWW2-N69G,8229300000.0,True,MCR,2021/09/08 00:00:00+00,1000.0,1800.0,1.0,True,False,False,residential,40214.0,USA,Kentucky,"40214, Kentucky, USA",21.0,4822
RP4Q-WYMV-2Q9G,6624833014.0,False,MCR,2021/08/25 00:00:00+00,1000.0,4300.0,1.0,True,True,False,residential,40206.0,USA,Kentucky,"40206, Kentucky, USA",9.0,4823
Z3QV-4PZQ-XGGP,5306047272.0,False,MCR,2021/09/27 00:00:00+00,448.13,3000.0,1.0,True,False,True,residential,40208.0,USA,Kentucky,"40208, Kentucky, USA",6.0,4824
MMZN-YLP2-HMFH,2237400000.0,False,MCR,2021/08/25 00:00:00+00,591.74,3000.0,2.0,True,False,True,residential,40217.0,USA,Kentucky,"40217, Kentucky, USA",15.0,4825
KWNV-YPQ3-WHP4,5039228628.0,True,MCR,2021/09/23 00:00:00+00,1000.0,3000.0,3.0,True,False,True,residential,40215.0,USA,Kentucky,"40215, Kentucky, USA",3.0,4826
K32W-9Z2R-3CJG,245700000.0,True,MCR,2021/09/23 00:00:00+00,1000.0,2500.0,6.0,True,True,True,residential,40272.0,USA,Kentucky,"40272, Kentucky, USA",14.0,4827
WVNW-VPK9-LQCQ,1318200000.0,False,MCR,2021/09/23 00:00:00+00,1000.0,750.0,4.0,True,False,True,residential,40208.0,USA,Kentucky,"40208, Kentucky, USA",6.0,4828
WV3R-VPKW-NZ64,1591257353.0,True,MCR,2021/09/23 00:00:00+00,1000.0,1800.0,2.0,True,True,False,residential,40210.0,USA,Kentucky,"40210, Kentucky, USA",6.0,4829
3Q3L-LZLM-YXTG,4800221011.0,True,MCR,2021/09/24 00:00:00+00,1000.0,2500.0,2.0,True,False,False,residential,40210.0,USA,Kentucky,"40210, Kentucky, USA",1.0,4830
RPM3-QKQW-G9ZM,704410000.0,True,MCR,2021/09/24 00:00:00+00,1000.0,2500.0,2.0,True,False,False,residential,40215.0,USA,Kentucky,"40215, Kentucky, USA",21.0,4831
3Q9L-KW94-W9M9,6680720000.0,False,MCR,2021/09/24 00:00:00+00,1000.0,2400.0,7.0,True,True,False,residential,40272.0,USA,Kentucky,"40272, Kentucky, USA",14.0,4832
MM99-RK4Y-ZMNZ,9451900000.0,True,MCR,2021/09/24 00:00:00+00,1000.0,2500.0,3.0,True,False,True,residential,40258.0,USA,Kentucky,"40258, Kentucky, USA",14.0,4833
YVMV-PQY2-Z2Q6,1421800000.0,False,MCR,2021/09/25 00:00:00+00,1000.0,1100.0,3.0,True,False,False,residential,40272.0,USA,Kentucky,"40272, Kentucky, USA",25.0,4834
92YP-ZV2Y-9ZC4,5754600000.0,False,MCR,2021/09/26 00:00:00+00,1000.0,4000.0,3.0,True,False,False,residential,40118.0,USA,Kentucky,"40118, Kentucky, USA",13.0,4835
23PY-232P-VQXL,1070098229.0,False,MCR,2021/09/27 00:00:00+00,1000.0,790.0,6.0,True,True,False,residential,40272.0,USA,Kentucky,"40272, Kentucky, USA",14.0,4836
PKVW-QLVR-VV3N,9515824172.0,False,MCR,2021/09/27 00:00:00+00,1000.0,2300.0,2.0,True,False,True,residential,40229.0,USA,Kentucky,"40229, Kentucky, USA",24.0,4837
YPWP-YLP3-FYKW,5576900000.0,True,MCR,2021/09/27 00:00:00+00,1000.0,3500.0,3.0,True,False,True,residential,40272.0,USA,Kentucky,"40272, Kentucky, USA",14.0,4838
