OBJECTID,DFIRM_ID,FLD_AR_ID,FLD_ZONE,FLOODWAY,SFHA_TF,AR_REVERT,SOURCE_CIT,HYDRO_ID,CST_MDL_ID
585,50027C,50027C_6275,AE,FLOODWAY,T,,50027C_FIS1,,
586,50025C,50025C_2683,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
587,50027C,50027C_9281,AE,FLOODWAY,T,,50027C_FIS1,,
588,50027C,50027C_9282,AE,FLOODWAY,T,,50027C_FIS1,,
589,50027C,50027C_9281,AE,FLOODWAY,T,,50027C_FIS1,,
590,50021C,50021C_5954,AE,FLOODWAY,T,,50021C_FIS1,,
591,50027C,50027C_9265,AE,FLOODWAY,T,,50027C_FIS1,,
592,50025C,50025C_2740,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
593,50027C,50027C_4801,AE,FLOODWAY,T,,50027C_FIS1,,
594,50027C,50027C_4802,AE,FLOODWAY,T,,50027C_FIS1,,
595,50027C,50027C_9297,AE,FLOODWAY,T,,50027C_FIS1,,
596,50027C,50027C_8780,AE,FLOODWAY,T,,50027C_FIS1,,
597,50021C,50021C_7063,AE,FLOODWAY,T,,50021C_FIS1,,
598,50027C,50027C_9148,AE,FLOODWAY,T,,50027C_FIS1,,
599,500027,500027_6643,AE,FLOODWAY,T,,500027_FIS1,,
600,50027C,50027C_9152,AE,FLOODWAY,T,,50027C_FIS1,,
601,50021C,50021C_7813,AE,FLOODWAY,T,,50021C_FIS1,,
602,50025C,50025C_2609,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
603,50027C,50027C_6313,AE,FLOODWAY,T,,50027C_FIS1,,
604,50027C,50027C_6314,AE,FLOODWAY,T,,50027C_FIS1,,
605,50027C,50027C_6316,AE,FLOODWAY,T,,50027C_FIS1,,
606,50027C,50027C_6318,AE,FLOODWAY,T,,50027C_FIS1,,
607,50027C,50027C_6319,AE,FLOODWAY,T,,50027C_FIS1,,
608,50027C,50027C_8277,AE,FLOODWAY,T,,50027C_FIS1,,
609,50021C,50021C_7584,AE,FLOODWAY,T,,50021C_FIS1,,
610,50021C,50021C_7569,AE,FLOODWAY,T,,50021C_FIS1,,
611,50027C,50027C_9297,AE,FLOODWAY,T,,50027C_FIS1,,
612,50021C,50021C_7368,AE,FLOODWAY,T,,50021C_FIS1,,
613,50027C,50027C_9297,AE,FLOODWAY,T,,50027C_FIS1,,
614,50027C,50027C_9152,AE,FLOODWAY,T,,50027C_FIS1,,
615,50025C,50025C_2564,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
616,50021C,50021C_7422,AE,FLOODWAY,T,,50021C_FIS1,,
617,50027C,50027C_7971,AE,FLOODWAY,T,,50027C_FIS1,,
618,50025C,50025C_2795,AE,FLOODWAY,T,NSPNUL,50025C_FIS1,,
