FID,district,SHAPE_Length,SHAPE_Area
1,3,13588.2115718136,7810766.47068913
2,1,13293.0101767785,6426350.63186361
3,1,82654.9158442283,242847442.126774
4,1,102946.95779161,179754605.032256
5,2,103014.265057387,334092995.585478
6,1,17360.1232702892,13902313.3132168
7,4,119495.104987837,360187265.268492
8,0,13630.8489110973,9470558.18535099
9,3,120997.771858048,378198578.076564
10,4,87455.9668028161,98370766.6160817
11,3,38032.6739241128,33585868.3959465
