AOC_CODE,RANK_TITLE,OFFICER_SEX,OFFICER_RACE,OFFICER_AGE_RANGE,OFFICER_AGE,OFFICER_DIVISION,OFFICER_ASSIGNMENT,OFFICER_YEARS_SWORN,OBJECTID
2754,POLICE OFFICER                     ,M,W ,50 - 59,59,TRAFFIC                                                ,2ND PLATOON                                            ,32.0,397
2755,POLICE OFFICER                     ,M,W ,50 - 59,58,2ND DIVISION                                           ,RESOURCE OFFICERS                                      ,32.0,398
2757,POLICE SERGEANT                    ,M,B ,50 - 59,52,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,23.0,399
2758,POLICE SERGEANT                    ,M,W ,OVER 60,61,CANINE UNIT                                            ,2ND PLATOON                                            ,32.0,400
2759,POLICE OFFICER                     ,M,W ,50 - 59,56,NARCOTICS                                              ,INVESTIGATIVE SUPPORT                                  ,32.0,401
2761,POLICE MAJOR                       ,F,W ,50 - 59,58,ADMINISTRATIVE SERVICES DIVISION                       ,STAFF                                                  ,32.0,402
2764,POLICE OFFICER                     ,M,W ,50 - 59,58,1ST DIVISION                                           ,1ST PLATOON                                            ,6.0,403
2765,POLICE OFFICER                     ,M,U ,50 - 59,59,1ST DIVISION                                           ,BIKE PLATOON                                           ,12.0,404
2766,POLICE OFFICER                     ,M,W ,50 - 59,55,7TH DIVISION                                           ,2ND PLATOON                                            ,32.0,405
2769,POLICE SERGEANT                    ,M,B ,50 - 59,59,NARCOTICS                                              ,SQUAD 2                                                ,32.0,406
2770,POLICE OFFICER                     ,M,W ,50 - 59,56,2ND DIVISION                                           ,2ND PLATOON                                            ,32.0,407
2771,POLICE SERGEANT                    ,M,W ,50 - 59,58,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,32.0,408
2772,POLICE OFFICER                     ,F,W ,OVER 60,61,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,32.0,409
2774,POLICE OFFICER                     ,M,W ,OVER 60,66,3RD DIVISION                                           ,DETECTIVES                                             ,32.0,410
2775,POLICE OFFICER                     ,M,W ,OVER 60,60,7TH DIVISION                                           ,2ND PLATOON                                            ,6.0,411
2776,POLICE OFFICER                     ,M,W ,OVER 60,65,1ST DIVISION                                           ,2ND PLATOON                                            ,32.0,412
2780,POLICE OFFICER                     ,M,W ,OVER 60,66,5TH DIVISION                                           ,2ND PLATOON                                            ,32.0,413
2781,POLICE OFFICER                     ,M,W ,OVER 60,61,5TH DIVISION                                           ,RESOURCE OFFICERS                                      ,31.0,414
2782,POLICE SERGEANT                    ,M,W ,50 - 59,52,8TH DIVISION                                           ,2ND PLATOON                                            ,31.0,415
2785,POLICE LIEUTENANT                  ,M,W ,OVER 60,63,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,31.0,416
2786,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,2ND PLATOON                                            ,31.0,417
2788,POLICE SERGEANT                    ,M,W ,50 - 59,55,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,31.0,418
2790,POLICE OFFICER                     ,M,W ,50 - 59,54,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,31.0,419
2791,POLICE OFFICER                     ,M,W ,50 - 59,58,7TH DIVISION                                           ,DETECTIVES                                             ,23.0,420
2793,POLICE OFFICER                     ,M,W ,OVER 60,67,5TH DIVISION                                           ,2ND PLATOON                                            ,31.0,421
2794,POLICE OFFICER                     ,M,W ,OVER 60,61,6TH DIVISION                                           ,2ND PLATOON                                            ,31.0,422
2796,POLICE OFFICER                     ,M,B ,50 - 59,55,6TH DIVISION                                           ,1ST PLATOON                                            ,31.0,423
2797,POLICE OFFICER                     ,M,W ,50 - 59,56,CIS FORENSIC INVESTIGATIONS                            ,COMPUTER FORENSICS                                     ,31.0,424
2798,POLICE OFFICER                     ,M,W ,50 - 59,56,5TH DIVISION                                           ,2ND PLATOON                                            ,31.0,425
2800,POLICE OFFICER                     ,M,W ,50 - 59,56,6TH DIVISION                                           ,2ND PLATOON                                            ,31.0,426
2801,POLICE OFFICER                     ,M,B ,50 - 59,57,7TH DIVISION                                           ,2ND PLATOON                                            ,31.0,427
2802,POLICE OFFICER                     ,M,W ,50 - 59,54,6TH DIVISION                                           ,2ND PLATOON                                            ,31.0,428
2803,POLICE OFFICER                     ,M,W ,40 - 49,45,CANINE UNIT                                            ,2ND PLATOON                                            ,21.0,429
2804,POLICE OFFICER                     ,M,W ,OVER 60,60,8TH DIVISION                                           ,2ND PLATOON                                            ,31.0,430
2805,POLICE LIEUTENANT                  ,M,W ,50 - 59,54,INSPECTIONS AND COMPLIANCE UNIT                        ,STAFF                                                  ,31.0,431
2807,POLICE OFFICER                     ,F,W ,50 - 59,53,CRIMES AGAINST CHILDREN                                ,CRIMES AGAINST CHILDREN                                ,31.0,432
2808,POLICE OFFICER                     ,F,W ,50 - 59,56,5TH DIVISION                                           ,1ST PLATOON                                            ,31.0,433
2810,POLICE SERGEANT                    ,M,W ,OVER 60,60,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,31.0,434
2812,POLICE OFFICER                     ,M,W ,OVER 60,60,4TH DIVISION                                           ,1ST PLATOON                                            ,31.0,435
2813,POLICE LIEUTENANT                  ,M,W ,50 - 59,54,2ND DIVISION                                           ,STAFF                                                  ,31.0,436
2815,POLICE OFFICER                     ,M,W ,50 - 59,53,8TH DIVISION                                           ,3RD PLATOON                                            ,31.0,437
2816,POLICE OFFICER                     ,M,W ,50 - 59,58,5TH DIVISION                                           ,2ND PLATOON                                            ,6.0,438
2817,POLICE OFFICER                     ,M,W ,50 - 59,54,3RD DIVISION                                           ,RESOURCE OFFICERS                                      ,22.0,439
2818,POLICE SERGEANT                    ,M,W ,OVER 60,60,2ND DIVISION                                           ,3RD PLATOON                                            ,31.0,440
2822,POLICE SERGEANT                    ,M,B ,50 - 59,54,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,31.0,441
2823,POLICE OFFICER                     ,F,W ,50 - 59,53,1ST DIVISION                                           ,2ND PLATOON                                            ,31.0,442
2824,POLICE LIEUTENANT                  ,M,W ,50 - 59,57,5TH DIVISION                                           ,3RD PLATOON                                            ,31.0,443
2825,POLICE OFFICER                     ,M,W ,50 - 59,54,3RD DIVISION                                           ,2ND PLATOON                                            ,31.0,444
2826,POLICE OFFICER                     ,M,W ,OVER 60,62,TRAINING                                               ,BASIC ACADEMY                                          ,31.0,445
2827,POLICE OFFICER                     ,M,W ,50 - 59,55,5TH DIVISION                                           ,DETECTIVES                                             ,31.0,446
2828,POLICE OFFICER                     ,F,W ,50 - 59,56,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,31.0,447
2829,POLICE SERGEANT                    ,M,W ,50 - 59,57,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,31.0,448
2831,POLICE OFFICER                     ,F,W ,50 - 59,54,CIS HOMICIDE                                           ,3RD PLATOON                                            ,31.0,449
2832,DEPUTY POLICE CHIEF                ,F,B ,50 - 59,54,CHIEF`S STAFF                                          ,STAFF                                                  ,31.0,450
2833,POLICE LIEUTENANT                  ,F,W ,50 - 59,56,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,31.0,451
2835,POLICE OFFICER                     ,M,W ,OVER 60,60,RIVER PATROL                                           ,STAFF                                                  ,31.0,452
2836,POLICE OFFICER                     ,M,W ,50 - 59,55,CANINE UNIT                                            ,2ND PLATOON                                            ,23.0,453
2838,POLICE OFFICER                     ,M,W ,50 - 59,52,NARCOTICS                                              ,MAJOR CASE SQUAD                                       ,29.0,454
2839,POLICE OFFICER                     ,M,W ,50 - 59,56,2ND DIVISION                                           ,DETECTIVES                                             ,29.0,455
2840,POLICE LIEUTENANT                  ,F,W ,50 - 59,59,CIS SPECIAL VICTIMS                                    ,STAFF                                                  ,29.0,456
2841,POLICE OFFICER                     ,F,W ,50 - 59,56,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,29.0,457
2842,POLICE OFFICER                     ,F,W ,OVER 60,64,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,29.0,458
2843,POLICE LIEUTENANT                  ,M,B ,50 - 59,51,2ND DIVISION                                           ,1ST PLATOON                                            ,29.0,459
2844,POLICE SERGEANT                    ,M,B ,50 - 59,54,7TH DIVISION                                           ,2ND PLATOON                                            ,29.0,460
2845,POLICE OFFICER                     ,M,B ,50 - 59,57,2ND DIVISION                                           ,2ND PLATOON                                            ,29.0,461
2847,POLICE LIEUTENANT                  ,M,W ,50 - 59,56,6TH DIVISION                                           ,STAFF                                                  ,29.0,462
2850,POLICE OFFICER                     ,M,W ,OVER 60,65,6TH DIVISION                                           ,2ND PLATOON                                            ,29.0,463
2851,POLICE OFFICER                     ,M,W ,40 - 49,49,PROFESSIONAL STANDARDS UNIT                            ,STAFF                                                  ,21.0,464
2852,POLICE OFFICER                     ,M,B ,OVER 60,65,2ND DIVISION                                           ,2ND PLATOON                                            ,29.0,465
2853,POLICE OFFICER                     ,M,W ,50 - 59,55,1ST DIVISION                                           ,BIKE PLATOON                                           ,29.0,466
2854,POLICE OFFICER                     ,M,B ,OVER 60,63,1ST DIVISION                                           ,1ST PLATOON                                            ,29.0,467
2855,POLICE OFFICER                     ,M,W ,50 - 59,59,1ST DIVISION                                           ,1ST PLATOON                                            ,29.0,468
2856,POLICE LIEUTENANT                  ,M,W ,50 - 59,53,3RD DIVISION                                           ,3RD PLATOON                                            ,29.0,469
2859,POLICE OFFICER                     ,M,W ,50 - 59,54,2ND DIVISION                                           ,2ND PLATOON                                            ,29.0,470
2861,POLICE OFFICER                     ,M,W ,50 - 59,55,5TH DIVISION                                           ,DETECTIVES                                             ,29.0,471
2862,POLICE OFFICER                     ,F,W ,OVER 60,66,7TH DIVISION                                           ,3RD PLATOON                                            ,29.0,472
2863,POLICE OFFICER                     ,M,W ,50 - 59,52,6TH DIVISION                                           ,DETECTIVES                                             ,29.0,473
2864,POLICE LIEUTENANT                  ,M,W ,50 - 59,57,CRIMES AGAINST CHILDREN                                ,STAFF                                                  ,29.0,474
2866,POLICE OFFICER                     ,M,W ,50 - 59,57,6TH DIVISION                                           ,2ND PLATOON                                            ,29.0,475
2867,POLICE MAJOR                       ,M,W ,50 - 59,53,TRAINING                                               ,STAFF                                                  ,29.0,476
2868,POLICE OFFICER                     ,F,W ,OVER 60,62,7TH DIVISION                                           ,1ST PLATOON                                            ,29.0,477
2869,POLICE OFFICER                     ,M,W ,50 - 59,58,7TH DIVISION                                           ,3RD PLATOON                                            ,29.0,478
2870,POLICE OFFICER                     ,M,W ,50 - 59,55,3RD DIVISION                                           ,3RD PLATOON                                            ,29.0,479
2872,POLICE SERGEANT                    ,M,W ,40 - 49,49,8TH DIVISION                                           ,DETECTIVES                                             ,21.0,480
2873,POLICE OFFICER                     ,F,B ,50 - 59,57,1ST DIVISION                                           ,2ND PLATOON                                            ,29.0,481
2874,POLICE OFFICER                     ,M,W ,50 - 59,59,4TH DIVISION                                           ,2ND PLATOON                                            ,29.0,482
2875,POLICE SERGEANT                    ,M,W ,50 - 59,52,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,29.0,483
2876,POLICE OFFICER                     ,M,W ,50 - 59,53,6TH DIVISION                                           ,2ND PLATOON                                            ,29.0,484
2877,POLICE OFFICER                     ,M,B ,50 - 59,58,2ND DIVISION                                           ,2ND PLATOON                                            ,29.0,485
2878,POLICE OFFICER                     ,M,W ,50 - 59,55,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,29.0,486
2879,POLICE OFFICER                     ,M,W ,50 - 59,52,NARCOTICS                                              ,INVESTIGATIVE SUPPORT                                  ,29.0,487
2880,POLICE SERGEANT                    ,F,W ,50 - 59,58,CHIEF`S STAFF                                          ,STAFF                                                  ,29.0,488
2881,ASST POLICE CHIEF-LT COLONEL       ,M,B ,50 - 59,52,SUPPORT BUREAU                                         ,STAFF                                                  ,29.0,489
2882,POLICE SERGEANT                    ,M,W ,50 - 59,53,7TH DIVISION                                           ,1ST PLATOON                                            ,29.0,490
2883,POLICE SERGEANT                    ,M,W ,50 - 59,55,6TH DIVISION                                           ,1ST PLATOON                                            ,29.0,491
2885,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,BIKE PLATOON                                           ,29.0,492
2886,POLICE OFFICER                     ,M,B ,50 - 59,55,8TH DIVISION                                           ,2ND PLATOON                                            ,29.0,493
2887,POLICE OFFICER                     ,M,W ,OVER 60,67,TRAFFIC                                                ,2ND PLATOON                                            ,29.0,494
2891,POLICE OFFICER                     ,F,B ,50 - 59,57,TRANSCRIBERS                                           ,INVESTIGATIVE SUPPORT                                  ,29.0,495
2892,POLICE SERGEANT                    ,M,B ,50 - 59,53,8TH DIVISION                                           ,2ND PLATOON                                            ,29.0,496
2893,POLICE OFFICER                     ,M,W ,50 - 59,51,4TH DIVISION                                           ,DETECTIVES 1                                           ,29.0,497
2894,POLICE OFFICER                     ,M,W ,50 - 59,58,TRAINING                                               ,BASIC ACADEMY                                          ,29.0,498
2895,POLICE OFFICER                     ,F,W ,50 - 59,52,5TH DIVISION                                           ,2ND PLATOON                                            ,28.0,499
2896,POLICE OFFICER                     ,M,W ,50 - 59,51,7TH DIVISION                                           ,2ND PLATOON                                            ,29.0,500
2897,POLICE OFFICER                     ,M,B ,50 - 59,57,2ND DIVISION                                           ,3RD PLATOON                                            ,29.0,501
2898,POLICE OFFICER                     ,M,B ,OVER 60,61,2ND DIVISION                                           ,DETECTIVES                                             ,29.0,502
2900,POLICE OFFICER                     ,M,W ,50 - 59,54,TRAINING                                               ,FIREARMS TRAINING UNIT                                 ,29.0,503
2903,POLICE SERGEANT                    ,M,W ,OVER 60,67,1ST DIVISION                                           ,1ST PLATOON                                            ,29.0,504
2905,POLICE OFFICER                     ,F,W ,50 - 59,56,3RD DIVISION                                           ,2ND PLATOON                                            ,21.0,505
2906,POLICE OFFICER                     ,M,W ,OVER 60,61,RCFL                                                   ,STAFF                                                  ,29.0,506
2907,POLICE OFFICER                     ,M,W ,40 - 49,47,TECHNICAL SERVICES                                     ,TECHNICAL INVESTIGATIONS UNIT                          ,19.0,507
2908,POLICE OFFICER                     ,M,W ,50 - 59,51,4TH DIVISION                                           ,2ND PLATOON                                            ,29.0,508
2909,POLICE OFFICER                     ,F,W ,50 - 59,55,4TH DIVISION                                           ,2ND PLATOON                                            ,21.0,509
2910,POLICE OFFICER                     ,M,W ,50 - 59,54,NARCOTICS                                              ,INTERDICTION SQUAD                                     ,29.0,510
2911,POLICE LIEUTENANT                  ,M,W ,50 - 59,55,AIR PATROL                                             ,STAFF                                                  ,29.0,511
2912,POLICE SERGEANT                    ,M,W ,50 - 59,55,CIS SPECIAL VICTIMS                                    ,SEX CRIMES                                             ,29.0,512
2913,ASST POLICE CHIEF-LT COLONEL       ,M,B ,50 - 59,54,SUPPORT BUREAU                                         ,STAFF                                                  ,29.0,513
2915,POLICE SERGEANT                    ,M,W ,50 - 59,58,COURT LIAISON OFFICE                                   ,STAFF                                                  ,28.0,514
2917,POLICE SERGEANT                    ,M,W ,50 - 59,53,3RD DIVISION                                           ,DETECTIVES                                             ,28.0,515
2918,POLICE CHIEF                       ,F,B ,50 - 59,52,CHIEF`S STAFF                                          ,STAFF                                                  ,28.0,516
2919,POLICE SERGEANT                    ,M,W ,50 - 59,53,7TH DIVISION                                           ,STAFF                                                  ,28.0,517
2920,POLICE OFFICER                     ,M,W ,50 - 59,53,8TH DIVISION                                           ,2ND PLATOON                                            ,28.0,518
2921,POLICE OFFICER                     ,M,W ,50 - 59,51,CANINE UNIT                                            ,1ST PLATOON                                            ,28.0,519
2923,POLICE SERGEANT                    ,M,W ,50 - 59,51,RIVER PATROL                                           ,STAFF                                                  ,28.0,520
2925,POLICE LIEUTENANT                  ,M,W ,50 - 59,51,9TH DIVISION                                           ,STAFF                                                  ,28.0,521
2926,POLICE LIEUTENANT                  ,M,H ,50 - 59,51,5TH DIVISION                                           ,STAFF                                                  ,28.0,522
2927,POLICE SERGEANT                    ,F,W ,50 - 59,50,4TH DIVISION                                           ,1ST PLATOON                                            ,28.0,523
2928,POLICE SERGEANT                    ,M,B ,50 - 59,51,5TH DIVISION                                           ,1ST PLATOON                                            ,28.0,524
2929,POLICE OFFICER                     ,M,W ,50 - 59,53,AIR PATROL                                             ,STAFF                                                  ,28.0,525
2930,POLICE LIEUTENANT                  ,M,W ,50 - 59,53,8TH DIVISION                                           ,STAFF                                                  ,28.0,526
2931,POLICE OFFICER                     ,M,W ,50 - 59,55,AIR PATROL                                             ,STAFF                                                  ,28.0,527
2932,POLICE OFFICER                     ,M,W ,50 - 59,57,5TH DIVISION                                           ,DETECTIVES                                             ,28.0,528
2933,POLICE OFFICER                     ,M,W ,50 - 59,50,5TH DIVISION                                           ,1ST PLATOON                                            ,28.0,529
2934,POLICE LIEUTENANT                  ,M,W ,50 - 59,54,NARCOTICS                                              ,STAFF                                                  ,28.0,530
2935,DEPUTY POLICE CHIEF                ,M,W ,50 - 59,53,CHIEF`S STAFF                                          ,STAFF                                                  ,28.0,531
2936,POLICE OFFICER                     ,M,W ,50 - 59,59,3RD DIVISION                                           ,1ST PLATOON                                            ,28.0,532
2937,POLICE OFFICER                     ,M,B ,OVER 60,65,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,28.0,533
2939,POLICE OFFICER                     ,M,B ,50 - 59,59,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,28.0,534
2940,POLICE OFFICER                     ,M,W ,40 - 49,42,FOCUSED INTELLIGENCE UNIT                              ,FEDERAL TASK FORCES                                    ,20.0,535
2941,POLICE OFFICER                     ,M,B ,50 - 59,55,7TH DIVISION                                           ,1ST PLATOON                                            ,28.0,536
2942,POLICE OFFICER                     ,M,W ,50 - 59,54,NARCOTICS                                              ,SCRIPT TEAM                                            ,28.0,537
2943,POLICE OFFICER                     ,M,W ,50 - 59,56,5TH DIVISION                                           ,2ND PLATOON                                            ,28.0,538
2944,POLICE LIEUTENANT                  ,M,W ,50 - 59,52,VEHICLE IMPOUNDMENT                                    ,STAFF                                                  ,28.0,539
2945,POLICE LIEUTENANT                  ,M,W ,50 - 59,50,4TH DIVISION                                           ,STAFF                                                  ,28.0,540
2946,POLICE OFFICER                     ,M,W ,50 - 59,51,NARCOTICS                                              ,INTERDICTION SQUAD                                     ,28.0,541
2948,POLICE MAJOR                       ,M,W ,50 - 59,55,NARCOTICS                                              ,STAFF                                                  ,27.0,542
2950,POLICE OFFICER                     ,F,W ,50 - 59,52,CRIMES AGAINST CHILDREN                                ,OPERATIONS A                                           ,27.0,543
2951,POLICE OFFICER                     ,F,W ,50 - 59,52,1ST DIVISION                                           ,RESOURCE OFFICERS                                      ,27.0,544
2952,POLICE OFFICER                     ,M,W ,50 - 59,56,NARCOTICS                                              ,MAJOR CASE SQUAD                                       ,27.0,545
2953,POLICE OFFICER                     ,M,W ,50 - 59,59,5TH DIVISION                                           ,2ND PLATOON                                            ,27.0,546
2955,POLICE OFFICER                     ,M,B ,OVER 60,63,8TH DIVISION                                           ,2ND PLATOON                                            ,27.0,547
2956,POLICE OFFICER                     ,M,W ,50 - 59,55,CIS FORENSIC INVESTIGATIONS                            ,POLYGRAPH SQUAD                                        ,27.0,548
2957,POLICE OFFICER                     ,M,B ,50 - 59,54,2ND DIVISION                                           ,2ND PLATOON                                            ,27.0,549
2958,POLICE LIEUTENANT                  ,F,W ,OVER 60,60,3RD DIVISION                                           ,2ND PLATOON                                            ,27.0,550
2959,POLICE OFFICER                     ,M,W ,40 - 49,42,7TH DIVISION                                           ,1ST PLATOON                                            ,20.0,551
2960,POLICE SERGEANT                    ,M,W ,40 - 49,48,TRAINING                                               ,SPECIAL PROJECTS UNIT                                  ,21.0,552
2961,POLICE OFFICER                     ,M,W ,50 - 59,50,5TH DIVISION                                           ,2ND PLATOON                                            ,27.0,553
2962,POLICE SERGEANT                    ,M,W ,50 - 59,51,4TH DIVISION                                           ,2ND PLATOON                                            ,27.0,554
2963,POLICE SERGEANT                    ,F,W ,50 - 59,58,3RD DIVISION                                           ,STAFF                                                  ,27.0,555
2965,POLICE SERGEANT                    ,M,W ,50 - 59,51,3RD DIVISION                                           ,2ND PLATOON                                            ,27.0,556
2966,POLICE SERGEANT                    ,F,W ,50 - 59,55,COMMUNITY POLICING UNIT                                ,STAFF                                                  ,27.0,557
2967,POLICE OFFICER                     ,F,W ,50 - 59,50,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,27.0,558
2968,POLICE LIEUTENANT                  ,F,W ,50 - 59,50,TRAINING                                               ,IN-SERVICE TRAINING UNIT                               ,27.0,559
2969,POLICE OFFICER                     ,M,W ,50 - 59,52,8TH DIVISION                                           ,1ST PLATOON                                            ,27.0,560
2971,POLICE OFFICER                     ,M,W ,40 - 49,49,CIS FORENSIC INVESTIGATIONS                            ,POLYGRAPH SQUAD                                        ,27.0,561
2972,POLICE SERGEANT                    ,M,W ,50 - 59,58,CIS FORENSIC INVESTIGATIONS                            ,STAFF                                                  ,27.0,562
2974,POLICE OFFICER                     ,M,W ,OVER 60,69,CIS SPECIAL VICTIMS                                    ,DOMESTIC VIOLENCE UNIT                                 ,27.0,563
2975,POLICE OFFICER                     ,M,W ,50 - 59,50,5TH DIVISION                                           ,2ND PLATOON                                            ,27.0,564
2977,POLICE SERGEANT                    ,M,W ,50 - 59,51,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,27.0,565
2978,POLICE OFFICER                     ,M,W ,OVER 60,65,CIS ROBBERY                                            ,3RD PLATOON                                            ,27.0,566
2979,POLICE OFFICER                     ,M,B ,50 - 59,53,3RD DIVISION                                           ,2ND PLATOON                                            ,27.0,567
2980,POLICE SERGEANT                    ,M,W ,50 - 59,56,5TH DIVISION                                           ,DETECTIVES                                             ,27.0,568
2981,POLICE OFFICER                     ,M,W ,50 - 59,59,2ND DIVISION                                           ,2ND PLATOON                                            ,27.0,569
2982,POLICE OFFICER                     ,M,H ,OVER 60,70,6TH DIVISION                                           ,2ND PLATOON                                            ,27.0,570
2986,POLICE SERGEANT                    ,M,W ,50 - 59,50,6TH DIVISION                                           ,3RD PLATOON                                            ,27.0,571
2987,POLICE OFFICER                     ,F,W ,50 - 59,59,CIS HOMICIDE                                           ,MISSING PERSONS                                        ,27.0,572
2988,POLICE OFFICER                     ,F,W ,50 - 59,51,8TH DIVISION                                           ,2ND PLATOON                                            ,26.0,573
2989,POLICE OFFICER                     ,M,W ,OVER 60,63,1ST DIVISION                                           ,3RD PLATOON                                            ,27.0,574
2993,POLICE OFFICER                     ,M,W ,50 - 59,54,1ST DIVISION                                           ,BIKE PLATOON                                           ,27.0,575
2995,POLICE SERGEANT                    ,M,W ,50 - 59,58,8TH DIVISION                                           ,FLEX PLATOON                                           ,27.0,576
2996,POLICE OFFICER                     ,F,W ,50 - 59,54,2ND DIVISION                                           ,1ST PLATOON                                            ,25.0,577
2997,POLICE LIEUTENANT                  ,M,W ,40 - 49,48,CIS ROBBERY                                            ,STAFF                                                  ,25.0,578
2998,POLICE LIEUTENANT                  ,M,W ,50 - 59,51,TRAFFIC                                                ,STAFF                                                  ,25.0,579
2999,POLICE OFFICER                     ,F,W ,50 - 59,53,1ST DIVISION                                           ,1ST PLATOON                                            ,25.0,580
6002,POLICE LIEUTENANT                  ,M,W ,40 - 49,49,STRATEGIC PLANNING                                     ,STAFF                                                  ,23.0,581
6006,POLICE SERGEANT                    ,M,W ,50 - 59,52,8TH DIVISION                                           ,2ND PLATOON                                            ,26.0,582
6008,POLICE OFFICER                     ,M,W ,50 - 59,51,7TH DIVISION                                           ,RESOURCE OFFICERS                                      ,25.0,583
6010,POLICE OFFICER                     ,M,W ,50 - 59,55,3RD DIVISION                                           ,1ST PLATOON                                            ,23.0,584
6013,POLICE OFFICER                     ,M,W ,40 - 49,48,AIR PATROL                                             ,STAFF                                                  ,25.0,585
6028,POLICE OFFICER                     ,M,W ,50 - 59,50,7TH DIVISION                                           ,2ND PLATOON                                            ,6.0,586
6030,POLICE OFFICER                     ,M,H ,50 - 59,56,6TH DIVISION                                           ,1ST PLATOON                                            ,20.0,587
6039,POLICE LIEUTENANT                  ,M,W ,50 - 59,54,COMMUNITY EVENTS UNIT                                  ,STAFF                                                  ,29.0,588
6044,POLICE OFFICER                     ,M,B ,OVER 60,65,3RD DIVISION                                           ,1ST PLATOON                                            ,16.0,589
6046,POLICE MAJOR                       ,M,B ,40 - 49,46,6TH DIVISION                                           ,STAFF                                                  ,23.0,590
6054,POLICE OFFICER                     ,M,B ,OVER 60,75,7TH DIVISION                                           ,DETECTIVES                                             ,35.0,591
6056,POLICE OFFICER                     ,M,B ,50 - 59,58,SCHOOL RESOURCE OFFICERS                               ,STAFF                                                  ,32.0,592
6067,POLICE OFFICER                     ,M,W ,50 - 59,51,6TH DIVISION                                           ,1ST PLATOON                                            ,25.0,593
6072,POLICE OFFICER                     ,M,W ,OVER 60,62,9TH DIVISION                                           ,SQUAD 2                                                ,35.0,594
6074,POLICE SERGEANT                    ,M,W ,50 - 59,55,PUBLIC INFORMATION OFFICE                              ,STAFF                                                  ,27.0,595
6075,POLICE OFFICER                     ,M,W ,OVER 60,67,3RD DIVISION                                           ,1ST PLATOON                                            ,16.0,596
6077,POLICE SERGEANT                    ,M,W ,50 - 59,57,TECHNICAL SERVICES                                     ,VIDEO RECORDS UNIT                                     ,27.0,597
6082,POLICE SERGEANT                    ,M,W ,OVER 60,72,PUBLIC INTEGRITY UNIT                                  ,STAFF                                                  ,38.0,598
6090,POLICE SERGEANT                    ,M,B ,50 - 59,57,CIS FORENSIC INVESTIGATIONS                            ,CSU STAFF                                              ,31.0,599
6097,POLICE OFFICER                     ,M,W ,50 - 59,56,6TH DIVISION                                           ,2ND PLATOON                                            ,28.0,600
6100,POLICE OFFICER                     ,M,B ,50 - 59,51,6TH DIVISION                                           ,1ST PLATOON                                            ,27.0,601
6108,POLICE OFFICER                     ,F,W ,40 - 49,48,8TH DIVISION                                           ,2ND PLATOON                                            ,25.0,602
6114,POLICE OFFICER                     ,M,W ,50 - 59,58,TECHNICAL SERVICES                                     ,TECHNICAL INVESTIGATIONS UNIT                          ,33.0,603
6115,POLICE SERGEANT                    ,M,W ,OVER 60,66,8TH DIVISION                                           ,1ST PLATOON                                            ,34.0,604
6120,POLICE OFFICER                     ,M,W ,OVER 60,65,8TH DIVISION                                           ,3RD PLATOON                                            ,16.0,605
6128,POLICE OFFICER                     ,M,W ,40 - 49,47,AIR PATROL                                             ,STAFF                                                  ,25.0,606
6129,POLICE OFFICER                     ,M,W ,50 - 59,56,6TH DIVISION                                           ,2ND PLATOON                                            ,29.0,607
6130,POLICE OFFICER                     ,M,A ,OVER 60,62,8TH DIVISION                                           ,1ST PLATOON                                            ,23.0,608
6136,POLICE OFFICER                     ,M,W ,OVER 60,60,NARCOTICS                                              ,STAFF                                                  ,33.0,609
6138,POLICE OFFICER                     ,M,W ,OVER 60,60,6TH DIVISION                                           ,1ST PLATOON                                            ,35.0,610
6139,POLICE OFFICER                     ,M,W ,50 - 59,54,5TH DIVISION                                           ,1ST PLATOON                                            ,27.0,611
6141,POLICE SERGEANT                    ,M,W ,50 - 59,53,3RD DIVISION                                           ,1ST PLATOON                                            ,23.0,612
6143,POLICE OFFICER                     ,M,W ,40 - 49,44,CIS ROBBERY                                            ,2ND PLATOON                                            ,22.0,613
6145,POLICE OFFICER                     ,M,W ,40 - 49,46,CIS FORENSIC INVESTIGATIONS                            ,POLYGRAPH SQUAD                                        ,20.0,614
6148,POLICE OFFICER                     ,M,A ,40 - 49,43,6TH DIVISION                                           ,1ST PLATOON                                            ,22.0,615
