OBJECTID,OHV_AREA_ID,OHV_AREA_NM,OHV_AREA_NR,ADMIN_ST,ADM_UNIT_CD,ADMU_NM,LUPA_ID,LUP_NM,ROD_DT,LUP_OHV_DSGNTN,OHV_LMTN_CD,OHV_LMTN_TX,LUP_DCLR_ACRES,GIS_ACRES,BLM_ACRES,GlobalID,SHAPE_Length,SHAPE_Area
1813, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.18372065,,{AC14BF41-BCC6-4B54-9B1C-8136B65109B2},179.897050362966,743.491421325464
1814, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,4.28491172,,{C35BF828-AB71-4F37-AA62-5AC3F202ADA0},640.654594455241,17340.4225080703
1815, ,Priority Area 1: Cortez-Mancos,,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,44.45962482,,{A27232E1-424F-4BD3-A954-DABFE8CCA436},1698.80762604423,179921.719794416
1816, ,Priority Area 3: Greater Durango,,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,39.12221373,,{A8D66743-2879-49D1-AEBD-E776EFE7F871},1591.61940157687,158322.002346158
1817, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.0050019,,{BA113546-B7B6-4D7E-BF31-D9CC7BB3E6C5},29.9286556540882,20.2417954532384
1818, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.26628291,,{2B84011B-1D05-4C06-8278-1D87C1E94D10},166.126244602932,1077.61078396045
1819, ,Priority Area 2: Silverton, ,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,0.0010162,,{7E20B9BD-DCE3-49C2-BBD1-FCA62E7A2C41},11.0896215079699,4.11256839720504
1820, ,Priority Area 1: Cortez-Mancos,,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Limited,,,0.0,244.51217519,,{FF289469-D21A-4A9B-8F71-BA44D87F70ED},5685.75503645609,989505.666482157
1821, ,Priority Area 3: Greater Durango,,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Closed,,,0.0,35.96484979,,{7D0078A7-45C1-45B7-BE1E-F3A02741072E},1532.0840891012,145544.123466486
1822, ,Priority Area 3: Greater Durango,,CO,COS01000,Tres Rios Field Office, ,Tres Rios Field Office 2015 RMP,2015/02/27 00:00:00+00,Closed,,,0.0,38.61496862,,{9007A55D-58CA-4E00-8EF0-B15188574E66},1581.49067248416,156269.253560094
