OBJECTID,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
252,5106,Hammonasset River,51,South Central Eastern Complex,5,South Central Coast,22885.69921875,35.75889968,281146.500361498,996902026.230301
253,6018,Pond Brook,60,Housatonic Main Stem,6,Housatonic,8898.05957031,13.90320014,105683.586131195,387599410.205517
254,5305,West River,53,South Central Western Complex,5,South Central Coast,11690.40039062,18.2663002,204861.165204587,509234586.901171
255,3006,Hunts Brook,30,Thames Main Stem,3,Thames,8369.23046875,13.07689952,111845.481239895,364563634.963
256,6603,Padanaram Brook,66,Still,6,Housatonic,4650.91015625,7.26704978,100693.72038435,202593662.458958
257,6021,Kettletown Brook,60,Housatonic Main Stem,6,Housatonic,3114.98999023,4.86717987,58781.5029629491,135689050.886856
258,2103,Williams Brook,21,Southeast Eastern Complex,2,Southeast Coast,3963.86010742,6.19353008,69236.0787928089,172665621.90168
259,4803,Beaver Brook,48,Eightmile,4,Connecticut,5343.77001953,8.34965038,103360.779239841,232774747.615055
260,2107,Great Brook,21,Southeast Eastern Complex,2,Southeast Coast,10040.0,15.6875,124078.458894258,437341202.283624
261,6919,Bladens River,69,Naugatuck,6,Housatonic,6874.43017578,10.74129962,104424.776568458,299450156.740899
262,4017,Chester Creek,40,Connecticut Main Stem,4,Connecticut,9255.28027343,14.46140003,126822.708559855,403160155.67445
263,5303,Sargent River,53,South Central Western Complex,5,South Central Coast,3655.63989257,5.71192979,72890.1436730004,159239593.468592
264,6020,Pootatuck River,60,Housatonic Main Stem,6,Housatonic,13297.09960937,20.77669906,192688.786155541,579220910.469099
265,2105,Haleys Brook,21,Southeast Eastern Complex,2,Southeast Coast,4835.41992187,7.55534982,86524.0466214542,210631009.255728
266,5105,Chatfield Hollow Brook,51,South Central Eastern Complex,5,South Central Coast,7283.10986328,11.37989997,121050.565228319,317252271.171029
267,2102,Copps Brook,21,Southeast Eastern Complex,2,Southeast Coast,4825.77978515,7.54027986,98518.9092893648,210210926.377366
268,5112,Farm River,51,South Central Eastern Complex,5,South Central Coast,16359.0,25.56100082,212201.148523022,712599455.747642
269,6602,Boggs Pond Brook,66,Still,6,Housatonic,4184.89990234,6.53890991,75564.9117758743,182294456.395142
270,2101,Anguilla Brook,21,Southeast Eastern Complex,2,Southeast Coast,7891.31982421,12.33020019,114135.63452444,343746119.636651
271,6606,Limekiln Brook,66,Still,6,Housatonic,5611.16992187,8.76745033,103753.675193144,244422377.172848
272,2203,Oil Mill Brook,22,Southeast Western Complex,2,Southeast Coast,3333.4399414,5.2084999,67050.2526639232,145204683.771961
273,2207,Fourmile River,22,Southeast Western Complex,2,Southeast Coast,4198.29003906,6.55983018,120534.22733673,182877480.523483
274,5103,Menunketesuck River,51,South Central Eastern Complex,5,South Central Coast,11128.79980468,17.38870048,174549.302808184,484769023.256245
275,5110,West River,51,South Central Eastern Complex,5,South Central Coast,11603.0,18.1296997,180476.635711418,505425676.93661
276,6019,Deep Brook,60,Housatonic Main Stem,6,Housatonic,3422.1899414,5.34715986,70036.5276747041,149070418.873296
277,2201,Jordan Brook,22,Southeast Western Complex,2,Southeast Coast,4841.37011718,7.56464004,94518.0297998192,210890246.578651
278,5108,East River,51,South Central Eastern Complex,5,South Central Coast,12830.09960937,20.04700088,156746.971973888,558878874.247853
279,2000,Southeast Shoreline,20,Southeast Shoreline,2,Southeast Coast,3929.55004882,6.13992023,128615.550572643,171171122.292138
