OBJECTID,SHAPE_Length,SHAPE_Area
641,3377.80110799467,220169.082436375
642,1757.22676608193,32209.0036181003
643,174.47126837269,802.72928952054
644,13335.7007048875,4707762.15525196
645,8660.62929519288,299059.838420464
646,4984.29128113453,152440.323028124
647,3241.51788722381,229208.425039611
648,5255.00987954602,551022.462156224
649,1975.3254136467,155369.959193842
650,7389.15708252555,226263.423951845
651,3259.16895018844,254781.664482099
652,18967.421942989,2414519.39043035
653,10706.1152088722,2598339.88009767
654,420.861263493566,9054.76713317417
655,3169.08657375774,101981.429112954
656,13442.6843413953,1590241.1694193
657,364.346736900343,3312.23112799843
658,182.174774804301,545.489215446252
659,8485.32903752194,1082980.59069666
660,13724.5327064054,1819517.53108994
661,3905.87370096845,921133.446769208
662,7519.99114053013,459082.610611201
663,14514.3957456647,592934.536057504
664,1600.73387096819,25004.6051380121
665,3099.70431895647,136566.389913397
666,3452.33447887351,78013.3618045493
667,9025.99381188437,847481.900986134
668,27551.3473124487,4232047.62911324
669,132107.546082081,82784647.0513271
670,2344.70589215355,68602.7109085135
671,1555.19483728824,52907.7432869317
672,807.357248802971,47151.589125471
673,1475.18891588459,109327.676749584
674,269.32561881287,1560.09401596811
675,999.764407360999,28032.4662328355
676,2613.35573219604,90428.3189725627
677,2270.42941723626,71195.6788308342
678,1016.59273262106,13478.7586766429
679,1251.46874634764,31939.869468932
680,4242.68829661329,223471.550002666
681,14415.9704689333,2633994.13006505
682,1600.1351534012,76154.8212073234
683,601.038083249716,27731.0614853872
684,1882.05706483215,92880.4965422835
685,2454.98548993607,189421.699601832
686,879.567126276215,24862.3753232429
687,902.246094263393,39455.778222681
688,8386.05526252317,971866.455651817
689,6113.46793830896,196801.242213846
690,4279.30984654333,650677.913678579
691,617.18355052846,7217.40982762304
692,3628.92504157282,320272.00781442
693,3214.54573777308,274934.854861754
694,935.08128541054,59395.0235117174
695,467.935137651191,4350.69685321485
696,11491.0000306791,566175.654792148
697,745.8327256612,21606.7189057925
698,1412.27144843034,65960.3427585692
699,2691.24941426508,46336.2355323475
700,1994.52740287276,67540.3005596111
701,8449.9229391614,4522684.63625959
702,8476.37679773458,257544.923904915
703,4526.70376337094,124660.987864337
704,3145.91884362224,513858.114808012
705,2737.035894594,100046.762890527
706,210.863506299549,1080.41326002302
707,727.174447239834,35488.8196739042
708,13835.1823253848,8368249.63116583
709,3244.36452631846,346062.233425223
710,1908.3741269425,83597.6358365266
711,9745.335560838,736680.870306528
712,1846.31346770686,46588.4249197611
713,95.2221701906262,92.2486611592327
714,10391.6063100336,837055.539761793
715,1063.65319942124,56414.3420649084
716,29049.7278323203,17036316.8567809
717,2026.77618330788,170326.820683468
718,66.2928485838965,130.870344465474
719,8697.69752819125,1201228.48083163
720,946.111151618828,48332.442639907
721,4000.31648182481,451568.018255993
722,3467.87565796512,180056.990425349
723,756.171014771365,22933.425368506
724,10065.7747142697,2241163.44156766
725,1735.76654886179,52394.8361894036
726,482.06502354795,10885.1686921786
727,776.302507782107,28853.6082895737
728,21308.2066417567,3997282.76141108
729,6970.02911059236,520790.134517779
730,5483.72791247068,1035717.75261742
731,24647.1039453412,5235395.90892204
732,70.7008486784344,112.694516340617
733,2998.15484102906,112785.259204487
734,35712.0768886148,3087139.54415383
735,2059.86409491033,63830.835365162
736,6660.33696525904,213117.435334263
737,3506.91148057291,107620.032405913
738,357.730919334558,1850.88287770172
739,2128.78370043957,92581.1130886698
740,2213.87147776299,83904.6495716412
741,6753.84628475238,412380.368843334
742,1632.87115157739,149406.381481515
743,25979.3367456142,1282425.97922926
744,844.816137467922,4717.7257384362
745,38817.2919955643,4412195.03154284
746,2553.55331926703,185869.280464019
747,9074.82773010271,872519.405235614
748,3222.34285946026,116552.562340083
749,3774.28292786263,243681.967330365
750,9420.39404228671,881371.130581595
751,4201.01167294314,268396.318771304
752,42405.30912678,3578138.92372837
753,844.632992203108,36121.1764181401
754,832.54595212906,39506.3364927931
755,474.307243661706,4952.14525432728
756,1138.90036745815,32997.7599823751
757,4779.11213350068,941059.820292049
758,2083.4291535682,47596.6648978845
759,289.482862913387,741.291519109551
760,4383.35818723559,514471.352055747
761,1847.72480125087,25156.3727981182
762,1606.98472723425,74284.7469214783
763,2452.28553278516,136373.84062927
764,6043.33507989461,307174.112962491
765,1060.55139627783,59446.9664249751
766,1007.01289601957,28495.2182934194
767,9010.93257291316,1111940.11408936
768,1029.25837312628,37134.7229352189
