conc,MCCCountryCode,FundCode,ProjectCode,ActivityCode,hierarchy_level,start_planned,end_planned,start_actual,end_actual,status
MAR2750BXCOMDPGM ADMIN0214,MAR,2750BXCOMD,PGM ADMIN,0214,3,9/15/2008,12/31/2012,9/15/2008,12/31/2012,5
MAR2750BXCOMDENTRPS SUP0174,MAR,2750BXCOMD,ENTRPS SUP,0174,3,9/15/2008,6/30/2012,9/15/2008,6/30/2012,5
MAR2750BXDILD,MAR,2750BXDILD,,,1,4/1/2006,4/1/2011,4/1/2006,,1
MAR2750BXCOMDPGM ADMIN0049,MAR,2750BXCOMD,PGM ADMIN,0049,3,9/15/2008,3/31/2009,9/15/2008,3/31/2009,5
MDA2750BX69GD,MDA,2750BX69GD,,,1,10/7/2009,9/1/2015,10/7/2009,,1
MDA2750BXCOMD,MDA,2750BXCOMD,,,1,9/1/2010,9/1/2015,9/1/2010,9/1/2015,4
MDA2750BXDILDAGRIPRE,MDA,2750BXDILD,AGRI,PRE,3,4/1/2009,6/30/2015,4/1/2009,6/30/2015,5
MDA2750BXCOMDNANA,MDA,2750BXCOMD,,,3,9/1/2010,3/31/2016,9/1/2010,3/31/2016,5
MDA2750BXDILDGENDERNA,MDA,2750BXDILD,GENDER,,3,10/1/2012,3/31/2015,10/1/2012,3/31/2015,5
MDA2750BX69GDNANA,MDA,2750BX69GD,,,3,7/1/2010,9/30/2020,7/1/2010,9/30/2020,5
MDA2750BX69GDPGM ADMIN0333,MDA,2750BX69GD,PGM ADMIN,0333,3,4/1/2010,9/30/2011,4/1/2010,9/30/2011,5
MDA2750BX69GDMON & EVAL0016,MDA,2750BX69GD,MON & EVAL,0016,3,4/1/2014,9/30/2014,4/1/2014,9/30/2014,5
MDA2750BXDILD,MDA,2750BXDILD,,,1,10/1/2007,10/1/2012,10/1/2007,,1
MDA2750BXDILDPGM ADMINNA,MDA,2750BXDILD,PGM ADMIN,,3,10/1/2011,3/31/2014,10/1/2011,3/31/2014,5
MDA2750BXCOMDROAD REHAB0328,MDA,2750BXCOMD,ROAD REHAB,0328,3,9/1/2010,3/31/2014,9/1/2010,3/31/2014,5
MDA2750BXCOMDPGM ADMIN0021,MDA,2750BXCOMD,PGM ADMIN,0021,3,9/1/2010,9/30/2011,9/1/2010,9/30/2011,5
MDA2750BXTHRD,MDA,2750BXTHRD,,,1,12/15/2006,2/28/2010,12/15/2006,2/28/2010,4
MDG2750BXCOMDPGM ADMIN0031,MDG,2750BXCOMD,PGM ADMIN,0031,3,7/27/2005,9/30/2012,7/27/2005,9/30/2012,5
MDG2750BXCOMDNANA,MDG,2750BXCOMD,,,3,7/27/2005,3/31/2012,7/27/2005,3/31/2012,5
MDG2750BXCOMDACCESSLAND0003,MDG,2750BXCOMD,ACCESSLAND,0003,3,7/27/2005,7/27/2010,7/27/2005,7/27/2010,5
MDG2750BXCOMDACCESSLAND0004,MDG,2750BXCOMD,ACCESSLAND,0004,3,7/27/2005,7/27/2010,7/27/2005,7/27/2010,5
MDG2750BXCOMDACCESSLAND0008,MDG,2750BXCOMD,ACCESSLAND,0008,3,7/27/2005,7/27/2010,7/27/2005,7/27/2010,5
MDG2750BXCOMDACCESSLAND0013,MDG,2750BXCOMD,ACCESSLAND,0013,3,7/27/2005,7/27/2010,7/27/2005,7/27/2010,5
MDG2750BXCOMDPGM ADMIN0006,MDG,2750BXCOMD,PGM ADMIN,0006,3,7/27/2005,7/27/2010,7/27/2005,7/27/2010,5
MDG2750BXCOMD,MDG,2750BXCOMD,,,1,7/27/2005,7/27/2010,7/27/2005,7/27/2010,5
MDG2750BXDILDENVML ASMTNA,MDG,2750BXDILD,ENVML ASMT,,3,10/1/2006,3/31/2010,10/1/2006,3/31/2010,5
MDG2750BXDILD,MDG,2750BXDILD,,,1,1/1/2005,1/1/2010,1/1/2005,,1
MDG2750BXCOMDINVEST OPS0016,MDG,2750BXCOMD,INVEST OPS,0016,3,7/27/2005,9/30/2008,7/27/2005,9/30/2008,5
MDG2750BXCOMDINVEST OPSNA,MDG,2750BXCOMD,INVEST OPS,,3,7/27/2005,6/30/2008,7/27/2005,6/30/2008,5
MDG2750BXCOMDLAND TNRE0006,MDG,2750BXCOMD,LAND TNRE,0006,3,7/27/2005,6/30/2008,7/27/2005,6/30/2008,5
MDG2750BX69GDAGR SURVEY0079,MDG,2750BX69GD,AGR SURVEY,0079,3,7/1/2005,9/30/2007,7/1/2005,9/30/2007,5
MDG2750BX69GDCOORDINATN0081,MDG,2750BX69GD,COORDINATN,0081,3,7/1/2005,9/30/2007,7/1/2005,9/30/2007,5
MDG2750BX69GDENT SURVEY0080,MDG,2750BX69GD,ENT SURVEY,0080,3,7/1/2005,9/30/2007,7/1/2005,9/30/2007,5
MDG2750BX69GDHOUSEHOLD0078,MDG,2750BX69GD,HOUSEHOLD,0078,3,7/1/2005,9/30/2007,7/1/2005,9/30/2007,5
MDG2750BX69GDOE0083,MDG,2750BX69GD,OE,0083,3,7/1/2005,9/30/2007,7/1/2005,9/30/2007,5
MDG2750BX69GDPGM MGMT0082,MDG,2750BX69GD,PGM MGMT,0082,3,7/1/2005,9/30/2007,7/1/2005,9/30/2007,5
MDG2750BX69GDMO PLANNA,MDG,2750BX69GD,MO PLAN,,3,7/1/2005,9/30/2005,7/1/2005,9/30/2005,5
MDG2750BX69GDNANA,MDG,2750BX69GD,,,3,7/1/2006,9/30/2006,7/1/2006,9/30/2006,5
MDG2750BX69GD,MDG,2750BX69GD,,,1,7/27/2005,7/27/2010,7/27/2005,,1
MLI2750BXCOMDNANA,MLI,2750BXCOMD,,,3,9/17/2007,3/31/2013,9/17/2007,3/31/2013,5
MLI2750BXCOMD,MLI,2750BXCOMD,,,1,9/17/2007,9/17/2012,9/17/2007,9/17/2012,5
MLI2750BX69GD,MLI,2750BX69GD,,,1,4/3/2006,9/17/2012,4/3/2006,,1
MLI2750BXDILD,MLI,2750BXDILD,,,1,4/1/2005,4/1/2010,4/1/2005,,1
MLI2750BXDILDAGRIPRE,MLI,2750BXDILD,AGRI,PRE,3,4/1/2009,9/30/2011,4/1/2009,9/30/2011,5
MLI2750BXCOMDPGM ADMIN0139,MLI,2750BXCOMD,PGM ADMIN,0139,3,9/17/2007,9/30/2011,9/17/2007,9/30/2011,5
MLI2750BX69GDMON & EVAL0016,MLI,2750BX69GD,MON & EVAL,0016,3,1/1/2007,6/30/2007,1/1/2007,6/30/2007,5
MLI2750BX69GDPGM ADMIN0131,MLI,2750BX69GD,PGM ADMIN,0131,3,1/1/2007,6/30/2007,1/1/2007,6/30/2007,5
MLI2750BX69GDPGM ADMIN0017,MLI,2750BX69GD,PGM ADMIN,0017,3,1/1/2007,6/30/2007,1/1/2007,6/30/2007,5
MLI2750BX69GDPGM ADMIN0021,MLI,2750BX69GD,PGM ADMIN,0021,3,1/1/2007,6/30/2007,1/1/2007,6/30/2007,5
MLI2750BXCOMDIND PARK0132,MLI,2750BXCOMD,IND PARK,0132,3,9/17/2007,12/31/2008,9/17/2007,12/31/2008,5
MLI2750BXCOMDIND PARK0090,MLI,2750BXCOMD,IND PARK,0090,3,9/17/2007,12/31/2008,9/17/2007,12/31/2008,5
MN22750BXCOMD,MN2,2750BXCOMD,,,1,3/31/2021,3/31/2026,3/31/2021,,2
MN22750BX69GD,MN2,2750BX69GD,,,1,1/1/2015,3/31/2026,1/1/2015,,1
MN22750BXDILD,MN2,2750BXDILD,,,1,4/1/2015,7/27/2023,4/1/2015,,1
MN22750BXCOMDWTR SECTOR0502,MN2,2750BXCOMD,WTR SECTOR,0502,3,7/1/2018,12/31/2020,7/1/2018,12/31/2020,5
MN22750BXDILDEDUNA,MN2,2750BXDILD,EDU,,3,7/1/2016,9/30/2017,7/1/2016,9/30/2017,5
MN22750BX69GDNANA,MN2,2750BX69GD,,,3,10/1/2018,3/31/2021,10/1/2018,3/31/2021,5
MN22750BX69GDWTR REFORM0379,MN2,2750BX69GD,WTR REFORM,0379,3,4/1/2017,9/30/2018,4/1/2017,9/30/2018,5
MN22750BX69GDWTR REFORM0483,MN2,2750BX69GD,WTR REFORM,0483,3,4/1/2017,9/30/2018,4/1/2017,9/30/2018,5
MNG2750BXCOMDPGM ADMIN0047,MNG,2750BXCOMD,PGM ADMIN,0047,3,9/17/2008,3/31/2015,9/17/2008,3/31/2015,5
MNG2750BXCOMDNANA,MNG,2750BXCOMD,,,3,9/17/2008,3/31/2014,9/17/2008,3/31/2014,5
MNG2750BXCOMDENRG ENVIR0002,MNG,2750BXCOMD,ENRG ENVIR,0002,3,9/17/2008,9/17/2013,9/17/2008,9/17/2013,5
