X,Y,OBJECTID,Id,CaseNo,Address,CaseStatus,CaseStatusDate,CaseOpenDate,Violation,ViolationType,Y_COORD,X_COORD
-111.90660552,33.3801540000001,111,{62F5CD73-C426-49DD-9F7B-12C7B776252A},CE236057,"4914 S TAYLOR DR, TEMPE, AZ, 85282",Under Investigation,2023/11/06 00:00:00+00,2023/11/06 00:00:00+00,"CC 21-3.b.4 - To permit outside of any single-family or multifamily dwelling or accessory building any camper, vehicle or parts thereof in the front or side area of the building visible from the street that is not on an improved area intended for parking",Nuisance,33.380154,-111.90660552
-111.93956482,33.3951713500001,112,{6353B545-A80C-4BE2-B524-DA522A66A0FC},CM232211,"3137 S MILL AVE, TEMPE, AZ, 85282",Under Investigation,2023/11/07 00:00:00+00,2023/11/07 00:00:00+00,"ZDC 4-902.C - An unauthorized sign is one that is illegally displayed in the city right-of-way, on city property, on private property without the property owner’s consent, or is not in compliance with the regulations of Chapter 9, Signs within this Code.",Sign,33.39517135,-111.93956482
-111.93225526,33.4554694600001,113,{3F538BFE-D096-4C81-A69B-6D2F6DBE8AA4},CE236068,"419 E PIERCE ST, TEMPE, AZ, 85281",Under Investigation,2023/11/07 00:00:00+00,2023/11/07 00:00:00+00,"CC 21-3.b.1 - Filthy, littered, debris or trash-covered exterior areas, including exterior areas under any roof not enclosed by the walls, doors or windows of any building",Nuisance,33.45546946,-111.93225526
-111.9157155,33.3615780000001,114,{8B1C7E3B-D60E-4FB6-8D09-0E52CFC162A7},CE236071,"6519 S ELM ST, TEMPE, AZ, 85283",Under Investigation,2023/11/07 00:00:00+00,2023/11/07 00:00:00+00,"Sec.29-2. - Adjacent property owners to maintain sidewalks, gutters, alleys",Zoning,33.361578,-111.9157155
-111.88667874,33.4019962900001,115,{A016CE8D-F762-4834-A03E-71273B3681E3},CE236086,"2523 S EVERGREEN RD, TEMPE, AZ, 85282",Under Investigation,2023/11/13 00:00:00+00,2023/11/08 00:00:00+00,"CC 21-3.b.1 - Filthy, littered, debris or trash-covered exterior areas, including exterior areas under any roof not enclosed by the walls, doors or windows of any building",Nuisance,33.40199629,-111.88667874
-111.9465225,33.4219195100001,116,{EF010668-C308-441F-925A-F6A5E37185A6},CM232219,"524 W UNIVERSITY DR, TEMPE, AZ, 85281",Under Investigation,2023/11/08 00:00:00+00,2023/11/08 00:00:00+00,ZDC 1-201.A. - Site &/or building changes made without City approval,Zoning,33.42191951,-111.9465225
-111.898989,33.3791820000001,117,{39C85B76-3F41-4012-AFDB-22B2001C4CF9},CE236104,"5106 S FAIRFIELD DR, TEMPE, AZ, 85282",Under Investigation,2023/11/08 00:00:00+00,2023/11/08 00:00:00+00,CC 21-3.b.3 - An inoperable vehicle or parts thereof outside of or under a roof area not enclosed,Nuisance,33.379182,-111.898989
-111.898989,33.3791820000001,118,{5C89E661-1589-428E-8B34-7107C7D366C7},CE236104,"5106 S FAIRFIELD DR, TEMPE, AZ, 85282",Under Investigation,2023/11/08 00:00:00+00,2023/11/08 00:00:00+00,"CC 21-38.h - Every rental housing unit shall have landscaping in all yard areas which are visible from a public street, alley, or sidewalk or a neighboring property",Rental Housing,33.379182,-111.898989
-111.96542724,33.39534704,119,{F86BFC7D-57E7-440B-8C2A-C4C00FA3174C},CE236106,"1624 W GENEVA DR, TEMPE, AZ, 85282",Under Investigation,2023/11/08 00:00:00+00,2023/11/08 00:00:00+00,"CC 21-3.b.4 - To permit outside of any single-family or multifamily dwelling or accessory building any camper, vehicle or parts thereof in the front or side area of the building visible from the street that is not on an improved area intended for parking",Nuisance,33.39534704,-111.96542724
-111.927969,33.34189052,120,{5E10BFF1-AA94-4E23-8227-8EAA763834A0},CE236107,"911 E CARVER RD, TEMPE, AZ, 85284",Under Investigation,2023/11/13 00:00:00+00,2023/11/08 00:00:00+00,"CC 21-3.b.1 - Filthy, littered, debris or trash-covered exterior areas, including exterior areas under any roof not enclosed by the walls, doors or windows of any building",Nuisance,33.34189052,-111.927969
-111.8984445,33.3793944700001,121,{09204AB5-2B51-4E10-93B5-E4E1FB619765},CE236108,"2054 E DONNER DR, TEMPE, AZ, 85282",Under Investigation,2023/11/08 00:00:00+00,2023/11/08 00:00:00+00,"CC 21-38.h - Every rental housing unit shall have landscaping in all yard areas which are visible from a public street, alley, or sidewalk or a neighboring property",Rental Housing,33.37939447,-111.8984445
-111.8984445,33.3793944700001,122,{F9D32BD6-7F7E-4CE1-BEC9-5F62818D7328},CE236108,"2054 E DONNER DR, TEMPE, AZ, 85282",Under Investigation,2023/11/08 00:00:00+00,2023/11/08 00:00:00+00,"CC 21-4.a.2.b - Deteriorated exterior painted surfaces with loose, cracked, scaling, chipping, or peeling paint, visible from a public area, in such amounts as to present a deteriorated appearance",Nuisance,33.37939447,-111.8984445
