X,Y,OBJECTID,SBAS_NO,SUBREGION,RBAS_NO,REGIONAL,MBAS_NO,MAJOR,IN_CT,DIRECTION_ANGLE
1178428.15499431,743755.55741547,290,3001,Trading Cove Brook,30,Thames Main Stem,3,Thames,Yes,130
1176032.32153139,727514.237864062,291,3005,Stony Brook,30,Thames Main Stem,3,Thames,Yes,160
1175693.77988563,721923.960330725,292,3004,Oxoboxo Brook,30,Thames Main Stem,3,Thames,Yes,110
1174365.65458913,708703.473976478,293,3006,Hunts Brook,30,Thames Main Stem,3,Thames,Yes,125
1246599.25848122,712301.444142729,294,1004,Shunock River,10,Pawcatuck Main Stem,1,Pawcatuck,Yes,135
1260809.32815814,715773.666200891,295,1003,Ashaway River,10,Pawcatuck Main Stem,1,Pawcatuck,Yes,180
1253786.75854188,729037.555355474,296,1001,Wyassup Brook,10,Pawcatuck Main Stem,1,Pawcatuck,Yes,120
1261008.98064597,726120.888616636,297,1002,Green Fall River,10,Pawcatuck Main Stem,1,Pawcatuck,Yes,160
1196055.79460771,688336.758148313,298,2107,Great Brook,21,Southeast Eastern Complex,2,Southeast Coast,Yes,185
1214015.86465864,704048.563666895,299,2105,Haleys Brook,21,Southeast Eastern Complex,2,Southeast Coast,Yes,90
1217010.65591314,717755.160925567,300,2103,Williams Brook,21,Southeast Eastern Complex,2,Southeast Coast,Yes,155
1216936.21544522,705215.359561637,301,2104,Whitford Brook,21,Southeast Eastern Complex,2,Southeast Coast,Yes,200
1223564.66281822,691267.351040393,302,2102,Copps Brook,21,Southeast Eastern Complex,2,Southeast Coast,Yes,185
1237653.01685931,692364.535853893,303,2101,Anguilla Brook,21,Southeast Eastern Complex,2,Southeast Coast,Yes,180
1149788.43373056,696322.869144559,304,2202,Latimer Brook,22,Southeast Western Complex,2,Southeast Coast,Yes,110
1153442.94774698,699404.466655895,305,2203,Oil Mill Brook,22,Southeast Western Complex,2,Southeast Coast,Yes,180
1166133.91941223,685411.410652563,306,2201,Jordan Brook,22,Southeast Western Complex,2,Southeast Coast,Yes,185
1136390.02745655,675270.794122815,307,2207,Fourmile River,22,Southeast Western Complex,2,Southeast Coast,Yes,175
1140552.32293773,671991.272138566,308,2206,Bride Brook,22,Southeast Western Complex,2,Southeast Coast,Yes,175
1146871.7673198,677130.161138982,309,2205,Pattagansett River,22,Southeast Western Complex,2,Southeast Coast,Yes,190
1155482.87837839,688796.827438146,310,2204,Niantic River,22,Southeast Western Complex,2,Southeast Coast,Yes,180
785274.544977635,744421.827408388,311,8101,Quaker Brook,81,Croton,8,Hudson,No,180
780066.211562306,726227.383154303,312,8102,Corner Pond Brook,81,Croton,8,Hudson,No,260
767782.274187967,680754.815306976,313,8104,Titicus River,81,Croton,8,Hudson,No,300
772938.524374142,668098.565357059,314,8105,Waccabuc River,81,Croton,8,Hudson,No,225
