OBJECTID,PL_LNGTH,PL_TOWNSHIP,PL_RANGE,PL_SECTION,PL_QUARTER,PL_SIXTEENTH,PL_GOVTLOT,PL_FEA_SYM,SHAPE_Length
9926,692.03506,0.0,0.0,1.0,1.0,1.0,1.0,SC,692.035064082225
9927,162.88887,0.0,0.0,0.0,0.0,0.0,1.0,GL,162.888868813566
9929,1317.28356,0.0,0.0,0.0,0.0,1.0,1.0,SX,1317.28356184745
9931,647.90866,0.0,0.0,0.0,0.0,0.0,1.0,GL,647.908657715376
9933,77.56434,0.0,0.0,0.0,0.0,0.0,1.0,GL,77.5643368766694
10069,1328.9395,0.0,0.0,0.0,0.0,1.0,1.0,SX,1328.93949649818
10070,689.37796,0.0,0.0,0.0,1.0,1.0,0.0,QS,689.377955392924
10072,205.19134,0.0,0.0,0.0,0.0,0.0,1.0,GL,205.191337168961
10073,318.27503,0.0,0.0,0.0,0.0,0.0,1.0,GL,318.275031324666
10077,43.04168,0.0,0.0,0.0,0.0,0.0,1.0,GL,43.0416765257302
10080,157.63659,0.0,0.0,0.0,0.0,0.0,1.0,GL,157.636589668686
10108,1325.68669,0.0,0.0,1.0,1.0,1.0,1.0,SC,1325.68669008844
10114,667.66994,0.0,0.0,0.0,0.0,0.0,1.0,GL,667.669941851793
10117,384.65667,0.0,0.0,0.0,0.0,0.0,1.0,GL,384.656674270106
10137,629.84817,0.0,0.0,1.0,1.0,1.0,0.0,SC,629.848171117894
10139,183.28543,0.0,0.0,0.0,0.0,0.0,1.0,GL,183.285426769174
10151,1323.4137,0.0,0.0,0.0,0.0,1.0,1.0,SX,1323.41369923421
10156,472.82457,0.0,0.0,0.0,0.0,1.0,1.0,SX,472.824573775545
10158,668.93101,0.0,0.0,0.0,0.0,0.0,1.0,GL,668.931007965201
10161,1338.27711,0.0,0.0,0.0,0.0,1.0,1.0,SX,1338.27710780052
10173,133.78483,0.0,0.0,0.0,0.0,0.0,1.0,GL,133.784826414391
10174,334.46317,0.0,0.0,0.0,0.0,0.0,1.0,GL,334.463169203185
10175,200.6778,0.0,0.0,0.0,0.0,0.0,1.0,GL,200.677798177252
10176,133.78464,0.0,0.0,0.0,0.0,0.0,1.0,GL,133.784643300144
10242,494.79033,0.0,0.0,0.0,0.0,0.0,1.0,GL,494.790334125995
10243,329.46612,0.0,0.0,0.0,0.0,0.0,1.0,GL,329.466117309018
10251,296.09095,0.0,0.0,0.0,0.0,0.0,1.0,GL,296.090954959294
10252,594.51975,0.0,0.0,0.0,0.0,0.0,1.0,GL,594.519748493761
10258,18.54693,0.0,0.0,1.0,1.0,1.0,1.0,SC,18.5469320421574
10259,1332.32839,0.0,0.0,1.0,1.0,1.0,1.0,SC,1332.32838915185
10261,2600.01389,0.0,0.0,0.0,1.0,1.0,0.0,QS,2600.01389497741
10264,1325.95824,0.0,0.0,1.0,1.0,1.0,1.0,SC,1325.95824416281
10265,2134.9061,0.0,0.0,0.0,1.0,1.0,0.0,QS,2134.90610346261
10268,192.19897,0.0,0.0,0.0,0.0,0.0,1.0,GL,192.198965564794
10269,1057.30184,0.0,0.0,0.0,0.0,1.0,1.0,SX,1057.30184168812
10272,301.48424,0.0,0.0,0.0,0.0,0.0,1.0,GL,301.484238216359
10273,1184.2287,0.0,0.0,0.0,0.0,1.0,1.0,SX,1184.22869825557
10275,432.62539,0.0,0.0,0.0,0.0,0.0,1.0,GL,432.625394856209
10298,2647.0074,0.0,0.0,0.0,1.0,1.0,0.0,QS,2647.00739968112
10309,1327.7776,0.0,0.0,1.0,1.0,1.0,0.0,SC,1327.77759602175
10310,1322.48984,0.0,0.0,1.0,1.0,1.0,1.0,SC,1322.48983566606
10317,1316.76223,0.0,0.0,0.0,0.0,1.0,1.0,SX,1316.76222822068
10568,630.47438,0.0,0.0,0.0,0.0,0.0,1.0,GL,630.47438265898
