EVENT_ID,MENU_HINT,EVENT_NAME,EVENT_DT,SELECTION_ID,SELECTION_NAME,WIN_LOSE,BSP,PPWAP,MORNINGWAP,PPMAX,PPMIN,IPMAX,IPMIN,MORNINGTRADEDVOL,PPTRADEDVOL,IPTRADEDVOL
109688301,RSA / Scots (RSA) 5th Jun,R3 1200m Plt,05-06-2013 11:40,6814236,One Step Beyond,0,1000.0,1,,1,1001,1,1001,7.1,0,0
109688313,RSA / Scots (RSA) 5th Jun,R9 1000m Hcap,05-06-2013 14:50,6140808,Swell Party,1,4.8,1,1.0,1,1001,1,1001,0.0,0,0
109688305,RSA / Scots (RSA) 5th Jun,R5 1600m Plt,05-06-2013 12:50,7064498,Jan Of Balvenie,0,93.98709090854972,1,1.0,1,1001,1,1001,0.0,0,0
109688305,RSA / Scots (RSA) 5th Jun,R5 1600m Plt,05-06-2013 12:50,5930377,Miss Hilton,0,53.77070694864728,1,1.0,1,1001,1,1001,0.0,0,0
109688305,RSA / Scots (RSA) 5th Jun,R5 1600m Plt,05-06-2013 12:50,7171231,Chase The Cherry,0,41.247003749,1,1.0,1,1001,1,1001,0.0,0,0
109688309,RSA / Scots (RSA) 5th Jun,R7 1500m Hcap,05-06-2013 13:50,6424017,Argyle Bay,0,14.933904170436069,1,1.0,1,1001,1,1001,0.0,0,0
109688309,RSA / Scots (RSA) 5th Jun,R7 1500m Hcap,05-06-2013 13:50,6687255,Ganesh,0,21.645800478781723,1,1.0,1,1001,1,1001,0.0,0,0
109688311,RSA / Scots (RSA) 5th Jun,R8 1200m Hcap,05-06-2013 14:20,5434015,Kings Gold,0,38.0,1,1.0,1,1001,1,1001,0.0,0,0
109688303,RSA / Scots (RSA) 5th Jun,R4 1600m Plt,05-06-2013 12:15,6620387,Hail The Duchess,0,15.5,1,17.726985450228177,1,1001,1,1001,32.6,0,0
109688303,RSA / Scots (RSA) 5th Jun,R4 1600m Plt,05-06-2013 12:15,6964265,Rosie Hills,0,9.805846941,1,9.983403830080837,1,1001,1,1001,28.46,0,0
109688299,RSA / Scots (RSA) 5th Jun,R2 1200m Plt,05-06-2013 11:05,38249,Sundari,0,23.88921015044209,1,20.147424603585865,1,1001,1,1001,192.98,0,0
109688299,RSA / Scots (RSA) 5th Jun,R2 1200m Plt,05-06-2013 11:05,7322777,Typhoeus,0,23.003885541271483,1,9.68830689782368,1,1001,1,1001,54.22,0,0
109688315,RSA / Scots (RSA) 5th Jun,R10 1000m Plt,05-06-2013 15:25,7322781,Zazcas Magic,0,24.0,1,1.0,1,1001,1,1001,0.0,0,0
109688315,RSA / Scots (RSA) 5th Jun,R10 1000m Plt,05-06-2013 15:25,6464874,Lady Megz,0,38.594583833,1,1.0,1,1001,1,1001,0.0,0,0
109688301,RSA / Scots (RSA) 5th Jun,R3 1200m Plt,05-06-2013 11:40,5910167,Winning Edge,0,26.87013707218691,1,16.275073028237586,1,1001,1,1001,205.4,0,0
