OBJECTID,Class,GIS_acres,MODIFY_DAT,COMMENTS,DATASOURCE,ADMU_NAME,PARENT_NAM,GlobalID,SHAPE_Length,SHAPE_Area
1,K,2.37117569,2012/02/01 00:00:00+00, , ,Upper Snake Field Office,Idaho Falls District Office,{21E16C95-7929-4983-BAC6-41B9A4F02FEC},3651.63171153362,9595.8459711901
2,K,20.73907411,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{8B440F4A-E06B-44BA-9686-EC7F31DC198A},3125.51425985217,83928.3909682439
3,K,1.54700325,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{20C2C5C9-6F12-4BF3-8588-DF35179CBE87},1532.97263461608,6260.52509053041
4,K,1973.48653055,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{526B4D35-2796-4DB6-AD0C-3B0E654A2C41},13036.37816643,7986448.5864238
5,K,37.74574729,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{98C4ADFE-CA14-4E3E-8737-4A1F277C99A9},6625.34497360308,152752.230827285
6,K,4.31278529,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{6EA1E56D-CA54-4C4B-9655-B45E86B0146E},726.684934140269,17453.2926573568
7,K,234.13239389,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{4F619B23-AD35-4460-8FFF-4376A6FB4BEB},6853.66286908858,947503.971899837
8,K,2533.49795148,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{11CB2718-4943-40CC-92A7-B09D4992AB47},14474.2138712831,10252743.4670215
9,K,4.85192399,2012/02/01 00:00:00+00,Key Habitat added from Salmon/Challis area LWG,Salmon/Challis LWG data,Upper Snake Field Office,Idaho Falls District Office,{E5A8BAA7-8B8B-4C4D-8986-DC7B0DC22F0B},1314.69076313554,19635.1183054865
10,K,64.41142104,, , ,Burley Field Office,Twin Falls District Office,{D4027254-110B-401E-B195-D754C616141A},3181.79633640989,260664.815573534
11,K,500.68387856,, , ,Burley Field Office,Twin Falls District Office,{6E188E21-DFEC-4A9A-B556-FA65F2AA02C0},8502.58900153013,2026203.87436714
12,K,27.46270348,, , ,Burley Field Office,Twin Falls District Office,{EFCEE7B8-3B2B-499E-8572-61C594C08563},2387.47410948115,111138.062496985
13,K,10.46623015,, , ,Burley Field Office,Twin Falls District Office,{4CBA48EC-4BB7-44D9-B143-51F35D0C4A14},1249.80535603878,42355.5001073879
14,K,154.54323337,, , ,Burley Field Office,Twin Falls District Office,{0F4A412E-4106-496C-9040-F142D9617893},3265.4623658285,625416.778180463
15,K,95.51809376,, , ,Burley Field Office,Twin Falls District Office,{9E795822-5A65-4F18-88B6-ECE1DBB2497F},6622.91396427405,386549.557369266
16,K,9.98783282,, , ,Burley Field Office,Twin Falls District Office,{C4DA2707-3EF6-49F1-AAE7-800B299F350F},1336.69982801788,40419.487079473
17,K,68.37062126,, , ,Pocatello Field Office,Idaho Falls District Office,{E6A78F95-7E72-44CA-9A01-E8BF139B66E8},2861.11396924935,276687.194505718
18,K,19.16974006,, , ,Pocatello Field Office,Idaho Falls District Office,{37955509-EAAB-4D52-BAB6-80DF72199557},1443.2786722328,77577.4959737396
19,K,5.13043716,, , ,Pocatello Field Office,Idaho Falls District Office,{F4606907-815A-41E8-B937-E8A956EBFE94},6005.72199177837,20762.2256200538
20,K,26.92246215,, , ,Pocatello Field Office,Idaho Falls District Office,{3D88C5A1-7410-4F6D-8291-BCF91CB06BA5},3712.51798064786,108951.774657089
