OBJECTID,TBPOLY_COD,TOWN_POLY,AV_LEGEND,COASTP_COD,COAST_POLY,ACREAGE,AREA_SQMI,SHAPE_Length,SHAPE_Area
53,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.07800109,0.00012187,241.843674403502,-3397.71140343944
54,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,2.4809699,0.00387652,2022.59792937995,-108071.127877708
55,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.123051,0.00019226,307.615640407976,-5360.11395590786
56,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.102729,0.00016051,285.268415795605,-4474.89260448675
57,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.34836098,0.00054431,518.023139916663,-15174.6193695989
58,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.0555344,8.677e-05,205.43488601107,-2419.1018826569
59,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.11705199,0.00018289,317.013943979483,-5098.75566687599
60,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.119974,0.00018745,335.292846052498,-5226.02525282117
61,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.18750199,0.00029297,332.42205735103,-8167.57103468724
62,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.84867799,0.00132606,768.703647725159,-36968.4457225845
63,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.12442799,0.00019442,297.984820915132,-5420.10682524676
64,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,1.09773004,0.00171521,1056.01140045468,-47817.2106647345
65,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,43.45339965,0.067896,10339.408723737,-1892831.66613994
66,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.308003,0.00048125,455.717211498835,-13416.5600050997
67,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.307022,0.00047972,496.209794174938,-13373.87487936
68,100,Connecticut Town,Connecticut,2,Coastal Island Polygons,0.270673,0.00042292,459.491502580407,-11790.4905777033
