OBJECTID,SYMBOL,ZONING_COD,ZONING_NAM,ZONING_TYP,SHAPE_Leng,Shape_Length,Shape_Area
52,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,533.273487092,533.273679221021,14930.9972315656
53,0,M2,INDUSTRIAL,INDUSTRIAL,659.740638794,659.740986425238,26143.7193928872
54,0,R7,RES MULTI-FAMILY,RESIDENTIAL,879.70336342,879.703257034594,44609.2601600585
55,0,R5,RES SINGLE FAMILY,RESIDENTIAL,417.03769543,417.037518712974,5340.82185943805
56,0,R5,RES SINGLE FAMILY,RESIDENTIAL,1051.16562911,1051.16602957568,67733.1494469186
57,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,554.643605213,554.643391783112,16870.8737418988
58,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,635.6390654,635.639112920575,21593.6643511946
59,0,OR1,OFFICE/RES,OFFICE,509.706717626,509.707023275841,12354.2066897066
60,0,R7,RES MULTI-FAMILY,RESIDENTIAL,1167.09185927,1167.092292779,62654.2629495743
61,0,(OR1),OFFICE/RES OVERLAY,OFFICE,651.419341711,651.419158961374,13538.852745563
62,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1138.69066319,1138.69100035701,60810.647758374
63,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,667.713314415,667.713310423118,27624.9085564863
64,0,M2,INDUSTRIAL,INDUSTRIAL,423.997006691,423.997213962983,4592.20059423906
65,0,OR2,OFFICE/RES,OFFICE,564.124769008,564.124212157511,15377.6250486079
66,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,448.433436168,448.433723266215,9471.53746274344
67,0,R7,RES MULTI-FAMILY,RESIDENTIAL,1624.39606177,1624.39627439669,162536.497163207
68,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1392.2845154,1392.28461332869,114544.345274873
69,0,R7,RES MULTI-FAMILY,RESIDENTIAL,532.373237338,532.373234056895,14792.2839691167
70,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,445.147680181,445.147897068139,9142.29701492827
71,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1463.40625321,1463.40602632639,92882.3374542682
72,0,R7,RES MULTI-FAMILY,RESIDENTIAL,602.577171875,602.576946338619,15818.9949712451
73,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,634.568844325,634.568510171538,7563.63669357659
74,0,OR1,OFFICE/RES,OFFICE,479.663421958,479.663158488084,11117.3206767041
75,0,M3,INDUSTRIAL,INDUSTRIAL,1451.11101776,1451.11115447342,117882.359842922
76,0,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,459.539473549,459.539385560544,11716.0802015387
77,0,R7,RES MULTI-FAMILY,RESIDENTIAL,355.751734159,355.751512809457,6055.82774391653
78,0,R5B,RES TWO-FAMILY,RESIDENTIAL,1738.57062913,1738.57143255155,161897.328531607
