OBJECTID_1,GEOID,NAME,B16003_001E,B16003_002E,B16003_003E,B16003_004E,B16003_005E,B16003_006E,B16003_007E,B16003_008E,B16003_009E,B16003_010E,B16003_011E,B16003_012E,ACS_VINTAGE,JURISDICTION,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,TRACT_LABEL
52,53033004202,"Census Tract 42.02, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,7.3,7.0,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",42.02
53,53033004301,"Census Tract 43.01, King County, Washington",38,0,0,0,0,0,0,38,21,0,17,0,5Y20,Seattle,7.3,7.0,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",43.01
54,53033004302,"Census Tract 43.02, King County, Washington",246,12,0,0,0,12,0,234,24,0,210,0,5Y20,Seattle,7.3,7.0,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",43.02
55,53033004401,"Census Tract 44.01, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,7.2,7.0,University District,"University District, Cowen Park, Ravenna",44.01
56,53033004402,"Census Tract 44.02, King County, Washington",47,0,0,0,0,0,0,47,0,0,47,0,5Y20,Seattle,7.2,7.0,University District,"University District, Cowen Park, Ravenna",44.02
57,53033004500,"Census Tract 45, King County, Washington",20,0,0,0,0,0,0,20,0,0,20,0,5Y20,Seattle,11.2,11.0,Wallingford,"Wallingford, Meridian, Northlake, University District",45.0
58,53033004600,"Census Tract 46, King County, Washington",19,0,0,0,0,0,0,19,0,0,19,0,5Y20,Seattle,9.4,9.0,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",46.0
59,53033004701,"Census Tract 47.01, King County, Washington",71,0,0,0,0,0,0,71,0,0,71,0,5Y20,Seattle,10.4,10.0,Ballard,"Ballard, West Woodland, Adams",47.01
60,53033004702,"Census Tract 47.02, King County, Washington",203,0,0,0,0,0,0,203,0,32,171,0,5Y20,Seattle,10.4,10.0,Ballard,"Ballard, West Woodland, Adams",47.02
61,53033004703,"Census Tract 47.03, King County, Washington",127,0,0,0,0,0,0,127,0,25,102,0,5Y20,Seattle,10.4,10.0,Ballard,"Ballard, West Woodland, Adams",47.03
62,53033004800,"Census Tract 48, King County, Washington",37,18,0,0,18,0,0,19,0,19,0,0,5Y20,Seattle,11.1,11.0,Fremont,"Fremont, Wallingford, Northlake",48.0
63,53033004901,"Census Tract 49.01, King County, Washington",22,0,0,0,0,0,0,22,0,0,22,0,5Y20,Seattle,11.1,11.0,Fremont,"Fremont, Wallingford, Northlake",49.01
64,53033004902,"Census Tract 49.02, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,11.1,11.0,Fremont,"Fremont, Wallingford, Northlake",49.02
65,53033005000,"Census Tract 50, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,11.2,11.0,Wallingford,"Wallingford, Meridian, Northlake, University District",50.0
66,53033005100,"Census Tract 51, King County, Washington",6,0,0,0,0,0,0,6,0,6,0,0,5Y20,Seattle,11.2,11.0,Wallingford,"Wallingford, Meridian, Northlake, University District",51.0
67,53033005201,"Census Tract 52.01, King County, Washington",224,19,0,0,0,19,0,205,0,68,137,0,5Y20,Seattle,11.2,11.0,Wallingford,"Wallingford, Meridian, Northlake, University District",52.01
68,53033005202,"Census Tract 52.02, King County, Washington",154,0,0,0,0,0,0,154,0,0,154,0,5Y20,Seattle,11.2,11.0,Wallingford,"Wallingford, Meridian, Northlake, University District",52.02
69,53033005303,"Census Tract 53.03, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,7.2,7.0,University District,"University District, Cowen Park, Ravenna",53.03
70,53033005304,"Census Tract 53.04, King County, Washington",30,0,0,0,0,0,0,30,0,0,30,0,5Y20,Seattle,7.2,7.0,University District,"University District, Cowen Park, Ravenna",53.04
71,53033005305,"Census Tract 53.05, King County, Washington",290,0,0,0,0,0,0,290,0,0,290,0,5Y20,Seattle,7.2,7.0,University District,"University District, Cowen Park, Ravenna",53.05
72,53033005306,"Census Tract 53.06, King County, Washington",711,27,0,0,0,27,0,684,0,102,582,0,5Y20,Seattle,7.2,7.0,University District,"University District, Cowen Park, Ravenna",53.06
73,53033005307,"Census Tract 53.07, King County, Washington",46,9,0,0,0,9,0,37,0,0,37,0,5Y20,Seattle,7.2,7.0,University District,"University District, Cowen Park, Ravenna",53.07
74,53033005401,"Census Tract 54.01, King County, Washington",106,0,0,0,0,0,0,106,0,0,106,0,5Y20,Seattle,11.1,11.0,Fremont,"Fremont, Wallingford, Northlake",54.01
75,53033005402,"Census Tract 54.02, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,11.1,11.0,Fremont,"Fremont, Wallingford, Northlake",54.02
76,53033005600,"Census Tract 56, King County, Washington",37,0,0,0,0,0,0,37,18,0,19,0,5Y20,Seattle,12.1,12.0,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",56.0
77,53033005700,"Census Tract 57, King County, Washington",77,0,0,0,0,0,0,77,0,14,16,47,5Y20,Seattle,12.1,12.0,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",57.0
78,53033005801,"Census Tract 58.01, King County, Washington",57,13,0,0,0,13,0,44,0,0,44,0,5Y20,Seattle,12.2,12.0,Interbay,Interbay,58.01
79,53033005803,"Census Tract 58.03, King County, Washington",21,0,0,0,0,0,0,21,0,0,21,0,5Y20,Seattle,12.2,12.0,Interbay,Interbay,58.03
80,53033005804,"Census Tract 58.04, King County, Washington",189,0,0,0,0,0,0,189,0,0,189,0,5Y20,Seattle,12.2,12.0,Interbay,Interbay,58.04
81,53033005901,"Census Tract 59.01, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",59.01
82,53033005902,"Census Tract 59.02, King County, Washington",27,0,0,0,0,0,0,27,0,0,27,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",59.02
83,53033006000,"Census Tract 60, King County, Washington",108,55,0,0,0,0,55,53,0,0,27,26,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",60.0
84,53033006100,"Census Tract 61, King County, Washington",147,0,0,0,0,0,0,147,0,0,147,0,5Y20,Seattle,7.1,7.0,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",61.0
85,53033006200,"Census Tract 62, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,7.1,7.0,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",62.0
86,53033006300,"Census Tract 63, King County, Washington",15,0,0,0,0,0,0,15,0,15,0,0,5Y20,Seattle,6.5,6.0,Madison Park,"Madison Park, Broadmoor, Washington Park, Harrison/Denny-Blaine",63.0
87,53033006400,"Census Tract 64, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,6.4,6.0,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens",64.0
88,53033006500,"Census Tract 65, King County, Washington",25,0,0,0,0,0,0,25,0,0,25,0,5Y20,Seattle,6.3,6.0,North Capitol Hill,"North Capitol Hill, Capitol Hill, North Broadway",65.0
89,53033006600,"Census Tract 66, King County, Washington",31,0,0,0,0,0,0,31,0,0,13,18,5Y20,Seattle,11.3,11.0,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",66.0
90,53033006701,"Census Tract 67.01, King County, Washington",115,0,0,0,0,0,0,115,0,97,18,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",67.01
91,53033006702,"Census Tract 67.02, King County, Washington",102,0,0,0,0,0,0,102,0,76,26,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",67.02
92,53033006703,"Census Tract 67.03, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",67.03
93,53033006800,"Census Tract 68, King County, Washington",8,0,0,0,0,0,0,8,0,0,8,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",68.0
94,53033006900,"Census Tract 69, King County, Washington",35,0,0,0,0,0,0,35,0,35,0,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",69.0
95,53033007001,"Census Tract 70.01, King County, Washington",68,0,0,0,0,0,0,68,0,34,34,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",70.01
96,53033007002,"Census Tract 70.02, King County, Washington",43,0,0,0,0,0,0,43,22,0,0,21,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",70.02
97,53033007101,"Census Tract 71.01, King County, Washington",18,0,0,0,0,0,0,18,0,0,18,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",71.01
98,53033007102,"Census Tract 71.02, King County, Washington",129,0,0,0,0,0,0,129,110,0,19,0,5Y20,Seattle,12.3,12.0,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",71.02
99,53033007201,"Census Tract 72.01, King County, Washington",488,0,0,0,0,0,0,488,0,138,350,0,5Y20,Seattle,11.3,11.0,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",72.01
100,53033007202,"Census Tract 72.02, King County, Washington",170,0,0,0,0,0,0,170,0,0,170,0,5Y20,Seattle,11.3,11.0,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",72.02
101,53033007203,"Census Tract 72.03, King County, Washington",34,0,0,0,0,0,0,34,0,0,34,0,5Y20,Seattle,11.3,11.0,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",72.03
102,53033007301,"Census Tract 73.01, King County, Washington",201,0,0,0,0,0,0,201,0,35,166,0,5Y20,Seattle,11.3,11.0,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",73.01
103,53033007302,"Census Tract 73.02, King County, Washington",51,0,0,0,0,0,0,51,0,0,51,0,5Y20,Seattle,11.3,11.0,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",73.02
104,53033007303,"Census Tract 73.03, King County, Washington",29,0,0,0,0,0,0,29,0,29,0,0,5Y20,Seattle,11.3,11.0,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",73.03
105,53033007403,"Census Tract 74.03, King County, Washington",101,0,0,0,0,0,0,101,0,0,101,0,5Y20,Seattle,6.2,6.0,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",74.03
106,53033007404,"Census Tract 74.04, King County, Washington",20,0,0,0,0,0,0,20,0,20,0,0,5Y20,Seattle,6.2,6.0,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",74.04
107,53033007405,"Census Tract 74.05, King County, Washington",181,0,0,0,0,0,0,181,0,0,181,0,5Y20,Seattle,6.2,6.0,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",74.05
108,53033007406,"Census Tract 74.06, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,6.2,6.0,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",74.06
109,53033007501,"Census Tract 75.01, King County, Washington",55,0,0,0,0,0,0,55,0,0,55,0,5Y20,Seattle,6.2,6.0,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",75.01
110,53033007502,"Census Tract 75.02, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,6.2,6.0,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",75.02
111,53033007503,"Census Tract 75.03, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,6.2,6.0,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",75.03
112,53033007600,"Census Tract 76, King County, Washington",269,0,0,0,0,0,0,269,218,51,0,0,5Y20,Seattle,6.4,6.0,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens",76.0
113,53033007700,"Census Tract 77, King County, Washington",27,0,0,0,0,0,0,27,27,0,0,0,5Y20,Seattle,5.3,5.0,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",77.0
114,53033007800,"Census Tract 78, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,5.1,5.0,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",78.0
115,53033007901,"Census Tract 79.01, King County, Washington",42,0,0,0,0,0,0,42,26,0,16,0,5Y20,Seattle,5.3,5.0,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",79.01
116,53033007902,"Census Tract 79.02, King County, Washington",94,55,55,0,0,0,0,39,0,0,0,39,5Y20,Seattle,5.3,5.0,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",79.02
117,53033008002,"Census Tract 80.02, King County, Washington",180,0,0,0,0,0,0,180,18,21,125,16,5Y20,Seattle,13.1,13.0,Belltown,"Belltown, Denny Regrade",80.02
118,53033008003,"Census Tract 80.03, King County, Washington",142,0,0,0,0,0,0,142,0,104,38,0,5Y20,Seattle,13.1,13.0,Belltown,"Belltown, Denny Regrade",80.03
119,53033008004,"Census Tract 80.04, King County, Washington",22,0,0,0,0,0,0,22,0,22,0,0,5Y20,Seattle,13.1,13.0,Belltown,"Belltown, Denny Regrade",80.04
120,53033008101,"Census Tract 81.01, King County, Washington",194,0,0,0,0,0,0,194,24,20,150,0,5Y20,Seattle,13.2,13.0,Downtown Commercial Core,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",81.01
121,53033008102,"Census Tract 81.02, King County, Washington",66,0,0,0,0,0,0,66,0,0,30,36,5Y20,Seattle,13.2,13.0,Downtown Commercial Core,"Downtown Commercial Core, West Edge, Central Business District, Pike Place Market, Pioneer Square",81.02
122,53033008200,"Census Tract 82, King County, Washington",173,0,0,0,0,0,0,173,15,0,158,0,5Y20,Seattle,6.1,6.0,First Hill,"First Hill, Yesler Terrace, Squire Park",82.0
123,53033008300,"Census Tract 83, King County, Washington",347,0,0,0,0,0,0,347,81,101,165,0,5Y20,Seattle,6.1,6.0,First Hill,"First Hill, Yesler Terrace, Squire Park",83.0
124,53033008401,"Census Tract 84.01, King County, Washington",258,19,19,0,0,0,0,239,102,64,36,37,5Y20,Seattle,6.2,6.0,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",84.01
125,53033008402,"Census Tract 84.02, King County, Washington",0,0,0,0,0,0,0,0,0,0,0,0,5Y20,Seattle,6.2,6.0,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",84.02
126,53033008500,"Census Tract 85, King County, Washington",202,25,0,0,0,25,0,177,28,8,125,16,5Y20,Seattle,6.1,6.0,First Hill,"First Hill, Yesler Terrace, Squire Park",85.0
127,53033008600,"Census Tract 86, King County, Washington",220,16,0,0,0,16,0,204,18,0,17,169,5Y20,Seattle,6.1,6.0,First Hill,"First Hill, Yesler Terrace, Squire Park",86.0
128,53033008700,"Census Tract 87, King County, Washington",36,0,0,0,0,0,0,36,15,0,0,21,5Y20,Seattle,5.3,5.0,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",87.0
