OBJECTID,SegKey,InstallationDate,DataConfidence,DateLastMaintained,DateLastEdit,Ownership,MaintainedBy,MaintenanceResponsibility,ProjectORVPN,Comments,UseDesignation,Type,Material,Area,Blocktype,autocad_entity,autocad_block_number,F_area,SHAPE_Length
12969,,,,,,,,,,,,,,,,autocad_line,31751,,7.37088355194115
12970,,,,,,,,,,,,,,,,,20130,,26.9578283239928
12971,,,,,,,,,,,,,,,,autocad_line,14242,,37.2465839785607
12972,,,,,,,,,,,,,,,,autocad_line,18466,,37.1215272454598
12973,,,,,,,,,,,,,,,,,367,,3.16236156371857
12974,,,,,,,,,,,,,,,,autocad_line,4816,,22.6327846960067
12975,,,,,,,,,,,,,,,,autocad_line,29052,,46.8487109401958
12976,,,,,,,,,,,,,,,,autocad_line,13662,,46.9407145618178
12977,,,,,,,,,,,,,,,,autocad_line,3583,,22.6358374868972
12978,,,,,,,,,,,,,,,,autocad_line,4355,,37.160959033669
12979,,,,,,,,,,,,,,,,autocad_line,27820,,37.0712482486744
12980,,,,,,,,,,,,,,,,autocad_line,28372,,7.37079494226797
12981,,,,,,,,,,,,,,,,autocad_line,3122,,25.8889505209728
12982,,,,,,,,,,,,,,,,autocad_line,30212,,37.0677456325122
12983,,,,,,,,,,,,,,,,autocad_line,4783,,11.2827671685541
12984,,,,,,,,,,,,,,,,autocad_line,11773,,25.899512016239
12985,,,,,,,,,,,,,,,,autocad_line,16331,,25.9573784145139
12986,,,,,,,,,,,,,,,,autocad_line,29079,,22.5884101457758
12987,,,,,,,,,,,,,,,,autocad_line,29437,,13.1038333841325
12988,,,,,,,,,,,,,,,,autocad_line,27868,,37.0915848048024
12989,,,,,,,,,,,,,,,,autocad_line,18808,,22.6815065865552
12990,,,,,,,,,,,,,,,,autocad_line,4092,,37.1586868997534
12991,,,,,,,,,,,,,,,,autocad_line,32474,,17.6883116299639
12992,,,,,,,,,,,,,,,,autocad_line,167,,34.6950770034201
12993,,,,,,,,,,,,,,,,autocad_line,860,,37.1731520637563
12994,,,,,,,,,,,,,,,,autocad_line,30135,,25.8260605033483
12995,,,,,,,,,,,,,,,,autocad_line,30725,,37.1114252234668
12996,,,,,,,,,,,,,,,,autocad_line,31471,,37.1158311173652
12997,,,,,,,,,,,,,,,,autocad_line,17907,,22.6331425372007
12998,,,,,,,,,,,,,,,,autocad_line,1799,,22.6501815033134
12999,,,,,,,,,,,,,,,,autocad_line,16552,,25.9427462533764
13000,,,,,,,,,,,,,,,,autocad_line,16283,,37.2226939959121
13001,,,,,,,,,,,,,,,,autocad_line,16694,,22.6804381278995
13002,,,,,,,,,,,,,,,,autocad_line,12169,,22.6269497611731
13003,,,,,,,,,,,,,,,,autocad_line,28000,,22.5846874379173
13004,,,,,,,,,,,,,,,,autocad_line,16754,,25.9458634635198
13005,,,,,,,,,,,,,,,,autocad_line,18985,,46.881811209954
13006,,,,,,,,,,,,,,,,,30757,,14.7484372305756
13007,,,,,,,,,,,,,,,,autocad_line,33550,,9.31642970437851
13008,,,,,,,,,,,,,,,,autocad_line,18949,,37.1996786664468
13009,,,,,,,,,,,,,,,,autocad_line,30978,,25.857447779266
13010,,,,,,,,,,,,,,,,autocad_line,28937,,34.5274094630514
13011,,,,,,,,,,,,,,,,autocad_line,4383,,25.8508003226406
13012,,,,,,,,,,,,,,,,autocad_line,29284,,13.0924378876457
13013,,,,,,,,,,,,,,,,autocad_line,30368,,37.1118399813662
13014,,,,,,,,,,,,,,,,,18820,,14.7896768123776
13015,,,,,,,,,,,,,,,,autocad_line,17591,,37.1911118806864
13016,,,,,,,,,,,,,,,,autocad_line,29719,,6.53595158728335
13017,,,,,,,,,,,,,,,,autocad_line,12723,,37.2020016917535
13018,,,,,,,,,,,,,,,,autocad_line,31714,,7.37104803285289
13019,,,,,,,,,,,,,,,,autocad_line,5497,,37.1316491791518
13020,,,,,,,,,,,,,,,,autocad_line,31012,,25.8551091231224
13021,,,,,,,,,,,,,,,,autocad_line,29097,,46.8452698657451
13022,,,,,,,,,,,,,,,,autocad_line,5829,,34.7019441886718
13023,,,,,,,,,,,,,,,,autocad_line,2240,,9.96635098701488
13024,,,,,,,,,,,,,,,,,30191,,14.7413410909709
13025,,,,,,,,,,,,,,,,autocad_line,4115,,37.0933687070092
13026,,,,,,,,,,,,,,,,autocad_line,32121,,37.0286405093315
13027,,,,,,,,,,,,,,,,autocad_line,4386,,25.8523713646084
13028,,,,,,,,,,,,,,,,autocad_line,3983,,37.0857050397661
13029,,,,,,,,,,,,,,,,autocad_line,2728,,25.8889699431202
13030,,,,,,,,,,,,,,,,autocad_line,16873,,22.6841792995463
13031,,,,,,,,,,,,,,,,autocad_line,32394,,18.4846228969422
13032,,,,,,,,,,,,,,,,autocad_line,23941,,22.6302500712863
13033,,,,,,,,,,,,,,,,autocad_line,20790,,17.7323930066848
13034,,,,,,,,,,,,,,,,autocad_line,31017,,25.8453750941416
13035,,,,,,,,,,,,,,,,,31968,,14.7540667048363
13036,,,,,,,,,,,,,,,,autocad_line,31686,,7.36950103830919
13037,,,,,,,,,,,,,,,,autocad_line,17992,,25.9273798430873
13038,,,,,,,,,,,,,,,,autocad_line,28316,,25.8253840084128
13039,,,,,,,,,,,,,,,,autocad_line,28805,,7.37332473132432
13040,,,,,,,,,,,,,,,,autocad_line,26536,,34.6778698968751
13041,,,,,,,,,,,,,,,,autocad_line,984,,22.5961222635634
13042,,,,,,,,,,,,,,,,,29803,,14.7552774227152
13043,,,,,,,,,,,,,,,,autocad_line,11680,,34.7368811597796
13044,,,,,,,,,,,,,,,,autocad_line,3040,,22.6522696962388
13045,,,,,,,,,,,,,,,,autocad_line,7795,,11.2808565597452
13046,,,,,,,,,,,,,,,,autocad_line,28415,,22.5878630008223
13047,,,,,,,,,,,,,,,,autocad_line,13995,,22.6346068746199
13048,,,,,,,,,,,,,,,,autocad_line,17241,,7.39106248778746
13049,,,,,,,,,,,,,,,,,29082,,46.7849925347468
13050,,,,,,,,,,,,,,,,autocad_line,28277,,22.6033523715223
13051,,,,,,,,,,,,,,,,,353,,3.16246741273439
13052,,,,,,,,,,,,,,,,autocad_line,19275,,14.0435986242542
13053,,,,,,,,,,,,,,,,autocad_line,9357,,14.5264784831611
13054,,,,,,,,,,,,,,,,autocad_line,28846,,25.8639961941968
13055,,,,,,,,,,,,,,,,autocad_line,6516,,6.5352425154956
13056,,,,,,,,,,,,,,,,autocad_line,17829,,25.875154819724
13057,,,,,,,,,,,,,,,,autocad_line,16151,,22.6710747570934
13058,,,,,,,,,,,,,,,,autocad_line,28798,,13.0885700519976
13059,,,,,,,,,,,,,,,,autocad_line,4089,,37.15998650829
13060,,,,,,,,,,,,,,,,autocad_line,2416,,37.0923221491643
13061,,,,,,,,,,,,,,,,autocad_line,16392,,25.9412561629058
13062,,,,,,,,,,,,,,,,autocad_line,7623,,34.6880689634847
13063,,,,,,,,,,,,,,,,,28338,,14.7234601075267
13064,,,,,,,,,,,,,,,,autocad_line,31849,,37.0359379551834
13065,,,,,,,,,,,,,,,,autocad_line,30526,,22.6253415669568
13066,,,,,,,,,,,,,,,,autocad_line,31247,,13.1050396142991
13067,,,,,,,,,,,,,,,,autocad_line,12399,,22.6659211903062
13068,,,,,,,,,,,,,,,,autocad_line,16462,,22.6919644441721
13069,,,,,,,,,,,,,,,,autocad_line,20201,,7.20582951024369
13070,,,,,,,,,,,,,,,,autocad_line,2723,,14.5233914114954
13071,,,,,,,,,,,,,,,,autocad_line,3210,,14.0218292753475
13072,,,,,,,,,,,,,,,,,17952,,14.7752653557698
13073,,,,,,,,,,,,,,,,autocad_line,30505,,22.6096855288769
13074,,,,,,,,,,,,,,,,autocad_line,32102,,37.0989978100688
13075,,,,,,,,,,,,,,,,autocad_line,32270,,7.36965468369214
13076,,,,,,,,,,,,,,,,autocad_line,33408,,25.8252317929913
13077,,,,,,,,,,,,,,,,autocad_line,3885,,37.1663436197575
13078,,,,,,,,,,,,,,,,autocad_line,3834,,25.9076081959122
13079,,,,,,,,,,,,,,,,autocad_line,2791,,25.9164651564456
13080,,,,,,,,,,,,,,,,autocad_line,3231,,6.54140711652763
13081,,,,,,,,,,,,,,,,,7801,,14.7499337612804
13082,,,,,,,,,,,,,,,,autocad_line,5403,,25.8841798996273
13083,,,,,,,,,,,,,,,,autocad_line,18204,,22.6652585614701
13084,,,,,,,,,,,,,,,,,6044,,15.4728900837274
13085,,,,,,,,,,,,,,,,autocad_line,4391,,37.1333804986964
13086,,,,,,,,,,,,,,,,autocad_line,17924,,22.6324496476067
13087,,,,,,,,,,,,,,,,autocad_line,13564,,22.6613748513693
13088,,,,,,,,,,,,,,,,autocad_line,30866,,37.1275609871881
13089,,,,,,,,,,,,,,,,autocad_line,12977,,37.1954543718949
13090,,,,,,,,,,,,,,,,autocad_line,30926,,25.8060858878593
13091,,,,,,,,,,,,,,,,autocad_line,9879,,25.8557902501299
13092,,,,,,,,,,,,,,,,autocad_line,11782,,22.6158317603704
13093,,,,,,,,,,,,,,,,autocad_line,22071,,18.4855530364795
13094,,,,,,,,,,,,,,,,autocad_line,8448,,22.6038817450803
13095,,,,,,,,,,,,,,,,autocad_line,32159,,37.1103451105296
13096,,,,,,,,,,,,,,,,autocad_line,4161,,22.6020715839805
13097,,,,,,,,,,,,,,,,autocad_line,32520,,46.8090569512538
13098,,,,,,,,,,,,,,,,autocad_line,7848,,7.37941636672285
13099,,,,,,,,,,,,,,,,autocad_line,7950,,25.8408207115338
13100,,,,,,,,,,,,,,,,autocad_line,1638,,25.0581492828653
13101,,,,,,,,,,,,,,,,autocad_line,26831,,25.8779386142842
13102,,,,,,,,,,,,,,,,,365,,3.16261223508075
13103,,,,,,,,,,,,,,,,autocad_line,23478,,17.7352365665439
13104,,,,,,,,,,,,,,,,autocad_line,177,,25.8763706615967
13105,,,,,,,,,,,,,,,,autocad_line,30944,,18.4580397770514
13106,,,,,,,,,,,,,,,,autocad_line,31936,,22.6030224780025
13107,,,,,,,,,,,,,,,,autocad_line,22860,,22.6548438059837
13108,,,,,,,,,,,,,,,,autocad_line,5210,,25.8833887059246
13109,,,,,,,,,,,,,,,,autocad_line,27814,,37.0722260147781
13110,,,,,,,,,,,,,,,,autocad_line,842,,37.1495408570465
13111,,,,,,,,,,,,,,,,autocad_line,18506,,37.1599157643922
13112,,,,,,,,,,,,,,,,autocad_line,6465,,37.1381844992447
13113,,,,,,,,,,,,,,,,autocad_line,7338,,37.1035645767374
13114,,,,,,,,,,,,,,,,autocad_line,18170,,37.1844299872583
13115,,,,,,,,,,,,,,,,,12470,,14.7977450257896
13116,,,,,,,,,,,,,,,,autocad_line,484,,22.6010553335084
