OBJECTID,WSA_NAME,WSA_NO,WSA_SUIT,BLM_ORG_CD,AUTH_NAME,BOUNDARY_STATUS,GIS_ACRES,SHAPE_Length,SHAPE_Area
162,Gerry Mountain WSA,5-35,N,ORP04,,Unknown,22278.1164655,0.600490143425641,0.0101001844570584
163,inholding,inholding,X,ORP04,,Unknown,324.21700736,0.0548361805566124,0.000147137550836
164,Sand Hollow WSA,5-34,N,ORP04,,Unknown,483.7781111,0.0755337846094124,0.0002195897974455
165,inholding,inholding,X,ORP04,,Unknown,80.71313646,0.0246129138829119,3.66451691142186e-05
166,,roadout,X,ORP04,,Unknown,14.2571721,0.236258280059519,6.47144903839807e-06
167,Sand Hollow WSA,5-34,Y,ORP04,,Unknown,8879.25163439,0.300461702146718,0.0040300506761306
168,inholding,inholding,X,ORP04,,Unknown,39.93566842,0.0172911803724123,1.81396580656492e-05
169,,roadout,X,ORP04,,Unknown,2.1401982,0.0355797189978686,9.72115947896929e-07
170,Malheur River-Bluebucket WSA,2-14,N,ORB05,,Unknown,5543.32730714,0.49827036185341,0.0025166459398425
171,Chopaka Mountain WSA,13-2,U,ORW02,,Unknown,5554.47910114,0.414728505181184,0.002759226656242
172,,out,X,ORP04,,Unknown,640.52763487,0.0689950852874074,0.0002892412711303
173,,roadout,X,ORP04,,Unknown,6.04735938,0.0939768840010294,2.73161226129828e-06
174,,out,X,ORP04,,Unknown,241.52547511,0.0418367306175208,0.0001091392011651
175,,roadout,X,ORP04,,Unknown,7.01898484,0.112737467315656,3.1719973397911e-06
176,,roadout,X,ORP04,,Unknown,2.74249662,0.0385895168441295,1.23947310283918e-06
177,,roadout,X,ORP04,,Unknown,3.78217126,0.0558647437758189,1.70936374142477e-06
178,,out,X,ORP04,,Unknown,154.08170707,0.0409473722269074,6.96500134905989e-05
179,,out,X,ORP04,,Unknown,328.55308361,0.0644737223668208,0.0001485164264172
180,,roadout,X,ORP04,,Unknown,8.46667254,0.121970263587006,3.82797927944806e-06
