OBJECTID,ANRDept,ANRUnit,ANRUnitType,SOVInterest,Audience,NAME,GISACRES,GlobalID,ShapeSTArea,ShapeSTLength
5936,FWD,570.0,WMA,Lease,Public,Roaring Brook WMA,56.482,{8832E15C-34B4-41C1-ACDF-F26B2C9428DD},228574.508749005,2247.3094910717
5939,FWD,571.0,WMA,Fee,Public,Rochester WMA,236.987,{76661AB5-A6B8-4FED-91C5-B754851D157B},959052.05826231,3997.48986534133
5940,FWD,572.0,WMA,Fee,Public,Riley Bostwick WMA,386.309,{50500F89-273E-43B6-B079-94D0B8C0A0B8},1563339.90186627,9181.56720299926
5941,FWD,572.0,WMA,ROW,Public,Riley Bostwick WMA,3.832,{6E694752-CA63-4C22-8454-B3D86CBC0009},15507.853667115,627.918913516136
5942,FWD,573.0,WMA,Fee,Public,Roy Mountain WMA,1594.875,{C38CD08D-7A37-4BAA-AB40-B2F22DD24B70},6454238.3483739,19229.5966401238
5943,FWD,574.0,WMA,Fee,Public,Tinmouth Channel WMA,1245.429,{04C646F7-4BEF-4B8D-895C-DF0DEF9A1F55},5040081.1654565,20730.8869743363
5944,FWD,575.0,WMA,Fee,Public,Rock River WMA,415.645,{42362F3B-49E9-4BAD-8D1A-090B81909F85},1682056.54580441,18479.2043916187
5945,FWD,575.0,WMA,ROW,Public,Rock River WMA,0.153,{095D92F5-0036-4629-9932-03F3FB2F1B77},619.71952437,513.205140010387
5946,FWD,576.0,WMA,Fee,Public,Snake Mountain WMA,1198.377,{9252BF45-E31A-4D6E-B1D0-1C49F4DBE7EA},4849666.57301322,15434.1291938554
5947,FWD,577.0,WMA,Fee,Public,Sandbar WMA,1556.733,{8499636F-B576-4F47-B889-903894BEF9D1},6299884.37978686,34196.3940693572
5948,FWD,578.0,WMA,Fee,Public,Skitchewaug WMA,221.296,{EF3924B1-B21F-4AB8-BAB6-CBEA5BD111D0},895554.85232746,6747.81711554839
5950,FWD,580.0,WMA,Easement,Public,South Bay WMA,486.047,{DC903ADC-9C02-476D-B9F0-8A799A3B466E},1966965.49707282,12599.5616369669
5951,FWD,580.0,WMA,Fee,Public,South Bay WMA,2062.545,{EB15DA62-17BA-42F3-8FEE-E9453FC1DDB0},8346835.89141679,41209.4778614541
5952,FWD,580.0,WMA,ROW,Public,South Bay WMA,1.173,{CBE13794-F1AE-4D92-9560-9AAB8DBC626A},4744.95648524,1569.9384214584
5953,FWD,581.0,WMA,Fee,Public,South Stream WMA,144.082,{24271CB0-490D-47EA-8ADD-9D821B448FFF},583078.336941745,6167.29405154653
5954,FWD,582.0,WMA,Fee,Public,Steam Mill Brook WMA,11108.623,{06C7EFB7-2576-4A3D-9C23-5A032E4C522A},44955073.7031522,74410.0774990535
5956,FWD,583.0,WMA,Fee,Public,Roy Marsh WMA,62.738,{0C3E09B9-7EAB-4ADA-8E26-E075D7040DBD},253890.966503365,7129.75725998939
5957,FWD,584.0,WMA,Fee,Public,Victory Basin WMA,5453.711,{DF384B4E-A737-4039-B269-E96B3CB9D531},22070421.3090629,27558.4438518335
5958,FWD,585.0,WMA,Fee,Public,Ward Marsh WMA,100.468,{5D0B9033-DCCA-417D-B5CF-3254E1DE961C},406578.366431265,5563.67566738819
5959,FWD,586.0,WMA,Fee,Public,Weathersfield WMA,65.243,{7B69F4E6-2E07-404D-A687-C687EAC3A526},264030.67044148,2875.72338848338
5960,FWD,587.0,WMA,Fee,Public,Wild Branch WMA,407.869,{49535E56-8F70-43C8-8F51-922A5EF8A20C},1650591.0873664,7271.9347254973
5961,FWD,588.0,ME,Easement,Public,Whipple Hollow WMA,83.848,{70FA6A3A-1FF8-403D-8EB3-8A3912D806DC},339322.006089245,2826.04792491364
5962,FWD,588.0,WMA,Fee,Public,Whipple Hollow WMA,506.314,{DBF9B45D-52A8-4033-9D11-3030A9572012},2048984.97282299,8391.66459431969
5963,FWD,589.0,WMA,Fee,Public,West Fairlee WMA,92.115,{07FF0368-26B3-4572-A74C-28FBD5E6C704},372775.891083205,2743.92595183664
5964,FWD,590.0,WMA,Fee,Public,White River WMA,641.725,{5C0D33EB-0F2F-4BB4-AD83-C3044F903F15},2596974.80184761,12808.3805199648
5965,FWD,591.0,WMA,Fee,Public,Willoughby Falls WMA,592.121,{77B49D00-BA30-4E83-A7F7-265997CE342C},2396231.77115062,17293.5223198877
5966,FWD,592.0,WMA,Fee,Public,Washington WMA,264.304,{47BDE02D-A336-4FBE-AD5B-3F729885ECD5},1069601.51353077,4610.20877752674
5967,FWD,593.0,WMA,Fee,Public,Worcester Woods WMA,185.545,{48DC9532-5AB9-4AD9-81FB-A21223825248},750875.83279338,3493.74245724338
5968,FWD,593.0,WMA,ROW,Public,Worcester Woods WMA,5.55,{8D810192-B788-476C-AFC6-D4EFFE8BEA8D},22458.259133265,2264.2325716153
5969,FWD,594.0,WMA,Fee,Public,Wenlock WMA,2576.478,{D3A805E5-98A3-4A60-82D5-2BB1670AFD85},10426654.3917078,27514.6973938064
5970,FWD,595.0,WMA,Easement,Public,Whitney/Hospital Creek WMA,26.849,{290A01FE-10D1-4068-95DB-5765564D6773},108654.14251179,4883.69415503848
5971,FWD,595.0,WMA,Fee,Public,Whitney/Hospital Creek WMA,310.174,{3E956557-CAB9-4902-A44E-13DE923CD6A3},1255231.65061306,10079.6158602814
5972,FWD,595.0,WMA,ROW,Public,Whitney/Hospital Creek WMA,4.582,{69B15EB8-F498-44F2-84F2-7AFB14DB69AD},18541.99789933,2463.99411799741
5974,FWD,596.0,WMA,Fee,Public,Kesick Swamp WMA,127.498,{5A442FE7-52F8-45CB-8192-366C8CE7F10D},515966.25687871,3848.78042858838
5975,FWD,596.0,WMA,ROW,Public,Kesick Swamp WMA,1.629,{E15E65C0-3ED0-45D7-834C-CDE112C83C4C},6592.872133435,1300.88143004215
5976,FWD,597.0,WMA,Fee,Public,The Narrows WMA,401.116,{38A69268-6712-4C43-BAFD-70FDE24AF0CA},1623260.44730119,6362.18427588708
5977,FWD,598.0,WMA,Fee,Public,Lower Lamoille River WMA,229.086,{53EE4D9D-2D60-4D11-8D17-8CEC18188B73},927079.000502285,6374.23741044069
5978,FWD,599.0,WMA,Fee,Public,Tiny Pond WMA,711.853,{3CEE23D1-B64D-4982-BBF5-6AECACEF3D52},2880769.72718289,11621.4962720982
5979,FWD,601.0,WMA,Fee,Public,Three Mile Bridge WMA,137.934,{1AE34EDF-F471-413F-8F47-DC6FF0E312D1},558198.90923971,6519.64408022218
5980,FWD,602.0,WMA,Fee,Public,Clarendon Gorge WMA,53.605,{7775DB71-68A6-4359-8E2B-B19C7DD0D3CE},216933.44957516,3010.87737931693
5981,FWD,903.0,LIP,Easement,Public,Willowell,109.2,{9D726B58-5957-4FB6-BB74-BEED510DA122},441916.80977565,3858.88595105959
5982,FWD,906.0,LIP,Easement,Public,Bacon,193.174,{64750568-B280-4EAF-9876-776AEEEBA257},781747.96133007,6097.94897899515
5984,FWD,909.0,LIP,Easement,Public,Hicks,509.307,{C3281962-7733-4282-82F4-4EDDF62E3DC0},2061095.61276349,7480.43435163361
5985,FWD,910.0,LIP,Easement,Public,Harding,91.256,{298CAD89-E68B-4215-BF6A-FCFFA65BFB9F},369300.861307805,3190.86540936189
5986,FWD,911.0,LIP,Easement,Public,Burleson,269.23,{7400DFE1-B87A-45F3-8942-90C0AB450DC2},1089536.49654189,6499.25930914262
5987,FWD,911.0,LIP,ROW,Public,Burleson,0.738,{7DC8D3DA-2FF7-4551-A634-72361C804BD3},2984.95292486,473.854702023342
5988,FWD,914.0,LIP,Easement,Public,Black Mountain,277.069,{34F0FF5E-8EC8-4EC7-9C59-B627AF036FEA},1121258.85395511,5332.48021728424
5989,FWD,929.0,ME,Easement,Public,Stratton,872.964,{2FCF648A-967F-4C8D-99CA-08DF5BC7E092},3532766.87838881,18396.7136484924
5990,FWD,1002.0,LIP,Easement,Public,Raven Ridge Easement,202.314,{5F190CF7-BCE1-4AB2-80CD-BF44E1503C20},818735.837745985,5935.99395928049
