OBJECTID,AV_LEGEND,IMS_LEGEND,COASTP_COD,COAST_POLY,NAMEDP_COD,NAMED_POLY,SCALELEVEL,STREAM_NO,STREAM,LAKE_NO,LAKE,BAY_NO,BAY,HARBOR_NO,HARBOR,SOUND_NO,SOUND,ACREAGE,Shape__Area,Shape__Length
10324,Water,Water,3,Coastal Water Polygons,2,Named Waterbody,1,1330,Pine Creek,0, ,0, ,0, ,3,Long Island Sound,16.30030059,710042.668914795,16900.3341285109
10325,Water,Water,1,Inland Polygons,2,Named Waterbody,4,513,East Branch Mianus River,0, ,0, ,0, ,0, ,0.51250201,22324.6063537598,699.050774167218
10326,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,510,Chestnut Pond,0, ,0, ,0, ,0.266965,11628.9319458008,400.216717656589
10327,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,1055,Grass Pond,0, ,0, ,0, ,4.00829982,174601.545837402,2721.81881741828
10328,Water,Water,1,Inland Polygons,2,Named Waterbody,3,1209,Noroton River,1359,Jellif Mill Pond,0, ,0, ,0, ,4.18908023,182476.239227295,3657.82814556981
10329,Water,Water,1,Inland Polygons,2,Named Waterbody,5,807,Holy Ghost Fathers Brook,0, ,0, ,0, ,0, ,0.51909202,22611.7274780273,776.514389547718
10330,Water,Water,1,Inland Polygons,2,Named Waterbody,2,1448,Rippowam River,0, ,0, ,0, ,0, ,0.404473,17618.8095397949,545.918917865602
10331,Water,Water,1,Inland Polygons,2,Named Waterbody,5,761,Haviland Brook,0, ,0, ,0, ,0, ,2.03173995,88502.6161804199,2133.48844964157
10332,Water,Water,1,Inland Polygons,2,Named Waterbody,4,596,Fivemile River,0, ,0, ,0, ,0, ,1.09507,47701.3456726074,1297.12036192586
10333,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,677,Darien Pond,0, ,0, ,0, ,0.414568,18058.5628662109,723.35059280822
10334,Water,Water,1,Inland Polygons,2,Named Waterbody,4,513,East Branch Mianus River,0, ,0, ,0, ,0, ,0.21943099,9558.40832519531,467.028894262266
10335,Water,Water,1,Inland Polygons,2,Named Waterbody,3,1081,Mianus River,3030,Upper Mianus River Dam,0, ,0, ,0, ,15.10960006,658176.080322266,3749.86034630248
10336,Water,Water,1,Inland Polygons,2,Named Waterbody,5,807,Holy Ghost Fathers Brook,1278,Holy Ghost Fathers Pond,0, ,0, ,0, ,1.76127004,76721.167175293,1215.2926933576
10337,Water,Water,1,Inland Polygons,2,Named Waterbody,4,822,Horseneck Brook,593,Converse Pond,0, ,0, ,0, ,3.63069009,158152.780426025,2015.83128205769
10338,Water,Water,3,Coastal Water Polygons,2,Named Waterbody,1,0, ,0, ,100,Sherwood Millpond,21,Compo Cove,3,Long Island Sound,75.39579772,3284241.56863403,27001.1333438798
10339,Water,Water,1,Inland Polygons,2,Named Waterbody,5,1938,Wilshire Pond Brook,3531,Wilshire Pond,0, ,0, ,0, ,13.72439956,597836.056060791,6455.38334274445
10340,Water,Water,1,Inland Polygons,2,Named Waterbody,4,822,Horseneck Brook,0, ,0, ,0, ,0, ,0.12023399,5237.39315795898,422.37012122043
10341,Water,Water,1,Inland Polygons,2,Named Waterbody,4,1164,Muddy Brook,0, ,0, ,0, ,0, ,0.70941799,30902.372833252,1195.96467375505
10342,Water,Water,1,Inland Polygons,2,Named Waterbody,6,0, ,723,Devequar Lake,0, ,0, ,0, ,2.91719007,127072.734832764,1700.38162546298
10343,Water,Water,1,Inland Polygons,2,Named Waterbody,5,761,Haviland Brook,0, ,0, ,0, ,0, ,0.55417799,24139.9768066406,669.851254188848
10344,Water,Water,3,Coastal Water Polygons,2,Named Waterbody,1,0, ,0, ,66,Mill Creek,21,Compo Cove,3,Long Island Sound,16.49469947,718507.600769043,4881.92302214867
10345,Water,Water,1,Inland Polygons,2,Named Waterbody,5,761,Haviland Brook,0, ,0, ,0, ,0, ,0.27694699,12063.7312316895,478.370564322528
10346,Water,Water,1,Inland Polygons,2,Named Waterbody,5,761,Haviland Brook,0, ,0, ,0, ,0, ,0.860637,37489.3246765137,779.862529344047
