OBJECTID,SUBJ_FIRE1940,SHAPE_Length,SHAPE_Area
1,50_99,2.34614664138271,0.0271660677375946
2,0_49,14.5141743735905,0.311984569570324
3,50_99,0.76310982683208,0.0077994018538746
4,50_99,0.843210612950931,0.0084821075109798
5,50_99,0.148928275526278,0.0010513547675996
6,50_99,0.653428216520782,0.0051603973938432
7,200+,0.154615319006639,0.0012380206772713
8,50_99,0.107391560095596,0.000530654759393
9,200+,0.20232853032128,0.0022008239480899
10,50_99,0.0509946560678113,0.0001155434136011
11,50_99,0.148183312393978,0.0011715389702116
12,50_99,0.23904399281268,0.0016018962755091
13,50_99,0.0465846475362001,0.0001500450322627
14,50_99,0.0798144023143588,0.0003649434756525
15,200+,0.686204618982831,0.0106414779701655
16,50_99,0.10431297377268,0.0004524599419473
17,50_99,0.0849758505602958,0.000303132820609
18,50_99,0.129289054073947,0.0008098016723032
19,50_99,0.222354223471709,0.0019352304490362
20,50_99,0.0815164083858722,0.000447328195724
21,50_99,0.20611130826653,0.0019184262581725
22,50_99,0.167011409973979,0.0010380496996559
23,50_99,0.140953926222437,0.0007303869953546
24,50_99,0.219698831504187,0.0012797901683482
25,50_99,0.0253065332377464,3.87846036441872e-05
26,50_99,0.0811119504198953,0.0002329071728056
27,50_99,0.0753854281594373,0.0001673847921051
28,50_99,0.182266162303768,0.0011657736274334
29,50_99,0.0616893167093738,0.0002135471014431
30,50_99,0.12258564628428,0.0004828628133078
31,50_99,0.0981962875084409,0.000513390408761
32,50_99,0.683590240661152,0.005551942987069
33,200+,0.819908839815729,0.0109736280020512
34,50_99,0.0745433004743701,0.0002542790137718
35,50_99,0.0859410548319139,0.0003808326670139
36,50_99,0.0576559166183778,0.0001417546357955
37,50_99,0.138112135169184,0.0009545630562
38,50_99,0.102254699356784,0.0005213683947043
39,50_99,0.0643064803978778,0.0002266587578547
40,BURNED,0.246240852947216,0.0024405240620799
41,50_99,0.21482079971001,0.0014832359769633
42,50_99,0.0837325326686093,0.000434299049176
43,BURNED,0.671819203588136,0.0170155598933632
44,50_99,0.0593390890453279,0.0002455032458729
45,200+,0.177348457413495,0.0019106102748835
46,50_99,0.180813981223772,0.0010274798565274
47,200+,0.187077966296683,0.0019509949580387
48,50_99,1.00869093844413,0.0084048934822935
49,200+,0.181635472432042,0.0013810795652011
50,50_99,0.366770778770597,0.0035091225539843
51,200+,0.850388537522217,0.009461813477307
52,50_99,0.0927768693131426,0.0005104012699466
53,200+,0.180723414934081,0.0013732166023658
54,200+,0.126798308040968,0.0006953621825322
55,50_99,0.711945029724782,0.0060316469811063
56,50_99,0.101298998896741,0.000529629642465
57,BURNED,0.254970741820745,0.0021244340244503
58,50_99,0.512102184762409,0.0041185075102465
59,0_49,1.39347192577934,0.0238852788348856
60,BURNED,2.16059517997896,0.103208521089382
61,BURNED,0.130036711662533,0.0012598694641177
62,0_49,0.41697467321533,0.0034200115070052
63,50_99,0.212250038621051,0.0021912762947829
64,BURNED,0.241501442303823,0.003014689739396
65,50_99,0.133482313481952,0.0007730630839684
66,100_199,7.18885564012817,0.094293940913169
67,0_49,0.138652812795451,0.0009972318627446
68,50_99,0.159076591093795,0.0013894468266129
69,50_99,0.268525819324418,0.0030853953573453
70,50_99,0.669994523942391,0.0075387204735756
71,100_199,0.208279459431276,0.0013705852295808
72,0_49,0.158533362727331,0.0008698933309868
73,0_49,1.06255000560825,0.0200022791239573
74,0_49,0.599514181257759,0.0125584206163893
75,200+,1.10524225782084,0.0196531637450937
76,100_199,0.234949819188085,0.0017642138892266
77,50_99,0.56786885947738,0.0036922774045483
78,100_199,0.0458696393981086,8.88801300972434e-05
79,0_49,0.410137772498826,0.0026206732595493
80,50_99,0.232895249819788,0.0015725970082056
81,100_199,0.183501772573723,0.0009216083406679
82,100_199,0.161997557394327,0.0008278162602387
83,0_49,0.325931162485082,0.0049928153795189
84,0_49,0.998465888838157,0.0095963145492334
85,0_49,0.100170450634638,0.0005385228437069
86,0_49,0.251751025712417,0.0014079742102404
