OBJECTID,ZONING_CODE,ZONING_NAME,ZONING_TYPE,Shape_Length,Shape_Area
1233,(OR1),OFFICE/RES OVERLAY,OFFICE,567.429956940085,19215.3874205484
1234,R6,RES MULTI-FAMILY,RESIDENTIAL,925.580100395111,38702.9506110379
1235,R6,RES MULTI-FAMILY,RESIDENTIAL,861.846122982923,46142.2047970112
1236,R5B,RES TWO-FAMILY,RESIDENTIAL,762.554892454914,29357.5912059264
1237,(OR1),OFFICE/RES OVERLAY,OFFICE,715.147180452977,29293.9326430644
1238,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,483.722600558786,14087.1644981113
1239,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,530.704219929442,16023.6833488541
1240,R6,RES MULTI-FAMILY,RESIDENTIAL,669.090738359829,27611.3587666947
1241,R7,RES MULTI-FAMILY,RESIDENTIAL,624.825735531364,23897.12164704
1242,R6,RES MULTI-FAMILY,RESIDENTIAL,677.724509225302,26295.093816361
1243,R6,RES MULTI-FAMILY,RESIDENTIAL,596.39021808996,20489.1982817021
1244,R5A,RES MULTI FAMILY,RESIDENTIAL,6100.71973240698,1293899.4020803
1245,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,526.449855243987,15557.7645535748
1246,R4,RES SINGLE FAMILY,RESIDENTIAL,922.601447325999,50017.8852826623
1247,R6,RES MULTI-FAMILY,RESIDENTIAL,566.022659204374,18626.9267425107
1248,R6,RES MULTI-FAMILY,RESIDENTIAL,664.028792489784,25883.4535952146
1249,R7,RES MULTI-FAMILY,RESIDENTIAL,1540.6092124021,112099.059414518
1250,R4,RES SINGLE FAMILY,RESIDENTIAL,624.123413496174,22788.4195162185
1251,OR2,OFFICE/RES,OFFICE,247.32790185054,1804.60879258278
1252,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1012.54009303509,52366.198923432
1253,R6,RES MULTI-FAMILY,RESIDENTIAL,312.980869785715,3527.86021835364
1254,OR3,OFFICE/RES,OFFICE,612.17766270287,15745.9938346473
1255,OR2,OFFICE/RES,OFFICE,524.122323137721,12795.7459460942
1256,R6,RES MULTI-FAMILY,RESIDENTIAL,840.983983340368,39335.0538259515
1257,R4,RES SINGLE FAMILY,RESIDENTIAL,812.497975544718,27970.8633544061
1258,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,789.359980295411,33667.2826944072
1259,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,725.105379638047,28643.5226862008
1260,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2049.82131978451,128450.077088066
1261,R5A,RES MULTI FAMILY,RESIDENTIAL,691.753133026865,24312.7739119306
1262,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,687.543403735533,25759.21431768
1263,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,701.848305558345,23318.7700616806
1264,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,337.25606014655,5982.30978400369
1265,R7,RES MULTI-FAMILY,RESIDENTIAL,955.254221380466,56870.7991604382
1266,R5A,RES MULTI FAMILY,RESIDENTIAL,2740.10583637718,307123.385130736
1267,R7,RES MULTI-FAMILY,RESIDENTIAL,833.765505974455,39786.1471010027
1268,R5,RES SINGLE FAMILY,RESIDENTIAL,1174.93159917534,51438.1967773438
1269,R4,RES SINGLE FAMILY,RESIDENTIAL,1068.95365424513,25047.7032874889
1270,OR1,OFFICE/RES,OFFICE,564.400625013734,11327.4353352515
1271,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,520.675434644557,16936.5911986382
1272,R7,RES MULTI-FAMILY,RESIDENTIAL,493.944482892563,5406.90742028715
1273,R7,RES MULTI-FAMILY,RESIDENTIAL,541.760111250154,8780.81527125646
1274,R6,RES MULTI-FAMILY,RESIDENTIAL,1980.47096586357,126184.476678847
1275,R4,RES SINGLE FAMILY,RESIDENTIAL,1157.06160484381,67353.101523042
1276,R6,RES MULTI-FAMILY,RESIDENTIAL,1369.28409388665,33803.1560784922
1277,R5B,RES TWO-FAMILY,RESIDENTIAL,741.162167216549,22954.6384656538
1278,R5,RES SINGLE FAMILY,RESIDENTIAL,2992.36162410546,311362.266827804
1279,R6,RES MULTI-FAMILY,RESIDENTIAL,771.440807462034,29224.8192406965
1280,R5A,RES MULTI FAMILY,RESIDENTIAL,1877.27202969099,186731.320065486
1281,R4,RES SINGLE FAMILY,RESIDENTIAL,5100.64554469227,1210554.92080541
1282,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,961.99282714424,53166.2895706936
1283,OR1,OFFICE/RES,OFFICE,632.234588299692,16044.0984769167
1284,R7,RES MULTI-FAMILY,RESIDENTIAL,2600.16683014105,380162.112390162
1285,R6,RES MULTI-FAMILY,RESIDENTIAL,671.894233657314,14133.9713671241
1286,OR1,OFFICE/RES,OFFICE,2069.32159357817,214980.390965959
1287,R6,RES MULTI-FAMILY,RESIDENTIAL,551.23562045736,18273.3311735641
1288,M2,INDUSTRIAL,INDUSTRIAL,1310.82705000439,67536.9563512412
1289,R6,RES MULTI-FAMILY,RESIDENTIAL,1230.51702481255,90974.261840085
1290,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,938.964302190887,55103.617932788
1291,M1,INDUSTRIAL,INDUSTRIAL,1949.21753944768,174039.835939413
1292,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,693.593026675886,29976.6885331708
1293,RR,RURAL RESIDENTIAL,RESIDENTIAL,3087.7958037504,410166.730589808
1294,R6,RES MULTI-FAMILY,RESIDENTIAL,668.94245434012,23222.0474474478
1295,R6,RES MULTI-FAMILY,RESIDENTIAL,515.070382783375,16345.3591745253
1296,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,840.315909960735,26118.9769447729
1297,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1816.44534803612,176440.259771654
1298,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,2020.4254641255,244434.480563691
1299,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,557.449859914524,12323.8219911428
1300,R7,RES MULTI-FAMILY,RESIDENTIAL,811.540933316458,37908.4811447224
1301,R6,RES MULTI-FAMILY,RESIDENTIAL,268.810407499417,3269.11151555381
1302,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,745.236764711217,34485.3380905144
1303,OR2,OFFICE/RES,OFFICE,960.616416984892,51244.4401173937
1304,OR3,OFFICE/RES,OFFICE,947.235734563174,46238.6504649228
1305,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1957.17424115293,179263.714706303
1306,M3,INDUSTRIAL,INDUSTRIAL,3685.02895312967,801907.43588209
1307,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1131.79941361797,58606.2546927219
1308,R4,RES SINGLE FAMILY,RESIDENTIAL,13173.9753596774,3150897.58050595
1309,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,181.524232532327,1951.13564925053
1310,R4,RES SINGLE FAMILY,RESIDENTIAL,13289.1389173643,4716536.61479253
1311,PD,PLANNED DEVELOPMENT,SPECIAL,58.2216782113963,0.325078208651394
1312,R6,RES MULTI-FAMILY,RESIDENTIAL,560.205749787762,19404.3516478746
1313,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1471.03424299351,102214.702723369
1314,M2,INDUSTRIAL,INDUSTRIAL,836.900783048486,36878.6636793426
1315,R5A,RES MULTI FAMILY,RESIDENTIAL,3641.825657681,564299.390954472
1316,R5,RES SINGLE FAMILY,RESIDENTIAL,5299.2776183647,1195606.27763366
1317,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,4798.95816419789,559993.780990849
1318,R4,RES SINGLE FAMILY,RESIDENTIAL,2382.34103194743,307641.432089496
1319,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2468.62455789388,323178.412125773
1320,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,644.046430327726,12678.9262584493
1321,R1,RES SINGLE FAMILY,RESIDENTIAL,517906.354202158,436211880.544432
1322,PEC,PLANNED EMPLOYMENT CENTER,SPECIAL,203.572971700645,1486.9081834984
1323,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2208.6426467979,210003.360214048
1324,R5A,RES MULTI FAMILY,RESIDENTIAL,2935.05774636101,513311.409321912
1325,EZ1,ENTERPRISE ZONE,COMMERCIAL-INDUSTRIAL,50404.3949176232,42420444.8343914
1326,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,916.97194763016,48124.2950404091
1327,R6,RES MULTI FAMILY,RESIDENTIAL,533.90068548844,6944.20652518699
1328,R8A,RES MULTI-FAMILY,RESIDENTIAL,2821.94575471423,439680.6664289
1329,OR1,OFFICE/RES,OFFICE,465.891727504175,8917.3417736692
1330,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1651.23420692547,92640.1067673537
1331,PD,PLANNED DEVELOPMENT,SPECIAL,13598.1300159264,7393710.25234935
1332,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2380.4587662165,327856.875960016
1333,OR3,OFFICE/RES,OFFICE,11363.5587050921,1393527.73540206
1334,M2,INDUSTRIAL,INDUSTRIAL,1421.93640376661,42189.9639114737
1335,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,527.891737202254,12504.377556618
1336,OR,OFFICE/RESIDENTIAL,OFFICE,827.614921091927,32962.5376102028
1337,R5B,RES TWO-FAMILY,RESIDENTIAL,29213.3084129059,4817658.71453882
1338,PRD,PLANNED RESIDENTIAL,RESIDENTIAL,5803.13116634386,989987.019811578
1339,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,3185.85280497952,280134.708258346
1340,R5A,RES MULTI FAMILY,RESIDENTIAL,5180.846437464,1359209.6165879
1341,CR,COMM RESIDENTIAL,COMMERCIAL-INDUSTRIAL,447.839360021164,9179.36262277365
1342,R5,RES SINGLE FAMILY,RESIDENTIAL,57375.1441152852,27330892.2486649
1343,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,12399.5434895778,1701148.35465268
1344,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2764.77005357003,280129.27451079
1345,R5A,RES MULTI FAMILY,RESIDENTIAL,914.546509404889,52280.7538167845
1346,OR1,OFFICE/RES,OFFICE,511.952430158327,15275.4579831147
1347,R6,RES MULTI-FAMILY,RESIDENTIAL,713.579651941984,25794.914230689
1348,R7,RES MULTI-FAMILY,RESIDENTIAL,11688.6097416433,2073806.12855785
1349,R5,RES SINGLE FAMILY,RESIDENTIAL,627.160319181537,23422.9510794939
1350,R5,RES SINGLE FAMILY,RESIDENTIAL,1223.9343260095,34531.0874482647
1351,M2,INDUSTRIAL,INDUSTRIAL,843.294561807856,39810.6620856857
1352,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,527.062399014328,17330.8526673166
1353,R6,RES MULTI-FAMILY,RESIDENTIAL,2473.99085546837,185348.650024554
1354,R6,RES MULTI-FAMILY,RESIDENTIAL,641.107085274385,21197.248281826
1355,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1601.78173154053,124519.600803336
1356,CM,COMM MANUFACTURING,COMMERCIAL-INDUSTRIAL,689.177275345376,28014.6225395947
1357,C3,CENTRAL BUSINESS,COMMERCIAL-INDUSTRIAL,2521.4695637074,286670.603699229
1358,M2,INDUSTRIAL,INDUSTRIAL,578.343221653354,8887.82070593148
1359,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1370.47417138273,121978.038930228
1360,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,753.806701570633,26275.9687800624
1361,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,966.740318548087,36064.8234523597
1362,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,677.153413262663,25878.6654287613
1363,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,481.817894725318,13739.8150902389
1364,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,418.283517624603,8768.91696692083
1365,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,869.940471310651,47492.2204246123
1366,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2966.81929080667,549162.332164145
1367,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,786.366050096552,37257.5201191765
1368,R1,RES SINGLE FAMILY,RESIDENTIAL,10532.3861749953,6108871.40113767
1369,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,699.427062503451,28386.1227028892
1370,CN,NEIGHBORHOOD COMM,COMMERCIAL-INDUSTRIAL,1546.94527755576,143549.502775792
1371,OR2,OFFICE/RES,OFFICE,475.157128445189,13010.7886911162
1372,OR3,OFFICE/RES,OFFICE,906.421374857575,51043.3437610141
1373,OR2,OFFICE/RES,OFFICE,784.645250913267,37822.9108422187
