OBJECTID,ZONING_CODE,ZONING_NAME,ZONING_TYPE,Shape_Length,Shape_Area
1469,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,850.031479586105,37600.1703672801
1470,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,813.457101147055,23846.4741119347
1471,EZ1,ENTERPRISE ZONE,COMMERCIAL-INDUSTRIAL,798.556721652104,27059.6859350807
1472,C3,CENTRAL BUSINESS,COMMERCIAL-INDUSTRIAL,1438.83318473227,118008.067947747
1473,OR3,OFFICE/RES,OFFICE,455.126906171376,5835.67381253969
1474,R7,RES MULTI-FAMILY,RESIDENTIAL,1108.68087193623,74324.4560205144
1475,C1,COMMERCIAL,COMMERCIAL-INDUSTRIAL,700.480831399698,29029.7860701359
1476,R7,RES MULTI-FAMILY,RESIDENTIAL,1230.76503152268,83350.0542434875
1477,M1,INDUSTRIAL,INDUSTRIAL,1990.69562380824,222281.061001715
1478,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,743.54763548739,25099.4554454146
1479,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,794.10024710419,35805.3526701287
1480,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,2601.59961244363,256641.531908777
1481,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1461.63565145956,105542.947463481
1482,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,678.261264411491,25802.0901741435
1483,C2,COMMERCIAL,COMMERCIAL-INDUSTRIAL,1412.4066493337,102458.346905094
