OBJECTID,ESMTROW_NM,ESMTROW_TP,ESMTROW_FTR,AUTH_USE,RGT_HOLDER,GRANTOR,ACCESS_ESMTROW,CASEFILE,BLM_ORG_CD,CASETP,LOCAL_ID,COORD_SRC,ACCURACY_FT,EXCL_TP,GIS_ACRES,GLOBALID,CASE_NR,SHAPE_Length,SHAPE_Area
11116,MEDFORD CORPORATION RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   067796FD,ORM00,281230,RWA-M-887,CADNSDI,0.0,,233.0244217,{E254270C-16EE-42A0-A613-C3A6A318781B},,0.0407597571217152,0.0001037109657994
11117,MEDFORD CORPORATION RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   067796FD,ORM00,281230,RWA-M-887,CADNSDI,0.0,,42.94713553,{2B220148-0A81-43B5-82B2-25E43471E43A},,0.0176147164469571,1.90946547378698e-05
11118,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   048747PT,ORM00,210003,RWA-M-660,CADNSDI,0.0,,154.39666695,{3EBB3F9F-50A0-4260-AA08-138C2461C314},,0.045777643972167,6.83293680775879e-05
11119,INDIAN HILL RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   056843PT,ORM00,210003,RWA-M-2000E,CADNSDI,0.0,,41.17031007,{A0D2410D-9A57-4435-8762-6EC52F3CB67F},,0.0172360792516382,1.82127295824536e-05
11120,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,BL,PVI,ADMIN,OROR   048747PT,ORM00,210003,RWA-M-660,CADNSDI,0.0,,40.52480473,{5158D905-F43D-4345-AD7B-02E5C47082B5},,0.0171831582046821,1.80124537742689e-05
11121,SILVER BUTTE TIMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056841FD,ORM00,281210,RWA-M-2000C,CADNSDI,0.0,,1014.19386075,{27C9839D-8056-4163-9C66-6AE413E22BBE},,0.175780182617675,0.0004505703848995
11122,TRISTAR RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   048747FD,ORM00,281230,RWA-M-660,CADNSDI,0.0,,39.58966825,{697946F2-E127-4048-8A8D-0CB90FADBA5F},,0.016932130384256,1.75304171267735e-05
11123,SILVER BUTTE TIMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056841FD,ORM00,281210,RWA-M-2000C,CADNSDI,0.0,,555.98938286,{AE5A0F0E-63A6-4D15-B08C-D2D4F89F2EEE},,0.0680887914882415,0.0002472901545681
11124,SUPERIOR LUMBER RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056844FD,ORM00,281230,RWA-M-2000F,CADNSDI,0.0,,2037.10536553,{6C2A732F-0B98-4EDB-A98C-C6C74FF7F4A7},,0.243647704919381,0.0009034070855715
11125,INDIAN HILL RCPL ROW,RROW,PARCEL,Forest Products Management and Removal,PVI,BL,,OROR   056843FD,ORM00,281230,RWA-M-2000E,CADNSDI,0.0,,563.93325661,{1D830423-44BC-46D8-AD75-FA5B26D599B7},,0.068583288536907,0.0002507078912251
