OBJECTID,YEAR,LINE861330,FRAME861330,MODEL861330,CAN_NBR861330,FLGTDATE861330,SCALE861330,PRINTSAVAIL,SHAPEAREA,SHAPELEN
46,1986,101,14,101014,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,61898068.5898609,34500.8959174219
47,1986,101,15,101015,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43154337.3882899,27426.9107153269
48,1986,101,16,101016,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42287006.2349977,27251.9261740502
49,1986,101,17,101017,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40974413.1664781,26976.8173408283
50,1986,101,18,101018,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41977985.2519711,27218.3309786914
51,1986,101,19,101019,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43620728.4208703,27621.8267201325
52,1986,101,20,101020,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,45053973.4527883,27996.1069856247
53,1986,101,21,101021,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44707947.4293922,27994.1693083727
54,1986,101,22,101022,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,49967094.8201719,29179.4859795036
55,1986,101,23,101023,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43243588.6020664,27567.5934101698
56,1986,101,24,101024,16,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43027427.2625727,27283.4329311383
57,1986,100,29,100029,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42948454.9205633,33372.8963536932
58,1986,100,28,100028,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,35473672.4564672,24958.6638005475
59,1986,100,27,100027,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43034679.0165797,26759.499182534
60,1986,100,26,100026,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,39875778.1021477,25905.8064585519
61,1986,100,25,100025,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,39786629.8644922,25882.3403317234
62,1986,100,24,100024,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40508798.7302289,26119.7390851462
63,1986,100,23,100023,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40573548.7061203,26213.1475407957
64,1986,100,22,100022,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42663492.097218,26804.6092115316
65,1986,100,21,100021,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40954355.2922086,26432.2019493171
66,1986,100,20,100020,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,39454187.7810086,26108.5116512433
67,1986,100,19,100019,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41558661.7531977,26662.0805693941
68,1986,100,18,100018,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43877574.3801273,27264.6816361459
69,1986,100,17,100017,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,41920315.2733563,26865.4646405305
70,1986,100,16,100016,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,39767692.8216313,26423.0876233138
71,1986,100,15,100015,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43575132.7842211,27234.8676844147
72,1986,100,14,100014,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42889230.5976664,26917.4741048062
73,1986,100,13,100013,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,36849907.4935719,25258.76875539
74,1986,100,12,100012,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40356768.6931258,26032.716309154
75,1986,100,11,100011,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,37428363.4760867,25194.1945849417
76,1986,100,10,100010,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,39515988.9124297,25720.3564074603
77,1986,100,9,100009,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,37484133.6960539,25184.3664272978
78,1986,100,8,100008,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,39063773.9666195,25591.9390215379
79,1986,100,7,100007,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,38439922.0572883,25446.0905645847
80,1986,100,6,100006,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42063337.3843727,26430.7221933872
81,1986,100,5,100005,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,37376153.8645344,25266.9741570293
82,1986,100,4,100004,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,39917329.6269649,25925.3062952249
83,1986,100,3,100003,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,45071783.6024508,32676.5863257684
84,1986,100,2,100002,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,56259708.2119039,33052.9989834043
85,1986,99,1,99001,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,142468301.073542,47636.6998540973
86,1986,99,2,99002,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,42520615.5797727,27540.6259644635
87,1986,99,3,99003,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43451160.2677602,27410.8267698001
88,1986,99,4,99004,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,40099692.3088414,26724.9945268743
89,1986,99,5,99005,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,47341923.6238547,28404.8135843399
90,1986,99,6,99006,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43943375.6782938,27681.1395123605
91,1986,99,7,99007,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,44818821.9896141,27879.2758798553
92,1986,99,8,99008,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,46040325.6887625,28129.3582293727
93,1986,99,9,99009,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,46305886.9319109,28145.3480888188
94,1986,99,10,99010,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,43271843.2669219,27412.648758376
95,1986,99,11,99011,17,1986/03/22 00:00:00+00,1 in.=1330 ft.,NO,45605885.9157016,27876.1613500288
