OBJECTID,DONUT,WETLANDS,ATTRIBUTE,DECODE,HGM_CODE,NAME,WETLAND_NAME,WETLAND_REPORT,CATEGORY,SOURCE,P_AREA,SHAPE_Length,SHAPE_Area
699,,,PSS/FOAh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,L2A,,,,,,92127.64246353,1960.20092611918,92127.5927708367
700,,,PFOAh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,L2A,,,,,,4656.22330231,334.23768284333,4656.22761860012
701,,,PSSCh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,L2A,,,,,,2515.9190517,317.420888575899,2515.91484158176
702,,,PFOAh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,L2A,,,,,,33626.66247044,1301.54743578303,33626.6650213611
703,,,PSSAh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,L2A,,,,,,9991.05007276,404.885804525822,9991.05172769614
704,,,PFOC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,3446.71204655,333.353511941632,3446.71763114733
705,,,PFOC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,1826.14812073,239.940520440638,1826.14719299
706,,,L2USCh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,L2A,,,,,,1136.28298313,251.304972920609,1136.28097402208
707,,,PEMCx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,1384.91452906,700.597453170681,1384.9185265724
708,,,PUBHx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,7108.09575227,337.920234565944,7108.0920827451
709,,,PSS/FOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,632.29781342,100.992047176479,632.30059036315
710,,,PSS/FOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,1011.84162152,125.819510143415,1011.84761520992
711,,,PFOB,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,S2A,,,,,,633.73953406,126.960419155345,633.739526791546
712,,,PUBKrx,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2A,,,,,,1096.34475578,131.269843091423,1096.34581104444
713,,,PUBHh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2D,,,,,,12819.4867855,406.182852177137,12819.4885972256
714,,,PSSAh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,D2D,,,,,,4832.8101455,884.812280912138,4832.79452040849
715,,,PFOC,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R3A,,,,,,3310.95982959,472.297064778023,3310.95012105906
716,,,PUBHh,http://wetlandsfws.er.usgs.gov/NWI/webatx/atx.html,R1B,,,,,,3476.00431943,215.526958845488,3476.00604701238
