ObjectId,ID,CASENUMBER,CASETYPEID,CASETYPE,STREETADDRESS,ZIP,CITY,STATE,STATUS,DATEOPENED
1234,96210,18ABC1071,1000,ABC Case,1638 MELLWOOD AVE,40206-0000,LOUISVILLE,KY,Closed,2018/04/03 16:09:08+00
1235,96211,17ABC1138,1000,ABC Case,14000 TAYLORSVILLE RD,40299-0000,LOUISVILLE,KY,Closed,2017/07/12 20:22:05+00
1236,96212,17ABC1146,1000,ABC Case,3401 CANE RUN RD,40210-0000,LOUISVILLE,KY,Closed,2017/07/20 14:52:59+00
1237,96213,17ABC1151,1000,ABC Case,3425 TAYLOR BLVD,40215-0000,LOUISVILLE,KY,Closed,2017/07/27 15:52:08+00
1238,96214,18ABC1118,1000,ABC Case,5503 LAZY ACRES CT,40258-0000,LOUISVILLE,KY,Closed,2018/06/12 14:04:09+00
1239,96215,17ABC1264,1000,ABC Case,1715 BERRY BLVD,40215-0000,LOUISVILLE,KY,Closed,2017/12/10 05:37:41+00
1240,96216,17ABC1159,1000,ABC Case, SHELBYVILLE RD,40207-0000,LOUISVILLE,KY,Closed,2017/08/04 19:45:55+00
1241,96217,17ABC1086,1000,ABC Case,1904 FRANKFORT AVE,40206-0000,LOUISVILLE,KY,Closed,2017/05/04 13:59:08+00
1242,96218,17ABC1178,1000,ABC Case,9411 NORTON COMMONS BLVD,40059-0000,LOUISVILLE,KY,Closed,2017/08/28 15:08:08+00
1243,96219,17ABC1076,1000,ABC Case,2631 W BROADWAY ,40211-0000,LOUISVILLE,KY,Closed,2017/04/26 15:04:41+00
1244,96220,17ABC1136,1000,ABC Case,12801 DIXIE HWY,40272-0000,LOUISVILLE,KY,Closed,2017/07/11 16:44:17+00
1245,96221,17ABC1081,1000,ABC Case,438 W MARKET ST,40202-0000,LOUISVILLE,KY,Closed,2017/05/02 15:01:18+00
1246,96222,17ABC1155,1000,ABC Case, S 4TH ST,40202-0000,LOUISVILLE,KY,Closed,2017/08/02 21:37:07+00
1247,96223,17ABC1147,1000,ABC Case,3401 CANE RUN RD,40210-0000,LOUISVILLE,KY,Closed,2017/07/21 16:06:51+00
1248,96224,17ABC1126,1000,ABC Case,1481 S 7TH ST,40208-0000,LOUISVILLE,KY,Closed,2017/06/26 15:27:39+00
1249,96225,17ABC1127,1000,ABC Case,4308 FEGENBUSH LN,40228-0000,LOUISVILLE,KY,Closed,2017/06/26 15:51:54+00
1250,96226,17ABC1082,1000,ABC Case,4621 W MARKET ST,40212-0000,LOUISVILLE,KY,Closed,2017/05/02 19:29:07+00
1251,96227,17ABC1121,1000,ABC Case,2235 FRANKFORT AVE,40206-0000,LOUISVILLE,KY,Closed,2017/06/20 19:54:47+00
1252,96228,17ABC1089,1000,ABC Case,3119 DIXIE HWY,40216-0000,SHIVELY,KY,Closed,2017/05/08 20:43:15+00
1253,96229,17ABC1177,1000,ABC Case,7800 3RD STREET RD,40214-0000,LOUISVILLE,KY,Closed,2017/08/28 13:38:18+00
1254,96230,18ABC1111,1000,ABC Case,3900 SHELBYVILLE RD,40207-0000,LOUISVILLE,KY,Closed,2018/05/30 18:32:31+00
1255,96231,17ABC1173,1000,ABC Case,3204 FRANKFORT AVE,40206-0000,LOUISVILLE,KY,Closed,2017/08/23 15:35:22+00
1256,96232,17ABC1091,1000,ABC Case,721 GAGEL AVE,40216-0000,LOUISVILLE,KY,Closed,2017/05/10 20:17:15+00
1257,96233,18ABC1110,1000,ABC Case,5415 INDIAN OAKS CIR,40213-0000,LOUISVILLE,KY,Closed,2018/05/29 19:22:58+00
1258,96234,17ABC1197,1000,ABC Case,3700 FALCON CREST DR,40219-0000,LOUISVILLE,KY,Closed,2017/09/21 12:28:10+00
1259,96235,17ABC1181,1000,ABC Case,2523 W BROADWAY ,40211-0000,LOUISVILLE,KY,Closed,2017/08/28 19:53:46+00
1260,96295,17ABC1259,1000,ABC Case,4700 BARDSTOWN RD,40218-0000,LOUISVILLE,KY,Closed,2017/12/02 06:10:03+00
1261,96041,19ABC1082,1000,ABC Case,1047 BARDSTOWN RD,40204-0000,LOUISVILLE,KY,Closed,2019/03/20 17:46:20+00
1262,96236,18ABC1225,1000,ABC Case,1047 BARDSTOWN RD,40204-0000,LOUISVILLE,KY,Closed,2018/10/29 17:03:02+00
1263,96237,17ABC1120,1000,ABC Case, W MUHAMMAD ALI BLVD,40202-0000,LOUISVILLE,KY,Closed,2017/06/16 21:37:14+00
1264,96238,18ABC1026,1000,ABC Case,1904 FRANKFORT AVE,40206-0000,LOUISVILLE,KY,Closed,2018/01/23 03:27:07+00
1265,96239,17ABC1154,1000,ABC Case,3265 ROBIN RD,40213-0000,LOUISVILLE,KY,Closed,2017/07/28 15:31:33+00
1266,96240,17ABC1186,1000,ABC Case,3521 HALE AVE,40211-0000,LOUISVILLE,KY,Closed,2017/09/08 17:59:11+00
1267,96241,17ABC1270,1000,ABC Case,349 W KENWOOD WAY,40214-0000,LOUISVILLE,KY,Closed,2017/12/19 22:36:39+00
1268,96242,17ABC1108,1000,ABC Case,5015 POPLAR LEVEL RD,40219-0000,LOUISVILLE,KY,Closed,2017/06/04 06:45:36+00
1269,96243,17ABC1158,1000,ABC Case,3425 TAYLOR BLVD,40215-0000,LOUISVILLE,KY,Closed,2017/08/02 23:10:27+00
1270,96244,17ABC1170,1000,ABC Case, TAYLORSVILLE RD,40220-0000,LOUISVILLE,KY,Closed,2017/08/18 16:27:02+00
1271,96245,17ABC1137,1000,ABC Case,8505 SHIRLEY LN,40258-0000,LOUISVILLE,KY,Closed,2017/07/11 16:51:58+00
1272,96246,17ABC1077,1000,ABC Case,3410 W BROADWAY ,40211-0000,LOUISVILLE,KY,Closed,2017/04/26 16:27:09+00
1273,96247,18ABC1147,1000,ABC Case,5812 PRESTON HWY,40219-0000,LOUISVILLE,KY,Closed,2018/07/16 14:33:22+00
1274,96248,17ABC1140,1000,ABC Case,1279 BARDSTOWN RD,40204-0000,LOUISVILLE,KY,Closed,2017/07/13 20:02:00+00
1275,96249,17ABC1182,1000,ABC Case, BARDSTOWN RD,40204-0000,LOUISVILLE,KY,Closed,2017/08/28 21:56:24+00
1276,96250,18ABC1039,1000,ABC Case,1307 CLARA AVE,40215-0000,LOUISVILLE,KY,Closed,2018/02/15 20:31:06+00
1277,96251,17ABC1129,1000,ABC Case,600 TERMINAL DR,40209-0000,LOUISVILLE,KY,Closed,2017/06/30 12:49:21+00
1278,96252,17ABC1083,1000,ABC Case,3004 S 4TH ST,40208-0000,LOUISVILLE,KY,Closed,2017/05/02 20:13:50+00
1279,96253,17ABC1153,1000,ABC Case,410 S 5TH ST,40202-0000,LOUISVILLE,KY,Closed,2017/07/28 14:03:59+00
1280,96254,17ABC1090,1000,ABC Case,3119 DIXIE HWY,40216-0000,SHIVELY,KY,Closed,2017/05/08 20:44:12+00
1281,96255,17ABC1097,1000,ABC Case,1080 AMPHITHEATER RD,40214-0000,LOUISVILLE,KY,Closed,2017/05/18 21:17:35+00
1282,96256,17ABC1164,1000,ABC Case,3331 RED ROOF INN PL,40218-0000,WATTERSON PARK,KY,Closed,2017/08/14 16:16:48+00
1283,96257,17ABC1183,1000,ABC Case,1332 S 4TH ST,40208-0000,LOUISVILLE,KY,Closed,2017/08/31 17:51:41+00
1284,96258,17ABC1103,1000,ABC Case,2633 S 4TH ST,40208-0000,LOUISVILLE,KY,Closed,2017/05/25 17:07:17+00
1285,96259,17ABC1141,1000,ABC Case,10231 BLUE LICK RD,40229-0000,LOUISVILLE,KY,Closed,2017/07/13 23:45:37+00
1286,96260,17ABC1111,1000,ABC Case, S HURSTBOURNE PKY,40222-0000,LOUISVILLE,KY,Closed,2017/06/09 15:36:19+00
1287,96261,17ABC1102,1000,ABC Case,120 W BROADWAY ,40202-0000,LOUISVILLE,KY,Closed,2017/05/22 21:17:45+00
1288,96262,18ABC1202,1000,ABC Case,1504 BERRY BLVD,40215-0000,LOUISVILLE,KY,Closed,2018/09/26 15:46:08+00
1289,96263,18ABC1020,1000,ABC Case,2100 W MUHAMMAD ALI BLVD,40212-0000,LOUISVILLE,KY,Closed,2018/01/18 16:51:04+00
1290,96264,18ABC1105,1000,ABC Case,1164 S 3RD ST,40203-0000,LOUISVILLE,KY,Closed,2018/05/23 12:30:08+00
1291,96265,17ABC1163,1000,ABC Case,9525 TAYLORSVILLE RD,40299-0000,JEFFERSONTOWN,KY,Closed,2017/08/09 20:56:33+00
1292,96266,17ABC1075,1000,ABC Case,2728 W MARKET ST,40212-0000,LOUISVILLE,KY,Closed,2017/04/22 18:09:52+00
1293,96267,17ABC1161,1000,ABC Case,105 W KENTUCKY ST,40203-0000,LOUISVILLE,KY,Closed,2017/08/06 14:32:32+00
1294,96268,17ABC1244,1000,ABC Case,3702 FALCON CREST DR,40219-0000,LOUISVILLE,KY,Closed,2017/11/13 15:40:08+00
1295,96269,17ABC1176,1000,ABC Case,3320 FRANKFORT AVE,40206-0000,LOUISVILLE,KY,Closed,2017/08/25 23:44:33+00
1296,96270,17ABC1167,1000,ABC Case,2622 S 4TH ST,40208-0000,LOUISVILLE,KY,Closed,2017/08/16 19:04:32+00
1297,96271,17ABC1128,1000,ABC Case,618 BAXTER AVE,40204-0000,LOUISVILLE,KY,Closed,2017/06/29 21:10:00+00
1298,96272,17ABC1107,1000,ABC Case,5404 BARDSTOWN RD,40291-0000,LOUISVILLE,KY,Closed,2017/06/04 04:14:24+00
1299,96273,17ABC1268,1000,ABC Case, HIKES LN,40218-0000,LOUISVILLE,KY,Closed,2017/12/14 21:26:02+00
1300,96274,17ABC1094,1000,ABC Case,933 BAXTER AVE,40204-0000,LOUISVILLE,KY,Closed,2017/05/15 21:58:14+00
1301,96275,17ABC1165,1000,ABC Case,4102 MURPHY LN,40241-0000,LOUISVILLE,KY,Closed,2017/08/15 14:24:42+00
1302,96276,17ABC1152,1000,ABC Case,2701 BARDSTOWN RD,40205-0000,LOUISVILLE,KY,Closed,2017/07/27 18:43:34+00
1303,96277,17ABC1130,1000,ABC Case,1601 S PRESTON ST,40217-0000,LOUISVILLE,KY,Closed,2017/06/30 21:25:06+00
1304,96278,17ABC1168,1000,ABC Case,7502 PRESTON HWY,40219-0000,LOUISVILLE,KY,Closed,2017/08/17 14:20:02+00
1305,96279,18ABC1067,1000,ABC Case,5603 GREENWOOD RD,40258-0000,LOUISVILLE,KY,Closed,2018/03/28 18:04:54+00
1306,96280,17ABC1166,1000,ABC Case,4122 PINECROFT DR,40219-0000,LOUISVILLE,KY,Closed,2017/08/15 20:22:49+00
1307,96281,18ABC1021,1000,ABC Case,3817 E INDIAN TRL,40213-0000,LOUISVILLE,KY,Closed,2018/01/18 16:56:46+00
1308,96282,17ABC1180,1000,ABC Case,3701 HOPEWELL RD,40299-0000,LOUISVILLE,KY,Closed,2017/08/28 17:14:28+00
1309,96283,17ABC1187,1000,ABC Case,332 W BROADWAY ,40202-0000,LOUISVILLE,KY,Closed,2017/09/08 19:36:23+00
1310,96284,17ABC1148,1000,ABC Case,411 IOWA AVE,40208-0000,LOUISVILLE,KY,Closed,2017/07/21 17:38:40+00
1311,96285,18ABC1059,1000,ABC Case,2928 W KENTUCKY ST,40211-0000,LOUISVILLE,KY,Closed,2018/03/19 16:29:58+00
1312,96286,17ABC1085,1000,ABC Case,5909 TERRY RD,40216-0000,LOUISVILLE,KY,Closed,2017/05/03 20:09:38+00
1313,96287,17ABC1088,1000,ABC Case,700 CENTRAL AVE,40208-0000,LOUISVILLE,KY,Closed,2017/05/08 14:55:55+00
1314,96288,17ABC1096,1000,ABC Case,5404 BARDSTOWN RD,40291-0000,LOUISVILLE,KY,Closed,2017/05/18 20:55:10+00
1315,96289,17ABC1229,1000,ABC Case,2622 S 4TH ST,40208-0000,LOUISVILLE,KY,Closed,2017/11/05 03:33:34+00
1316,96290,17ABC1104,1000,ABC Case,6112 PRESTON HWY,40219-0000,LOUISVILLE,KY,Closed,2017/05/25 19:14:33+00
1317,96291,18ABC1018,1000,ABC Case,400 E OAK ST,40203-0000,LOUISVILLE,KY,Closed,2018/01/12 18:21:14+00
1318,96292,18ABC1089,1000,ABC Case,1398 S 2ND ST,40208-0000,LOUISVILLE,KY,Closed,2018/04/30 16:07:31+00
1319,96293,18ABC1000,1000,ABC Case,3912 BARDSTOWN RD,40218-0000,LOUISVILLE,KY,Closed,2018/01/02 23:04:10+00
1320,96294,17ABC1217,1000,ABC Case,2011 FRANKFORT AVE,40206-0000,LOUISVILLE,KY,Closed,2017/10/18 22:31:22+00
1321,96042,19ABC1076,1000,ABC Case,2532 W BROADWAY ,40211-0000,LOUISVILLE,KY,Closed,2019/03/14 16:15:32+00
1322,96296,18ABC1006,1000,ABC Case,3940 BARDSTOWN RD,40218-0000,LOUISVILLE,KY,Closed,2018/01/03 22:39:08+00
1323,96297,18ABC1007,1000,ABC Case,3503 7TH STREET RD,40216-0000,LOUISVILLE,KY,Closed,2018/01/03 22:42:07+00
1324,96298,18ABC1008,1000,ABC Case,1535 BAXTER AVE,40205-0000,LOUISVILLE,KY,Closed,2018/01/03 23:18:43+00
